gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_337997,complete,CBLOL,2026.0,0.0,1.0,16.01,Blue,bot,Duduhh,LØS,1.0,Ezreal,Neeko,Akali,Sylas,Varus,Bard,1513.0,1.0,6.0,1.0,5.0,17.0,3.0,0.0,0.0,0.0,0.0,1.0,0.6742,0.7931,0.0,0.0,11.0,3.0,2.0,23.0,13758.0,10396.0,412.267,12533.0,241.0,241.0,0.0,9.5572,4478.0,4033.0,77.0,3340.0,3664.0,87.0,1138.0,369.0,-10.0,4.0,0.0,1.0,0.0,1.0,2.0,6880.0,6508.0,133.0,5648.0,6356.0,143.0,1232.0,152.0,-10.0,4.0,0.0,1.0,0.0,1.0,2.0,9624.0,9400.0,200.0,7832.0,9627.0,211.0,1792.0,-227.0,-11.0,4.0,0.0,1.0,0.0,1.0,2.0,13617.0,12924.0,240.0,9820.0,11303.0,257.0,3797.0,1621.0,-17.0,6.0,5.0,1.0,0.0,1.0,4.0
LOLTMNT04_147315,complete,TCL,2026.0,0.0,1.0,16.01,Red,bot,Duduhh,LØS,0.0,Aphelios,Varus,Jayce,Rumble,Renekton,K'Sante,1806.0,1.0,10.0,4.0,5.0,22.0,10.0,1.0,1.0,0.0,0.0,0.0,0.7309,1.0631,0.0,0.0,13.0,8.0,6.0,38.0,17914.0,13954.0,463.588,15000.0,290.0,267.0,23.0,9.6346,4391.0,4009.0,101.0,3270.0,3729.0,85.0,1121.0,280.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0,7262.0,6559.0,165.0,5589.0,6208.0,145.0,1673.0,351.0,20.0,1.0,0.0,0.0,0.0,0.0,1.0,10636.0,9167.0,212.0,7960.0,8625.0,193.0,2676.0,542.0,19.0,3.0,3.0,1.0,1.0,0.0,2.0,13583.0,12163.0,248.0,12076.0,11909.0,255.0,1507.0,254.0,-7.0,5.0,4.0,3.0,4.0,1.0,2.0
LOLTMNT01_327563,complete,HLL,2026.0,0.0,1.0,16.02,Red,bot,Duduhh,LØS,1.0,Tristana,Akali,Malphite,Corki,Bard,Xayah,1842.0,1.0,10.0,1.0,7.0,19.0,11.0,2.0,1.0,1.0,0.0,0.0,0.6189,0.9772,0.0,0.0,10.0,7.0,3.0,26.0,17468.0,13435.0,437.6221,15475.0,289.0,269.0,20.0,9.4137,3896.0,3550.0,84.0,3483.0,3665.0,86.0,413.0,-115.0,-2.0,2.0,0.0,1.0,0.0,1.0,0.0,6776.0,5907.0,134.0,6902.0,6751.0,142.0,-126.0,-844.0,-8.0,4.0,1.0,1.0,2.0,1.0,0.0,8859.0,8256.0,186.0,9444.0,9199.0,194.0,-585.0,-943.0,-8.0,4.0,1.0,1.0,3.0,2.0,0.0,13030.0,11301.0,243.0,11876.0,11758.0,246.0,1154.0,-457.0,-3.0,8.0,2.0,1.0,3.0,5.0,1.0
LOLTMNT01_326680,complete,ROL,2026.0,0.0,1.0,16.02,Blue,bot,Duduhh,LØS,0.0,Corki,Qiyana,Jayce,Varus,Kai'Sa,Sivir,1643.0,1.0,13.0,2.0,5.0,27.0,4.0,2.0,1.0,0.0,0.0,1.0,0.986,1.1321,0.0,0.0,11.0,7.0,3.0,31.0,15141.0,11514.0,420.4747,13463.0,255.0,237.0,18.0,9.3122,4981.0,3875.0,89.0,2909.0,3331.0,70.0,2072.0,544.0,19.0,6.0,1.0,0.0,0.0,0.0,2.0,7686.0,6964.0,149.0,4753.0,5266.0,105.0,2933.0,1698.0,44.0,6.0,1.0,0.0,0.0,0.0,2.0,10433.0,9293.0,193.0,7824.0,7701.0,155.0,2609.0,1592.0,38.0,7.0,4.0,1.0,1.0,0.0,3.0,13208.0,11547.0,236.0,9687.0,9819.0,197.0,3521.0,1728.0,39.0,9.0,5.0,2.0,1.0,1.0,5.0
LOLTMNT04_149469,complete,EBL,2026.0,0.0,1.0,16.02,Blue,bot,Duduhh,LØS,0.0,Corki,Jayce,Varus,Orianna,Miss Fortune,Neeko,1680.0,1.0,6.0,0.0,4.0,14.0,4.0,2.0,1.0,1.0,0.0,0.0,0.5,0.6429,0.0,0.0,15.0,5.0,6.0,29.0,13638.0,9935.0,354.8214,10358.0,253.0,253.0,0.0,9.0357,3456.0,3809.0,89.0,3489.0,3611.0,97.0,-33.0,198.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,5854.0,6171.0,141.0,5678.0,6066.0,146.0,176.0,105.0,-5.0,0.0,1.0,0.0,0.0,0.0,0.0,7911.0,8216.0,198.0,7801.0,8897.0,207.0,110.0,-681.0,-9.0,0.0,1.0,0.0,0.0,1.0,0.0,9768.0,9951.0,235.0,9807.0,10922.0,254.0,-39.0,-971.0,-19.0,0.0,2.0,0.0,0.0,1.0,0.0
LOLTMNT01_336821,complete,ROL,2026.0,0.0,1.0,16.02,Blue,bot,Duduhh,LØS,0.0,Corki,Jayce,Varus,Orianna,Neeko,Ezreal,1879.0,0.0,1.0,6.0,5.0,7.0,19.0,0.0,0.0,0.0,0.0,0.0,0.2235,0.8302,0.0,0.0,13.0,5.0,3.0,25.0,12829.0,8720.0,278.446,13483.0,278.0,278.0,0.0,8.8771,3384.0,3437.0,90.0,3831.0,3840.0,87.0,-447.0,-403.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,6117.0,6123.0,141.0,6537.0,6501.0,142.0,-420.0,-378.0,-1.0,1.0,1.0,3.0,2.0,2.0,1.0,7895.0,8664.0,189.0,9093.0,9247.0,204.0,-1198.0,-583.0,-15.0,1.0,1.0,4.0,2.0,4.0,1.0,10496.0,11609.0,236.0,11479.0,11923.0,270.0,-983.0,-314.0,-34.0,1.0,4.0,4.0,2.0,4.0,1.0
LOLTMNT01_337419,complete,ROL,2026.0,0.0,1.0,16.02,Blue,bot,Duduhh,LØS,1.0,Ezreal,Sion,Akali,Varus,Alistar,Neeko,2014.0,1.0,5.0,2.0,4.0,14.0,10.0,1.0,0.0,0.0,0.0,0.0,0.4171,0.715,0.0,0.0,14.0,4.0,4.0,27.0,17317.0,12933.0,385.2929,14383.0,311.0,307.0,4.0,9.2651,3450.0,3999.0,88.0,3344.0,3595.0,81.0,106.0,404.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5829.0,6384.0,139.0,5935.0,5678.0,129.0,-106.0,706.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,8562.0,8572.0,184.0,9032.0,8342.0,190.0,-470.0,230.0,-6.0,1.0,1.0,1.0,2.0,0.0,0.0,10722.0,11034.0,242.0,11215.0,11308.0,256.0,-493.0,-274.0,-14.0,1.0,1.0,2.0,2.0,0.0,0.0
LOLTMNT02_351645,complete,LPLOL,2026.0,0.0,1.0,16.03,Blue,bot,Duduhh,LØS,1.0,Corki,Qiyana,Ambessa,Varus,Jarvan IV,Neeko,2565.0,1.0,12.0,2.0,9.0,23.0,16.0,1.0,1.0,0.0,0.0,1.0,0.538,0.9123,0.0,0.0,19.0,12.0,6.0,56.0,24419.0,18911.0,442.3626,21733.0,376.0,360.0,16.0,8.7953,3753.0,3643.0,93.0,3391.0,3605.0,94.0,362.0,38.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,7878.0,7048.0,155.0,4829.0,5091.0,126.0,3049.0,1957.0,29.0,3.0,3.0,0.0,0.0,0.0,3.0,10330.0,9546.0,212.0,7142.0,7692.0,184.0,3188.0,1854.0,28.0,3.0,5.0,0.0,0.0,1.0,3.0,12665.0,11034.0,243.0,9509.0,10205.0,240.0,3156.0,829.0,3.0,5.0,6.0,1.0,0.0,3.0,4.0
LOLTMNT05_176516,complete,AL,2026.0,0.0,2.0,16.03,Blue,bot,Duduhh,LØS,1.0,Aphelios,Qiyana,Renekton,Jarvan IV,Ahri,Akali,1891.0,0.0,2.0,4.0,2.0,8.0,18.0,0.0,0.0,0.0,0.0,1.0,0.2538,0.825,0.0,0.0,10.0,6.0,3.0,31.0,12177.0,8044.0,255.23,12075.0,252.0,248.0,4.0,7.9958,3428.0,3181.0,80.0,3358.0,3721.0,80.0,70.0,-540.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5835.0,5302.0,130.0,5164.0,5494.0,126.0,671.0,-192.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,8766.0,7856.0,182.0,7876.0,8217.0,191.0,890.0,-361.0,-9.0,2.0,2.0,0.0,0.0,0.0,1.0,10031.0,9386.0,200.0,11931.0,11270.0,233.0,-1900.0,-1884.0,-33.0,2.0,2.0,2.0,2.0,6.0,1.0
LOLTMNT02_351668,complete,LPLOL,2026.0,0.0,3.0,16.03,Blue,bot,Duduhh,LØS,0.0,Caitlyn,Qiyana,Varus,Ambessa,Nocturne,Vi,2278.0,0.0,4.0,2.0,2.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0.2371,0.6058,0.0,0.0,16.0,6.0,5.0,39.0,19295.0,14372.0,378.5426,19325.0,421.0,416.0,5.0,11.0887,3329.0,3355.0,90.0,4188.0,3639.0,87.0,-859.0,-284.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,6418.0,5860.0,148.0,6520.0,6008.0,142.0,-102.0,-148.0,6.0,2.0,1.0,1.0,3.0,0.0,0.0,8525.0,8466.0,200.0,9368.0,8835.0,205.0,-843.0,-369.0,-5.0,2.0,1.0,1.0,4.0,0.0,0.0,11690.0,10598.0,257.0,12665.0,11994.0,254.0,-975.0,-1396.0,3.0,3.0,1.0,1.0,5.0,1.0,0.0
