gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_336225,complete,ROL,2026.0,0.0,1.0,16.02,Blue,jng,Elative,Uwinks,1.0,Ambessa,Illaoi,Neeko,LeBlanc,Yorick,Malphite,1992.0,1.0,9.0,1.0,9.0,22.0,3.0,1.0,0.0,0.0,0.0,1.0,0.6627,0.753,0.0,0.0,10.0,3.0,8.0,48.0,17604.0,13265.0,399.5482,16200.0,297.0,33.0,264.0,8.9458,4361.0,4763.0,91.0,3553.0,3941.0,78.0,808.0,822.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0,7298.0,7832.0,137.0,5621.0,6078.0,111.0,1677.0,1754.0,26.0,3.0,1.0,0.0,1.0,0.0,2.0,10277.0,12131.0,193.0,7826.0,9065.0,159.0,2451.0,3066.0,34.0,4.0,4.0,0.0,1.0,0.0,2.0,13057.0,15787.0,246.0,9518.0,11347.0,197.0,3539.0,4440.0,49.0,5.0,5.0,0.0,1.0,0.0,2.0
LOLTMNT04_151443,complete,LEC,2026.0,0.0,1.0,16.02,Blue,jng,Elative,Uwinks,1.0,Ambessa,Neeko,Syndra,Diana,Leona,Rakan,1527.0,1.0,7.0,1.0,9.0,21.0,7.0,1.0,0.0,0.0,0.0,1.0,0.8251,1.1002,0.0,0.0,9.0,4.0,5.0,35.0,14242.0,10851.0,426.3654,12125.0,216.0,19.0,197.0,8.4872,4327.0,4415.0,77.0,4036.0,3870.0,72.0,291.0,545.0,5.0,1.0,4.0,1.0,2.0,0.0,2.0,6744.0,7699.0,129.0,6229.0,6305.0,114.0,515.0,1394.0,15.0,2.0,6.0,1.0,3.0,0.0,3.0,9836.0,10827.0,171.0,8828.0,9917.0,163.0,1008.0,910.0,8.0,4.0,6.0,1.0,4.0,3.0,3.0,13878.0,15396.0,213.0,10328.0,11560.0,187.0,3550.0,3836.0,26.0,7.0,9.0,1.0,4.0,3.0,5.0
LOLTMNT04_152504,complete,LEC,2026.0,0.0,1.0,16.02,Blue,jng,Elative,Uwinks,1.0,Gwen,Kennen,Syndra,Neeko,LeBlanc,Akali,1561.0,1.0,11.0,1.0,4.0,31.0,17.0,2.0,1.0,0.0,0.0,0.0,1.1915,1.845,1.0,0.0,9.0,9.0,7.0,45.0,16580.0,13120.0,504.2921,14025.0,266.0,43.0,223.0,10.2242,4858.0,4192.0,83.0,5241.0,3980.0,67.0,-383.0,212.0,16.0,3.0,0.0,1.0,5.0,4.0,0.0,7568.0,7246.0,130.0,6996.0,6045.0,101.0,572.0,1201.0,29.0,4.0,0.0,1.0,6.0,4.0,1.0,11219.0,11062.0,185.0,9842.0,8762.0,129.0,1377.0,2300.0,56.0,6.0,1.0,1.0,9.0,5.0,2.0,15655.0,16806.0,255.0,11015.0,10258.0,142.0,4640.0,6548.0,113.0,9.0,3.0,1.0,9.0,7.0,4.0
LOLTMNT04_151516,complete,LEC,2026.0,0.0,1.0,16.02,Blue,jng,Elative,Uwinks,1.0,Ambessa,Azir,Neeko,Syndra,Renata Glasc,Braum,1556.0,0.0,4.0,4.0,2.0,10.0,24.0,0.0,0.0,0.0,0.0,0.0,0.3856,1.3111,0.0,0.0,7.0,4.0,5.0,36.0,11335.0,7885.0,304.0488,11150.0,208.0,37.0,171.0,8.0206,4272.0,4614.0,84.0,3426.0,3876.0,77.0,846.0,738.0,7.0,1.0,1.0,0.0,0.0,0.0,1.0,6398.0,7481.0,131.0,5686.0,6386.0,120.0,712.0,1095.0,11.0,2.0,1.0,0.0,1.0,1.0,1.0,9312.0,10199.0,164.0,8523.0,10001.0,161.0,789.0,198.0,3.0,4.0,2.0,1.0,2.0,7.0,1.0,11207.0,12638.0,207.0,11006.0,13457.0,198.0,201.0,-819.0,9.0,4.0,2.0,3.0,2.0,9.0,2.0
LOLTMNT04_151630,complete,CCWS,2026.0,0.0,1.0,16.02,Blue,jng,Elative,Uwinks,1.0,Gwen,Poppy,Neeko,Malphite,Braum,Azir,1916.0,0.0,1.0,10.0,5.0,14.0,39.0,0.0,0.0,0.0,0.0,0.0,0.4384,1.6597,0.0,2.0,9.0,4.0,5.0,34.0,15937.0,11753.0,368.048,15925.0,272.0,85.0,187.0,8.5177,3309.0,3841.0,72.0,4293.0,4076.0,74.0,-984.0,-235.0,-2.0,0.0,0.0,2.0,3.0,1.0,1.0,5828.0,6811.0,112.0,6988.0,7630.0,117.0,-1160.0,-819.0,-5.0,1.0,2.0,5.0,6.0,4.0,3.0,8368.0,9669.0,158.0,8814.0,10188.0,154.0,-446.0,-519.0,4.0,1.0,2.0,5.0,6.0,5.0,3.0,9720.0,11534.0,179.0,11232.0,14221.0,181.0,-1512.0,-2687.0,-2.0,1.0,4.0,8.0,8.0,14.0,4.0
LOLTMNT04_152646,complete,LIT,2026.0,1.0,1.0,16.02,Blue,jng,Elative,Uwinks,1.0,Ambessa,Poppy,Azir,Neeko,Varus,Braum,1492.0,0.0,1.0,6.0,1.0,5.0,26.0,0.0,0.0,0.0,0.0,0.0,0.2011,1.2466,1.0,0.0,9.0,3.0,8.0,29.0,9199.0,5880.0,236.4611,8450.0,188.0,14.0,174.0,7.5603,4124.0,4530.0,82.0,3649.0,3791.0,67.0,475.0,739.0,15.0,1.0,0.0,1.0,1.0,1.0,0.0,5869.0,6909.0,124.0,6166.0,6582.0,108.0,-297.0,327.0,16.0,1.0,1.0,2.0,3.0,3.0,0.0,7724.0,9614.0,165.0,8766.0,9780.0,142.0,-1042.0,-166.0,23.0,1.0,1.0,4.0,3.0,12.0,0.0,9199.0,11828.0,188.0,10850.0,12145.0,153.0,-1651.0,-317.0,35.0,1.0,1.0,6.0,5.0,19.0,0.0
LOLTMNT04_152665,complete,LIT,2026.0,1.0,1.0,16.02,Red,jng,Elative,Uwinks,0.0,Naafiri,Varus,Poppy,Vi,Rakan,Rumble,2148.0,1.0,1.0,3.0,15.0,21.0,14.0,0.0,0.0,0.0,0.0,1.0,0.5866,0.9777,1.0,0.0,11.0,8.0,9.0,46.0,16050.0,11392.0,318.2123,15325.0,300.0,51.0,249.0,8.3799,3694.0,4317.0,81.0,3379.0,3932.0,76.0,315.0,385.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,5900.0,7399.0,135.0,6178.0,7000.0,108.0,-278.0,399.0,27.0,0.0,2.0,1.0,4.0,0.0,1.0,8045.0,10311.0,182.0,8202.0,9641.0,139.0,-157.0,670.0,43.0,0.0,3.0,2.0,4.0,3.0,2.0,9693.0,12583.0,218.0,9673.0,11683.0,160.0,20.0,900.0,58.0,0.0,3.0,2.0,4.0,4.0,2.0
LOLTMNT01_338226,complete,LCP,2026.0,0.0,1.0,16.02,Red,jng,Elative,Uwinks,0.0,Lee Sin,Qiyana,Varus,Jayce,Talon,Jarvan IV,1571.0,1.0,11.0,1.0,11.0,27.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0312,1.4131,1.0,0.0,16.0,2.0,6.0,38.0,15480.0,12000.0,458.3068,13475.0,204.0,19.0,185.0,7.7912,4712.0,4305.0,75.0,3988.0,4223.0,84.0,724.0,82.0,-9.0,2.0,4.0,0.0,0.0,2.0,1.0,7688.0,7576.0,119.0,5529.0,6433.0,121.0,2159.0,1143.0,-2.0,5.0,4.0,0.0,0.0,2.0,2.0,11646.0,11697.0,163.0,8062.0,9396.0,154.0,3584.0,2301.0,9.0,8.0,6.0,1.0,2.0,4.0,3.0,14105.0,14947.0,200.0,10129.0,12104.0,198.0,3976.0,2843.0,2.0,10.0,7.0,1.0,2.0,4.0,3.0
LOLTMNT02_350911,complete,HLL,2026.0,0.0,1.0,16.03,Red,jng,Elative,Uwinks,0.0,Gwen,Poppy,Neeko,Gnar,Karma,Bard,1639.0,1.0,6.0,1.0,8.0,23.0,9.0,1.0,0.0,0.0,0.0,0.0,0.842,1.1714,0.0,0.0,5.0,8.0,5.0,36.0,15406.0,11787.0,431.4948,13025.0,273.0,43.0,230.0,9.9939,3649.0,4185.0,78.0,3261.0,3793.0,67.0,388.0,392.0,11.0,0.0,2.0,1.0,0.0,1.0,1.0,6554.0,7542.0,131.0,5008.0,5749.0,99.0,1546.0,1793.0,32.0,2.0,4.0,1.0,1.0,1.0,2.0,9978.0,10646.0,180.0,6246.0,7714.0,123.0,3732.0,2932.0,57.0,4.0,5.0,1.0,1.0,1.0,3.0,13251.0,15441.0,240.0,9176.0,9289.0,136.0,4075.0,6152.0,104.0,5.0,7.0,1.0,3.0,1.0,4.0
LOLTMNT05_175340,complete,LFL,2026.0,0.0,1.0,16.03,Red,jng,Elative,Uwinks,0.0,Gwen,Poppy,Neeko,Varus,Karma,Bard,1275.0,1.0,10.0,1.0,4.0,17.0,8.0,2.0,1.0,0.0,0.0,0.0,0.8,1.1765,0.0,0.0,3.0,4.0,0.0,19.0,13508.0,10631.0,500.2824,11600.0,192.0,31.0,161.0,9.0353,3444.0,3761.0,79.0,3154.0,3323.0,59.0,290.0,438.0,20.0,0.0,0.0,0.0,0.0,2.0,0.0,6969.0,6835.0,126.0,4448.0,5652.0,87.0,2521.0,1183.0,39.0,4.0,3.0,1.0,0.0,2.0,1.0,12022.0,11513.0,191.0,6202.0,8039.0,118.0,5820.0,3474.0,73.0,6.0,3.0,1.0,0.0,2.0,1.0,,,,,,,,,,,,,,,
