gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_163282,complete,LEC,2026.0,0.0,1.0,16.01,Red,sup,Elio,MVK Esports,1.0,Alistar,Ambessa,Sylas,Neeko,K'Sante,Bard,1760.0,1.0,0.0,2.0,8.0,14.0,4.0,0.0,0.0,0.0,0.0,1.0,0.4773,0.6136,0.0,0.0,53.0,12.0,12.0,122.0,7582.0,3716.0,126.6818,7495.0,39.0,39.0,0.0,1.3295,2502.0,2959.0,20.0,2306.0,2802.0,18.0,196.0,157.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,3688.0,4434.0,33.0,3345.0,4421.0,21.0,343.0,13.0,12.0,0.0,1.0,0.0,0.0,0.0,1.0,4965.0,5396.0,36.0,4432.0,6161.0,21.0,533.0,-765.0,15.0,0.0,2.0,1.0,0.0,1.0,1.0,6071.0,7042.0,37.0,5464.0,7768.0,23.0,607.0,-726.0,14.0,0.0,4.0,1.0,0.0,2.0,1.0
LOLTMNT01_320998,complete,LCP,2026.0,0.0,2.0,16.01,Red,sup,Elio,MVK Esports,0.0,Mel,K'Sante,Rumble,Azir,Orianna,Sylas,1691.0,1.0,5.0,0.0,4.0,19.0,6.0,2.0,0.0,0.0,0.0,1.0,0.6742,0.887,0.0,0.0,48.0,9.0,7.0,107.0,9320.0,5595.0,198.5216,7900.0,25.0,25.0,0.0,0.887,3312.0,3407.0,10.0,2320.0,2932.0,20.0,992.0,475.0,-10.0,2.0,1.0,0.0,0.0,0.0,2.0,5174.0,5022.0,15.0,3386.0,4334.0,26.0,1788.0,688.0,-11.0,3.0,2.0,0.0,0.0,1.0,3.0,6256.0,5755.0,17.0,4423.0,5552.0,31.0,1833.0,203.0,-14.0,3.0,2.0,0.0,0.0,1.0,3.0,7943.0,8015.0,23.0,5615.0,8133.0,34.0,2328.0,-118.0,-11.0,3.0,3.0,0.0,0.0,2.0,4.0
LOLTMNT03_340339,complete,LCK,2026.0,0.0,1.0,16.01,Blue,sup,Elio,MVK Esports,1.0,Alistar,Neeko,Sylas,Akali,Bard,Nautilus,2746.0,0.0,0.0,3.0,3.0,5.0,10.0,0.0,0.0,0.0,0.0,1.0,0.1092,0.3277,0.0,0.0,107.0,23.0,20.0,216.0,10338.0,4461.0,97.4727,10540.0,45.0,45.0,0.0,0.9832,2167.0,2350.0,14.0,2368.0,2264.0,19.0,-201.0,86.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,3280.0,3252.0,22.0,3580.0,2971.0,32.0,-300.0,281.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,4459.0,4677.0,27.0,4672.0,4257.0,37.0,-213.0,420.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,5717.0,6753.0,33.0,5664.0,4988.0,38.0,53.0,1765.0,-5.0,0.0,1.0,0.0,0.0,0.0,1.0
LOLTMNT02_344222,complete,LCP,2026.0,0.0,2.0,16.01,Blue,sup,Elio,MVK Esports,1.0,Nidalee,Neeko,Sylas,Renekton,Lulu,Braum,2186.0,1.0,0.0,0.0,15.0,17.0,8.0,0.0,0.0,0.0,0.0,1.0,0.4666,0.6862,0.0,0.0,66.0,32.0,12.0,190.0,11147.0,6412.0,175.9927,10010.0,49.0,49.0,0.0,1.3449,2848.0,2603.0,12.0,2300.0,2558.0,11.0,548.0,45.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,4132.0,3604.0,25.0,3461.0,3653.0,19.0,671.0,-49.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,5597.0,5393.0,33.0,4618.0,4893.0,22.0,979.0,500.0,11.0,0.0,4.0,0.0,0.0,0.0,0.0,7043.0,7382.0,37.0,5660.0,7055.0,31.0,1383.0,327.0,6.0,0.0,7.0,0.0,0.0,0.0,1.0
LOLTMNT03_341450,complete,LCK,2026.0,0.0,3.0,16.01,Red,sup,Elio,MVK Esports,0.0,Taric,Ambessa,Aurora,Neeko,Akali,Sylas,1900.0,1.0,0.0,2.0,13.0,15.0,8.0,0.0,0.0,0.0,0.0,0.0,0.4737,0.7263,0.0,0.0,57.0,19.0,10.0,130.0,9304.0,5152.0,162.6947,8290.0,51.0,51.0,0.0,1.6105,2471.0,2587.0,20.0,2630.0,2644.0,17.0,-159.0,-57.0,3.0,0.0,2.0,0.0,1.0,1.0,1.0,3621.0,3439.0,30.0,3694.0,3951.0,25.0,-73.0,-512.0,5.0,0.0,2.0,0.0,1.0,1.0,1.0,5136.0,5513.0,42.0,4976.0,4533.0,33.0,160.0,980.0,9.0,0.0,4.0,0.0,1.0,1.0,1.0,6933.0,7874.0,46.0,6190.0,5987.0,36.0,743.0,1887.0,10.0,0.0,7.0,1.0,1.0,3.0,1.0
LOLTMNT01_327784,complete,LCK,2026.0,0.0,1.0,16.01,Red,sup,Elio,MVK Esports,1.0,Alistar,Neeko,Sylas,Azir,Varus,Yunara,2140.0,0.0,0.0,5.0,6.0,8.0,17.0,0.0,0.0,0.0,0.0,0.0,0.2243,0.7009,0.0,0.0,70.0,16.0,19.0,151.0,8205.0,3564.0,99.9252,7915.0,33.0,33.0,0.0,0.9252,2452.0,2724.0,12.0,2429.0,2496.0,5.0,23.0,228.0,7.0,0.0,1.0,1.0,0.0,1.0,1.0,3534.0,3295.0,22.0,3887.0,3376.0,9.0,-353.0,-81.0,13.0,0.0,1.0,2.0,0.0,4.0,1.0,4621.0,4629.0,27.0,5082.0,4559.0,13.0,-461.0,70.0,14.0,0.0,1.0,3.0,0.0,5.0,1.0,5704.0,6338.0,28.0,6146.0,6428.0,13.0,-442.0,-90.0,15.0,0.0,1.0,3.0,0.0,5.0,1.0
LOLTMNT01_327799,complete,LCK,2026.0,0.0,2.0,16.01,Red,sup,Elio,MVK Esports,1.0,Rakan,Neeko,Sylas,Azir,Lulu,Pantheon,2095.0,1.0,0.0,1.0,6.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.2578,0.3723,0.0,0.0,79.0,24.0,17.0,165.0,9468.0,4919.0,140.8783,7755.0,51.0,51.0,0.0,1.4606,2366.0,2662.0,15.0,2326.0,2992.0,8.0,40.0,-330.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3620.0,4169.0,26.0,3572.0,4359.0,10.0,48.0,-190.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,4937.0,4767.0,34.0,4596.0,6546.0,10.0,341.0,-1779.0,24.0,0.0,1.0,1.0,0.0,0.0,0.0,6318.0,6421.0,42.0,5910.0,7842.0,13.0,408.0,-1421.0,29.0,0.0,2.0,1.0,0.0,1.0,0.0
LOLTMNT06_166086,complete,AL,2026.0,0.0,3.0,16.01,Red,sup,Elio,MVK Esports,0.0,Karma,Azir,Kai'Sa,Lucian,Galio,Gnar,2269.0,0.0,1.0,4.0,5.0,9.0,23.0,0.0,0.0,0.0,0.0,0.0,0.238,0.8462,0.0,0.0,79.0,12.0,14.0,154.0,9013.0,4109.0,108.6558,8380.0,45.0,45.0,0.0,1.19,2539.0,3113.0,26.0,2355.0,2834.0,14.0,184.0,279.0,12.0,0.0,1.0,1.0,0.0,3.0,1.0,3556.0,4088.0,33.0,3555.0,4539.0,28.0,1.0,-451.0,5.0,0.0,1.0,1.0,0.0,5.0,2.0,4713.0,5501.0,37.0,5079.0,6556.0,35.0,-366.0,-1055.0,2.0,0.0,3.0,3.0,0.0,8.0,3.0,6174.0,8152.0,42.0,6085.0,7368.0,35.0,89.0,784.0,7.0,1.0,5.0,3.0,0.0,8.0,4.0
LOLTMNT01_334140,complete,LJL,2026.0,0.0,1.0,16.02,Red,sup,Elio,MVK Esports,1.0,Nautilus,Poppy,Nocturne,Ambessa,Yunara,Bard,2141.0,0.0,1.0,4.0,4.0,10.0,16.0,0.0,0.0,0.0,0.0,0.0,0.2802,0.7286,0.0,0.0,67.0,26.0,15.0,162.0,8859.0,4216.0,118.1504,8530.0,51.0,51.0,0.0,1.4292,2635.0,2868.0,19.0,2409.0,2651.0,16.0,226.0,217.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,3998.0,3624.0,29.0,3585.0,3287.0,23.0,413.0,337.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,5403.0,5206.0,39.0,5044.0,4387.0,30.0,359.0,819.0,9.0,1.0,2.0,1.0,0.0,4.0,1.0,6485.0,6095.0,43.0,6446.0,6224.0,34.0,39.0,-129.0,9.0,1.0,2.0,2.0,0.0,6.0,2.0
LOLTMNT01_333250,complete,LJL,2026.0,0.0,2.0,16.02,Red,sup,Elio,MVK Esports,0.0,Leona,Orianna,Ambessa,Poppy,Pantheon,Wukong,2035.0,1.0,0.0,3.0,11.0,19.0,8.0,0.0,0.0,0.0,0.0,0.0,0.5602,0.7961,0.0,0.0,72.0,21.0,18.0,158.0,8773.0,4346.0,128.1376,8445.0,43.0,43.0,0.0,1.2678,2548.0,2912.0,17.0,2338.0,2619.0,17.0,210.0,293.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3600.0,3935.0,27.0,3434.0,3516.0,27.0,166.0,419.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4898.0,5131.0,34.0,4599.0,5512.0,29.0,299.0,-381.0,5.0,0.0,2.0,0.0,0.0,1.0,1.0,6130.0,6562.0,38.0,5711.0,5891.0,32.0,419.0,671.0,6.0,0.0,3.0,1.0,0.0,2.0,2.0
