gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_338031,complete,LCKC,2026.0,0.0,1.0,16.01,Red,jng,Elyoya,Movistar KOI,1.0,Jayce,Kled,Malphite,Dr. Mundo,Nami,Bard,1912.0,1.0,4.0,0.0,9.0,17.0,7.0,0.0,0.0,0.0,0.0,0.0,0.5335,0.7531,1.0,0.0,10.0,18.0,7.0,67.0,15879.0,11703.0,367.249,13625.0,262.0,45.0,217.0,8.2218,3953.0,4458.0,87.0,4224.0,4253.0,75.0,-271.0,205.0,12.0,0.0,0.0,0.0,2.0,1.0,0.0,5853.0,6804.0,134.0,6027.0,6642.0,119.0,-174.0,162.0,15.0,0.0,0.0,0.0,2.0,1.0,0.0,8691.0,10365.0,180.0,7901.0,8805.0,149.0,790.0,1560.0,31.0,1.0,3.0,0.0,3.0,1.0,1.0,11608.0,14273.0,232.0,9721.0,10896.0,176.0,1887.0,3377.0,56.0,2.0,5.0,0.0,4.0,1.0,2.0
LOLTMNT01_323365,complete,ROL,2026.0,0.0,1.0,16.01,Red,jng,Elyoya,Movistar KOI,1.0,Jarvan IV,Neeko,Malphite,Orianna,Nautilus,Alistar,1934.0,1.0,5.0,2.0,9.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.4964,0.7446,1.0,0.0,9.0,15.0,8.0,54.0,13994.0,9773.0,303.1954,12500.0,232.0,21.0,211.0,7.1975,3515.0,4500.0,83.0,3646.0,4223.0,84.0,-131.0,277.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,5998.0,6890.0,119.0,5803.0,7377.0,126.0,195.0,-487.0,-7.0,2.0,0.0,1.0,1.0,2.0,1.0,8973.0,10362.0,169.0,7524.0,9607.0,164.0,1449.0,755.0,5.0,3.0,3.0,1.0,1.0,2.0,2.0,10695.0,13233.0,211.0,9186.0,11854.0,194.0,1509.0,1379.0,17.0,3.0,3.0,1.0,1.0,2.0,2.0
LOLTMNT03_338560,complete,HLL,2026.0,0.0,1.0,16.01,Red,jng,Elyoya,Movistar KOI,1.0,Ambessa,Wukong,K'Sante,Malphite,Taliyah,Renekton,1601.0,0.0,1.0,2.0,2.0,4.0,22.0,0.0,0.0,0.0,0.0,0.0,0.1499,0.9744,0.0,1.0,6.0,4.0,5.0,24.0,9708.0,6166.0,231.0806,9475.0,187.0,9.0,178.0,7.0081,3578.0,4433.0,85.0,3645.0,4288.0,84.0,-67.0,145.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5311.0,6439.0,120.0,5744.0,7419.0,129.0,-433.0,-980.0,-9.0,0.0,0.0,0.0,0.0,3.0,0.0,7746.0,9742.0,165.0,8436.0,10339.0,165.0,-690.0,-597.0,0.0,1.0,0.0,1.0,2.0,6.0,0.0,9277.0,11455.0,187.0,10165.0,12511.0,183.0,-888.0,-1056.0,4.0,1.0,1.0,2.0,3.0,6.0,0.0
LOLTMNT01_327617,complete,ROL,2026.0,0.0,1.0,16.02,Red,jng,Elyoya,Movistar KOI,0.0,Pantheon,Jayce,Varus,Vi,Poppy,Kai'Sa,1925.0,1.0,8.0,0.0,11.0,22.0,11.0,2.0,0.0,0.0,0.0,0.0,0.6857,1.0286,1.0,0.0,17.0,13.0,13.0,66.0,15225.0,11022.0,343.5429,12975.0,268.0,22.0,246.0,8.3532,3785.0,3955.0,73.0,4042.0,3902.0,71.0,-257.0,53.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,6686.0,7291.0,124.0,6170.0,6591.0,108.0,516.0,700.0,16.0,4.0,2.0,0.0,3.0,1.0,1.0,8554.0,10243.0,172.0,8116.0,9169.0,158.0,438.0,1074.0,14.0,4.0,2.0,0.0,3.0,1.0,1.0,10619.0,12594.0,201.0,10221.0,11917.0,195.0,398.0,677.0,6.0,5.0,4.0,0.0,4.0,3.0,1.0
LOLTMNT04_150462,complete,LFL,2026.0,0.0,1.0,16.02,Red,jng,Elyoya,Movistar KOI,1.0,Vi,Neeko,Varus,Akali,Lulu,Jarvan IV,1555.0,1.0,6.0,0.0,14.0,27.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0418,1.2733,1.0,0.0,12.0,23.0,9.0,73.0,13251.0,9803.0,378.2508,12100.0,205.0,30.0,175.0,7.91,3896.0,4198.0,84.0,3858.0,4216.0,80.0,38.0,-18.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,6404.0,7022.0,126.0,6275.0,6308.0,109.0,129.0,714.0,17.0,2.0,3.0,0.0,4.0,0.0,2.0,9591.0,10721.0,173.0,7592.0,7931.0,133.0,1999.0,2790.0,40.0,4.0,6.0,0.0,4.0,0.0,3.0,12525.0,14886.0,202.0,9287.0,9630.0,146.0,3238.0,5256.0,56.0,6.0,9.0,0.0,5.0,0.0,7.0
LOLTMNT06_166095,complete,AL,2026.0,0.0,1.0,16.02,Blue,jng,Elyoya,Movistar KOI,1.0,Trundle,Neeko,Orianna,Jarvan IV,Gnar,Aurora,1961.0,0.0,0.0,0.0,3.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.153,0.5201,0.0,1.0,14.0,18.0,13.0,77.0,10529.0,6253.0,191.3208,10108.0,225.0,20.0,205.0,6.8842,3537.0,4422.0,86.0,3814.0,4275.0,77.0,-277.0,147.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,5140.0,6343.0,123.0,5985.0,7048.0,120.0,-845.0,-705.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,6815.0,8685.0,164.0,7889.0,9894.0,167.0,-1074.0,-1209.0,-3.0,0.0,0.0,0.0,2.0,1.0,0.0,8616.0,11132.0,198.0,9876.0,12310.0,201.0,-1260.0,-1178.0,-3.0,0.0,2.0,0.0,3.0,2.0,1.0
LOLTMNT01_335992,complete,CBLOL,2026.0,0.0,1.0,16.02,Red,jng,Elyoya,Movistar KOI,1.0,Jarvan IV,Sion,Ryze,Jayce,Bard,Jax,2397.0,0.0,1.0,3.0,7.0,10.0,14.0,0.0,0.0,0.0,0.0,1.0,0.2503,0.6008,1.0,1.0,15.0,21.0,14.0,88.0,14075.0,8910.0,223.0288,13200.0,270.0,27.0,243.0,6.7584,3940.0,3915.0,70.0,3702.0,4081.0,78.0,238.0,-166.0,-8.0,1.0,2.0,0.0,1.0,0.0,2.0,5535.0,6434.0,109.0,5302.0,6382.0,119.0,233.0,52.0,-10.0,1.0,2.0,1.0,1.0,0.0,2.0,7466.0,9198.0,142.0,7793.0,9232.0,158.0,-327.0,-34.0,-16.0,1.0,4.0,1.0,3.0,1.0,2.0,9152.0,11303.0,184.0,9323.0,11430.0,190.0,-171.0,-127.0,-6.0,1.0,4.0,1.0,3.0,1.0,2.0
LOLTMNT04_152714,complete,EBL,2026.0,0.0,1.0,16.02,Red,jng,Elyoya,Movistar KOI,1.0,Vi,Akali,Yone,Irelia,Neeko,Xayah,2172.0,1.0,5.0,1.0,13.0,24.0,13.0,1.0,0.0,0.0,0.0,0.0,0.663,1.0221,1.0,1.0,18.0,29.0,16.0,101.0,15999.0,11293.0,311.9613,14250.0,245.0,42.0,203.0,6.768,3788.0,4043.0,77.0,3749.0,4273.0,75.0,39.0,-230.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,5462.0,6244.0,114.0,5201.0,6390.0,111.0,261.0,-146.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,8263.0,9032.0,152.0,7464.0,9315.0,147.0,799.0,-283.0,5.0,2.0,2.0,0.0,2.0,1.0,1.0,10798.0,11530.0,174.0,9643.0,11716.0,166.0,1155.0,-186.0,8.0,4.0,5.0,1.0,3.0,2.0,4.0
LOLTMNT01_338508,complete,HW,2026.0,0.0,1.0,16.02,Red,jng,Elyoya,Movistar KOI,1.0,Pantheon,Dr. Mundo,Ambessa,Malphite,Neeko,Lulu,2269.0,0.0,5.0,5.0,5.0,13.0,23.0,1.0,0.0,0.0,0.0,0.0,0.3438,0.952,0.0,1.0,16.0,12.0,14.0,61.0,13851.0,8947.0,236.5888,13450.0,246.0,23.0,223.0,6.5051,3899.0,4090.0,72.0,3686.0,3722.0,71.0,213.0,368.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,6488.0,6528.0,112.0,5985.0,7286.0,124.0,503.0,-758.0,-12.0,4.0,3.0,3.0,1.0,6.0,2.0,8307.0,9254.0,157.0,8279.0,9960.0,166.0,28.0,-706.0,-9.0,4.0,3.0,3.0,1.0,7.0,2.0,10042.0,11715.0,196.0,10069.0,12496.0,210.0,-27.0,-781.0,-14.0,4.0,3.0,3.0,1.0,7.0,2.0
LOLTMNT02_352429,complete,LCK,2026.0,0.0,1.0,16.03,Blue,jng,Elyoya,Movistar KOI,1.0,Jayce,Malphite,Orianna,Dr. Mundo,Nautilus,Ambessa,2200.0,0.0,1.0,7.0,6.0,9.0,24.0,0.0,0.0,0.0,0.0,0.0,0.2455,0.9,0.0,1.0,12.0,17.0,9.0,75.0,13748.0,8984.0,245.0182,13075.0,259.0,31.0,228.0,7.0636,4321.0,4698.0,86.0,4527.0,4231.0,76.0,-206.0,467.0,10.0,1.0,1.0,1.0,3.0,1.0,1.0,5814.0,6556.0,119.0,6772.0,6794.0,110.0,-958.0,-238.0,9.0,1.0,1.0,3.0,5.0,2.0,1.0,7950.0,8887.0,159.0,9017.0,9448.0,151.0,-1067.0,-561.0,8.0,1.0,2.0,4.0,6.0,2.0,1.0,9749.0,11360.0,200.0,10669.0,11798.0,192.0,-920.0,-438.0,8.0,1.0,2.0,4.0,6.0,2.0,1.0
