gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT04_151435,complete,LEC,2026.0,0.0,1.0,16.02,Blue,mid,Enapon,Inferno Drive Tokyo,1.0,Galio,Lee Sin,Jarvan IV,Nocturne,Orianna,Ahri,1405.0,1.0,1.0,0.0,7.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.726,0.8114,0.0,0.0,12.0,6.0,5.0,38.0,9473.0,6331.0,270.363,7075.0,218.0,218.0,0.0,9.3096,3522.0,5487.0,98.0,3202.0,5260.0,86.0,320.0,227.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5501.0,8100.0,145.0,5305.0,7941.0,136.0,196.0,159.0,9.0,0.0,2.0,0.0,1.0,0.0,0.0,7351.0,11152.0,191.0,6855.0,10135.0,177.0,496.0,1017.0,14.0,0.0,3.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
LOLTMNT01_335433,complete,LCS,2026.0,0.0,1.0,16.02,Blue,mid,Enapon,Inferno Drive Tokyo,1.0,Azir,Swain,Lee Sin,Jarvan IV,Renekton,Orianna,1531.0,1.0,7.0,1.0,6.0,29.0,7.0,1.0,0.0,0.0,0.0,0.0,1.1365,1.4108,0.0,0.0,13.0,5.0,7.0,34.0,12875.0,9476.0,371.3651,12075.0,245.0,241.0,4.0,9.6016,4407.0,5470.0,101.0,3019.0,4073.0,68.0,1388.0,1397.0,33.0,2.0,2.0,0.0,0.0,1.0,2.0,7444.0,9244.0,159.0,4571.0,6499.0,117.0,2873.0,2745.0,42.0,4.0,2.0,0.0,0.0,1.0,4.0,10413.0,11955.0,211.0,6347.0,9106.0,172.0,4066.0,2849.0,39.0,6.0,2.0,0.0,0.0,1.0,5.0,12290.0,14175.0,236.0,9139.0,11654.0,207.0,3151.0,2521.0,29.0,6.0,5.0,1.0,1.0,1.0,5.0
LOLTMNT04_152497,complete,LEC,2026.0,0.0,1.0,16.02,Blue,mid,Enapon,Inferno Drive Tokyo,1.0,Azir,Gwen,Jarvan IV,Leona,Lulu,Nautilus,2084.0,1.0,4.0,6.0,5.0,21.0,20.0,1.0,0.0,0.0,0.0,1.0,0.6046,1.1804,0.0,0.0,16.0,7.0,8.0,46.0,14009.0,9482.0,272.9942,14000.0,258.0,258.0,0.0,7.428,4052.0,5284.0,88.0,3612.0,4732.0,83.0,440.0,552.0,5.0,1.0,1.0,0.0,1.0,0.0,1.0,6135.0,7995.0,138.0,5150.0,6802.0,120.0,985.0,1193.0,18.0,1.0,2.0,1.0,1.0,2.0,2.0,7959.0,10041.0,181.0,8365.0,10585.0,173.0,-406.0,-544.0,8.0,1.0,2.0,2.0,4.0,3.0,2.0,9538.0,12296.0,208.0,11001.0,15309.0,224.0,-1463.0,-3013.0,-16.0,2.0,2.0,4.0,5.0,6.0,2.0
LOLTMNT04_152519,complete,LIT,2026.0,0.0,1.0,16.02,Blue,mid,Enapon,Inferno Drive Tokyo,1.0,Galio,Skarner,Poppy,Lee Sin,Ahri,Orianna,1790.0,1.0,2.0,0.0,15.0,32.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0726,1.3408,0.0,0.0,19.0,1.0,8.0,44.0,11170.0,7243.0,242.7821,10500.0,229.0,229.0,0.0,7.676,3436.0,4982.0,92.0,2857.0,4384.0,71.0,579.0,598.0,21.0,0.0,3.0,0.0,0.0,0.0,1.0,5273.0,8191.0,137.0,4407.0,6367.0,114.0,866.0,1824.0,23.0,0.0,6.0,0.0,0.0,0.0,2.0,7169.0,11075.0,174.0,5750.0,8507.0,152.0,1419.0,2568.0,22.0,0.0,9.0,0.0,0.0,0.0,5.0,9249.0,14477.0,213.0,7726.0,11738.0,195.0,1523.0,2739.0,18.0,0.0,12.0,0.0,1.0,0.0,5.0
LOLTMNT04_152637,complete,LFL,2026.0,0.0,1.0,16.02,Red,mid,Enapon,Inferno Drive Tokyo,0.0,Azir,Ryze,Vi,Jayce,Lee Sin,Jax,2008.0,1.0,6.0,2.0,9.0,17.0,8.0,1.0,0.0,0.0,0.0,0.0,0.508,0.747,0.0,0.0,21.0,9.0,8.0,55.0,15892.0,11520.0,344.2231,13575.0,315.0,311.0,4.0,9.4124,3794.0,4679.0,98.0,3186.0,4247.0,76.0,608.0,432.0,22.0,1.0,0.0,1.0,0.0,1.0,1.0,5895.0,8292.0,149.0,4488.0,6131.0,112.0,1407.0,2161.0,37.0,2.0,2.0,1.0,0.0,1.0,4.0,8150.0,10924.0,200.0,6094.0,8325.0,149.0,2056.0,2599.0,51.0,2.0,3.0,2.0,0.0,2.0,5.0,9750.0,13171.0,240.0,7617.0,10531.0,194.0,2133.0,2640.0,46.0,2.0,4.0,2.0,0.0,2.0,6.0
LOLTMNT04_152648,complete,EBL,2026.0,0.0,1.0,16.02,Red,mid,Enapon,Inferno Drive Tokyo,0.0,Azir,Lee Sin,Ryze,Nocturne,Renata Glasc,Sion,2540.0,1.0,5.0,2.0,12.0,21.0,19.0,1.0,0.0,0.0,0.0,0.0,0.4961,0.9449,0.0,0.0,23.0,6.0,9.0,63.0,18865.0,13408.0,316.7244,17525.0,399.0,395.0,4.0,9.4252,3101.0,4738.0,78.0,4123.0,5419.0,95.0,-1022.0,-681.0,-17.0,0.0,0.0,1.0,1.0,0.0,0.0,4842.0,7581.0,137.0,6106.0,7989.0,147.0,-1264.0,-408.0,-10.0,0.0,0.0,1.0,2.0,0.0,0.0,6673.0,10314.0,192.0,8300.0,11216.0,210.0,-1627.0,-902.0,-18.0,0.0,0.0,1.0,2.0,0.0,0.0,9193.0,13750.0,259.0,10650.0,13887.0,262.0,-1457.0,-137.0,-3.0,1.0,0.0,1.0,3.0,2.0,0.0
LOLTMNT04_151670,complete,EBL,2026.0,0.0,1.0,16.02,Red,mid,Enapon,Inferno Drive Tokyo,0.0,Azir,Lee Sin,Ryze,Ahri,Viktor,Aurora,2232.0,0.0,3.0,6.0,2.0,7.0,25.0,1.0,0.0,0.0,0.0,0.0,0.1882,0.8602,0.0,0.0,15.0,7.0,4.0,41.0,16217.0,11388.0,306.129,15710.0,349.0,349.0,0.0,9.3817,3556.0,5083.0,91.0,3802.0,4579.0,84.0,-246.0,504.0,7.0,0.0,1.0,1.0,1.0,1.0,1.0,5033.0,7182.0,133.0,6438.0,8121.0,136.0,-1405.0,-939.0,-3.0,0.0,1.0,2.0,3.0,2.0,2.0,7665.0,9742.0,183.0,9037.0,10766.0,190.0,-1372.0,-1024.0,-7.0,1.0,1.0,3.0,4.0,2.0,2.0,9636.0,12692.0,239.0,12178.0,14362.0,248.0,-2542.0,-1670.0,-9.0,1.0,1.0,4.0,6.0,2.0,2.0
LOLTMNT01_338306,complete,HW,2026.0,0.0,1.0,16.02,Red,mid,Enapon,Inferno Drive Tokyo,0.0,Galio,Nocturne,Jarvan IV,Jayce,Leona,Braum,1839.0,1.0,3.0,1.0,11.0,26.0,9.0,0.0,0.0,0.0,0.0,0.0,0.8483,1.1093,0.0,0.0,17.0,3.0,8.0,43.0,11827.0,7800.0,254.4861,10310.0,265.0,265.0,0.0,8.646,3581.0,5239.0,101.0,3556.0,4940.0,98.0,25.0,299.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,5482.0,8135.0,154.0,5471.0,7245.0,147.0,11.0,890.0,7.0,1.0,1.0,0.0,1.0,0.0,0.0,7320.0,10925.0,198.0,6931.0,9313.0,179.0,389.0,1612.0,19.0,1.0,4.0,0.0,1.0,1.0,1.0,9685.0,14262.0,240.0,9336.0,13826.0,228.0,349.0,436.0,12.0,3.0,4.0,0.0,1.0,3.0,2.0
LOLTMNT05_176303,complete,LFL,2026.0,0.0,1.0,16.03,Red,mid,Enapon,Inferno Drive Tokyo,0.0,Azir,Lucian,Ezreal,Orianna,Kai'Sa,Zeri,1966.0,0.0,1.0,3.0,2.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.4883,0.9766,0.0,0.0,12.0,1.0,3.0,25.0,13114.0,8828.0,269.4201,12325.0,326.0,326.0,0.0,9.9491,3931.0,5302.0,101.0,3346.0,4923.0,88.0,585.0,379.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0,5665.0,7842.0,152.0,5630.0,7821.0,143.0,35.0,21.0,9.0,1.0,1.0,0.0,1.0,0.0,1.0,7211.0,9808.0,194.0,7375.0,10132.0,191.0,-164.0,-324.0,3.0,1.0,1.0,2.0,1.0,0.0,2.0,9684.0,12887.0,249.0,9464.0,12727.0,220.0,220.0,160.0,29.0,1.0,1.0,2.0,2.0,1.0,3.0
LOLTMNT05_175361,complete,LFL,2026.0,0.0,1.0,16.03,Red,mid,Enapon,Inferno Drive Tokyo,0.0,Ahri,Yunara,LeBlanc,Rumble,Sivir,Lucian,2130.0,1.0,5.0,2.0,7.0,20.0,13.0,0.0,0.0,0.0,0.0,0.0,0.5634,0.9296,0.0,0.0,29.0,9.0,12.0,69.0,14272.0,9651.0,271.8592,13060.0,308.0,308.0,0.0,8.6761,3274.0,4418.0,81.0,3784.0,4879.0,94.0,-510.0,-461.0,-13.0,0.0,1.0,2.0,1.0,1.0,0.0,5492.0,7630.0,145.0,5456.0,7845.0,149.0,36.0,-215.0,-4.0,1.0,1.0,2.0,1.0,1.0,0.0,8038.0,11176.0,199.0,7234.0,10537.0,196.0,804.0,639.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,10260.0,14073.0,234.0,8441.0,13504.0,215.0,1819.0,569.0,19.0,4.0,4.0,2.0,1.0,2.0,3.0
