gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_164335,complete,LEC,2026.0,0.0,1.0,16.01,Blue,mid,Enga,Leviatan,0.0,Ryze,Jayce,Rumble,Gwen,Orianna,Cassiopeia,1909.0,0.0,1.0,3.0,4.0,5.0,22.0,0.0,0.0,0.0,0.0,1.0,0.1572,0.8486,0.0,0.0,12.0,1.0,6.0,25.0,12377.0,8207.0,257.9466,12300.0,312.0,312.0,0.0,9.8062,3478.0,5378.0,97.0,3588.0,5189.0,104.0,-110.0,189.0,-7.0,0.0,1.0,0.0,0.0,0.0,0.0,5036.0,7864.0,147.0,6172.0,7976.0,159.0,-1136.0,-112.0,-12.0,0.0,1.0,1.0,1.0,1.0,0.0,6640.0,10574.0,189.0,8705.0,11045.0,213.0,-2065.0,-471.0,-24.0,0.0,3.0,1.0,2.0,3.0,0.0,8569.0,13338.0,248.0,10734.0,14057.0,273.0,-2165.0,-719.0,-25.0,0.0,3.0,1.0,2.0,3.0,0.0
LOLTMNT06_163462,complete,AL,2026.0,0.0,1.0,16.01,Blue,mid,Enga,Leviatan,0.0,Taliyah,Jayce,Rumble,Ambessa,Akali,Orianna,2649.0,0.0,1.0,6.0,7.0,17.0,28.0,0.0,0.0,0.0,0.0,0.0,0.3851,1.0193,0.0,0.0,13.0,13.0,10.0,60.0,15308.0,9628.0,218.0747,15000.0,359.0,350.0,9.0,8.1314,3682.0,5481.0,110.0,3550.0,5109.0,103.0,132.0,372.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5189.0,7860.0,157.0,5820.0,8456.0,164.0,-631.0,-596.0,-7.0,0.0,0.0,1.0,1.0,0.0,0.0,6960.0,10380.0,204.0,8542.0,12127.0,218.0,-1582.0,-1747.0,-14.0,0.0,0.0,1.0,2.0,0.0,0.0,8535.0,12618.0,245.0,10462.0,14672.0,267.0,-1927.0,-2054.0,-22.0,0.0,0.0,1.0,2.0,3.0,0.0
LOLTMNT01_327563,complete,HLL,2026.0,0.0,1.0,16.02,Blue,mid,Enga,Leviatan,0.0,Ryze,Jayce,Varus,Orianna,Neeko,Ezreal,1842.0,0.0,2.0,2.0,7.0,11.0,19.0,0.0,0.0,0.0,0.0,1.0,0.3583,0.9772,0.0,0.0,17.0,2.0,6.0,28.0,12179.0,8146.0,265.342,11350.0,292.0,292.0,0.0,9.5114,4113.0,5126.0,101.0,3616.0,5355.0,104.0,497.0,-229.0,-3.0,1.0,0.0,0.0,0.0,1.0,0.0,5882.0,7917.0,142.0,5575.0,7916.0,156.0,307.0,1.0,-14.0,1.0,2.0,0.0,1.0,2.0,1.0,8039.0,11312.0,205.0,7640.0,10487.0,212.0,399.0,825.0,-7.0,1.0,4.0,0.0,1.0,2.0,1.0,9729.0,15466.0,247.0,9491.0,12400.0,263.0,238.0,3066.0,-16.0,1.0,7.0,1.0,1.0,2.0,2.0
LOLTMNT01_327594,complete,HLL,2026.0,0.0,1.0,16.02,Red,mid,Enga,Leviatan,0.0,Orianna,Varus,Jayce,Qiyana,Akali,Azir,1491.0,0.0,0.0,2.0,1.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0805,0.7646,0.0,0.0,16.0,6.0,6.0,36.0,8903.0,5586.0,224.7887,8700.0,243.0,243.0,0.0,9.7787,3733.0,5354.0,109.0,3686.0,5275.0,107.0,47.0,79.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5457.0,7843.0,162.0,5825.0,8071.0,167.0,-368.0,-228.0,-5.0,0.0,0.0,0.0,1.0,0.0,0.0,7085.0,10110.0,201.0,8935.0,11509.0,233.0,-1850.0,-1399.0,-32.0,0.0,1.0,1.0,2.0,3.0,0.0,8903.0,12285.0,243.0,12298.0,15187.0,280.0,-3395.0,-2902.0,-37.0,0.0,1.0,2.0,3.0,7.0,0.0
LOLTMNT01_329021,complete,HLL,2026.0,0.0,1.0,16.02,Blue,mid,Enga,Leviatan,1.0,Cassiopeia,Malphite,Ambessa,Orianna,Corki,Braum,2234.0,1.0,6.0,1.0,13.0,25.0,12.0,0.0,0.0,0.0,0.0,1.0,0.6714,0.9937,0.0,0.0,20.0,11.0,6.0,62.0,15659.0,10826.0,290.761,14250.0,314.0,306.0,8.0,8.4333,4148.0,5047.0,97.0,3450.0,4939.0,100.0,698.0,108.0,-3.0,2.0,0.0,0.0,0.0,0.0,0.0,5861.0,7111.0,139.0,5159.0,7011.0,130.0,702.0,100.0,9.0,2.0,4.0,0.0,1.0,0.0,2.0,7438.0,9941.0,188.0,7150.0,10127.0,192.0,288.0,-186.0,-4.0,2.0,4.0,1.0,1.0,0.0,2.0,9960.0,14592.0,232.0,8535.0,13302.0,223.0,1425.0,1290.0,9.0,3.0,7.0,1.0,1.0,1.0,4.0
LOLTMNT01_335968,complete,ROL,2026.0,0.0,1.0,16.02,Red,mid,Enga,Leviatan,1.0,Cassiopeia,Malphite,Qiyana,Ambessa,Pantheon,Wukong,2137.0,1.0,3.0,5.0,10.0,21.0,10.0,1.0,0.0,0.0,0.0,0.0,0.5896,0.8704,0.0,0.0,20.0,5.0,7.0,49.0,13352.0,8717.0,244.745,12375.0,282.0,282.0,0.0,7.9176,3340.0,5048.0,89.0,3426.0,5038.0,96.0,-86.0,10.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,5317.0,7562.0,132.0,5122.0,7693.0,143.0,195.0,-131.0,-11.0,1.0,2.0,1.0,0.0,1.0,1.0,7739.0,10914.0,201.0,7054.0,10734.0,208.0,685.0,180.0,-7.0,1.0,2.0,1.0,0.0,1.0,1.0,8971.0,14096.0,226.0,9898.0,14057.0,249.0,-927.0,39.0,-23.0,1.0,5.0,2.0,2.0,3.0,2.0
LOLTMNT01_338317,complete,ROL,2026.0,0.0,1.0,16.02,Blue,mid,Enga,Leviatan,1.0,Aurora,Malphite,Azir,Ryze,Ezreal,Yunara,1993.0,0.0,3.0,5.0,3.0,9.0,29.0,0.0,0.0,0.0,0.0,0.0,0.2709,1.144,0.0,0.0,15.0,2.0,6.0,34.0,12739.0,8398.0,252.8249,12350.0,294.0,294.0,0.0,8.851,3553.0,5078.0,102.0,3598.0,5519.0,95.0,-45.0,-441.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,5103.0,7546.0,153.0,5714.0,8760.0,152.0,-611.0,-1214.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,7094.0,9659.0,198.0,9021.0,11322.0,194.0,-1927.0,-1663.0,4.0,1.0,0.0,3.0,3.0,6.0,0.0,10461.0,12745.0,240.0,10144.0,12443.0,211.0,317.0,302.0,29.0,3.0,2.0,3.0,3.0,8.0,1.0
LOLTMNT04_152760,complete,AL,2026.0,0.0,1.0,16.02,Blue,mid,Enga,Leviatan,0.0,Orianna,Jayce,Varus,Ryze,Corki,Xayah,1835.0,1.0,8.0,1.0,9.0,20.0,3.0,0.0,0.0,0.0,0.0,1.0,0.654,0.752,0.0,0.0,18.0,8.0,7.0,45.0,14960.0,10941.0,357.7439,13375.0,295.0,293.0,2.0,9.6458,3996.0,5299.0,101.0,3420.0,4903.0,95.0,576.0,396.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,6101.0,7804.0,151.0,5347.0,7237.0,141.0,754.0,567.0,10.0,2.0,1.0,0.0,0.0,0.0,1.0,8876.0,10638.0,197.0,7311.0,10007.0,194.0,1565.0,631.0,3.0,4.0,1.0,1.0,0.0,0.0,2.0,10951.0,13219.0,248.0,9186.0,12896.0,248.0,1765.0,323.0,0.0,5.0,2.0,1.0,0.0,0.0,2.0
LOLTMNT04_152770,complete,LFL,2026.0,0.0,2.0,16.02,Blue,mid,Enga,Leviatan,0.0,Cassiopeia,Jayce,Varus,Ambessa,Xayah,Sivir,2355.0,1.0,4.0,0.0,10.0,23.0,12.0,0.0,0.0,0.0,0.0,0.0,0.586,0.8917,0.0,0.0,21.0,7.0,6.0,50.0,15567.0,10487.0,267.1847,14000.0,320.0,306.0,14.0,8.1529,4095.0,5109.0,94.0,3435.0,4890.0,84.0,660.0,219.0,10.0,1.0,1.0,0.0,1.0,0.0,1.0,6394.0,7953.0,144.0,4971.0,7303.0,132.0,1423.0,650.0,12.0,2.0,1.0,0.0,1.0,0.0,1.0,8479.0,12713.0,205.0,7080.0,9874.0,176.0,1399.0,2839.0,29.0,2.0,2.0,0.0,1.0,2.0,1.0,9983.0,14874.0,237.0,9318.0,14311.0,229.0,665.0,563.0,8.0,2.0,3.0,0.0,2.0,3.0,1.0
LOLTMNT02_346794,complete,LJL,2026.0,0.0,1.0,16.02,Blue,mid,Enga,Leviatan,0.0,Ryze,Varus,Jayce,Ambessa,Lucian,Karma,2130.0,0.0,1.0,2.0,2.0,5.0,17.0,0.0,0.0,0.0,0.0,1.0,0.1408,0.6197,0.0,0.0,9.0,7.0,6.0,38.0,13843.0,9222.0,259.7746,13000.0,380.0,368.0,12.0,10.7042,4164.0,5281.0,106.0,3924.0,4751.0,103.0,240.0,530.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,5772.0,7636.0,157.0,5510.0,7419.0,154.0,262.0,217.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,7466.0,10362.0,212.0,7535.0,10590.0,216.0,-69.0,-228.0,-4.0,1.0,0.0,0.0,1.0,0.0,1.0,9836.0,15409.0,275.0,9738.0,13077.0,256.0,98.0,2332.0,19.0,1.0,2.0,0.0,2.0,1.0,2.0
LOLTMNT02_348808,complete,LJL,2026.0,0.0,2.0,16.02,Red,mid,Enga,Leviatan,1.0,Sylas,Malphite,Azir,Rumble,Gwen,Galio,1963.0,1.0,7.0,1.0,7.0,20.0,8.0,2.0,1.0,0.0,0.0,0.0,0.6113,0.8558,0.0,0.0,15.0,3.0,8.0,43.0,13400.0,9120.0,278.757,11250.0,255.0,251.0,4.0,7.7942,3171.0,5079.0,83.0,3502.0,5497.0,100.0,-331.0,-418.0,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,4872.0,7949.0,141.0,5462.0,8295.0,147.0,-590.0,-346.0,-6.0,0.0,0.0,1.0,1.0,0.0,0.0,7500.0,11089.0,185.0,7433.0,10194.0,183.0,67.0,895.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,9505.0,13247.0,217.0,9436.0,12227.0,228.0,69.0,1020.0,-11.0,5.0,3.0,1.0,3.0,1.0,1.0
LOLTMNT02_346793,complete,LJL,2026.0,0.0,3.0,16.02,Blue,mid,Enga,Leviatan,0.0,Zoe,Jayce,Varus,Malphite,Kennen,Sejuani,2171.0,1.0,11.0,0.0,5.0,23.0,8.0,2.0,1.0,0.0,0.0,1.0,0.6357,0.8567,0.0,0.0,26.0,11.0,8.0,75.0,17799.0,13095.0,361.907,15850.0,303.0,303.0,0.0,8.374,4197.0,5515.0,103.0,3353.0,4945.0,91.0,844.0,570.0,12.0,1.0,1.0,0.0,0.0,0.0,1.0,6104.0,8336.0,162.0,5467.0,7814.0,138.0,637.0,522.0,24.0,1.0,1.0,0.0,1.0,0.0,1.0,9031.0,11865.0,215.0,7229.0,9953.0,180.0,1802.0,1912.0,35.0,2.0,2.0,0.0,1.0,0.0,3.0,11296.0,13834.0,236.0,8789.0,11953.0,217.0,2507.0,1881.0,19.0,5.0,3.0,0.0,1.0,1.0,3.0
LOLTMNT02_348809,complete,LJL,2026.0,0.0,4.0,16.02,Blue,mid,Enga,Leviatan,0.0,Syndra,Jayce,Varus,Karma,Nautilus,Braum,3098.0,1.0,7.0,1.0,9.0,32.0,15.0,1.0,0.0,0.0,0.0,0.0,0.6198,0.9103,0.0,0.0,31.0,11.0,11.0,65.0,22235.0,15639.0,302.8857,20325.0,495.0,479.0,16.0,9.5868,3607.0,5047.0,98.0,3346.0,4671.0,87.0,261.0,376.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,5992.0,8285.0,150.0,4968.0,7252.0,135.0,1024.0,1033.0,15.0,2.0,2.0,0.0,0.0,0.0,0.0,8769.0,11388.0,210.0,6783.0,9607.0,182.0,1986.0,1781.0,28.0,3.0,3.0,0.0,0.0,0.0,1.0,10600.0,14584.0,267.0,8821.0,12455.0,232.0,1779.0,2129.0,35.0,3.0,4.0,0.0,0.0,2.0,2.0
LOLTMNT05_175414,complete,PRM,2026.0,0.0,1.0,16.03,Blue,mid,Enga,Leviatan,1.0,Orianna,Malphite,Ambessa,Akali,Azir,Ryze,1744.0,0.0,0.0,4.0,5.0,7.0,21.0,0.0,0.0,0.0,0.0,0.0,0.2408,0.9633,0.0,0.0,14.0,3.0,2.0,28.0,9536.0,5703.0,196.2041,8400.0,239.0,235.0,4.0,8.2225,3558.0,5053.0,100.0,3602.0,4976.0,102.0,-44.0,77.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,5110.0,7212.0,142.0,5909.0,7813.0,156.0,-799.0,-601.0,-14.0,0.0,1.0,1.0,1.0,0.0,1.0,6878.0,9625.0,192.0,8054.0,10316.0,202.0,-1176.0,-691.0,-10.0,0.0,1.0,1.0,1.0,3.0,1.0,8467.0,11761.0,216.0,10483.0,13031.0,241.0,-2016.0,-1270.0,-25.0,0.0,4.0,2.0,3.0,5.0,2.0
LOLTMNT05_175422,complete,PRM,2026.0,0.0,2.0,16.03,Blue,mid,Enga,Leviatan,0.0,Cassiopeia,Jayce,Varus,Ambessa,Xayah,Kai'Sa,1772.0,0.0,3.0,2.0,2.0,9.0,22.0,0.0,0.0,0.0,0.0,0.0,0.3047,1.0497,0.0,0.0,15.0,5.0,5.0,35.0,10978.0,7088.0,240.0,10125.0,251.0,251.0,0.0,8.4989,3438.0,4955.0,97.0,3489.0,4270.0,82.0,-51.0,685.0,15.0,0.0,0.0,0.0,0.0,3.0,0.0,5214.0,7527.0,144.0,5315.0,6883.0,130.0,-101.0,644.0,14.0,0.0,2.0,0.0,1.0,3.0,1.0,7684.0,11121.0,193.0,7616.0,10366.0,197.0,68.0,755.0,-4.0,2.0,2.0,1.0,1.0,3.0,1.0,9343.0,15131.0,233.0,10231.0,15618.0,253.0,-888.0,-487.0,-20.0,2.0,2.0,1.0,1.0,6.0,1.0
