gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_176959,complete,LFL,2026.0,0.0,1.0,16.03,Red,sup,Envy,Onion Team,0.0,Lulu,Naafiri,Zaahen,Corki,Akali,Aurora,1621.0,1.0,1.0,2.0,10.0,17.0,8.0,0.0,0.0,0.0,0.0,0.0,0.6292,0.9254,0.0,0.0,34.0,10.0,7.0,86.0,7157.0,3575.0,132.3257,5430.0,27.0,27.0,0.0,0.9994,2354.0,2842.0,17.0,2494.0,2903.0,16.0,-140.0,-61.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3733.0,4396.0,22.0,3644.0,4491.0,23.0,89.0,-95.0,-1.0,1.0,0.0,1.0,0.0,3.0,0.0,5174.0,6307.0,26.0,4705.0,6191.0,25.0,469.0,116.0,1.0,1.0,4.0,1.0,0.0,5.0,0.0,6325.0,7714.0,27.0,5950.0,7987.0,31.0,375.0,-273.0,-4.0,1.0,7.0,2.0,0.0,7.0,1.0
LOLTMNT03_345376,complete,LJL,2026.0,1.0,1.0,16.03,Red,sup,Envy,Onion Team,0.0,Braum,Yasuo,Yone,Bard,Nocturne,Shen,1544.0,1.0,0.0,2.0,17.0,20.0,10.0,0.0,0.0,0.0,0.0,1.0,0.7772,1.1658,0.0,0.0,37.0,11.0,13.0,83.0,8372.0,4947.0,192.2409,6425.0,28.0,28.0,0.0,1.0881,2447.0,2604.0,14.0,2224.0,2545.0,19.0,223.0,59.0,-5.0,0.0,1.0,0.0,0.0,0.0,1.0,4033.0,4479.0,24.0,3551.0,3588.0,24.0,482.0,891.0,0.0,0.0,5.0,1.0,0.0,3.0,2.0,5605.0,5859.0,25.0,4688.0,4888.0,29.0,917.0,971.0,-4.0,0.0,9.0,1.0,0.0,4.0,3.0,7804.0,8747.0,28.0,6202.0,7134.0,31.0,1602.0,1613.0,-3.0,0.0,12.0,2.0,1.0,5.0,4.0
LOLTMNT02_358162,complete,LCKC,2026.0,0.0,1.0,16.03,Red,sup,Envy,Onion Team,0.0,Leona,Rumble,Karma,Qiyana,Alistar,Braum,1706.0,0.0,0.0,2.0,3.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.1055,0.6331,0.0,0.0,38.0,12.0,11.0,89.0,6603.0,2847.0,100.129,6370.0,41.0,41.0,0.0,1.442,2036.0,2604.0,16.0,2535.0,3077.0,14.0,-499.0,-473.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3261.0,4228.0,24.0,4066.0,3905.0,16.0,-805.0,323.0,8.0,0.0,2.0,1.0,0.0,1.0,1.0,4603.0,5901.0,34.0,5543.0,5291.0,18.0,-940.0,610.0,16.0,0.0,2.0,1.0,0.0,2.0,1.0,5670.0,6472.0,39.0,6570.0,6088.0,19.0,-900.0,384.0,20.0,0.0,2.0,1.0,0.0,2.0,1.0
LOLTMNT02_358170,complete,LCKC,2026.0,0.0,2.0,16.03,Red,sup,Envy,Onion Team,0.0,Alistar,Rumble,Karma,Qiyana,Nautilus,Braum,1613.0,0.0,0.0,3.0,8.0,10.0,24.0,0.0,0.0,0.0,0.0,0.0,0.372,1.2647,0.0,0.0,35.0,13.0,9.0,93.0,6789.0,3223.0,119.8884,6305.0,24.0,24.0,0.0,0.8927,2278.0,2340.0,11.0,2415.0,2740.0,12.0,-137.0,-400.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,4085.0,4067.0,17.0,3711.0,4123.0,19.0,374.0,-56.0,-2.0,0.0,5.0,0.0,0.0,4.0,2.0,5156.0,5042.0,23.0,5188.0,5374.0,22.0,-32.0,-332.0,1.0,0.0,5.0,0.0,0.0,7.0,2.0,6388.0,7651.0,24.0,7767.0,9126.0,25.0,-1379.0,-1475.0,-1.0,0.0,7.0,2.0,1.0,15.0,3.0
LOLTMNT03_346135,complete,HW,2026.0,0.0,1.0,16.03,Red,sup,Envy,Onion Team,0.0,Karma,Rumble,Caitlyn,Varus,Syndra,Akali,2304.0,0.0,1.0,2.0,7.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.651,0.0,0.0,65.0,17.0,13.0,142.0,9245.0,4269.0,111.1719,8405.0,45.0,45.0,0.0,1.1719,2410.0,2829.0,20.0,2322.0,2680.0,8.0,88.0,149.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3436.0,3734.0,27.0,3874.0,3687.0,12.0,-438.0,47.0,15.0,0.0,0.0,0.0,0.0,2.0,0.0,4566.0,4810.0,30.0,5303.0,5161.0,16.0,-737.0,-351.0,14.0,0.0,2.0,1.0,0.0,4.0,2.0,5698.0,6426.0,31.0,6573.0,6118.0,20.0,-875.0,308.0,11.0,0.0,4.0,1.0,0.0,6.0,2.0
LOLTMNT05_178084,complete,AL,2026.0,1.0,2.0,16.03,Red,sup,Envy,Onion Team,0.0,Neeko,Rumble,Caitlyn,Varus,Akali,Syndra,1627.0,0.0,0.0,6.0,9.0,15.0,32.0,0.0,0.0,0.0,0.0,0.0,0.5532,1.7333,0.0,0.0,30.0,10.0,5.0,73.0,7508.0,3913.0,144.3024,8215.0,54.0,54.0,0.0,1.9914,2407.0,2242.0,17.0,3203.0,2396.0,14.0,-796.0,-154.0,3.0,0.0,1.0,2.0,1.0,5.0,1.0,3684.0,4202.0,36.0,4814.0,4163.0,21.0,-1130.0,39.0,15.0,0.0,1.0,2.0,1.0,7.0,1.0,5426.0,5676.0,45.0,6289.0,6048.0,25.0,-863.0,-372.0,20.0,0.0,5.0,3.0,1.0,11.0,3.0,6713.0,7973.0,50.0,9110.0,10038.0,26.0,-2397.0,-2065.0,24.0,0.0,7.0,5.0,2.0,18.0,4.0
LOLTMNT06_170025,complete,NLC,2026.0,0.0,1.0,16.04,Blue,mid,Envy,LOUD,0.0,Ryze,Varus,Jayce,Pantheon,Neeko,Bard,2013.0,0.0,0.0,3.0,1.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0894,0.6259,0.0,0.0,17.0,4.0,5.0,41.0,11729.0,7347.0,218.9866,11675.0,282.0,274.0,8.0,8.4054,3257.0,4867.0,85.0,3609.0,5077.0,95.0,-352.0,-210.0,-10.0,0.0,1.0,0.0,0.0,1.0,0.0,4966.0,7617.0,138.0,5401.0,7877.0,150.0,-435.0,-260.0,-12.0,0.0,1.0,0.0,0.0,2.0,0.0,7524.0,10892.0,206.0,7258.0,10845.0,209.0,266.0,47.0,-3.0,0.0,1.0,0.0,0.0,4.0,0.0,8930.0,12786.0,242.0,8476.0,12174.0,233.0,454.0,612.0,9.0,0.0,1.0,0.0,0.0,4.0,0.0
LOLTMNT06_170026,complete,LFL,2026.0,0.0,2.0,16.04,Red,mid,Envy,LOUD,0.0,Aurora,Varus,Jayce,Pantheon,Bard,Neeko,1986.0,1.0,6.0,1.0,6.0,18.0,11.0,1.0,0.0,0.0,0.0,0.0,0.5438,0.8761,0.0,0.0,15.0,5.0,3.0,41.0,15120.0,10793.0,326.0725,12825.0,294.0,294.0,0.0,8.8822,3677.0,4850.0,86.0,3574.0,4661.0,85.0,103.0,189.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5349.0,7160.0,132.0,5332.0,7543.0,136.0,17.0,-383.0,-4.0,1.0,0.0,1.0,1.0,2.0,1.0,7986.0,9957.0,178.0,6754.0,9661.0,179.0,1232.0,296.0,-1.0,2.0,1.0,1.0,1.0,2.0,2.0,9733.0,12545.0,226.0,8546.0,12377.0,236.0,1187.0,168.0,-10.0,2.0,1.0,1.0,1.0,2.0,2.0
LOLTMNT05_180042,complete,AL,2026.0,1.0,3.0,16.04,Red,mid,Envy,LOUD,0.0,Mel,Jayce,Varus,Ambessa,LeBlanc,Akali,2210.0,1.0,3.0,4.0,4.0,20.0,14.0,1.0,0.0,0.0,0.0,0.0,0.543,0.9231,0.0,0.0,21.0,7.0,7.0,43.0,14154.0,9370.0,254.3891,12275.0,301.0,301.0,0.0,8.1719,3615.0,4816.0,94.0,3980.0,5669.0,98.0,-365.0,-853.0,-4.0,0.0,0.0,1.0,1.0,0.0,0.0,5948.0,8545.0,153.0,5371.0,7801.0,138.0,577.0,744.0,15.0,1.0,0.0,1.0,1.0,0.0,1.0,7546.0,10680.0,200.0,7578.0,10770.0,190.0,-32.0,-90.0,10.0,1.0,0.0,2.0,2.0,1.0,1.0,9290.0,12705.0,236.0,9493.0,13398.0,223.0,-203.0,-693.0,13.0,1.0,1.0,3.0,2.0,6.0,2.0
LOLTMNT03_350075,complete,LPLOL,2026.0,0.0,4.0,16.04,Red,mid,Envy,LOUD,1.0,Syndra,Malphite,Sylas,Bard,LeBlanc,Zaahen,2461.0,1.0,2.0,2.0,6.0,18.0,14.0,0.0,0.0,0.0,0.0,0.0,0.4388,0.7802,0.0,0.0,23.0,4.0,7.0,51.0,14947.0,9651.0,235.2946,12675.0,335.0,325.0,10.0,8.1674,3479.0,5141.0,101.0,3872.0,5436.0,106.0,-393.0,-295.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,5162.0,7809.0,156.0,5491.0,7885.0,156.0,-329.0,-76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7028.0,9768.0,188.0,9001.0,10608.0,198.0,-1973.0,-840.0,-10.0,2.0,0.0,1.0,3.0,1.0,1.0,8755.0,11845.0,231.0,10561.0,12469.0,234.0,-1806.0,-624.0,-3.0,2.0,0.0,1.0,3.0,2.0,1.0
