gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT04_150239,complete,LEC,2026.0,0.0,1.0,16.01,Blue,bot,Esko,BRUTE,1.0,Corki,Malphite,Gwen,Ambessa,Nocturne,Zaahen,2118.0,1.0,13.0,2.0,9.0,32.0,13.0,3.0,1.0,0.0,0.0,1.0,0.9065,1.2748,0.0,0.0,18.0,7.0,5.0,52.0,22282.0,17686.0,501.0198,18525.0,343.0,321.0,22.0,9.7167,4252.0,4221.0,87.0,3085.0,3633.0,79.0,1167.0,588.0,8.0,2.0,1.0,0.0,0.0,0.0,2.0,6902.0,6735.0,135.0,6328.0,6033.0,135.0,574.0,702.0,0.0,2.0,5.0,1.0,2.0,0.0,3.0,10259.0,9806.0,194.0,9269.0,8796.0,189.0,990.0,1010.0,5.0,4.0,5.0,1.0,3.0,1.0,3.0,13716.0,13160.0,247.0,11067.0,10786.0,224.0,2649.0,2374.0,23.0,7.0,6.0,1.0,3.0,4.0,5.0
LOLTMNT01_332400,complete,HLL,2026.0,0.0,1.0,16.02,Blue,bot,Esko,BRUTE,1.0,Varus,Malphite,Vladimir,Syndra,Wukong,Jarvan IV,1789.0,1.0,4.0,0.0,10.0,23.0,12.0,1.0,0.0,0.0,0.0,1.0,0.7714,1.1738,0.0,0.0,14.0,5.0,5.0,26.0,15599.0,11674.0,391.526,13525.0,271.0,267.0,4.0,9.0889,3782.0,3727.0,81.0,2994.0,3494.0,70.0,788.0,233.0,11.0,2.0,0.0,0.0,0.0,0.0,2.0,6167.0,6036.0,131.0,5358.0,6434.0,130.0,809.0,-398.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,9302.0,8708.0,190.0,7493.0,8902.0,185.0,1809.0,-194.0,5.0,2.0,1.0,0.0,0.0,1.0,3.0,11210.0,11185.0,239.0,9722.0,11378.0,236.0,1488.0,-193.0,3.0,2.0,2.0,0.0,0.0,4.0,4.0
LOLTMNT01_334977,complete,LCP,2026.0,0.0,1.0,16.02,Red,bot,Esko,BRUTE,0.0,Kai'Sa,Pantheon,Viego,Ryze,Galio,Akali,1369.0,1.0,10.0,1.0,7.0,22.0,7.0,2.0,1.0,0.0,0.0,1.0,0.9642,1.271,0.0,0.0,10.0,2.0,2.0,24.0,14309.0,11241.0,492.6662,12750.0,191.0,191.0,0.0,8.3711,3977.0,3700.0,73.0,3786.0,3733.0,83.0,191.0,-33.0,-10.0,2.0,0.0,1.0,1.0,2.0,2.0,6738.0,6663.0,116.0,6005.0,5813.0,122.0,733.0,850.0,-6.0,3.0,3.0,1.0,2.0,2.0,4.0,11538.0,10032.0,176.0,7969.0,8248.0,176.0,3569.0,1784.0,0.0,7.0,4.0,1.0,2.0,2.0,5.0,,,,,,,,,,,,,,,
LOLTMNT01_336035,complete,LCP,2026.0,0.0,2.0,16.02,Blue,bot,Esko,BRUTE,1.0,Aphelios,Lee Sin,Malphite,Viego,Pantheon,Vi,1401.0,1.0,12.0,4.0,9.0,29.0,13.0,1.0,0.0,0.0,0.0,1.0,1.242,1.7987,0.0,0.0,11.0,3.0,3.0,25.0,15198.0,12064.0,516.6595,12725.0,196.0,195.0,1.0,8.394,4605.0,4404.0,85.0,3207.0,3420.0,64.0,1398.0,984.0,21.0,4.0,0.0,1.0,0.0,2.0,3.0,8193.0,7004.0,123.0,5502.0,5548.0,100.0,2691.0,1456.0,23.0,6.0,3.0,2.0,2.0,2.0,6.0,11164.0,9982.0,172.0,7935.0,7090.0,134.0,3229.0,2892.0,38.0,7.0,5.0,3.0,3.0,2.0,9.0,,,,,,,,,,,,,,,
LOLTMNT05_175606,complete,LIT,2026.0,0.0,1.0,16.03,Red,bot,Esko,BRUTE,0.0,Jhin,Renekton,Veigar,Ryze,K'Sante,Sion,2094.0,0.0,5.0,3.0,4.0,15.0,26.0,0.0,0.0,0.0,0.0,0.0,0.4298,1.1748,0.0,0.0,16.0,2.0,5.0,32.0,16707.0,12160.0,348.4241,16825.0,320.0,309.0,11.0,9.1691,3577.0,3706.0,88.0,3282.0,3310.0,64.0,295.0,396.0,24.0,0.0,2.0,1.0,1.0,0.0,1.0,6460.0,6242.0,137.0,5557.0,5356.0,107.0,903.0,886.0,30.0,1.0,2.0,1.0,2.0,0.0,1.0,9804.0,9654.0,193.0,7565.0,7811.0,142.0,2239.0,1843.0,51.0,3.0,3.0,1.0,2.0,5.0,3.0,11951.0,12472.0,255.0,10098.0,10474.0,198.0,1853.0,1998.0,57.0,3.0,3.0,1.0,3.0,6.0,3.0
LOLTMNT02_354552,complete,LCS,2026.0,0.0,2.0,16.03,Blue,bot,Esko,BRUTE,1.0,Yunara,Renekton,Veigar,Pantheon,Gwen,Olaf,1928.0,1.0,10.0,3.0,13.0,34.0,23.0,1.0,0.0,0.0,0.0,0.0,1.0581,1.7739,0.0,0.0,11.0,9.0,1.0,35.0,19088.0,14879.0,463.0394,16875.0,266.0,266.0,0.0,8.278,3727.0,4166.0,90.0,2813.0,3397.0,61.0,914.0,769.0,29.0,0.0,1.0,0.0,0.0,0.0,1.0,7825.0,7147.0,142.0,4949.0,5329.0,90.0,2876.0,1818.0,52.0,2.0,4.0,0.0,2.0,1.0,2.0,11279.0,10306.0,190.0,7523.0,7748.0,137.0,3756.0,2558.0,53.0,5.0,5.0,2.0,2.0,2.0,4.0,14235.0,13310.0,224.0,11876.0,11191.0,176.0,2359.0,2119.0,48.0,6.0,9.0,3.0,8.0,4.0,5.0
LOLTMNT02_354593,complete,LCP,2026.0,1.0,3.0,16.03,Blue,bot,Esko,BRUTE,1.0,Kog'Maw,Renekton,Veigar,Syndra,Olaf,Gwen,1561.0,1.0,12.0,2.0,9.0,31.0,6.0,2.0,1.0,0.0,0.0,0.0,1.1915,1.4222,0.0,0.0,9.0,4.0,2.0,16.0,15298.0,11838.0,455.016,13550.0,192.0,192.0,0.0,7.3799,3860.0,3518.0,79.0,3215.0,3246.0,71.0,645.0,272.0,8.0,2.0,1.0,0.0,1.0,0.0,2.0,6629.0,6612.0,122.0,4416.0,4772.0,98.0,2213.0,1840.0,24.0,4.0,3.0,0.0,1.0,0.0,5.0,10068.0,9425.0,169.0,6533.0,6862.0,141.0,3535.0,2563.0,28.0,6.0,5.0,1.0,1.0,1.0,6.0,14034.0,12036.0,186.0,9011.0,9814.0,185.0,5023.0,2222.0,1.0,11.0,6.0,2.0,2.0,2.0,7.0
LOLTMNT02_354658,complete,LES,2026.0,0.0,4.0,16.03,Red,bot,Esko,BRUTE,0.0,Ezreal,Renekton,Veigar,Syndra,Nami,Seraphine,1353.0,1.0,12.0,1.0,8.0,34.0,4.0,3.0,0.0,0.0,0.0,1.0,1.5078,1.6851,0.0,0.0,8.0,0.0,3.0,9.0,13958.0,10922.0,484.3459,12308.0,206.0,206.0,0.0,9.1353,4658.0,3687.0,82.0,3052.0,3031.0,63.0,1606.0,656.0,19.0,4.0,2.0,1.0,0.0,1.0,4.0,8011.0,6571.0,130.0,4869.0,5044.0,103.0,3142.0,1527.0,27.0,7.0,4.0,1.0,0.0,1.0,5.0,11896.0,10199.0,189.0,6607.0,6781.0,136.0,5289.0,3418.0,53.0,9.0,8.0,1.0,0.0,1.0,7.0,,,,,,,,,,,,,,,
LOLTMNT03_344416,complete,LCS,2026.0,0.0,1.0,16.03,Red,bot,Esko,BRUTE,0.0,Jinx,Varus,Viego,Ryze,Taliyah,Mel,1868.0,1.0,8.0,3.0,13.0,32.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0278,1.4454,0.0,0.0,12.0,3.0,2.0,18.0,17641.0,13555.0,435.3854,15800.0,296.0,288.0,8.0,9.5075,3531.0,3787.0,94.0,4453.0,3595.0,97.0,-922.0,192.0,-3.0,0.0,0.0,1.0,2.0,0.0,0.0,7527.0,5920.0,135.0,6873.0,5455.0,139.0,654.0,465.0,-4.0,2.0,3.0,1.0,3.0,0.0,2.0,10257.0,8626.0,177.0,8959.0,7159.0,181.0,1298.0,1467.0,-4.0,4.0,5.0,2.0,3.0,0.0,4.0,13344.0,12252.0,225.0,12112.0,10090.0,224.0,1232.0,2162.0,1.0,6.0,9.0,2.0,5.0,0.0,5.0
LOLTMNT02_356881,complete,LCK,2026.0,0.0,2.0,16.03,Blue,bot,Esko,BRUTE,0.0,Yunara,Varus,Viego,Ryze,Lee Sin,Galio,1450.0,1.0,8.0,0.0,10.0,32.0,4.0,1.0,0.0,0.0,0.0,1.0,1.3241,1.4897,1.0,0.0,10.0,2.0,4.0,18.0,14404.0,11170.0,462.2069,12900.0,243.0,238.0,5.0,10.0552,3775.0,3677.0,79.0,3010.0,2719.0,70.0,765.0,958.0,9.0,2.0,1.0,0.0,0.0,0.0,2.0,6918.0,6689.0,129.0,4374.0,4538.0,110.0,2544.0,2151.0,19.0,4.0,5.0,0.0,0.0,0.0,5.0,10567.0,9862.0,197.0,6589.0,7130.0,154.0,3978.0,2732.0,43.0,6.0,8.0,0.0,0.0,0.0,7.0,14404.0,12538.0,243.0,8278.0,9931.0,205.0,6126.0,2607.0,38.0,8.0,10.0,0.0,0.0,0.0,7.0
