gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_164183,complete,AL,2026.0,0.0,1.0,16.01,Blue,top,Evi,Fukuoka SoftBank HAWKS gaming,1.0,K'Sante,Ambessa,Sylas,Bard,Azir,Renekton,2369.0,0.0,4.0,5.0,4.0,17.0,17.0,0.0,0.0,0.0,0.0,1.0,0.4306,0.8611,0.0,1.0,21.0,7.0,9.0,59.0,13746.0,8638.0,218.7759,12875.0,300.0,296.0,4.0,7.5981,4367.0,5672.0,97.0,3020.0,4312.0,70.0,1347.0,1360.0,27.0,2.0,0.0,0.0,0.0,0.0,2.0,6493.0,10191.0,153.0,4567.0,6986.0,118.0,1926.0,3205.0,35.0,3.0,0.0,0.0,0.0,0.0,3.0,8005.0,13112.0,193.0,6890.0,11125.0,181.0,1115.0,1987.0,12.0,3.0,0.0,0.0,0.0,0.0,3.0,9942.0,16205.0,231.0,9060.0,14702.0,235.0,882.0,1503.0,-4.0,4.0,1.0,0.0,0.0,1.0,3.0
LOLTMNT03_336667,complete,LCK,2026.0,0.0,2.0,16.01,Red,top,Evi,Fukuoka SoftBank HAWKS gaming,1.0,Ornn,Ambessa,Sylas,Azir,Alistar,Neeko,2302.0,0.0,1.0,7.0,6.0,11.0,21.0,0.0,0.0,0.0,0.0,0.0,0.2867,0.8341,0.0,0.0,20.0,7.0,7.0,63.0,11294.0,6322.0,164.7785,11010.0,233.0,233.0,0.0,6.073,3166.0,5074.0,85.0,3606.0,5162.0,91.0,-440.0,-88.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,4509.0,7856.0,123.0,5146.0,8677.0,136.0,-637.0,-821.0,-13.0,0.0,0.0,1.0,0.0,0.0,0.0,6345.0,10705.0,166.0,7203.0,11367.0,182.0,-858.0,-662.0,-16.0,0.0,1.0,2.0,1.0,0.0,1.0,7295.0,11803.0,184.0,8980.0,13562.0,214.0,-1685.0,-1759.0,-30.0,0.0,1.0,4.0,2.0,1.0,1.0
LOLTMNT06_163405,complete,LEC,2026.0,0.0,1.0,16.01,Blue,top,Evi,Fukuoka SoftBank HAWKS gaming,1.0,K'Sante,Malphite,Nocturne,Orianna,Gwen,Kai'Sa,1961.0,0.0,2.0,4.0,2.0,7.0,22.0,0.0,0.0,0.0,0.0,1.0,0.2142,0.8873,0.0,0.0,14.0,6.0,7.0,48.0,12000.0,7724.0,236.3284,11225.0,272.0,272.0,0.0,8.3223,3700.0,5613.0,89.0,3247.0,4852.0,87.0,453.0,761.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,5503.0,8828.0,136.0,5177.0,8078.0,126.0,326.0,750.0,10.0,1.0,0.0,1.0,1.0,0.0,2.0,7247.0,11915.0,188.0,7759.0,11136.0,169.0,-512.0,779.0,19.0,1.0,0.0,2.0,3.0,2.0,2.0,9646.0,14772.0,224.0,11229.0,15566.0,222.0,-1583.0,-794.0,2.0,2.0,0.0,2.0,7.0,2.0,3.0
LOLTMNT06_164458,complete,LEC,2026.0,0.0,2.0,16.01,Red,top,Evi,Fukuoka SoftBank HAWKS gaming,0.0,Rumble,Nocturne,Orianna,Ambessa,Aurora,Galio,1909.0,0.0,2.0,4.0,2.0,10.0,18.0,0.0,0.0,0.0,0.0,0.0,0.3143,0.88,0.0,0.0,13.0,3.0,3.0,40.0,10183.0,6013.0,188.989,9275.0,228.0,216.0,12.0,7.1661,3669.0,4880.0,87.0,3254.0,4362.0,67.0,415.0,518.0,20.0,1.0,1.0,1.0,1.0,0.0,1.0,5582.0,8193.0,138.0,4751.0,7762.0,114.0,831.0,431.0,24.0,1.0,1.0,1.0,1.0,0.0,1.0,7370.0,10979.0,184.0,6238.0,9694.0,144.0,1132.0,1285.0,40.0,1.0,1.0,1.0,1.0,1.0,2.0,8871.0,12979.0,209.0,9048.0,12858.0,158.0,-177.0,121.0,51.0,2.0,2.0,3.0,3.0,8.0,2.0
LOLTMNT01_327352,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,top,Evi,Fukuoka SoftBank HAWKS gaming,1.0,K'Sante,Malphite,Jax,Gwen,Sejuani,Vi,2185.0,1.0,5.0,0.0,8.0,20.0,7.0,1.0,0.0,0.0,0.0,0.0,0.5492,0.7414,0.0,0.0,24.0,6.0,6.0,69.0,15053.0,10320.0,283.3867,13450.0,311.0,311.0,0.0,8.54,3351.0,5255.0,93.0,3671.0,5472.0,101.0,-320.0,-217.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,5035.0,8656.0,138.0,5346.0,9387.0,156.0,-311.0,-731.0,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,7375.0,12442.0,199.0,7488.0,13301.0,227.0,-113.0,-859.0,-28.0,1.0,0.0,0.0,0.0,0.0,0.0,9463.0,15948.0,257.0,9541.0,16203.0,275.0,-78.0,-255.0,-18.0,1.0,1.0,0.0,1.0,0.0,0.0
LOLTMNT01_326451,complete,LCKC,2026.0,0.0,2.0,16.01,Blue,top,Evi,Fukuoka SoftBank HAWKS gaming,1.0,Zaahen,Malphite,Jax,Gwen,Nautilus,Azir,2167.0,0.0,3.0,6.0,2.0,15.0,24.0,1.0,0.0,0.0,0.0,0.0,0.4153,1.0798,0.0,0.0,16.0,3.0,7.0,46.0,12268.0,7572.0,209.6539,12083.0,258.0,254.0,4.0,7.1435,3428.0,5121.0,77.0,3795.0,5182.0,85.0,-367.0,-61.0,-8.0,1.0,0.0,1.0,1.0,0.0,1.0,4681.0,8374.0,108.0,5827.0,9187.0,149.0,-1146.0,-813.0,-41.0,1.0,0.0,1.0,1.0,0.0,1.0,6794.0,11783.0,159.0,8474.0,12817.0,214.0,-1680.0,-1034.0,-55.0,1.0,0.0,2.0,2.0,0.0,1.0,8108.0,13552.0,190.0,10733.0,16618.0,257.0,-2625.0,-3066.0,-67.0,1.0,0.0,3.0,3.0,2.0,1.0
LOLTMNT01_326468,complete,LCKC,2026.0,0.0,3.0,16.01,Red,top,Evi,Fukuoka SoftBank HAWKS gaming,1.0,Sion,Jax,Gwen,Sylas,Akali,Aurora,2028.0,1.0,3.0,2.0,11.0,19.0,7.0,0.0,0.0,0.0,0.0,0.0,0.5621,0.7692,0.0,0.0,17.0,3.0,4.0,46.0,12310.0,7897.0,233.6391,11350.0,259.0,259.0,0.0,7.6627,3089.0,4821.0,74.0,3192.0,4994.0,82.0,-103.0,-173.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,4544.0,8115.0,117.0,5228.0,8744.0,136.0,-684.0,-629.0,-19.0,0.0,0.0,0.0,0.0,0.0,0.0,6429.0,12063.0,175.0,7644.0,12372.0,198.0,-1215.0,-309.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,8658.0,14351.0,198.0,10444.0,15118.0,232.0,-1786.0,-767.0,-34.0,2.0,2.0,1.0,2.0,1.0,1.0
LOLTMNT01_334153,complete,LJL,2026.0,0.0,1.0,16.02,Blue,top,Evi,Fukuoka SoftBank HAWKS gaming,0.0,K'Sante,Qiyana,Varus,Neeko,Bard,Miss Fortune,1516.0,0.0,2.0,3.0,2.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.1979,0.9103,0.0,0.0,14.0,2.0,4.0,32.0,9739.0,6371.0,252.1504,9650.0,230.0,230.0,0.0,9.1029,3907.0,5201.0,97.0,3485.0,5101.0,85.0,422.0,100.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,5536.0,9269.0,152.0,5538.0,8916.0,144.0,-2.0,353.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,8216.0,12516.0,203.0,9576.0,12236.0,195.0,-1360.0,280.0,8.0,2.0,0.0,1.0,4.0,1.0,2.0,9705.0,14501.0,230.0,12821.0,15955.0,216.0,-3116.0,-1454.0,14.0,2.0,2.0,3.0,7.0,4.0,2.0
LOLTMNT01_333268,complete,LJL,2026.0,0.0,2.0,16.02,Red,top,Evi,Fukuoka SoftBank HAWKS gaming,1.0,Sion,Qiyana,Azir,Gwen,Neeko,Bard,2097.0,0.0,3.0,5.0,5.0,12.0,23.0,0.0,0.0,0.0,0.0,0.0,0.3433,1.0014,0.0,0.0,15.0,3.0,5.0,35.0,11848.0,7295.0,208.7268,11325.0,249.0,249.0,0.0,7.1245,3145.0,4528.0,79.0,3485.0,5475.0,92.0,-340.0,-947.0,-13.0,0.0,1.0,1.0,0.0,0.0,0.0,5488.0,8437.0,133.0,5131.0,9143.0,142.0,357.0,-706.0,-9.0,1.0,1.0,1.0,0.0,0.0,0.0,7735.0,11615.0,174.0,6449.0,11354.0,179.0,1286.0,261.0,-5.0,2.0,5.0,1.0,0.0,0.0,2.0,8977.0,13975.0,209.0,7972.0,13715.0,209.0,1005.0,260.0,0.0,2.0,5.0,2.0,0.0,2.0,2.0
LOLTMNT01_335735,complete,CBLOL,2026.0,0.0,1.0,16.02,Blue,top,Evi,Fukuoka SoftBank HAWKS gaming,0.0,Rumble,Qiyana,Orianna,Jayce,Ezreal,Kai'Sa,2392.0,1.0,0.0,1.0,12.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0,0.4264,0.5518,0.0,0.0,19.0,2.0,7.0,48.0,13756.0,8601.0,215.7441,11925.0,294.0,280.0,14.0,7.3746,3426.0,5348.0,97.0,3505.0,5255.0,99.0,-79.0,93.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,5176.0,8946.0,152.0,5412.0,9152.0,161.0,-236.0,-206.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,7059.0,12551.0,210.0,7684.0,12893.0,222.0,-625.0,-342.0,-12.0,0.0,0.0,0.0,0.0,1.0,0.0,8879.0,16082.0,245.0,9742.0,15440.0,267.0,-863.0,642.0,-22.0,0.0,2.0,0.0,0.0,1.0,0.0
