gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_337997,complete,CBLOL,2026.0,0.0,1.0,16.01,Blue,mid,Feisty,LØS,1.0,Taliyah,Neeko,Akali,Sylas,Varus,Bard,1513.0,1.0,2.0,1.0,7.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.6742,0.7931,0.0,0.0,10.0,7.0,8.0,31.0,11247.0,7885.0,312.69,10350.0,263.0,259.0,4.0,10.4296,3594.0,4721.0,91.0,3392.0,4536.0,86.0,202.0,185.0,5.0,0.0,2.0,1.0,0.0,1.0,1.0,5469.0,7617.0,151.0,5361.0,7249.0,143.0,108.0,368.0,8.0,0.0,2.0,1.0,0.0,2.0,1.0,8287.0,11251.0,214.0,7653.0,10365.0,210.0,634.0,886.0,4.0,1.0,3.0,1.0,0.0,2.0,2.0,11072.0,14877.0,263.0,8992.0,11865.0,237.0,2080.0,3012.0,26.0,2.0,7.0,1.0,0.0,2.0,4.0
LOLTMNT04_147315,complete,TCL,2026.0,0.0,1.0,16.01,Red,mid,Feisty,LØS,0.0,Azir,Varus,Jayce,Rumble,Renekton,K'Sante,1806.0,1.0,5.0,3.0,10.0,22.0,10.0,0.0,0.0,0.0,0.0,0.0,0.7309,1.0631,0.0,0.0,14.0,8.0,10.0,42.0,14509.0,10549.0,350.4651,13075.0,261.0,257.0,4.0,8.6711,3412.0,5043.0,97.0,3514.0,5127.0,101.0,-102.0,-84.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,5403.0,7779.0,155.0,5222.0,8165.0,159.0,181.0,-386.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,8228.0,10365.0,189.0,6454.0,9962.0,191.0,1774.0,403.0,-2.0,2.0,5.0,0.0,0.0,0.0,0.0,11283.0,13301.0,222.0,9425.0,12964.0,230.0,1858.0,337.0,-8.0,3.0,6.0,2.0,2.0,3.0,1.0
LOLTMNT01_327563,complete,HLL,2026.0,0.0,1.0,16.02,Red,mid,Feisty,LØS,1.0,Taliyah,Akali,Malphite,Corki,Bard,Xayah,1842.0,1.0,2.0,3.0,9.0,19.0,11.0,0.0,0.0,0.0,0.0,0.0,0.6189,0.9772,0.0,0.0,9.0,15.0,9.0,54.0,13173.0,9140.0,297.7199,13755.0,313.0,309.0,4.0,10.1954,3616.0,5355.0,104.0,4113.0,5126.0,101.0,-497.0,229.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,5575.0,7916.0,156.0,5882.0,7917.0,142.0,-307.0,-1.0,14.0,1.0,2.0,1.0,1.0,2.0,0.0,7640.0,10487.0,212.0,8039.0,11312.0,205.0,-399.0,-825.0,7.0,1.0,2.0,1.0,1.0,4.0,0.0,9491.0,12400.0,263.0,9729.0,15466.0,247.0,-238.0,-3066.0,16.0,1.0,2.0,2.0,1.0,7.0,1.0
LOLTMNT01_326680,complete,ROL,2026.0,0.0,1.0,16.02,Blue,mid,Feisty,LØS,0.0,Akali,Qiyana,Jayce,Varus,Kai'Sa,Sivir,1643.0,1.0,3.0,1.0,8.0,27.0,4.0,0.0,0.0,0.0,0.0,1.0,0.986,1.1321,0.0,0.0,13.0,8.0,7.0,43.0,10581.0,6954.0,253.9501,10075.0,240.0,240.0,0.0,8.7645,3497.0,5377.0,93.0,3149.0,4717.0,79.0,348.0,660.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,5503.0,7975.0,140.0,5063.0,7710.0,136.0,440.0,265.0,4.0,1.0,2.0,1.0,0.0,1.0,1.0,7826.0,11351.0,194.0,6877.0,10620.0,191.0,949.0,731.0,3.0,2.0,3.0,1.0,0.0,2.0,2.0,9645.0,13970.0,224.0,8508.0,13267.0,236.0,1137.0,703.0,-12.0,3.0,4.0,1.0,0.0,3.0,3.0
LOLTMNT04_149469,complete,EBL,2026.0,0.0,1.0,16.02,Blue,mid,Feisty,LØS,0.0,Taliyah,Jayce,Varus,Orianna,Miss Fortune,Neeko,1680.0,1.0,2.0,0.0,7.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6429,0.0,0.0,9.0,8.0,5.0,40.0,11474.0,7771.0,277.5357,9025.0,302.0,302.0,0.0,10.7857,3843.0,5286.0,110.0,3777.0,5403.0,105.0,66.0,-117.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5847.0,7605.0,163.0,5277.0,8026.0,153.0,570.0,-421.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,7655.0,10102.0,215.0,7470.0,11296.0,217.0,185.0,-1194.0,-2.0,1.0,0.0,0.0,1.0,0.0,0.0,9703.0,13101.0,279.0,9242.0,14871.0,263.0,461.0,-1770.0,16.0,1.0,1.0,0.0,1.0,0.0,0.0
LOLTMNT01_336821,complete,ROL,2026.0,0.0,1.0,16.02,Blue,mid,Feisty,LØS,0.0,Azir,Jayce,Varus,Orianna,Neeko,Ezreal,1879.0,0.0,4.0,4.0,2.0,7.0,19.0,0.0,0.0,0.0,0.0,0.0,0.2235,0.8302,0.0,0.0,16.0,9.0,10.0,44.0,13538.0,9429.0,301.0857,12800.0,300.0,300.0,0.0,9.5796,3576.0,5340.0,104.0,3601.0,5288.0,107.0,-25.0,52.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,6669.0,8164.0,159.0,5530.0,7223.0,129.0,1139.0,941.0,30.0,2.0,1.0,1.0,2.0,2.0,1.0,8801.0,11602.0,231.0,7968.0,10210.0,186.0,833.0,1392.0,45.0,2.0,1.0,1.0,2.0,2.0,1.0,11703.0,14473.0,272.0,9653.0,13981.0,236.0,2050.0,492.0,36.0,3.0,2.0,1.0,2.0,2.0,1.0
LOLTMNT01_337419,complete,ROL,2026.0,0.0,1.0,16.02,Blue,mid,Feisty,LØS,1.0,Orianna,Sion,Akali,Varus,Alistar,Neeko,2014.0,1.0,2.0,3.0,10.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,0.4171,0.715,0.0,0.0,16.0,4.0,7.0,34.0,13465.0,9081.0,270.5362,13225.0,258.0,258.0,0.0,7.6862,3838.0,4871.0,91.0,3648.0,4840.0,86.0,190.0,31.0,5.0,1.0,0.0,2.0,1.0,1.0,1.0,6103.0,7832.0,135.0,4840.0,6692.0,118.0,1263.0,1140.0,17.0,2.0,1.0,2.0,1.0,1.0,3.0,7786.0,9911.0,170.0,7116.0,9177.0,160.0,670.0,734.0,10.0,2.0,2.0,3.0,2.0,2.0,4.0,9365.0,11486.0,201.0,8714.0,11224.0,189.0,651.0,262.0,12.0,2.0,2.0,3.0,3.0,3.0,4.0
LOLTMNT02_351645,complete,LPLOL,2026.0,0.0,1.0,16.03,Blue,mid,Feisty,LØS,1.0,Taliyah,Qiyana,Ambessa,Varus,Jarvan IV,Neeko,2565.0,1.0,4.0,1.0,13.0,23.0,16.0,1.0,0.0,0.0,0.0,0.0,0.538,0.9123,0.0,0.0,20.0,21.0,18.0,87.0,18114.0,12606.0,294.8772,16700.0,382.0,361.0,21.0,8.9357,3868.0,5374.0,110.0,3516.0,4704.0,101.0,352.0,670.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,6637.0,8234.0,165.0,5480.0,7176.0,148.0,1157.0,1058.0,17.0,2.0,1.0,0.0,0.0,0.0,0.0,9379.0,11272.0,228.0,8323.0,9665.0,189.0,1056.0,1607.0,39.0,3.0,1.0,0.0,3.0,0.0,0.0,11160.0,13120.0,261.0,10482.0,12996.0,220.0,678.0,124.0,41.0,4.0,3.0,0.0,5.0,0.0,0.0
LOLTMNT05_176516,complete,AL,2026.0,0.0,2.0,16.03,Blue,mid,Feisty,LØS,1.0,Viktor,Qiyana,Renekton,Jarvan IV,Ahri,Akali,1891.0,0.0,1.0,3.0,5.0,8.0,18.0,0.0,0.0,0.0,0.0,0.0,0.2538,0.825,0.0,0.0,16.0,4.0,10.0,41.0,11830.0,7697.0,244.22,11800.0,285.0,281.0,4.0,9.0428,3593.0,5321.0,101.0,3110.0,4643.0,83.0,483.0,678.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,5536.0,8146.0,154.0,4682.0,7609.0,135.0,854.0,537.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,8014.0,11598.0,201.0,6740.0,9758.0,174.0,1274.0,1840.0,27.0,1.0,4.0,0.0,1.0,0.0,2.0,9502.0,13500.0,225.0,8948.0,12412.0,209.0,554.0,1088.0,16.0,1.0,5.0,2.0,2.0,5.0,2.0
LOLTMNT02_351668,complete,LPLOL,2026.0,0.0,3.0,16.03,Blue,mid,Feisty,LØS,0.0,Zoe,Qiyana,Varus,Ambessa,Nocturne,Vi,2278.0,0.0,2.0,4.0,4.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0.2371,0.6058,0.0,0.0,16.0,15.0,8.0,65.0,13375.0,8452.0,222.6163,13350.0,316.0,315.0,1.0,8.3231,3911.0,5372.0,100.0,3373.0,4558.0,90.0,538.0,814.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,5959.0,7567.0,141.0,5070.0,7493.0,144.0,889.0,74.0,-3.0,2.0,2.0,0.0,0.0,0.0,1.0,7906.0,10057.0,191.0,7481.0,11556.0,204.0,425.0,-1499.0,-13.0,2.0,3.0,1.0,1.0,0.0,1.0,9476.0,12526.0,233.0,10240.0,14626.0,250.0,-764.0,-2100.0,-17.0,2.0,3.0,2.0,2.0,1.0,2.0
