gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_338569,complete,HLL,2026.0,0.0,1.0,16.01,Red,mid,FireAscept,PCIFIC Esports,0.0,Azir,Caitlyn,Orianna,Rumble,Wukong,Trundle,1542.0,0.0,3.0,5.0,2.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.2335,1.0895,0.0,0.0,12.0,6.0,3.0,35.0,9387.0,5966.0,232.1401,8435.0,195.0,195.0,0.0,7.5875,3686.0,5236.0,91.0,4199.0,5093.0,102.0,-513.0,143.0,-11.0,1.0,0.0,0.0,2.0,1.0,1.0,5525.0,7218.0,124.0,5858.0,7252.0,136.0,-333.0,-34.0,-12.0,2.0,0.0,1.0,2.0,2.0,2.0,7429.0,9400.0,166.0,8241.0,9892.0,182.0,-812.0,-492.0,-16.0,2.0,1.0,2.0,4.0,4.0,3.0,8859.0,10523.0,195.0,11714.0,14785.0,220.0,-2855.0,-4262.0,-25.0,2.0,1.0,4.0,7.0,6.0,3.0
LOLTMNT04_147348,complete,TCL,2026.0,0.0,2.0,16.01,Red,mid,FireAscept,PCIFIC Esports,0.0,Galio,Caitlyn,Orianna,Rumble,Karma,Bard,1790.0,0.0,1.0,3.0,7.0,12.0,19.0,0.0,0.0,0.0,0.0,0.0,0.4022,1.0391,0.0,0.0,12.0,6.0,5.0,37.0,10299.0,6372.0,213.5866,9425.0,273.0,273.0,0.0,9.1508,3387.0,5074.0,91.0,4014.0,5441.0,107.0,-627.0,-367.0,-16.0,0.0,1.0,0.0,0.0,0.0,0.0,4956.0,7647.0,140.0,6573.0,8415.0,163.0,-1617.0,-768.0,-23.0,0.0,2.0,1.0,1.0,0.0,0.0,6730.0,10670.0,199.0,9328.0,11834.0,231.0,-2598.0,-1164.0,-32.0,0.0,2.0,1.0,1.0,0.0,0.0,8893.0,13846.0,246.0,12982.0,15516.0,282.0,-4089.0,-1670.0,-36.0,1.0,5.0,1.0,4.0,0.0,0.0
LOLTMNT01_333999,complete,LJL,2026.0,0.0,1.0,16.02,Red,mid,FireAscept,PCIFIC Esports,0.0,Azir,Akali,Ryze,Jayce,Nautilus,Leona,1751.0,1.0,6.0,1.0,6.0,16.0,5.0,2.0,1.0,0.0,0.0,0.0,0.5483,0.7196,0.0,0.0,16.0,7.0,5.0,46.0,15036.0,11188.0,383.3695,11825.0,328.0,320.0,8.0,11.2393,3722.0,5226.0,108.0,3492.0,5214.0,95.0,230.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,6415.0,8545.0,165.0,5117.0,7664.0,144.0,1298.0,881.0,21.0,1.0,3.0,0.0,0.0,1.0,2.0,9437.0,11277.0,220.0,7315.0,10100.0,190.0,2122.0,1177.0,30.0,3.0,4.0,1.0,0.0,3.0,2.0,11610.0,14299.0,285.0,9401.0,13310.0,260.0,2209.0,989.0,25.0,3.0,4.0,1.0,0.0,3.0,2.0
LOLTMNT01_335002,complete,LJL,2026.0,0.0,2.0,16.02,Blue,mid,FireAscept,PCIFIC Esports,1.0,Ryze,Akali,Jarvan IV,Jayce,Nautilus,Braum,2278.0,0.0,5.0,5.0,9.0,23.0,28.0,0.0,0.0,0.0,0.0,0.0,0.6058,1.3433,0.0,0.0,21.0,4.0,7.0,46.0,15908.0,10985.0,289.3327,15625.0,357.0,317.0,40.0,9.403,3813.0,4973.0,93.0,3084.0,4948.0,80.0,729.0,25.0,13.0,0.0,1.0,0.0,0.0,0.0,1.0,6095.0,7431.0,136.0,5251.0,7836.0,138.0,844.0,-405.0,-2.0,3.0,3.0,1.0,0.0,2.0,1.0,8892.0,10677.0,193.0,6759.0,9903.0,178.0,2133.0,774.0,15.0,4.0,6.0,1.0,0.0,3.0,3.0,11171.0,15115.0,244.0,9377.0,14257.0,221.0,1794.0,858.0,23.0,5.0,7.0,2.0,1.0,6.0,4.0
LOLTMNT01_335065,complete,LCP,2026.0,0.0,3.0,16.02,Red,mid,FireAscept,PCIFIC Esports,0.0,LeBlanc,Akali,Jayce,Orianna,Braum,Rakan,2523.0,0.0,6.0,2.0,10.0,22.0,24.0,1.0,0.0,0.0,0.0,1.0,0.5232,1.0939,0.0,0.0,21.0,17.0,16.0,69.0,18318.0,12895.0,306.6587,18200.0,340.0,340.0,0.0,8.0856,3970.0,4998.0,98.0,3827.0,4734.0,88.0,143.0,264.0,10.0,1.0,1.0,0.0,1.0,1.0,0.0,6325.0,8009.0,162.0,5629.0,7714.0,149.0,696.0,295.0,13.0,1.0,1.0,0.0,1.0,1.0,0.0,9669.0,10957.0,213.0,8292.0,10504.0,193.0,1377.0,453.0,20.0,3.0,3.0,0.0,2.0,5.0,1.0,11077.0,12647.0,241.0,9966.0,13188.0,235.0,1111.0,-541.0,6.0,3.0,5.0,1.0,2.0,6.0,2.0
LOLTMNT02_350129,complete,LJL,2026.0,0.0,1.0,16.02,Red,mid,FireAscept,PCIFIC Esports,0.0,Akali,Caitlyn,Ryze,Rumble,Syndra,Taliyah,1620.0,1.0,8.0,2.0,4.0,19.0,4.0,1.0,0.0,0.0,0.0,0.0,0.7037,0.8519,0.0,0.0,10.0,6.0,5.0,40.0,13893.0,10313.0,381.963,11925.0,259.0,259.0,0.0,9.5926,3901.0,5321.0,96.0,3535.0,5273.0,98.0,366.0,48.0,-2.0,1.0,0.0,1.0,0.0,0.0,0.0,6110.0,8885.0,141.0,5739.0,8024.0,151.0,371.0,861.0,-10.0,3.0,0.0,1.0,1.0,0.0,1.0,9297.0,12811.0,198.0,7151.0,10468.0,195.0,2146.0,2343.0,3.0,5.0,1.0,1.0,1.0,0.0,2.0,11806.0,16617.0,240.0,8883.0,13084.0,242.0,2923.0,3533.0,-2.0,6.0,2.0,1.0,1.0,0.0,2.0
LOLTMNT02_350141,complete,LJL,2026.0,0.0,2.0,16.02,Blue,mid,FireAscept,PCIFIC Esports,1.0,LeBlanc,Caitlyn,Jarvan IV,Jayce,Draven,Smolder,2023.0,1.0,3.0,1.0,5.0,16.0,3.0,0.0,0.0,0.0,0.0,1.0,0.4745,0.5635,0.0,0.0,9.0,11.0,6.0,48.0,15141.0,10738.0,318.4775,12350.0,314.0,314.0,0.0,9.3129,3852.0,4820.0,91.0,3300.0,5065.0,93.0,552.0,-245.0,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,5461.0,7466.0,145.0,5090.0,8014.0,150.0,371.0,-548.0,-5.0,1.0,0.0,0.0,0.0,0.0,0.0,7932.0,10285.0,197.0,6933.0,10951.0,202.0,999.0,-666.0,-5.0,2.0,0.0,1.0,0.0,1.0,1.0,9907.0,12855.0,236.0,9117.0,13557.0,258.0,790.0,-702.0,-22.0,2.0,1.0,1.0,0.0,1.0,1.0
LOLTMNT05_175585,complete,TCL,2026.0,0.0,1.0,16.03,Red,mid,FireAscept,PCIFIC Esports,0.0,Azir,Varus,Zaahen,Taliyah,Neeko,Lulu,1988.0,0.0,1.0,5.0,4.0,9.0,21.0,0.0,0.0,0.0,0.0,0.0,0.2716,0.9054,0.0,0.0,17.0,10.0,6.0,50.0,12176.0,7845.0,236.7706,11150.0,331.0,331.0,0.0,9.9899,3387.0,4777.0,87.0,3494.0,4536.0,87.0,-107.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5498.0,7980.0,145.0,5650.0,7830.0,149.0,-152.0,150.0,-4.0,1.0,0.0,0.0,0.0,1.0,0.0,7545.0,11091.0,206.0,7695.0,10710.0,192.0,-150.0,381.0,14.0,1.0,2.0,1.0,1.0,3.0,1.0,9290.0,13729.0,261.0,9558.0,13439.0,245.0,-268.0,290.0,16.0,1.0,2.0,2.0,1.0,4.0,1.0
LOLTMNT05_176544,complete,AL,2026.0,0.0,2.0,16.03,Red,mid,FireAscept,PCIFIC Esports,0.0,LeBlanc,Varus,Vi,Orianna,Gnar,Poppy,2052.0,0.0,4.0,6.0,3.0,11.0,22.0,0.0,0.0,0.0,0.0,0.0,0.3216,0.9357,0.0,0.0,5.0,8.0,3.0,26.0,13411.0,8949.0,261.6667,13010.0,295.0,295.0,0.0,8.6257,3904.0,4692.0,77.0,3745.0,4858.0,73.0,159.0,-166.0,4.0,2.0,0.0,2.0,2.0,0.0,1.0,6128.0,7981.0,130.0,5225.0,7087.0,105.0,903.0,894.0,25.0,3.0,1.0,3.0,2.0,1.0,3.0,8109.0,10833.0,170.0,7187.0,10000.0,142.0,922.0,833.0,28.0,4.0,1.0,4.0,3.0,1.0,4.0,9966.0,13659.0,225.0,8938.0,13191.0,192.0,1028.0,468.0,33.0,4.0,1.0,4.0,3.0,1.0,4.0
LOLTMNT05_175874,complete,NLC,2026.0,0.0,1.0,16.03,Blue,mid,FireAscept,PCIFIC Esports,1.0,Ryze,Jayce,Ambessa,Rumble,Dr. Mundo,Neeko,1767.0,0.0,2.0,5.0,4.0,6.0,17.0,1.0,0.0,0.0,0.0,1.0,0.2037,0.781,0.0,0.0,15.0,5.0,6.0,32.0,10609.0,6729.0,228.489,10150.0,261.0,261.0,0.0,8.8625,3849.0,5300.0,106.0,3573.0,5180.0,104.0,276.0,120.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,5659.0,8029.0,165.0,5662.0,8334.0,164.0,-3.0,-305.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,7438.0,10555.0,219.0,7668.0,11524.0,226.0,-230.0,-969.0,-7.0,0.0,2.0,0.0,1.0,0.0,0.0,8857.0,13218.0,241.0,10504.0,17133.0,280.0,-1647.0,-3915.0,-39.0,0.0,4.0,2.0,2.0,4.0,0.0
