gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_335584,complete,LCKC,2026.0,0.0,1.0,16.01,Red,mid,Flip,DN SOOPers Challengers,1.0,Cassiopeia,Neeko,Malphite,Vi,Bard,Leona,1817.0,0.0,5.0,4.0,0.0,10.0,26.0,2.0,1.0,0.0,0.0,0.0,0.3302,1.1888,0.0,0.0,8.0,4.0,2.0,22.0,12401.0,8419.0,278.0077,12250.0,264.0,264.0,0.0,8.7177,3416.0,4841.0,94.0,3464.0,4909.0,91.0,-48.0,-68.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,5496.0,7060.0,130.0,4972.0,6860.0,132.0,524.0,200.0,-2.0,2.0,0.0,1.0,0.0,2.0,1.0,6931.0,9198.0,171.0,7847.0,10358.0,189.0,-916.0,-1160.0,-18.0,2.0,0.0,3.0,2.0,3.0,1.0,10545.0,13059.0,218.0,10361.0,15076.0,235.0,184.0,-2017.0,-17.0,5.0,0.0,3.0,3.0,6.0,1.0
LOLTMNT03_334607,complete,LCKC,2026.0,0.0,2.0,16.01,Red,mid,Flip,DN SOOPers Challengers,1.0,Taliyah,Neeko,Malphite,Poppy,Lulu,Ziggs,2074.0,0.0,4.0,7.0,6.0,15.0,31.0,0.0,0.0,0.0,0.0,0.0,0.4339,1.3308,0.0,0.0,15.0,7.0,7.0,45.0,13841.0,9334.0,270.0289,13525.0,278.0,274.0,4.0,8.0424,3460.0,5095.0,91.0,3672.0,4843.0,78.0,-212.0,252.0,13.0,0.0,1.0,2.0,1.0,2.0,1.0,4972.0,7366.0,134.0,5865.0,8542.0,133.0,-893.0,-1176.0,1.0,0.0,1.0,3.0,2.0,2.0,1.0,6377.0,9769.0,170.0,7892.0,10567.0,158.0,-1515.0,-798.0,12.0,0.0,3.0,4.0,3.0,5.0,2.0,9629.0,13050.0,219.0,10217.0,14456.0,187.0,-588.0,-1406.0,32.0,2.0,5.0,5.0,5.0,8.0,3.0
LOLTMNT03_337260,complete,LCKC,2026.0,0.0,1.0,16.01,Red,mid,Flip,DN SOOPers Challengers,0.0,Cassiopeia,Orianna,Azir,Jayce,Aphelios,Varus,1629.0,0.0,1.0,4.0,3.0,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0.3315,0.9576,0.0,0.0,6.0,1.0,2.0,9.0,9422.0,5823.0,214.4751,8750.0,228.0,228.0,0.0,8.3978,3463.0,4969.0,94.0,4138.0,4927.0,95.0,-675.0,42.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,4897.0,7475.0,138.0,6099.0,7705.0,145.0,-1202.0,-230.0,-7.0,0.0,0.0,1.0,2.0,2.0,0.0,6442.0,9591.0,178.0,8321.0,10448.0,191.0,-1879.0,-857.0,-13.0,0.0,2.0,2.0,2.0,6.0,0.0,8785.0,13545.0,220.0,10677.0,15029.0,232.0,-1892.0,-1484.0,-12.0,1.0,3.0,3.0,2.0,8.0,1.0
LOLTMNT03_336244,complete,LCK,2026.0,0.0,2.0,16.01,Red,mid,Flip,DN SOOPers Challengers,1.0,Orianna,Poppy,Malphite,Akali,Bard,Rakan,2096.0,1.0,4.0,2.0,10.0,20.0,11.0,0.0,0.0,0.0,0.0,0.0,0.5725,0.8874,0.0,0.0,11.0,10.0,6.0,35.0,13833.0,9282.0,265.7061,11500.0,288.0,285.0,3.0,8.2443,2988.0,4540.0,76.0,3689.0,4993.0,101.0,-701.0,-453.0,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,4851.0,7409.0,138.0,5354.0,7324.0,149.0,-503.0,85.0,-11.0,0.0,1.0,0.0,0.0,0.0,1.0,6487.0,9629.0,181.0,7318.0,9878.0,200.0,-831.0,-249.0,-19.0,0.0,2.0,1.0,0.0,2.0,2.0,8581.0,13485.0,215.0,9736.0,12391.0,221.0,-1155.0,1094.0,-6.0,2.0,4.0,2.0,2.0,4.0,3.0
LOLTMNT03_337304,complete,LCK,2026.0,0.0,3.0,16.01,Blue,mid,Flip,DN SOOPers Challengers,0.0,Taliyah,Azir,Aphelios,Akali,Sylas,Renekton,1991.0,1.0,7.0,6.0,13.0,26.0,16.0,1.0,0.0,0.0,0.0,0.0,0.7835,1.2657,0.0,0.0,14.0,5.0,9.0,37.0,14804.0,10467.0,315.4294,14825.0,278.0,277.0,1.0,8.3777,3249.0,4746.0,83.0,4992.0,4769.0,91.0,-1743.0,-23.0,-8.0,0.0,2.0,2.0,3.0,3.0,0.0,4873.0,7022.0,128.0,7004.0,6905.0,136.0,-2131.0,117.0,-8.0,0.0,4.0,3.0,3.0,5.0,1.0,6470.0,9464.0,169.0,9177.0,9204.0,178.0,-2707.0,260.0,-9.0,0.0,5.0,4.0,3.0,6.0,1.0,9913.0,13790.0,217.0,11294.0,13344.0,220.0,-1381.0,446.0,-3.0,4.0,8.0,4.0,3.0,8.0,2.0
LOLTMNT06_164530,complete,LFL,2026.0,0.0,1.0,16.01,Blue,mid,Flip,DN SOOPers Challengers,1.0,Taliyah,Poppy,Malphite,Varus,Azir,Yunara,1864.0,1.0,4.0,5.0,8.0,26.0,20.0,0.0,0.0,0.0,0.0,0.0,0.8369,1.4807,0.0,0.0,12.0,4.0,5.0,32.0,12155.0,8077.0,259.9893,11935.0,256.0,256.0,0.0,8.2403,3181.0,4638.0,87.0,3944.0,5393.0,100.0,-763.0,-755.0,-13.0,0.0,0.0,3.0,2.0,1.0,0.0,4957.0,6966.0,128.0,5804.0,8074.0,149.0,-847.0,-1108.0,-21.0,1.0,1.0,4.0,2.0,2.0,0.0,7150.0,10368.0,182.0,8179.0,10983.0,206.0,-1029.0,-615.0,-24.0,2.0,3.0,4.0,3.0,2.0,1.0,9548.0,13402.0,221.0,10134.0,13431.0,248.0,-586.0,-29.0,-27.0,2.0,5.0,4.0,4.0,3.0,1.0
LOLTMNT04_147334,complete,TCL,2026.0,0.0,2.0,16.01,Blue,mid,Flip,DN SOOPers Challengers,0.0,Orianna,Jayce,Nocturne,Akali,Thresh,Pantheon,2259.0,1.0,5.0,5.0,9.0,21.0,18.0,0.0,0.0,0.0,0.0,0.0,0.5578,1.0359,0.0,0.0,14.0,5.0,7.0,37.0,15278.0,10394.0,276.0691,14285.0,294.0,294.0,0.0,7.8088,3710.0,5030.0,86.0,4498.0,5397.0,94.0,-788.0,-367.0,-8.0,1.0,0.0,1.0,3.0,0.0,0.0,5264.0,6881.0,117.0,7474.0,8467.0,143.0,-2210.0,-1586.0,-26.0,2.0,1.0,4.0,6.0,3.0,1.0,6635.0,8871.0,158.0,9247.0,10675.0,191.0,-2612.0,-1804.0,-33.0,2.0,1.0,4.0,6.0,4.0,1.0,9875.0,11780.0,205.0,11850.0,13468.0,238.0,-1975.0,-1688.0,-33.0,4.0,2.0,5.0,7.0,4.0,3.0
LOLTMNT01_325721,complete,LCS,2026.0,0.0,1.0,16.01,Red,mid,Flip,DN SOOPers Challengers,1.0,Orianna,Malphite,Akali,Poppy,Nautilus,Gnar,1516.0,1.0,2.0,2.0,17.0,29.0,5.0,0.0,0.0,0.0,0.0,0.0,1.1478,1.3456,1.0,0.0,10.0,4.0,4.0,33.0,10630.0,7262.0,287.4142,9700.0,232.0,228.0,4.0,9.1821,3515.0,5200.0,93.0,3314.0,5087.0,92.0,201.0,113.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5222.0,8060.0,151.0,5573.0,8145.0,151.0,-351.0,-85.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8126.0,11512.0,196.0,7008.0,9677.0,180.0,1118.0,1835.0,16.0,2.0,7.0,1.0,1.0,2.0,3.0,10420.0,14763.0,232.0,9110.0,13403.0,249.0,1310.0,1360.0,-17.0,2.0,15.0,2.0,1.0,3.0,5.0
LOLTMNT01_325749,complete,LCS,2026.0,0.0,2.0,16.01,Blue,mid,Flip,DN SOOPers Challengers,0.0,Ryze,Rumble,Malphite,Neeko,Aurora,Taliyah,1252.0,1.0,3.0,0.0,4.0,23.0,5.0,0.0,0.0,0.0,0.0,0.0,1.1022,1.3419,0.0,0.0,10.0,0.0,4.0,19.0,10256.0,7426.0,355.8786,7950.0,247.0,247.0,0.0,11.8371,3661.0,5397.0,103.0,3493.0,5275.0,94.0,168.0,122.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,5762.0,8176.0,157.0,5547.0,8469.0,154.0,215.0,-293.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,9639.0,12327.0,241.0,7545.0,11062.0,202.0,2094.0,1265.0,39.0,2.0,2.0,0.0,1.0,2.0,1.0,,,,,,,,,,,,,,,
LOLTMNT04_152016,complete,CCWS,2026.0,0.0,1.0,16.02,Blue,mid,Flip,DN SOOPers Challengers,0.0,Taliyah,Jayce,Azir,Yorick,Pantheon,Gwen,1722.0,1.0,2.0,0.0,9.0,18.0,5.0,0.0,0.0,0.0,0.0,0.0,0.6272,0.8014,0.0,0.0,16.0,5.0,10.0,42.0,12389.0,8601.0,299.6864,11200.0,294.0,286.0,8.0,10.2439,3464.0,5160.0,98.0,3572.0,5213.0,101.0,-108.0,-53.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,5445.0,8417.0,163.0,5232.0,7980.0,156.0,213.0,437.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8202.0,11662.0,224.0,7172.0,10855.0,215.0,1030.0,807.0,9.0,1.0,1.0,0.0,0.0,1.0,1.0,10598.0,15128.0,269.0,8424.0,14206.0,248.0,2174.0,922.0,21.0,1.0,3.0,0.0,0.0,1.0,2.0
