gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_319628,complete,ROL,2026.0,0.0,1.0,16.01,Blue,mid,Franky,Myth Esports,1.0,Orianna,Aatrox,Viktor,Syndra,Corki,Tristana,1745.0,0.0,3.0,4.0,1.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.2407,0.9284,0.0,0.0,11.0,5.0,3.0,25.0,11826.0,7991.0,274.7622,10825.0,262.0,256.0,6.0,9.0086,3148.0,4946.0,83.0,4134.0,5533.0,106.0,-986.0,-587.0,-23.0,0.0,0.0,1.0,1.0,1.0,0.0,5100.0,8304.0,146.0,6230.0,8610.0,167.0,-1130.0,-306.0,-21.0,0.0,0.0,1.0,1.0,1.0,0.0,7151.0,10518.0,189.0,8692.0,11738.0,214.0,-1541.0,-1220.0,-25.0,1.0,0.0,2.0,2.0,5.0,0.0,9118.0,13207.0,243.0,11313.0,14976.0,277.0,-2195.0,-1769.0,-34.0,1.0,0.0,2.0,3.0,7.0,0.0
LOLTMNT01_319643,complete,ROL,2026.0,0.0,1.0,16.01,Red,mid,Franky,Myth Esports,0.0,Taliyah,Jayce,Ambessa,Azir,Poppy,Braum,1891.0,0.0,2.0,3.0,6.0,12.0,26.0,0.0,0.0,0.0,0.0,0.0,0.3808,1.2057,0.0,0.0,13.0,6.0,4.0,34.0,12287.0,8154.0,258.7203,11900.0,301.0,293.0,8.0,9.5505,3967.0,5433.0,91.0,3608.0,5633.0,105.0,359.0,-200.0,-14.0,1.0,3.0,0.0,0.0,0.0,0.0,5645.0,8542.0,145.0,5876.0,8762.0,161.0,-231.0,-220.0,-16.0,1.0,3.0,0.0,1.0,1.0,0.0,7703.0,11016.0,198.0,8226.0,11700.0,216.0,-523.0,-684.0,-18.0,1.0,3.0,0.0,2.0,4.0,0.0,9309.0,12810.0,234.0,10256.0,16282.0,249.0,-947.0,-3472.0,-15.0,1.0,4.0,1.0,3.0,6.0,0.0
LOLTMNT01_318863,complete,ROL,2026.0,0.0,1.0,16.01,Red,mid,Franky,Myth Esports,0.0,Mel,Diana,Lucian,Rumble,Orianna,Ziggs,1935.0,0.0,4.0,1.0,2.0,14.0,18.0,0.0,0.0,0.0,0.0,0.0,0.4341,0.9922,0.0,0.0,12.0,5.0,2.0,28.0,13700.0,9477.0,293.8605,13250.0,298.0,298.0,0.0,9.2403,3823.0,5717.0,109.0,3657.0,5379.0,108.0,166.0,338.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,5927.0,8422.0,165.0,6050.0,8476.0,165.0,-123.0,-54.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,7910.0,11460.0,226.0,8227.0,11642.0,228.0,-317.0,-182.0,-2.0,0.0,2.0,0.0,1.0,0.0,2.0,9845.0,14028.0,271.0,10266.0,13998.0,279.0,-421.0,30.0,-8.0,1.0,2.0,0.0,1.0,0.0,2.0
LOLTMNT01_319687,complete,ROL,2026.0,0.0,1.0,16.01,Red,mid,Franky,Myth Esports,0.0,Taliyah,Azir,Orianna,Ambessa,Nami,Neeko,2278.0,0.0,4.0,3.0,4.0,11.0,23.0,0.0,0.0,0.0,0.0,0.0,0.2897,0.8955,0.0,0.0,13.0,7.0,3.0,36.0,14935.0,10012.0,263.705,14825.0,288.0,276.0,12.0,7.5856,3352.0,5290.0,93.0,3887.0,5467.0,107.0,-535.0,-177.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,4810.0,7617.0,140.0,5655.0,8265.0,163.0,-845.0,-648.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,7371.0,11289.0,200.0,8314.0,11583.0,207.0,-943.0,-294.0,-7.0,1.0,0.0,0.0,3.0,0.0,0.0,9184.0,14290.0,237.0,10838.0,14189.0,249.0,-1654.0,101.0,-12.0,1.0,1.0,1.0,4.0,1.0,1.0
LOLTMNT01_321153,complete,ROL,2026.0,0.0,1.0,16.01,Blue,mid,Franky,Myth Esports,1.0,Mel,Rengar,Aurelion Sol,Tristana,Vayne,Dr. Mundo,1807.0,0.0,3.0,3.0,1.0,9.0,15.0,0.0,0.0,0.0,0.0,0.0,0.2988,0.7969,0.0,0.0,15.0,7.0,3.0,49.0,10991.0,7029.0,233.3924,10325.0,272.0,272.0,0.0,9.0315,4042.0,4874.0,95.0,4128.0,5124.0,98.0,-86.0,-250.0,-3.0,1.0,0.0,1.0,1.0,2.0,0.0,6186.0,7822.0,140.0,6030.0,7965.0,153.0,156.0,-143.0,-13.0,3.0,0.0,2.0,1.0,3.0,1.0,8110.0,10978.0,203.0,8733.0,10982.0,209.0,-623.0,-4.0,-6.0,3.0,0.0,2.0,3.0,4.0,1.0,9674.0,13218.0,244.0,10535.0,14893.0,254.0,-861.0,-1675.0,-10.0,3.0,1.0,2.0,3.0,4.0,2.0
LOLTMNT03_337493,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,mid,Franky,Myth Esports,1.0,Hwei,Heimerdinger,Jarvan IV,Ambessa,Wukong,Malphite,3032.0,1.0,2.0,5.0,17.0,29.0,26.0,0.0,0.0,0.0,0.0,0.0,0.5739,1.0884,0.0,0.0,16.0,6.0,4.0,35.0,16286.0,9825.0,194.4261,16330.0,311.0,307.0,4.0,6.1544,3513.0,5083.0,85.0,3651.0,5063.0,101.0,-138.0,20.0,-16.0,1.0,0.0,1.0,0.0,1.0,1.0,5662.0,7913.0,134.0,5144.0,7383.0,141.0,518.0,530.0,-7.0,2.0,1.0,1.0,0.0,3.0,2.0,7009.0,9963.0,170.0,7800.0,10683.0,196.0,-791.0,-720.0,-26.0,2.0,1.0,2.0,1.0,5.0,2.0,8475.0,12204.0,208.0,9348.0,12573.0,236.0,-873.0,-369.0,-28.0,2.0,1.0,2.0,1.0,5.0,2.0
LOLTMNT01_320481,complete,LCP,2026.0,0.0,1.0,16.01,Red,mid,Franky,Myth Esports,0.0,Mel,Azir,Orianna,Viktor,Leona,Lulu,1851.0,0.0,4.0,4.0,0.0,11.0,23.0,0.0,0.0,0.0,0.0,0.0,0.3566,1.1021,0.0,0.0,11.0,3.0,3.0,39.0,11898.0,7846.0,254.3274,11275.0,251.0,251.0,0.0,8.1361,3963.0,5356.0,100.0,3592.0,5047.0,102.0,371.0,309.0,-2.0,1.0,0.0,0.0,0.0,0.0,1.0,5897.0,8023.0,152.0,5815.0,7888.0,156.0,82.0,135.0,-4.0,2.0,0.0,1.0,1.0,1.0,1.0,7343.0,9958.0,183.0,9079.0,10967.0,204.0,-1736.0,-1009.0,-21.0,2.0,0.0,2.0,3.0,3.0,2.0,8984.0,12086.0,224.0,11146.0,13789.0,269.0,-2162.0,-1703.0,-45.0,2.0,0.0,2.0,3.0,4.0,2.0
LOLTMNT02_343151,complete,LCP,2026.0,0.0,1.0,16.01,Blue,mid,Franky,Myth Esports,1.0,Viktor,Azir,Syndra,Orianna,Neeko,Malphite,2178.0,1.0,4.0,3.0,9.0,23.0,10.0,0.0,0.0,0.0,0.0,1.0,0.6336,0.9091,0.0,0.0,10.0,3.0,1.0,26.0,13331.0,8612.0,237.2452,12275.0,252.0,249.0,3.0,6.9421,3405.0,4860.0,77.0,2992.0,4197.0,74.0,413.0,663.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,5546.0,7890.0,131.0,4286.0,6522.0,110.0,1260.0,1368.0,21.0,2.0,3.0,0.0,0.0,0.0,2.0,7609.0,11155.0,171.0,5845.0,9062.0,145.0,1764.0,2093.0,26.0,3.0,3.0,1.0,0.0,1.0,3.0,9215.0,13273.0,198.0,7755.0,12517.0,187.0,1460.0,756.0,11.0,3.0,5.0,2.0,0.0,3.0,4.0
LOLTMNT01_324576,complete,CBLOL,2026.0,0.0,2.0,16.01,Red,mid,Franky,Myth Esports,0.0,Galio,Azir,Ryze,Orianna,Neeko,Karma,1868.0,1.0,2.0,2.0,9.0,22.0,9.0,0.0,0.0,0.0,0.0,0.0,0.7066,0.9957,0.0,0.0,7.0,7.0,4.0,38.0,10864.0,6778.0,217.7088,9600.0,234.0,229.0,5.0,7.5161,3365.0,5270.0,73.0,4183.0,5493.0,105.0,-818.0,-223.0,-32.0,1.0,1.0,1.0,0.0,0.0,0.0,5044.0,8220.0,126.0,6000.0,8111.0,161.0,-956.0,109.0,-35.0,1.0,1.0,1.0,0.0,0.0,0.0,6744.0,10794.0,172.0,7751.0,10600.0,206.0,-1007.0,194.0,-34.0,1.0,2.0,1.0,0.0,0.0,1.0,8054.0,12522.0,194.0,10311.0,14022.0,256.0,-2257.0,-1500.0,-62.0,1.0,4.0,2.0,2.0,0.0,2.0
LOLTMNT04_151293,complete,LIT,2026.0,0.0,1.0,16.02,Red,mid,Franky,Myth Esports,0.0,Ryze,Azir,Orianna,Syndra,Rakan,Karma,2231.0,1.0,4.0,2.0,11.0,22.0,13.0,0.0,0.0,0.0,0.0,0.0,0.5917,0.9413,0.0,0.0,13.0,8.0,3.0,30.0,15234.0,10407.0,279.8835,13825.0,317.0,298.0,19.0,8.5253,3564.0,5124.0,98.0,3531.0,5312.0,99.0,33.0,-188.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,5512.0,7791.0,148.0,5026.0,7661.0,145.0,486.0,130.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,7072.0,10332.0,193.0,7550.0,11328.0,205.0,-478.0,-996.0,-12.0,1.0,2.0,1.0,0.0,4.0,1.0,9709.0,15027.0,257.0,9484.0,13379.0,244.0,225.0,1648.0,13.0,1.0,3.0,1.0,1.0,4.0,2.0
