gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_175866,complete,TCL,2026.0,0.0,1.0,16.03,Red,mid,Fresskowy,Movistar KOI Fénix,0.0,Azir,Varus,Rumble,Kindred,Lulu,Renekton,1510.0,1.0,5.0,1.0,3.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.7947,0.9934,0.0,0.0,13.0,5.0,5.0,39.0,12083.0,8727.0,346.7682,9825.0,266.0,266.0,0.0,10.5695,4005.0,5451.0,103.0,3539.0,5162.0,100.0,466.0,289.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,6610.0,8787.0,157.0,5422.0,8250.0,143.0,1188.0,537.0,14.0,3.0,2.0,1.0,1.0,1.0,2.0,9072.0,11721.0,217.0,7299.0,10771.0,198.0,1773.0,950.0,19.0,4.0,2.0,1.0,1.0,1.0,2.0,11936.0,15170.0,261.0,9780.0,13849.0,237.0,2156.0,1321.0,24.0,5.0,3.0,1.0,2.0,2.0,4.0
LOLTMNT05_176909,complete,TCL,2026.0,0.0,1.0,16.03,Red,mid,Fresskowy,Movistar KOI Fénix,0.0,Ryze,Orianna,Rumble,Caitlyn,Lulu,Rell,1655.0,0.0,0.0,2.0,1.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.1813,0.7613,0.0,0.0,13.0,3.0,5.0,25.0,10042.0,6390.0,231.6616,9825.0,285.0,281.0,4.0,10.3323,3715.0,5127.0,108.0,3743.0,5437.0,108.0,-28.0,-310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5839.0,8075.0,167.0,5470.0,7670.0,144.0,369.0,405.0,23.0,0.0,1.0,0.0,1.0,1.0,1.0,7375.0,10374.0,214.0,7704.0,10351.0,194.0,-329.0,23.0,20.0,0.0,1.0,0.0,2.0,3.0,1.0,9133.0,14070.0,260.0,9996.0,13523.0,238.0,-863.0,547.0,22.0,0.0,1.0,1.0,3.0,5.0,1.0
LOLTMNT05_176916,complete,LFL,2026.0,0.0,2.0,16.03,Blue,mid,Fresskowy,Movistar KOI Fénix,1.0,Orianna,Nocturne,Ambessa,Rell,Braum,Lulu,1943.0,1.0,5.0,3.0,13.0,24.0,19.0,0.0,0.0,0.0,0.0,0.0,0.7411,1.3278,0.0,0.0,18.0,6.0,6.0,46.0,15653.0,11414.0,352.4653,14950.0,300.0,300.0,0.0,9.264,3963.0,4377.0,84.0,2926.0,3824.0,63.0,1037.0,553.0,21.0,2.0,1.0,1.0,0.0,1.0,3.0,6360.0,7472.0,145.0,5146.0,6865.0,113.0,1214.0,607.0,32.0,3.0,2.0,1.0,2.0,3.0,3.0,8989.0,10531.0,205.0,6766.0,9593.0,161.0,2223.0,938.0,44.0,3.0,3.0,2.0,2.0,4.0,4.0,10748.0,12650.0,238.0,8489.0,11648.0,191.0,2259.0,1002.0,47.0,3.0,6.0,3.0,3.0,6.0,5.0
LOLTMNT05_176936,complete,AL,2026.0,1.0,3.0,16.03,Red,mid,Fresskowy,Movistar KOI Fénix,0.0,Aurora,Rumble,Varus,Rell,Syndra,Sylas,1741.0,0.0,5.0,3.0,2.0,8.0,20.0,1.0,0.0,0.0,0.0,0.0,0.2757,0.965,0.0,0.0,10.0,2.0,3.0,28.0,10828.0,7001.0,241.2751,9375.0,246.0,246.0,0.0,8.4779,4093.0,5102.0,85.0,3704.0,4985.0,87.0,389.0,117.0,-2.0,3.0,0.0,0.0,1.0,0.0,0.0,5738.0,7559.0,135.0,5630.0,7988.0,145.0,108.0,-429.0,-10.0,3.0,0.0,1.0,1.0,1.0,0.0,8130.0,10337.0,179.0,8834.0,11432.0,204.0,-704.0,-1095.0,-25.0,5.0,1.0,1.0,4.0,2.0,0.0,9714.0,13001.0,224.0,10694.0,15387.0,223.0,-980.0,-2386.0,1.0,5.0,2.0,1.0,6.0,2.0,0.0
LOLTMNT05_175965,complete,TCL,2026.0,0.0,1.0,16.03,Blue,mid,Fresskowy,Movistar KOI Fénix,1.0,Azir,Ambessa,Akali,Diana,Syndra,Taliyah,1641.0,1.0,0.0,1.0,13.0,22.0,7.0,0.0,0.0,0.0,0.0,0.0,0.8044,1.0603,0.0,0.0,11.0,3.0,2.0,27.0,12304.0,8681.0,317.404,10100.0,279.0,279.0,0.0,10.2011,3675.0,5022.0,106.0,3840.0,5127.0,91.0,-165.0,-105.0,15.0,0.0,1.0,1.0,1.0,0.0,0.0,5652.0,7938.0,169.0,5728.0,8370.0,151.0,-76.0,-432.0,18.0,0.0,1.0,1.0,1.0,0.0,0.0,8210.0,10844.0,219.0,7344.0,10368.0,196.0,866.0,476.0,23.0,0.0,4.0,1.0,1.0,0.0,0.0,11109.0,14860.0,270.0,9020.0,12327.0,222.0,2089.0,2533.0,48.0,0.0,9.0,1.0,2.0,1.0,2.0
LOLTMNT05_176994,complete,LEC,2026.0,1.0,2.0,16.03,Red,mid,Fresskowy,Movistar KOI Fénix,0.0,Taliyah,Ambessa,Galio,Sion,Syndra,Hwei,1613.0,1.0,3.0,1.0,15.0,30.0,16.0,0.0,0.0,0.0,0.0,0.0,1.1159,1.7111,0.0,0.0,11.0,3.0,5.0,27.0,11290.0,7724.0,287.3156,10025.0,223.0,219.0,4.0,8.2951,3729.0,5093.0,94.0,3605.0,4346.0,69.0,124.0,747.0,25.0,0.0,0.0,1.0,2.0,2.0,1.0,5601.0,7903.0,146.0,5206.0,6904.0,115.0,395.0,999.0,31.0,0.0,3.0,1.0,2.0,3.0,1.0,7550.0,10407.0,180.0,8969.0,10210.0,153.0,-1419.0,197.0,27.0,0.0,8.0,1.0,5.0,3.0,2.0,10242.0,13669.0,205.0,10762.0,12291.0,186.0,-520.0,1378.0,19.0,3.0,12.0,1.0,5.0,5.0,3.0
LOLTMNT03_345308,complete,CBLOL,2026.0,0.0,1.0,16.03,Blue,mid,Fresskowy,Movistar KOI Fénix,1.0,Azir,Jayce,Varus,Nocturne,Neeko,Braum,1850.0,1.0,1.0,0.0,5.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.3568,0.5514,0.0,0.0,16.0,8.0,6.0,42.0,13169.0,9119.0,295.7514,10750.0,317.0,317.0,0.0,10.2811,3682.0,5425.0,96.0,3822.0,5379.0,105.0,-140.0,46.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,5656.0,8172.0,158.0,5647.0,8341.0,164.0,9.0,-169.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,7904.0,11462.0,222.0,7951.0,11637.0,227.0,-47.0,-175.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,9695.0,14028.0,275.0,10377.0,14475.0,289.0,-682.0,-447.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0
LOLTMNT05_178014,complete,LEC,2026.0,1.0,2.0,16.03,Red,mid,Fresskowy,Movistar KOI Fénix,0.0,Syndra,Jayce,Varus,Orianna,Karma,Bard,2206.0,1.0,3.0,2.0,11.0,20.0,17.0,0.0,0.0,0.0,0.0,0.0,0.544,1.0063,0.0,0.0,17.0,6.0,6.0,36.0,13985.0,9209.0,250.4714,12600.0,311.0,307.0,4.0,8.4587,3461.0,4733.0,98.0,3757.0,5042.0,105.0,-296.0,-309.0,-7.0,0.0,1.0,0.0,0.0,0.0,0.0,5223.0,7443.0,159.0,6076.0,8238.0,166.0,-853.0,-795.0,-7.0,0.0,1.0,1.0,1.0,0.0,0.0,6888.0,9878.0,189.0,8506.0,11630.0,230.0,-1618.0,-1752.0,-41.0,0.0,7.0,1.0,2.0,3.0,0.0,9098.0,12899.0,233.0,11803.0,16515.0,295.0,-2705.0,-3616.0,-62.0,1.0,8.0,1.0,3.0,4.0,1.0
LOLTMNT02_356875,complete,LCK,2026.0,0.0,1.0,16.03,Blue,mid,Fresskowy,Movistar KOI Fénix,1.0,Ahri,Lux,Vi,Orianna,Aurora,Syndra,1511.0,1.0,7.0,0.0,8.0,27.0,7.0,2.0,1.0,0.0,0.0,0.0,1.0721,1.3501,0.0,0.0,10.0,5.0,3.0,35.0,12530.0,9172.0,364.2091,11025.0,243.0,243.0,0.0,9.6492,3559.0,5138.0,98.0,3301.0,5181.0,86.0,258.0,-43.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5989.0,8208.0,148.0,4739.0,7213.0,127.0,1250.0,995.0,21.0,1.0,3.0,0.0,0.0,0.0,2.0,8589.0,10888.0,185.0,6252.0,9474.0,168.0,2337.0,1414.0,17.0,4.0,5.0,0.0,0.0,0.0,3.0,12443.0,14886.0,242.0,7304.0,11222.0,182.0,5139.0,3664.0,60.0,7.0,8.0,0.0,0.0,2.0,5.0
LOLTMNT03_344449,complete,LJL,2026.0,1.0,2.0,16.03,Red,mid,Fresskowy,Movistar KOI Fénix,0.0,Akali,Lux,Vi,Orianna,Poppy,Ornn,1834.0,1.0,6.0,1.0,6.0,20.0,8.0,1.0,0.0,0.0,0.0,0.0,0.6543,0.916,0.0,0.0,14.0,6.0,6.0,36.0,13171.0,9154.0,299.4766,12500.0,272.0,272.0,0.0,8.8986,3831.0,4873.0,85.0,3606.0,4610.0,84.0,225.0,263.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5865.0,7509.0,133.0,5076.0,6811.0,126.0,789.0,698.0,7.0,2.0,1.0,1.0,1.0,0.0,0.0,8107.0,10577.0,182.0,7526.0,9803.0,168.0,581.0,774.0,14.0,3.0,3.0,1.0,2.0,1.0,1.0,10136.0,13951.0,223.0,9334.0,12208.0,211.0,802.0,1743.0,12.0,3.0,5.0,1.0,2.0,2.0,2.0
