gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_163282,complete,LEC,2026.0,0.0,1.0,16.01,Blue,sup,Gaeng,DetonatioN FocusMe,0.0,Nami,Jayce,Rumble,Orianna,Gnar,Yorick,1760.0,0.0,0.0,3.0,4.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.1364,0.6136,0.0,0.0,36.0,4.0,12.0,62.0,6407.0,2541.0,86.625,6820.0,23.0,23.0,0.0,0.7841,2306.0,2802.0,18.0,2502.0,2959.0,20.0,-196.0,-157.0,-2.0,0.0,0.0,1.0,0.0,1.0,0.0,3345.0,4421.0,21.0,3688.0,4434.0,33.0,-343.0,-13.0,-12.0,0.0,0.0,1.0,0.0,1.0,0.0,4432.0,6161.0,21.0,4965.0,5396.0,36.0,-533.0,765.0,-15.0,0.0,1.0,1.0,0.0,2.0,1.0,5464.0,7768.0,23.0,6071.0,7042.0,37.0,-607.0,726.0,-14.0,0.0,2.0,1.0,0.0,4.0,1.0
LOLTMNT01_320998,complete,LCP,2026.0,0.0,2.0,16.01,Blue,sup,Gaeng,DetonatioN FocusMe,1.0,Thresh,Ambessa,Jarvan IV,Akali,Seraphine,Neeko,1691.0,0.0,0.0,5.0,2.0,6.0,19.0,0.0,0.0,0.0,0.0,0.0,0.2129,0.887,0.0,0.0,47.0,7.0,12.0,88.0,6207.0,2482.0,88.0662,5850.0,34.0,34.0,0.0,1.2064,2320.0,2932.0,20.0,3312.0,3407.0,10.0,-992.0,-475.0,10.0,0.0,0.0,2.0,2.0,1.0,0.0,3386.0,4334.0,26.0,5174.0,5022.0,15.0,-1788.0,-688.0,11.0,0.0,1.0,3.0,3.0,2.0,0.0,4423.0,5552.0,31.0,6256.0,5755.0,17.0,-1833.0,-203.0,14.0,0.0,1.0,3.0,3.0,2.0,0.0,5615.0,8133.0,34.0,7943.0,8015.0,23.0,-2328.0,118.0,11.0,0.0,2.0,4.0,3.0,3.0,0.0
LOLTMNT01_324691,complete,LCS,2026.0,0.0,1.0,16.01,Blue,sup,Gaeng,DetonatioN FocusMe,0.0,Alistar,Neeko,Jayce,Ezreal,Sivir,Corki,1814.0,0.0,0.0,4.0,6.0,9.0,19.0,0.0,0.0,0.0,0.0,0.0,0.2977,0.9261,0.0,0.0,47.0,2.0,9.0,82.0,6488.0,2512.0,83.0871,5485.0,18.0,18.0,0.0,0.5954,2191.0,2739.0,10.0,2515.0,3041.0,10.0,-324.0,-302.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3363.0,4505.0,16.0,3627.0,4328.0,13.0,-264.0,177.0,3.0,0.0,3.0,1.0,0.0,2.0,1.0,4451.0,5614.0,18.0,4987.0,6258.0,13.0,-536.0,-644.0,5.0,0.0,4.0,1.0,1.0,3.0,1.0,5578.0,7580.0,18.0,6143.0,7485.0,16.0,-565.0,95.0,2.0,0.0,6.0,2.0,1.0,3.0,3.0
LOLTMNT02_344203,complete,LCP,2026.0,0.0,2.0,16.01,Red,sup,Gaeng,DetonatioN FocusMe,1.0,Rell,Malphite,Ambessa,Yunara,Jarvan IV,Vi,1583.0,0.0,0.0,4.0,5.0,7.0,21.0,0.0,0.0,0.0,0.0,0.0,0.2653,1.0613,0.0,0.0,51.0,17.0,16.0,107.0,6258.0,2753.0,104.3462,5995.0,27.0,27.0,0.0,1.0234,2316.0,2773.0,11.0,2486.0,3054.0,10.0,-170.0,-281.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3461.0,3485.0,17.0,3690.0,3686.0,13.0,-229.0,-201.0,4.0,0.0,1.0,2.0,0.0,5.0,1.0,4696.0,5324.0,22.0,4974.0,4750.0,15.0,-278.0,574.0,7.0,0.0,3.0,3.0,0.0,6.0,2.0,5917.0,6986.0,27.0,6439.0,6566.0,19.0,-522.0,420.0,8.0,0.0,4.0,3.0,0.0,8.0,3.0
LOLTMNT01_328039,complete,HW,2026.0,0.0,1.0,16.01,Blue,sup,Gaeng,DetonatioN FocusMe,1.0,Alistar,Malphite,Rumble,Orianna,Kai'Sa,Varus,2061.0,0.0,1.0,7.0,9.0,11.0,31.0,0.0,0.0,0.0,0.0,1.0,0.3202,1.2227,0.0,0.0,58.0,6.0,16.0,112.0,8326.0,3846.0,111.9651,7855.0,23.0,23.0,0.0,0.6696,2546.0,3175.0,12.0,2898.0,3177.0,17.0,-352.0,-2.0,-5.0,1.0,1.0,2.0,0.0,5.0,1.0,3689.0,4210.0,19.0,4017.0,4100.0,22.0,-328.0,110.0,-3.0,1.0,2.0,2.0,0.0,6.0,1.0,4821.0,5245.0,22.0,5170.0,5412.0,26.0,-349.0,-167.0,-4.0,1.0,3.0,2.0,0.0,7.0,1.0,6494.0,8560.0,23.0,6378.0,7214.0,29.0,116.0,1346.0,-6.0,1.0,7.0,4.0,0.0,10.0,1.0
LOLTMNT01_328072,complete,HLL,2026.0,0.0,2.0,16.01,Blue,sup,Gaeng,DetonatioN FocusMe,1.0,Nautilus,Malphite,Akali,Bard,Poppy,Rakan,1885.0,0.0,0.0,6.0,7.0,8.0,17.0,0.0,0.0,0.0,0.0,0.0,0.2546,0.7958,0.0,0.0,53.0,10.0,16.0,116.0,7248.0,3127.0,99.5332,7035.0,27.0,27.0,0.0,0.8594,2357.0,2326.0,13.0,2539.0,2379.0,18.0,-182.0,-53.0,-5.0,0.0,1.0,1.0,0.0,2.0,0.0,3560.0,3540.0,19.0,3627.0,3565.0,25.0,-67.0,-25.0,-6.0,0.0,2.0,2.0,0.0,3.0,0.0,4581.0,5400.0,22.0,5119.0,5522.0,29.0,-538.0,-122.0,-7.0,0.0,3.0,2.0,0.0,3.0,0.0,5778.0,6647.0,23.0,6251.0,6777.0,33.0,-473.0,-130.0,-10.0,0.0,6.0,3.0,0.0,3.0,1.0
LOLTMNT01_333948,complete,LJL,2026.0,0.0,1.0,16.02,Red,sup,Gaeng,DetonatioN FocusMe,0.0,Nautilus,Ambessa,Orianna,Jayce,Lulu,Gnar,1433.0,0.0,0.0,4.0,3.0,4.0,24.0,0.0,0.0,0.0,0.0,0.0,0.1675,1.1724,0.0,0.0,35.0,11.0,12.0,87.0,5232.0,2033.0,85.1221,5105.0,30.0,30.0,0.0,1.2561,2168.0,2256.0,16.0,2745.0,3012.0,12.0,-577.0,-756.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,3409.0,3703.0,24.0,4493.0,4464.0,22.0,-1084.0,-761.0,2.0,0.0,2.0,1.0,2.0,4.0,0.0,4418.0,4284.0,29.0,6228.0,6848.0,29.0,-1810.0,-2564.0,0.0,0.0,2.0,2.0,2.0,10.0,0.0,,,,,,,,,,,,,,,
LOLTMNT01_334907,complete,LJL,2026.0,0.0,2.0,16.02,Red,sup,Gaeng,DetonatioN FocusMe,1.0,Rell,Malphite,Ambessa,Orianna,Gwen,Aatrox,1985.0,0.0,1.0,7.0,5.0,11.0,27.0,0.0,0.0,0.0,0.0,0.0,0.3325,1.1486,0.0,0.0,67.0,11.0,13.0,107.0,8358.0,4033.0,121.9043,7885.0,35.0,35.0,0.0,1.0579,2244.0,2444.0,19.0,2622.0,2745.0,10.0,-378.0,-301.0,9.0,0.0,0.0,1.0,0.0,4.0,0.0,3565.0,3876.0,26.0,3943.0,3265.0,23.0,-378.0,611.0,3.0,0.0,3.0,2.0,0.0,5.0,1.0,4632.0,4854.0,27.0,5485.0,5366.0,31.0,-853.0,-512.0,-4.0,0.0,4.0,5.0,0.0,8.0,1.0,5714.0,6203.0,31.0,6883.0,6415.0,35.0,-1169.0,-212.0,-4.0,0.0,4.0,6.0,1.0,8.0,2.0
LOLTMNT04_151724,complete,CCWS,2026.0,0.0,1.0,16.02,Red,sup,Gaeng,DetonatioN FocusMe,0.0,Rakan,Ambessa,Jarvan IV,Galio,Aurora,K'Sante,3004.0,1.0,1.0,4.0,23.0,26.0,14.0,0.0,0.0,0.0,0.0,0.0,0.5193,0.7989,0.0,0.0,112.0,29.0,22.0,237.0,13372.0,6968.0,139.1744,11555.0,52.0,52.0,0.0,1.0386,2731.0,2311.0,20.0,2411.0,2351.0,18.0,320.0,-40.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,4041.0,3650.0,32.0,3641.0,3358.0,32.0,400.0,292.0,0.0,1.0,3.0,0.0,0.0,2.0,2.0,5093.0,4374.0,33.0,4812.0,4686.0,35.0,281.0,-312.0,-2.0,1.0,4.0,1.0,0.0,4.0,2.0,6143.0,5531.0,36.0,6517.0,6761.0,40.0,-374.0,-1230.0,-4.0,1.0,5.0,3.0,0.0,8.0,2.0
LOLTMNT04_151728,complete,LIT,2026.0,1.0,2.0,16.02,Red,sup,Gaeng,DetonatioN FocusMe,1.0,Nami,Ambessa,Gwen,Aurora,Malphite,Gnar,1468.0,0.0,0.0,2.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0409,0.6131,0.0,0.0,37.0,8.0,14.0,72.0,5202.0,1932.0,78.9646,5070.0,28.0,28.0,0.0,1.1444,2206.0,2564.0,15.0,2608.0,3072.0,19.0,-402.0,-508.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,3321.0,4021.0,23.0,4211.0,5071.0,31.0,-890.0,-1050.0,-8.0,0.0,0.0,0.0,0.0,2.0,0.0,4318.0,6059.0,25.0,5295.0,6187.0,31.0,-977.0,-128.0,-6.0,0.0,0.0,0.0,0.0,2.0,0.0,5202.0,6928.0,28.0,7331.0,10194.0,36.0,-2129.0,-3266.0,-8.0,0.0,0.0,2.0,0.0,12.0,0.0
