gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_165070,complete,AL,2026.0,0.0,1.0,16.02,Blue,top,Gakgos,FlyQuest,0.0,K'Sante,Poppy,Jayce,Jarvan IV,Nautilus,Sion,2382.0,1.0,6.0,2.0,17.0,30.0,18.0,1.0,0.0,0.0,0.0,0.0,0.7557,1.2091,0.0,0.0,14.0,7.0,7.0,52.0,16256.0,11121.0,280.1259,14275.0,305.0,297.0,8.0,7.6826,3257.0,5087.0,89.0,3475.0,5472.0,100.0,-218.0,-385.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,5543.0,9377.0,153.0,5035.0,8936.0,150.0,508.0,441.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,7632.0,12793.0,201.0,7148.0,11208.0,182.0,484.0,1585.0,19.0,1.0,2.0,0.0,1.0,0.0,3.0,9779.0,15773.0,236.0,8955.0,14029.0,225.0,824.0,1744.0,11.0,3.0,4.0,0.0,2.0,0.0,4.0
LOLTMNT04_149477,complete,LIT,2026.0,1.0,2.0,16.02,Blue,top,Gakgos,FlyQuest,1.0,Sion,Poppy,Jarvan IV,Gangplank,Nami,Gwen,2337.0,1.0,3.0,0.0,7.0,22.0,9.0,1.0,0.0,0.0,0.0,0.0,0.5648,0.7959,0.0,0.0,11.0,2.0,4.0,28.0,14945.0,9902.0,254.2234,13650.0,305.0,305.0,0.0,7.8306,3471.0,5348.0,96.0,3387.0,5131.0,95.0,84.0,217.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4774.0,8474.0,131.0,5167.0,8786.0,151.0,-393.0,-312.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,7548.0,12233.0,189.0,7605.0,12096.0,204.0,-57.0,137.0,-15.0,1.0,2.0,0.0,1.0,2.0,1.0,9363.0,15378.0,236.0,9251.0,14665.0,248.0,112.0,713.0,-12.0,1.0,3.0,0.0,1.0,2.0,2.0
LOLTMNT01_338322,complete,ROL,2026.0,0.0,1.0,16.02,Red,top,Gakgos,FlyQuest,0.0,K'Sante,Jarvan IV,Pantheon,Akali,Bard,Nautilus,1707.0,1.0,1.0,0.0,7.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5272,0.5624,0.0,0.0,9.0,2.0,0.0,20.0,11284.0,7526.0,264.5343,10350.0,280.0,280.0,0.0,9.8418,3610.0,5286.0,102.0,4173.0,5472.0,102.0,-563.0,-186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5272.0,8930.0,160.0,6188.0,9359.0,158.0,-916.0,-429.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6871.0,11505.0,198.0,7705.0,11075.0,182.0,-834.0,430.0,16.0,0.0,1.0,0.0,0.0,1.0,2.0,9122.0,14737.0,250.0,9378.0,13490.0,217.0,-256.0,1247.0,33.0,0.0,3.0,0.0,0.0,1.0,3.0
LOLTMNT04_152722,complete,NLC,2026.0,0.0,2.0,16.02,Red,top,Gakgos,FlyQuest,1.0,Sion,Pantheon,Jarvan IV,Renekton,Yunara,Gwen,2105.0,0.0,4.0,1.0,5.0,15.0,17.0,0.0,0.0,0.0,0.0,0.0,0.4276,0.9121,0.0,0.0,18.0,4.0,6.0,40.0,12676.0,8106.0,231.0499,12000.0,300.0,300.0,0.0,8.5511,3569.0,5193.0,99.0,3480.0,5273.0,95.0,89.0,-80.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5201.0,8788.0,152.0,5419.0,9384.0,161.0,-218.0,-596.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,8029.0,12839.0,213.0,7420.0,12353.0,212.0,609.0,486.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,10189.0,15670.0,247.0,9422.0,14953.0,256.0,767.0,717.0,-9.0,4.0,4.0,0.0,1.0,0.0,2.0
LOLTMNT04_152721,complete,EBL,2026.0,0.0,3.0,16.02,Blue,top,Gakgos,FlyQuest,1.0,Aurora,Pantheon,Neeko,Akali,Jarvan IV,Viktor,1823.0,1.0,6.0,2.0,8.0,21.0,11.0,1.0,0.0,0.0,0.0,0.0,0.6912,1.0532,0.0,0.0,14.0,3.0,4.0,30.0,13757.0,9762.0,321.2946,11800.0,272.0,272.0,0.0,8.9523,3597.0,5286.0,99.0,3062.0,4883.0,76.0,535.0,403.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,5040.0,8780.0,144.0,5286.0,9540.0,131.0,-246.0,-760.0,13.0,0.0,0.0,1.0,1.0,0.0,0.0,6850.0,12320.0,198.0,7033.0,12821.0,185.0,-183.0,-501.0,13.0,0.0,0.0,1.0,1.0,0.0,0.0,10180.0,15971.0,225.0,9778.0,15401.0,222.0,402.0,570.0,3.0,3.0,4.0,2.0,3.0,1.0,2.0
LOLTMNT02_352763,complete,LCP,2026.0,1.0,1.0,16.03,Blue,top,Gakgos,FlyQuest,0.0,Gnar,Ziggs,Rumble,Azir,Nami,Bard,1735.0,0.0,0.0,5.0,0.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.1729,0.7262,0.0,0.0,8.0,1.0,0.0,15.0,9737.0,5922.0,204.7954,8833.0,289.0,289.0,0.0,9.9942,3443.0,5379.0,96.0,3971.0,5442.0,109.0,-528.0,-63.0,-13.0,0.0,0.0,0.0,1.0,0.0,0.0,4842.0,8262.0,135.0,5855.0,9662.0,171.0,-1013.0,-1400.0,-36.0,0.0,0.0,2.0,1.0,1.0,0.0,6543.0,11545.0,192.0,8118.0,13112.0,222.0,-1575.0,-1567.0,-30.0,0.0,0.0,3.0,1.0,3.0,0.0,8424.0,15489.0,252.0,11541.0,18160.0,307.0,-3117.0,-2671.0,-55.0,0.0,0.0,4.0,1.0,3.0,0.0
LOLTMNT02_352782,complete,LCK,2026.0,0.0,2.0,16.03,Red,top,Gakgos,FlyQuest,1.0,Jayce,Ziggs,Bard,Rumble,Pantheon,Jarvan IV,2324.0,1.0,0.0,1.0,7.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.3356,0.4905,0.0,0.0,16.0,9.0,3.0,60.0,13253.0,8236.0,212.6334,12425.0,305.0,305.0,0.0,7.8744,3481.0,4604.0,90.0,3500.0,5164.0,94.0,-19.0,-560.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,4758.0,7671.0,125.0,5555.0,9476.0,153.0,-797.0,-1805.0,-28.0,0.0,0.0,1.0,1.0,0.0,0.0,6980.0,10831.0,185.0,7358.0,12799.0,207.0,-378.0,-1968.0,-22.0,0.0,0.0,1.0,1.0,0.0,0.0,8801.0,13131.0,230.0,8644.0,15209.0,226.0,157.0,-2078.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0
LOLTMNT02_351765,complete,LCP,2026.0,1.0,3.0,16.03,Red,top,Gakgos,FlyQuest,0.0,Rumble,Ziggs,Jarvan IV,Pantheon,Galio,Xin Zhao,1479.0,0.0,2.0,3.0,2.0,5.0,26.0,0.0,0.0,0.0,0.0,0.0,0.2028,1.2576,0.0,0.0,9.0,1.0,2.0,21.0,9886.0,6593.0,267.4645,8800.0,216.0,216.0,0.0,8.7627,3293.0,5286.0,87.0,3760.0,5472.0,102.0,-467.0,-186.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,5717.0,8872.0,138.0,6074.0,9541.0,159.0,-357.0,-669.0,-21.0,1.0,0.0,1.0,0.0,1.0,0.0,7464.0,11668.0,190.0,8770.0,12713.0,210.0,-1306.0,-1045.0,-20.0,1.0,0.0,1.0,3.0,4.0,0.0,9886.0,14190.0,216.0,12111.0,16192.0,249.0,-2225.0,-2002.0,-33.0,2.0,2.0,3.0,4.0,9.0,1.0
LOLTMNT05_178021,complete,LEC,2026.0,1.0,1.0,16.03,Red,top,Gakgos,FlyQuest,0.0,Rumble,Ziggs,Azir,Taliyah,Cassiopeia,Bard,1742.0,0.0,0.0,1.0,1.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.1378,0.7577,0.0,0.0,10.0,1.0,0.0,19.0,10648.0,6819.0,234.868,10300.0,265.0,257.0,8.0,9.1274,3591.0,5255.0,91.0,3541.0,5410.0,103.0,50.0,-155.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,5480.0,9055.0,143.0,5467.0,9616.0,166.0,13.0,-561.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,7393.0,12441.0,200.0,7648.0,12648.0,219.0,-255.0,-207.0,-19.0,0.0,0.0,0.0,1.0,1.0,0.0,9090.0,14759.0,234.0,9954.0,15772.0,248.0,-864.0,-1013.0,-14.0,0.0,1.0,1.0,3.0,3.0,1.0
LOLTMNT03_345473,complete,CBLOL,2026.0,0.0,2.0,16.03,Red,top,Gakgos,FlyQuest,1.0,Sion,Ziggs,Pantheon,Nautilus,Bard,Rakan,1537.0,0.0,1.0,1.0,2.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.1952,0.6636,0.0,0.0,14.0,3.0,4.0,37.0,8674.0,5263.0,205.4522,8450.0,226.0,226.0,0.0,8.8224,3409.0,5224.0,94.0,3683.0,5410.0,103.0,-274.0,-186.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,5530.0,9237.0,140.0,5234.0,8259.0,144.0,296.0,978.0,-4.0,1.0,2.0,0.0,0.0,0.0,2.0,7316.0,12420.0,199.0,7192.0,11573.0,203.0,124.0,847.0,-4.0,1.0,2.0,0.0,0.0,0.0,2.0,8599.0,14096.0,226.0,10057.0,15229.0,239.0,-1458.0,-1133.0,-13.0,1.0,2.0,1.0,2.0,2.0,2.0
