gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_335767,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,mid,Garden,Dplus Kia Challengers,0.0,Taliyah,Orianna,Azir,Rumble,Ryze,Galio,1775.0,1.0,4.0,0.0,4.0,15.0,8.0,0.0,0.0,0.0,0.0,0.0,0.507,0.7775,0.0,0.0,16.0,1.0,4.0,24.0,14459.0,10562.0,357.0254,11700.0,333.0,329.0,4.0,11.2563,3666.0,5484.0,104.0,4277.0,5383.0,101.0,-611.0,101.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,5631.0,8622.0,157.0,6029.0,8303.0,157.0,-398.0,319.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,8026.0,11474.0,209.0,7817.0,11025.0,207.0,209.0,449.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,10736.0,15418.0,279.0,9606.0,13494.0,255.0,1130.0,1924.0,24.0,2.0,2.0,0.0,1.0,2.0,2.0
LOLTMNT03_334841,complete,LCKC,2026.0,0.0,2.0,16.01,Blue,mid,Garden,Dplus Kia Challengers,0.0,Anivia,Orianna,Azir,Rumble,Vi,Bard,1804.0,1.0,4.0,1.0,11.0,18.0,8.0,0.0,0.0,0.0,0.0,0.0,0.5987,0.8647,0.0,0.0,14.0,11.0,4.0,43.0,14000.0,10044.0,334.0576,13150.0,291.0,287.0,4.0,9.6785,3685.0,5321.0,103.0,4160.0,5148.0,97.0,-475.0,173.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,5364.0,7876.0,153.0,5977.0,7957.0,152.0,-613.0,-81.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,8594.0,12070.0,217.0,7932.0,10580.0,195.0,662.0,1490.0,22.0,2.0,1.0,0.0,3.0,2.0,1.0,11186.0,16758.0,244.0,9703.0,14210.0,225.0,1483.0,2548.0,19.0,3.0,6.0,1.0,4.0,2.0,2.0
LOLTMNT03_336511,complete,LCK,2026.0,0.0,1.0,16.01,Red,mid,Garden,Dplus Kia Challengers,1.0,Taliyah,Vi,Malphite,Nautilus,Pyke,Gnar,2126.0,0.0,0.0,5.0,0.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.1129,0.6209,0.0,0.0,27.0,5.0,15.0,53.0,12334.0,7721.0,217.9022,12325.0,330.0,326.0,4.0,9.3133,3460.0,5225.0,98.0,3834.0,5046.0,107.0,-374.0,179.0,-9.0,0.0,0.0,1.0,0.0,1.0,0.0,4985.0,7434.0,144.0,6243.0,8130.0,168.0,-1258.0,-696.0,-24.0,0.0,0.0,2.0,1.0,2.0,0.0,6736.0,9913.0,197.0,9299.0,11880.0,240.0,-2563.0,-1967.0,-43.0,0.0,0.0,3.0,2.0,3.0,0.0,8317.0,11486.0,228.0,11690.0,16004.0,298.0,-3373.0,-4518.0,-70.0,0.0,0.0,3.0,2.0,3.0,0.0
LOLTMNT06_164172,complete,AL,2026.0,0.0,2.0,16.01,Red,mid,Garden,Dplus Kia Challengers,1.0,Galio,Neeko,Malphite,Aphelios,Nautilus,Alistar,1700.0,0.0,0.0,2.0,4.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,0.2118,0.7765,0.0,0.0,9.0,9.0,7.0,32.0,9864.0,6120.0,216.0,9825.0,264.0,264.0,0.0,9.3176,3246.0,4593.0,85.0,3748.0,5160.0,95.0,-502.0,-567.0,-10.0,0.0,0.0,1.0,1.0,0.0,0.0,4904.0,7236.0,137.0,6316.0,8594.0,148.0,-1412.0,-1358.0,-11.0,0.0,0.0,1.0,3.0,1.0,0.0,7245.0,10916.0,197.0,8096.0,10920.0,193.0,-851.0,-4.0,4.0,0.0,3.0,1.0,3.0,1.0,1.0,8634.0,12711.0,232.0,9665.0,13218.0,233.0,-1031.0,-507.0,-1.0,0.0,3.0,1.0,3.0,2.0,1.0
LOLTMNT05_172202,complete,CCWS,2026.0,0.0,1.0,16.01,Red,mid,Garden,Dplus Kia Challengers,1.0,Azir,Vi,Malphite,Varus,Nautilus,Gnar,2024.0,1.0,7.0,4.0,4.0,20.0,9.0,2.0,0.0,0.0,0.0,0.0,0.5929,0.8597,0.0,0.0,21.0,8.0,8.0,43.0,16808.0,12403.0,367.6779,15050.0,348.0,345.0,3.0,10.3162,3614.0,5280.0,105.0,3430.0,5166.0,96.0,184.0,114.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,5315.0,8264.0,165.0,5422.0,8486.0,162.0,-107.0,-222.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7906.0,11802.0,237.0,7095.0,11000.0,210.0,811.0,802.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,10131.0,14470.0,274.0,9728.0,13681.0,257.0,403.0,789.0,17.0,1.0,1.0,2.0,1.0,1.0,1.0
LOLTMNT01_323374,complete,ROL,2026.0,0.0,2.0,16.01,Blue,mid,Garden,Dplus Kia Challengers,1.0,Ahri,Vi,Malphite,Bard,Nami,Sylas,1902.0,1.0,6.0,3.0,4.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.5047,0.6625,0.0,0.0,12.0,7.0,9.0,45.0,13595.0,9439.0,297.7603,11425.0,290.0,290.0,0.0,9.1483,3554.0,5430.0,87.0,3281.0,5092.0,81.0,273.0,338.0,6.0,1.0,0.0,1.0,0.0,1.0,1.0,5809.0,8582.0,142.0,4813.0,7327.0,128.0,996.0,1255.0,14.0,2.0,2.0,1.0,0.0,2.0,3.0,8276.0,11947.0,206.0,6633.0,10091.0,179.0,1643.0,1856.0,27.0,3.0,2.0,1.0,0.0,2.0,3.0,10709.0,14846.0,243.0,8351.0,12913.0,218.0,2358.0,1933.0,25.0,5.0,2.0,2.0,0.0,3.0,4.0
LOLTMNT03_340105,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,mid,Garden,Dplus Kia Challengers,1.0,Azir,Malphite,Vi,Orianna,Nautilus,Gnar,2447.0,0.0,3.0,6.0,9.0,15.0,21.0,1.0,0.0,0.0,0.0,0.0,0.3678,0.8827,0.0,0.0,22.0,15.0,9.0,65.0,16165.0,10898.0,267.217,15875.0,338.0,338.0,0.0,8.2877,3197.0,4518.0,83.0,4167.0,5018.0,98.0,-970.0,-500.0,-15.0,0.0,0.0,1.0,1.0,0.0,0.0,5092.0,7095.0,133.0,6687.0,8105.0,160.0,-1595.0,-1010.0,-27.0,0.0,1.0,3.0,2.0,1.0,1.0,7299.0,10207.0,197.0,8661.0,10618.0,204.0,-1362.0,-411.0,-7.0,0.0,2.0,3.0,3.0,1.0,1.0,9092.0,12657.0,224.0,10267.0,12690.0,235.0,-1175.0,-33.0,-11.0,1.0,4.0,4.0,3.0,5.0,3.0
LOLTMNT02_343066,complete,LCP,2026.0,0.0,2.0,16.01,Red,mid,Garden,Dplus Kia Challengers,0.0,Ryze,Rumble,Orianna,Poppy,Aphelios,Corki,1588.0,1.0,4.0,0.0,4.0,14.0,2.0,0.0,0.0,0.0,0.0,1.0,0.529,0.6045,0.0,0.0,16.0,2.0,5.0,28.0,14197.0,10682.0,403.602,12875.0,299.0,291.0,8.0,11.2972,3845.0,5245.0,97.0,3506.0,4879.0,98.0,339.0,366.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,6281.0,8455.0,155.0,4847.0,7058.0,136.0,1434.0,1397.0,19.0,2.0,2.0,0.0,0.0,1.0,2.0,9304.0,11405.0,219.0,6529.0,9644.0,189.0,2775.0,1761.0,30.0,2.0,2.0,0.0,0.0,1.0,2.0,13243.0,17045.0,288.0,8102.0,11527.0,227.0,5141.0,5518.0,61.0,3.0,4.0,0.0,0.0,2.0,3.0
LOLTMNT03_341143,complete,LCK,2026.0,0.0,3.0,16.01,Blue,mid,Garden,Dplus Kia Challengers,1.0,Orianna,Vi,Ambessa,Nautilus,Lulu,Kennen,2476.0,0.0,2.0,5.0,6.0,15.0,16.0,0.0,0.0,0.0,0.0,0.0,0.3635,0.7512,0.0,0.0,28.0,6.0,15.0,57.0,12901.0,7574.0,183.538,12625.0,262.0,262.0,0.0,6.3489,3643.0,5322.0,89.0,3863.0,5125.0,95.0,-220.0,197.0,-6.0,1.0,0.0,1.0,1.0,0.0,1.0,5444.0,7841.0,132.0,6354.0,8468.0,144.0,-910.0,-627.0,-12.0,2.0,0.0,2.0,3.0,1.0,1.0,6937.0,10057.0,170.0,8846.0,10901.0,189.0,-1909.0,-844.0,-19.0,2.0,0.0,3.0,4.0,1.0,1.0,8344.0,13236.0,194.0,10492.0,12994.0,222.0,-2148.0,242.0,-28.0,2.0,2.0,3.0,5.0,1.0,2.0
LOLTMNT04_150468,complete,EBL,2026.0,0.0,1.0,16.02,Red,mid,Garden,Dplus Kia Challengers,1.0,Azir,Viego,Malphite,Varus,Akali,Vi,1830.0,0.0,2.0,3.0,2.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,0.2295,0.7213,0.0,0.0,16.0,10.0,7.0,45.0,13998.0,9989.0,327.5082,14075.0,337.0,335.0,2.0,11.0492,3460.0,4859.0,97.0,4177.0,5271.0,100.0,-717.0,-412.0,-3.0,0.0,0.0,0.0,1.0,0.0,0.0,5464.0,7479.0,141.0,5990.0,7892.0,149.0,-526.0,-413.0,-8.0,1.0,1.0,1.0,1.0,0.0,1.0,7575.0,10303.0,201.0,9234.0,11429.0,221.0,-1659.0,-1126.0,-20.0,1.0,1.0,2.0,3.0,0.0,1.0,10770.0,13854.0,274.0,11230.0,14255.0,264.0,-460.0,-401.0,10.0,2.0,2.0,2.0,3.0,1.0,1.0
LOLTMNT04_149481,complete,LIT,2026.0,1.0,2.0,16.02,Red,mid,Garden,Dplus Kia Challengers,0.0,Taliyah,Orianna,Jayce,Ryze,Akali,Ahri,1972.0,0.0,4.0,7.0,4.0,14.0,25.0,0.0,0.0,0.0,0.0,0.0,0.426,1.1866,0.0,0.0,22.0,2.0,10.0,41.0,12979.0,8681.0,264.1278,13050.0,269.0,265.0,4.0,8.1846,3935.0,5250.0,96.0,3912.0,4901.0,90.0,23.0,349.0,6.0,1.0,1.0,1.0,1.0,2.0,0.0,5231.0,7025.0,129.0,5874.0,8123.0,144.0,-643.0,-1098.0,-15.0,1.0,1.0,3.0,1.0,4.0,0.0,7194.0,10079.0,185.0,8471.0,11569.0,202.0,-1277.0,-1490.0,-17.0,1.0,1.0,4.0,3.0,7.0,0.0,9948.0,13677.0,236.0,10270.0,13417.0,237.0,-322.0,260.0,-1.0,2.0,2.0,4.0,3.0,8.0,1.0
LOLTMNT04_149482,complete,LFL,2026.0,0.0,3.0,16.02,Red,mid,Garden,Dplus Kia Challengers,0.0,Aurora,Orianna,Ryze,Jayce,Gnar,Renekton,1911.0,1.0,8.0,3.0,12.0,30.0,14.0,1.0,0.0,0.0,0.0,1.0,0.9419,1.3815,0.0,0.0,8.0,4.0,6.0,33.0,15576.0,11402.0,357.9906,14500.0,271.0,271.0,0.0,8.5086,4366.0,5541.0,107.0,3654.0,4751.0,84.0,712.0,790.0,23.0,1.0,0.0,0.0,1.0,0.0,0.0,5919.0,7812.0,150.0,6022.0,7597.0,134.0,-103.0,215.0,16.0,1.0,0.0,1.0,2.0,0.0,0.0,9012.0,10958.0,195.0,8285.0,10356.0,181.0,727.0,602.0,14.0,3.0,2.0,1.0,3.0,1.0,2.0,11048.0,13267.0,223.0,10182.0,13248.0,232.0,866.0,19.0,-9.0,5.0,3.0,2.0,3.0,2.0,4.0
LOLTMNT04_150469,complete,EBL,2026.0,0.0,4.0,16.02,Blue,mid,Garden,Dplus Kia Challengers,0.0,Ahri,Orianna,Nocturne,Ryze,Blitzcrank,Leona,2671.0,0.0,12.0,5.0,11.0,27.0,27.0,1.0,0.0,0.0,0.0,1.0,0.6065,1.213,0.0,0.0,7.0,32.0,5.0,84.0,18655.0,12931.0,290.4755,17675.0,338.0,330.0,8.0,7.5927,3713.0,4482.0,77.0,4423.0,5349.0,97.0,-710.0,-867.0,-20.0,2.0,0.0,2.0,3.0,1.0,0.0,5576.0,7621.0,144.0,6342.0,7847.0,150.0,-766.0,-226.0,-6.0,2.0,0.0,2.0,3.0,1.0,0.0,8011.0,10057.0,185.0,7856.0,10168.0,187.0,155.0,-111.0,-2.0,4.0,4.0,3.0,3.0,3.0,1.0,9956.0,12092.0,218.0,9502.0,12407.0,231.0,454.0,-315.0,-13.0,6.0,5.0,3.0,3.0,3.0,1.0
LOLTMNT04_151768,complete,LFL,2026.0,0.0,1.0,16.02,Red,mid,Garden,Dplus Kia Challengers,1.0,Azir,Malphite,Varus,Akali,Yunara,Neeko,1672.0,0.0,1.0,6.0,1.0,6.0,26.0,0.0,0.0,0.0,0.0,0.0,0.2153,1.1483,0.0,0.0,13.0,4.0,6.0,31.0,10646.0,6960.0,249.7608,10650.0,268.0,266.0,2.0,9.6172,3445.0,4689.0,97.0,3805.0,5436.0,104.0,-360.0,-747.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,4888.0,6987.0,141.0,6637.0,8448.0,149.0,-1749.0,-1461.0,-8.0,0.0,0.0,2.0,3.0,4.0,0.0,7155.0,9780.0,197.0,10174.0,12329.0,231.0,-3019.0,-2549.0,-34.0,0.0,1.0,2.0,3.0,4.0,0.0,9637.0,12488.0,241.0,12730.0,15719.0,262.0,-3093.0,-3231.0,-21.0,1.0,1.0,5.0,6.0,12.0,1.0
