gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_335312,complete,CBLOL,2026.0,0.0,1.0,16.02,Blue,top,Gecko,Clocks,1.0,Renekton,Akali,Cassiopeia,Neeko,Nami,Poppy,1660.0,1.0,4.0,0.0,5.0,20.0,9.0,0.0,0.0,0.0,0.0,0.0,0.7229,1.0482,0.0,0.0,8.0,5.0,1.0,27.0,13558.0,9896.0,357.6867,11525.0,269.0,269.0,0.0,9.7229,3525.0,5149.0,89.0,3149.0,4976.0,83.0,376.0,173.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5783.0,9890.0,151.0,4819.0,8334.0,133.0,964.0,1556.0,18.0,1.0,0.0,0.0,0.0,0.0,1.0,8735.0,13913.0,208.0,6680.0,11805.0,187.0,2055.0,2108.0,21.0,1.0,1.0,0.0,0.0,0.0,2.0,11401.0,17546.0,248.0,9455.0,15314.0,237.0,1946.0,2232.0,11.0,3.0,2.0,0.0,2.0,0.0,3.0
LOLTMNT01_335385,complete,LCS,2026.0,0.0,1.0,16.02,Blue,top,Gecko,Clocks,1.0,Jax,LeBlanc,Cassiopeia,Neeko,Leona,Nautilus,1764.0,1.0,5.0,3.0,6.0,25.0,11.0,0.0,0.0,0.0,0.0,0.0,0.8503,1.2245,0.0,0.0,20.0,2.0,6.0,39.0,13127.0,9253.0,314.7279,12963.0,209.0,205.0,4.0,7.1088,4272.0,5458.0,81.0,3069.0,4504.0,64.0,1203.0,954.0,17.0,2.0,0.0,1.0,1.0,0.0,2.0,6851.0,9752.0,137.0,4335.0,7663.0,102.0,2516.0,2089.0,35.0,3.0,0.0,1.0,1.0,0.0,3.0,9342.0,11430.0,165.0,5797.0,9718.0,133.0,3545.0,1712.0,32.0,3.0,0.0,1.0,1.0,0.0,3.0,10948.0,14297.0,187.0,8156.0,11839.0,169.0,2792.0,2458.0,18.0,3.0,3.0,2.0,3.0,0.0,5.0
LOLTMNT01_336401,complete,LCKC,2026.0,0.0,1.0,16.02,Blue,top,Gecko,Clocks,1.0,Rumble,Lux,Irelia,Neeko,Corki,Lucian,2161.0,0.0,4.0,9.0,10.0,27.0,31.0,1.0,0.0,0.0,0.0,0.0,0.7497,1.6104,0.0,0.0,14.0,4.0,9.0,47.0,11623.0,6939.0,192.6608,11875.0,167.0,167.0,0.0,4.6367,3242.0,4471.0,65.0,4488.0,5080.0,84.0,-1246.0,-609.0,-19.0,1.0,0.0,3.0,4.0,0.0,1.0,4843.0,7577.0,105.0,7198.0,9065.0,142.0,-2355.0,-1488.0,-37.0,1.0,1.0,3.0,5.0,0.0,1.0,6318.0,9356.0,128.0,9021.0,11816.0,185.0,-2703.0,-2460.0,-57.0,1.0,2.0,5.0,5.0,2.0,2.0,8125.0,12046.0,148.0,11295.0,15630.0,220.0,-3170.0,-3584.0,-72.0,2.0,4.0,6.0,7.0,3.0,4.0
LOLTMNT04_151500,complete,LIT,2026.0,0.0,1.0,16.02,Blue,top,Gecko,Clocks,1.0,Jax,LeBlanc,Akali,Varus,Kai'Sa,Nami,1490.0,0.0,1.0,3.0,3.0,9.0,30.0,0.0,0.0,0.0,0.0,0.0,0.3624,1.5705,0.0,0.0,13.0,3.0,4.0,36.0,9307.0,5992.0,241.2886,9210.0,183.0,183.0,0.0,7.3691,3769.0,5187.0,87.0,3228.0,4728.0,73.0,541.0,459.0,14.0,0.0,2.0,0.0,0.0,0.0,2.0,6432.0,8762.0,132.0,5061.0,8217.0,127.0,1371.0,545.0,5.0,1.0,2.0,0.0,0.0,0.0,2.0,7404.0,10127.0,151.0,7366.0,11512.0,166.0,38.0,-1385.0,-15.0,1.0,2.0,2.0,1.0,5.0,2.0,9307.0,12250.0,183.0,9430.0,14675.0,183.0,-123.0,-2425.0,0.0,1.0,3.0,3.0,1.0,10.0,2.0
LOLTMNT04_152637,complete,LFL,2026.0,0.0,1.0,16.02,Blue,top,Gecko,Clocks,1.0,Rumble,Caitlyn,Elise,Nidalee,Sion,Galio,2008.0,0.0,3.0,3.0,2.0,8.0,17.0,0.0,0.0,0.0,0.0,1.0,0.239,0.747,0.0,0.0,13.0,6.0,7.0,44.0,12722.0,8350.0,249.502,12825.0,250.0,246.0,4.0,7.4701,3965.0,5366.0,90.0,3321.0,5104.0,91.0,644.0,262.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,5885.0,8550.0,124.0,5299.0,8769.0,134.0,586.0,-219.0,-10.0,2.0,0.0,1.0,1.0,0.0,0.0,7826.0,12255.0,175.0,6991.0,11817.0,182.0,835.0,438.0,-7.0,2.0,1.0,1.0,1.0,0.0,0.0,9529.0,14581.0,204.0,9215.0,14882.0,234.0,314.0,-301.0,-30.0,2.0,2.0,1.0,1.0,0.0,0.0
LOLTMNT04_152646,complete,LIT,2026.0,1.0,1.0,16.02,Red,top,Gecko,Clocks,0.0,Gwen,Jayce,Zilean,Yunara,Lucian,Caitlyn,1492.0,1.0,8.0,2.0,11.0,26.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0456,1.2466,0.0,0.0,8.0,9.0,0.0,37.0,11541.0,8222.0,330.6434,10860.0,198.0,192.0,6.0,7.9625,3284.0,5258.0,84.0,3510.0,5226.0,92.0,-226.0,32.0,-8.0,0.0,0.0,1.0,0.0,1.0,0.0,4955.0,8832.0,128.0,5394.0,9069.0,149.0,-439.0,-237.0,-21.0,0.0,0.0,1.0,0.0,1.0,0.0,8782.0,12684.0,164.0,6753.0,11116.0,182.0,2029.0,1568.0,-18.0,5.0,5.0,2.0,0.0,1.0,3.0,11541.0,15524.0,198.0,8161.0,13757.0,209.0,3380.0,1767.0,-11.0,8.0,11.0,2.0,0.0,1.0,4.0
LOLTMNT04_152675,complete,TCL,2026.0,0.0,1.0,16.02,Red,top,Gecko,Clocks,0.0,Renekton,Jayce,Illaoi,Varus,Seraphine,Nautilus,1959.0,1.0,4.0,1.0,13.0,21.0,10.0,0.0,0.0,0.0,0.0,0.0,0.6432,0.9495,0.0,0.0,9.0,3.0,2.0,36.0,15516.0,11244.0,344.3798,14100.0,296.0,296.0,0.0,9.0658,3659.0,5286.0,94.0,2991.0,4839.0,75.0,668.0,447.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,5403.0,9266.0,154.0,4412.0,7913.0,114.0,991.0,1353.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,9640.0,13873.0,215.0,6167.0,10567.0,153.0,3473.0,3306.0,62.0,2.0,0.0,0.0,0.0,0.0,1.0,12050.0,17521.0,254.0,8526.0,13243.0,195.0,3524.0,4278.0,59.0,3.0,4.0,0.0,1.0,0.0,2.0
LOLTMNT05_176265,complete,LFL,2026.0,0.0,1.0,16.03,Red,top,Gecko,Clocks,0.0,Renekton,Varus,Caitlyn,Neeko,Gnar,Aphelios,1391.0,1.0,7.0,1.0,3.0,25.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0784,1.2078,0.0,0.0,7.0,5.0,4.0,37.0,11688.0,8575.0,369.8778,11500.0,201.0,197.0,4.0,8.67,4317.0,5421.0,91.0,2976.0,4573.0,68.0,1341.0,848.0,23.0,2.0,0.0,0.0,0.0,0.0,2.0,7407.0,9382.0,143.0,4899.0,7785.0,96.0,2508.0,1597.0,47.0,4.0,0.0,1.0,1.0,0.0,3.0,9774.0,11518.0,185.0,7139.0,10632.0,148.0,2635.0,886.0,37.0,4.0,1.0,1.0,1.0,0.0,4.0,,,,,,,,,,,,,,,
LOLTMNT05_176344,complete,AL,2026.0,0.0,1.0,16.03,Red,top,Gecko,Clocks,0.0,Gwen,Lee Sin,Caitlyn,Swain,Galio,Orianna,1840.0,1.0,12.0,2.0,6.0,26.0,17.0,1.0,1.0,0.0,0.0,0.0,0.8478,1.4022,0.0,0.0,8.0,5.0,4.0,32.0,15953.0,11924.0,388.8261,15600.0,233.0,229.0,4.0,7.5978,3556.0,4950.0,87.0,3823.0,5478.0,73.0,-267.0,-528.0,14.0,0.0,1.0,1.0,2.0,0.0,1.0,5431.0,8990.0,127.0,6370.0,9251.0,117.0,-939.0,-261.0,10.0,1.0,1.0,2.0,3.0,0.0,2.0,9437.0,12879.0,166.0,7641.0,10783.0,140.0,1796.0,2096.0,26.0,5.0,2.0,2.0,4.0,0.0,4.0,12645.0,16826.0,206.0,9090.0,12735.0,160.0,3555.0,4091.0,46.0,9.0,2.0,2.0,5.0,3.0,6.0
LOLTMNT02_352158,complete,HW,2026.0,0.0,1.0,16.03,Red,top,Gecko,Clocks,0.0,Ambessa,Azir,Ryze,Orianna,Nocturne,Xin Zhao,2338.0,0.0,3.0,3.0,9.0,19.0,20.0,1.0,0.0,0.0,0.0,1.0,0.4876,1.0009,0.0,0.0,13.0,10.0,8.0,63.0,15807.0,10762.0,276.1848,16350.0,322.0,319.0,3.0,8.2635,4237.0,5485.0,95.0,3183.0,4653.0,75.0,1054.0,832.0,20.0,0.0,1.0,0.0,0.0,0.0,1.0,7046.0,8978.0,139.0,4813.0,7382.0,111.0,2233.0,1596.0,28.0,2.0,3.0,0.0,1.0,1.0,2.0,10180.0,12760.0,201.0,6567.0,10548.0,154.0,3613.0,2212.0,47.0,3.0,5.0,0.0,1.0,1.0,3.0,11971.0,15625.0,250.0,8851.0,12898.0,186.0,3120.0,2727.0,64.0,3.0,6.0,1.0,2.0,2.0,4.0
