gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT04_152462,complete,LIT,2026.0,0.0,1.0,16.02,Red,bot,Godot,New Meta,0.0,Ezreal,Taliyah,Ryze,Jayce,Rakan,Aphelios,1776.0,0.0,4.0,4.0,4.0,14.0,29.0,1.0,0.0,0.0,0.0,1.0,0.473,1.4527,0.0,0.0,9.0,3.0,0.0,18.0,14661.0,10762.0,363.5811,13438.0,268.0,264.0,4.0,9.0541,3913.0,3704.0,84.0,3482.0,3842.0,75.0,431.0,-138.0,9.0,0.0,2.0,1.0,1.0,1.0,1.0,6190.0,6063.0,142.0,5830.0,6694.0,137.0,360.0,-631.0,5.0,0.0,2.0,1.0,1.0,1.0,1.0,9896.0,9342.0,196.0,10056.0,10279.0,188.0,-160.0,-937.0,8.0,2.0,3.0,2.0,4.0,4.0,2.0,12083.0,11277.0,229.0,13502.0,14280.0,227.0,-1419.0,-3003.0,2.0,3.0,3.0,4.0,7.0,8.0,3.0
LOLTMNT01_336316,complete,LCS,2026.0,0.0,1.0,16.02,Red,bot,Godot,New Meta,0.0,Sivir,Bard,Skarner,Neeko,Alistar,Leona,1458.0,1.0,13.0,3.0,9.0,36.0,17.0,2.0,1.0,0.0,0.0,0.0,1.4815,2.1811,0.0,0.0,10.0,3.0,1.0,17.0,16553.0,13303.0,547.4486,15625.0,219.0,211.0,8.0,9.0123,4438.0,3842.0,86.0,3836.0,3485.0,75.0,602.0,357.0,11.0,3.0,1.0,2.0,2.0,0.0,1.0,9016.0,6747.0,146.0,5947.0,5711.0,123.0,3069.0,1036.0,23.0,6.0,2.0,2.0,2.0,0.0,2.0,12230.0,9491.0,190.0,7970.0,7575.0,160.0,4260.0,1916.0,30.0,6.0,7.0,3.0,3.0,0.0,4.0,16553.0,13356.0,219.0,9385.0,9187.0,187.0,7168.0,4169.0,32.0,13.0,9.0,3.0,3.0,2.0,5.0
LOLTMNT01_336401,complete,LCKC,2026.0,0.0,1.0,16.02,Red,bot,Godot,New Meta,0.0,Smolder,Taliyah,Jayce,Varus,Lee Sin,Vi,2161.0,1.0,10.0,5.0,10.0,31.0,27.0,2.0,1.0,1.0,0.0,0.0,0.8607,1.6104,0.0,0.0,11.0,11.0,2.0,34.0,19223.0,14539.0,403.6742,15750.0,350.0,321.0,29.0,9.7177,4131.0,4025.0,88.0,3745.0,3215.0,67.0,386.0,810.0,21.0,2.0,1.0,0.0,2.0,0.0,1.0,6126.0,6124.0,137.0,7040.0,5368.0,120.0,-914.0,756.0,17.0,2.0,1.0,1.0,4.0,0.0,1.0,8486.0,8649.0,187.0,9972.0,8529.0,163.0,-1486.0,120.0,24.0,3.0,2.0,2.0,5.0,4.0,1.0,11007.0,11447.0,234.0,12366.0,11001.0,213.0,-1359.0,446.0,21.0,4.0,5.0,2.0,5.0,6.0,2.0
LOLTMNT04_152550,complete,LEC,2026.0,0.0,1.0,16.02,Red,bot,Godot,New Meta,0.0,Xayah,Aurora,Ryze,Jayce,Vi,Wukong,1961.0,1.0,5.0,4.0,12.0,24.0,16.0,0.0,0.0,0.0,0.0,0.0,0.7343,1.2239,0.0,0.0,10.0,8.0,1.0,25.0,17644.0,13368.0,409.0158,16075.0,299.0,287.0,12.0,9.1484,3761.0,4119.0,73.0,3861.0,3530.0,73.0,-100.0,589.0,0.0,1.0,3.0,2.0,2.0,0.0,3.0,6424.0,6325.0,121.0,6244.0,6084.0,133.0,180.0,241.0,-12.0,2.0,4.0,2.0,2.0,1.0,3.0,10001.0,9118.0,187.0,8664.0,8581.0,182.0,1337.0,537.0,5.0,3.0,5.0,2.0,3.0,2.0,4.0,12834.0,11774.0,230.0,10957.0,11370.0,229.0,1877.0,404.0,1.0,4.0,5.0,2.0,3.0,4.0,4.0
LOLTMNT04_151631,complete,LFL,2026.0,0.0,1.0,16.02,Red,bot,Godot,New Meta,0.0,Sivir,Viktor,Bard,Rumble,Malphite,Jayce,1820.0,0.0,3.0,6.0,3.0,12.0,27.0,1.0,0.0,0.0,0.0,0.0,0.3956,1.2857,0.0,0.0,10.0,7.0,0.0,32.0,14182.0,10194.0,336.0659,14000.0,263.0,242.0,21.0,8.6703,3136.0,3349.0,72.0,3492.0,3638.0,94.0,-356.0,-289.0,-22.0,0.0,0.0,0.0,0.0,0.0,0.0,5641.0,5109.0,110.0,6669.0,6377.0,148.0,-1028.0,-1268.0,-38.0,1.0,0.0,1.0,2.0,1.0,0.0,9361.0,7998.0,147.0,10118.0,9645.0,187.0,-757.0,-1647.0,-40.0,3.0,3.0,3.0,6.0,2.0,1.0,12071.0,11475.0,213.0,13306.0,12049.0,234.0,-1235.0,-574.0,-21.0,3.0,3.0,3.0,7.0,3.0,1.0
LOLTMNT04_151644,complete,LIT,2026.0,1.0,1.0,16.02,Red,bot,Godot,New Meta,0.0,Ezreal,Ryze,Alistar,Varus,Nami,Rumble,1846.0,1.0,6.0,0.0,4.0,24.0,9.0,2.0,0.0,0.0,0.0,0.0,0.7801,1.0726,0.0,0.0,9.0,5.0,0.0,25.0,16855.0,12814.0,416.4897,14083.0,318.0,304.0,14.0,10.3359,3758.0,3973.0,94.0,3466.0,3505.0,87.0,292.0,468.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,6589.0,6380.0,141.0,5891.0,6032.0,139.0,698.0,348.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,9489.0,9570.0,202.0,8820.0,8907.0,195.0,669.0,663.0,7.0,2.0,2.0,0.0,1.0,1.0,1.0,12167.0,12692.0,268.0,11243.0,11747.0,250.0,924.0,945.0,18.0,2.0,3.0,0.0,1.0,2.0,1.0
LOLTMNT04_152666,complete,LFL,2026.0,0.0,1.0,16.02,Red,bot,Godot,New Meta,0.0,Lucian,Ryze,Alistar,Varus,Neeko,Poppy,1290.0,1.0,4.0,1.0,3.0,25.0,4.0,0.0,0.0,0.0,0.0,0.0,1.1628,1.3488,0.0,0.0,7.0,4.0,0.0,18.0,10899.0,7992.0,371.7209,9150.0,185.0,179.0,6.0,8.6047,3880.0,3343.0,79.0,3098.0,3434.0,75.0,782.0,-91.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,6615.0,5534.0,127.0,5714.0,5342.0,118.0,901.0,192.0,9.0,3.0,0.0,1.0,1.0,1.0,1.0,9686.0,8322.0,181.0,7182.0,7245.0,160.0,2504.0,1077.0,21.0,3.0,3.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,
LOLTMNT01_337297,complete,LCP,2026.0,0.0,1.0,16.02,Blue,bot,Godot,New Meta,1.0,Lucian,Akali,Jayce,Ambessa,Rakan,Riven,1766.0,0.0,3.0,7.0,3.0,13.0,25.0,0.0,0.0,0.0,0.0,0.0,0.4417,1.2911,0.0,0.0,8.0,6.0,0.0,21.0,11747.0,7869.0,267.3499,11750.0,244.0,230.0,14.0,8.2899,3358.0,3200.0,70.0,3592.0,3320.0,78.0,-234.0,-120.0,-8.0,1.0,0.0,1.0,1.0,0.0,1.0,5577.0,4886.0,106.0,6271.0,5265.0,103.0,-694.0,-379.0,3.0,2.0,1.0,4.0,2.0,5.0,2.0,7451.0,7332.0,160.0,8923.0,7831.0,162.0,-1472.0,-499.0,-2.0,2.0,1.0,5.0,2.0,5.0,2.0,9438.0,10349.0,206.0,12240.0,10985.0,217.0,-2802.0,-636.0,-11.0,2.0,2.0,6.0,4.0,5.0,2.0
LOLTMNT02_349885,complete,HLL,2026.0,0.0,1.0,16.03,Blue,bot,Godot,New Meta,1.0,Ezreal,Kha'Zix,Vi,Poppy,Neeko,Varus,2008.0,0.0,5.0,5.0,6.0,16.0,30.0,1.0,0.0,0.0,0.0,0.0,0.4781,1.3745,0.0,1.0,8.0,16.0,0.0,40.0,17107.0,12735.0,380.5279,17373.0,324.0,312.0,12.0,9.6813,3247.0,3369.0,75.0,4066.0,3316.0,84.0,-819.0,53.0,-9.0,0.0,2.0,1.0,2.0,1.0,2.0,5714.0,5416.0,127.0,7181.0,5303.0,135.0,-1467.0,113.0,-8.0,1.0,2.0,2.0,3.0,3.0,3.0,8899.0,8187.0,187.0,9633.0,8021.0,200.0,-734.0,166.0,-13.0,2.0,2.0,2.0,3.0,3.0,4.0,10898.0,10320.0,246.0,13091.0,11490.0,248.0,-2193.0,-1170.0,-2.0,2.0,2.0,2.0,6.0,3.0,4.0
LOLTMNT05_176303,complete,LFL,2026.0,0.0,1.0,16.03,Blue,bot,Godot,New Meta,1.0,Senna,Taliyah,Kha'Zix,Elise,Alistar,Rakan,1966.0,1.0,0.0,1.0,6.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.4883,0.9766,0.0,0.0,9.0,6.0,0.0,22.0,14575.0,10289.0,314.0081,12600.0,274.0,268.0,6.0,8.3622,3254.0,3215.0,77.0,4157.0,4534.0,91.0,-903.0,-1319.0,-14.0,0.0,0.0,1.0,1.0,1.0,0.0,5629.0,5838.0,131.0,6195.0,7227.0,140.0,-566.0,-1389.0,-9.0,0.0,0.0,1.0,1.0,2.0,0.0,7591.0,8439.0,174.0,8724.0,10305.0,198.0,-1133.0,-1866.0,-24.0,0.0,1.0,1.0,1.0,3.0,0.0,10581.0,12026.0,217.0,10411.0,12302.0,231.0,170.0,-276.0,-14.0,0.0,4.0,1.0,2.0,3.0,1.0
LOLTMNT05_176356,complete,LIT,2026.0,1.0,1.0,16.03,Blue,bot,Godot,New Meta,1.0,Senna,Hecarim,Ambessa,Naafiri,Kai'Sa,Yunara,1491.0,0.0,3.0,4.0,3.0,8.0,22.0,0.0,0.0,0.0,0.0,1.0,0.3219,1.2072,0.0,0.0,8.0,6.0,0.0,22.0,10945.0,7628.0,306.9618,9680.0,194.0,194.0,0.0,7.8068,3810.0,2701.0,59.0,3831.0,3933.0,87.0,-21.0,-1232.0,-28.0,2.0,1.0,1.0,1.0,1.0,2.0,6482.0,5260.0,113.0,5490.0,5269.0,117.0,992.0,-9.0,-4.0,2.0,3.0,1.0,1.0,2.0,3.0,8541.0,8040.0,167.0,8290.0,8167.0,182.0,251.0,-127.0,-15.0,2.0,3.0,1.0,1.0,2.0,3.0,10945.0,10284.0,194.0,14153.0,12839.0,235.0,-3208.0,-2555.0,-41.0,3.0,3.0,4.0,7.0,4.0,3.0
