gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_165070,complete,AL,2026.0,0.0,1.0,16.02,Blue,jng,Gryffinn,FlyQuest,0.0,Wukong,Poppy,Jayce,Jarvan IV,Nautilus,Sion,2382.0,1.0,8.0,4.0,19.0,30.0,18.0,0.0,0.0,0.0,0.0,0.0,0.7557,1.2091,2.0,0.0,13.0,20.0,9.0,86.0,18984.0,13849.0,348.8413,15858.0,291.0,55.0,236.0,7.33,3445.0,4048.0,76.0,3632.0,4441.0,80.0,-187.0,-393.0,-4.0,0.0,1.0,2.0,0.0,2.0,0.0,6188.0,7903.0,131.0,5829.0,7287.0,120.0,359.0,616.0,11.0,2.0,1.0,2.0,1.0,4.0,0.0,8371.0,9863.0,155.0,8266.0,9979.0,161.0,105.0,-116.0,-6.0,4.0,2.0,3.0,2.0,6.0,0.0,10333.0,11646.0,179.0,10076.0,12631.0,202.0,257.0,-985.0,-23.0,5.0,6.0,4.0,2.0,8.0,0.0
LOLTMNT04_149477,complete,LIT,2026.0,1.0,2.0,16.02,Blue,jng,Gryffinn,FlyQuest,1.0,Volibear,Poppy,Jarvan IV,Gangplank,Nami,Gwen,2337.0,1.0,7.0,4.0,9.0,22.0,9.0,1.0,0.0,0.0,0.0,0.0,0.5648,0.7959,0.0,0.0,9.0,16.0,7.0,66.0,16928.0,11885.0,305.1348,15595.0,282.0,51.0,231.0,7.2401,3546.0,4293.0,82.0,3552.0,4152.0,82.0,-6.0,141.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,5495.0,6899.0,122.0,5216.0,6793.0,128.0,279.0,106.0,-6.0,1.0,2.0,1.0,0.0,1.0,1.0,7812.0,9752.0,157.0,7204.0,9182.0,167.0,608.0,570.0,-10.0,2.0,5.0,2.0,0.0,3.0,2.0,10223.0,13290.0,211.0,8830.0,11111.0,205.0,1393.0,2179.0,6.0,3.0,5.0,2.0,0.0,3.0,2.0
LOLTMNT01_338322,complete,ROL,2026.0,0.0,1.0,16.02,Red,jng,Gryffinn,FlyQuest,0.0,Volibear,Jarvan IV,Pantheon,Akali,Bard,Nautilus,1707.0,1.0,4.0,1.0,4.0,15.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5272,0.5624,1.0,0.0,10.0,10.0,6.0,43.0,13028.0,9270.0,325.8348,11400.0,259.0,18.0,241.0,9.1037,3679.0,4321.0,85.0,3442.0,4395.0,80.0,237.0,-74.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5582.0,7148.0,135.0,5131.0,6573.0,118.0,451.0,575.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,7785.0,9871.0,178.0,7029.0,8352.0,144.0,756.0,1519.0,34.0,0.0,2.0,1.0,1.0,0.0,1.0,10878.0,13482.0,226.0,8519.0,10315.0,173.0,2359.0,3167.0,53.0,3.0,2.0,1.0,1.0,0.0,2.0
LOLTMNT04_152722,complete,NLC,2026.0,0.0,2.0,16.02,Red,jng,Gryffinn,FlyQuest,1.0,Qiyana,Pantheon,Jarvan IV,Renekton,Yunara,Gwen,2105.0,0.0,3.0,5.0,8.0,15.0,17.0,0.0,0.0,0.0,0.0,0.0,0.4276,0.9121,0.0,1.0,10.0,15.0,6.0,61.0,14554.0,9984.0,284.5796,14450.0,231.0,30.0,201.0,6.5843,3642.0,4213.0,81.0,3381.0,4070.0,76.0,261.0,143.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5491.0,6431.0,120.0,6043.0,7033.0,123.0,-552.0,-602.0,-3.0,0.0,0.0,1.0,2.0,0.0,0.0,7876.0,9655.0,161.0,7635.0,8782.0,151.0,241.0,873.0,10.0,0.0,4.0,2.0,2.0,1.0,2.0,10598.0,11992.0,187.0,9376.0,11373.0,184.0,1222.0,619.0,3.0,1.0,8.0,3.0,2.0,2.0,4.0
LOLTMNT04_152721,complete,EBL,2026.0,0.0,3.0,16.02,Blue,jng,Gryffinn,FlyQuest,1.0,Ambessa,Pantheon,Neeko,Akali,Jarvan IV,Viktor,1823.0,1.0,8.0,4.0,8.0,21.0,11.0,3.0,1.0,1.0,0.0,0.0,0.6912,1.0532,2.0,0.0,6.0,10.0,4.0,49.0,16686.0,12691.0,417.6961,13950.0,272.0,38.0,234.0,8.9523,3813.0,4896.0,91.0,3757.0,3847.0,72.0,56.0,1049.0,19.0,0.0,1.0,1.0,1.0,0.0,0.0,6365.0,7471.0,129.0,5641.0,6909.0,120.0,724.0,562.0,9.0,2.0,1.0,2.0,1.0,1.0,0.0,9055.0,10585.0,180.0,7817.0,10236.0,166.0,1238.0,349.0,14.0,2.0,2.0,3.0,2.0,1.0,0.0,13322.0,14245.0,226.0,9591.0,12654.0,193.0,3731.0,1591.0,33.0,6.0,5.0,4.0,2.0,4.0,2.0
LOLTMNT02_352763,complete,LCP,2026.0,1.0,1.0,16.03,Blue,jng,Gryffinn,FlyQuest,0.0,Wukong,Ziggs,Rumble,Azir,Nami,Bard,1735.0,0.0,1.0,3.0,1.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.1729,0.7262,0.0,2.0,4.0,8.0,5.0,35.0,10542.0,6727.0,232.634,10233.0,206.0,34.0,172.0,7.1239,3592.0,4118.0,78.0,3742.0,4921.0,91.0,-150.0,-803.0,-13.0,0.0,1.0,1.0,0.0,1.0,0.0,5570.0,6716.0,124.0,5760.0,7783.0,138.0,-190.0,-1067.0,-14.0,0.0,1.0,1.0,0.0,2.0,0.0,7672.0,9451.0,172.0,8221.0,11075.0,187.0,-549.0,-1624.0,-15.0,0.0,1.0,2.0,1.0,3.0,0.0,9588.0,10906.0,189.0,11672.0,15197.0,227.0,-2084.0,-4291.0,-38.0,1.0,1.0,3.0,1.0,5.0,0.0
LOLTMNT02_352782,complete,LCK,2026.0,0.0,2.0,16.03,Red,jng,Gryffinn,FlyQuest,1.0,Trundle,Ziggs,Bard,Rumble,Pantheon,Jarvan IV,2324.0,1.0,6.0,1.0,7.0,13.0,6.0,1.0,0.0,0.0,0.0,0.0,0.3356,0.4905,0.0,1.0,8.0,20.0,6.0,72.0,16438.0,11421.0,294.8623,15833.0,312.0,51.0,261.0,8.0551,4281.0,4434.0,78.0,4129.0,4301.0,80.0,152.0,133.0,-2.0,2.0,2.0,1.0,3.0,0.0,1.0,6028.0,6848.0,120.0,5956.0,6787.0,123.0,72.0,61.0,-3.0,2.0,3.0,1.0,3.0,1.0,1.0,8288.0,10218.0,167.0,8244.0,9775.0,175.0,44.0,443.0,-8.0,3.0,3.0,1.0,3.0,1.0,1.0,10261.0,13330.0,220.0,10126.0,12544.0,215.0,135.0,786.0,5.0,3.0,3.0,1.0,3.0,1.0,1.0
LOLTMNT02_351765,complete,LCP,2026.0,1.0,3.0,16.03,Red,jng,Gryffinn,FlyQuest,0.0,Vi,Ziggs,Jarvan IV,Pantheon,Galio,Xin Zhao,1479.0,0.0,1.0,6.0,3.0,5.0,26.0,0.0,0.0,0.0,0.0,0.0,0.2028,1.2576,0.0,1.0,5.0,7.0,3.0,31.0,7869.0,4576.0,185.6389,7775.0,137.0,19.0,118.0,5.5578,3137.0,3674.0,63.0,4391.0,4478.0,87.0,-1254.0,-804.0,-24.0,0.0,0.0,1.0,2.0,1.0,0.0,4734.0,6160.0,99.0,6901.0,7415.0,130.0,-2167.0,-1255.0,-31.0,0.0,1.0,3.0,4.0,4.0,1.0,6139.0,8104.0,125.0,9632.0,11326.0,177.0,-3493.0,-3222.0,-52.0,0.0,2.0,4.0,4.0,10.0,1.0,7869.0,9504.0,137.0,13449.0,15501.0,216.0,-5580.0,-5997.0,-79.0,1.0,3.0,6.0,8.0,14.0,1.0
LOLTMNT05_178021,complete,LEC,2026.0,1.0,1.0,16.03,Red,jng,Gryffinn,FlyQuest,0.0,Zaahen,Ziggs,Azir,Taliyah,Cassiopeia,Bard,1742.0,0.0,0.0,7.0,3.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.1378,0.7577,0.0,1.0,8.0,9.0,8.0,42.0,9158.0,5329.0,183.5476,9050.0,195.0,18.0,177.0,6.7164,3485.0,4118.0,77.0,3833.0,4763.0,89.0,-348.0,-645.0,-12.0,0.0,0.0,1.0,0.0,2.0,0.0,4931.0,6021.0,110.0,6218.0,7728.0,137.0,-1287.0,-1707.0,-27.0,0.0,1.0,3.0,1.0,5.0,0.0,6631.0,8801.0,151.0,8595.0,11447.0,194.0,-1964.0,-2646.0,-43.0,0.0,1.0,4.0,1.0,7.0,0.0,8081.0,11305.0,179.0,11524.0,15259.0,241.0,-3443.0,-3954.0,-62.0,0.0,3.0,6.0,4.0,9.0,0.0
LOLTMNT03_345473,complete,CBLOL,2026.0,0.0,2.0,16.03,Red,jng,Gryffinn,FlyQuest,1.0,Trundle,Ziggs,Pantheon,Nautilus,Bard,Rakan,1537.0,0.0,1.0,5.0,2.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.1952,0.6636,0.0,1.0,7.0,11.0,8.0,43.0,8658.0,5247.0,204.8276,8358.0,178.0,13.0,165.0,6.9486,3581.0,4344.0,81.0,3657.0,4567.0,84.0,-76.0,-223.0,-3.0,0.0,1.0,0.0,0.0,1.0,1.0,5678.0,6503.0,118.0,5261.0,6764.0,122.0,417.0,-261.0,-4.0,1.0,2.0,1.0,0.0,1.0,2.0,7212.0,8704.0,154.0,7314.0,9521.0,169.0,-102.0,-817.0,-15.0,1.0,2.0,2.0,0.0,2.0,2.0,8583.0,10414.0,178.0,9692.0,13090.0,203.0,-1109.0,-2676.0,-25.0,1.0,2.0,5.0,0.0,7.0,2.0
