gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_335649,complete,LCKC,2026.0,0.0,1.0,16.01,Red,mid,Guti,T1 Esports Academy,1.0,Azir,Poppy,Malphite,Varus,Kai'Sa,Lulu,1926.0,0.0,1.0,4.0,2.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,0.2181,0.9346,0.0,0.0,14.0,4.0,4.0,38.0,11261.0,7056.0,219.8131,11550.0,287.0,284.0,3.0,8.9408,3231.0,4673.0,86.0,3544.0,5231.0,97.0,-313.0,-558.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,4835.0,7457.0,140.0,5695.0,8270.0,154.0,-860.0,-813.0,-14.0,0.0,0.0,0.0,1.0,0.0,0.0,6713.0,10184.0,197.0,8003.0,11573.0,221.0,-1290.0,-1389.0,-24.0,0.0,0.0,0.0,1.0,1.0,0.0,8880.0,13087.0,263.0,10722.0,14371.0,265.0,-1842.0,-1284.0,-2.0,0.0,0.0,0.0,3.0,1.0,0.0
LOLTMNT03_334676,complete,LCKC,2026.0,0.0,2.0,16.01,Blue,mid,Guti,T1 Esports Academy,1.0,Ryze,Poppy,Malphite,Varus,Pantheon,Sion,1878.0,0.0,3.0,4.0,4.0,15.0,21.0,0.0,0.0,0.0,0.0,0.0,0.4792,1.1502,0.0,0.0,19.0,7.0,7.0,41.0,13981.0,9874.0,315.4633,13275.0,320.0,312.0,8.0,10.2236,3909.0,5227.0,103.0,3612.0,4981.0,90.0,297.0,246.0,13.0,1.0,0.0,1.0,0.0,1.0,0.0,6291.0,8298.0,164.0,5908.0,8308.0,153.0,383.0,-10.0,11.0,2.0,0.0,1.0,1.0,1.0,0.0,8408.0,11108.0,222.0,7755.0,11399.0,207.0,653.0,-291.0,15.0,2.0,0.0,1.0,1.0,2.0,0.0,9877.0,14384.0,258.0,10128.0,15772.0,272.0,-251.0,-1388.0,-14.0,2.0,1.0,2.0,1.0,6.0,0.0
LOLTMNT03_336232,complete,LCKC,2026.0,0.0,1.0,16.01,Red,mid,Guti,T1 Esports Academy,0.0,Ryze,Orianna,Rumble,Azir,Renekton,Lulu,1699.0,1.0,7.0,2.0,11.0,21.0,5.0,1.0,0.0,0.0,0.0,1.0,0.7416,0.9182,0.0,0.0,14.0,6.0,4.0,36.0,14491.0,10749.0,379.5998,12100.0,288.0,286.0,2.0,10.1707,3986.0,4813.0,91.0,3983.0,5010.0,94.0,3.0,-197.0,-3.0,1.0,4.0,2.0,2.0,1.0,2.0,5976.0,7794.0,153.0,5755.0,7976.0,150.0,221.0,-182.0,3.0,1.0,4.0,2.0,2.0,3.0,2.0,9603.0,12307.0,201.0,6992.0,9421.0,182.0,2611.0,2886.0,19.0,4.0,7.0,2.0,2.0,3.0,4.0,12204.0,15138.0,248.0,8293.0,11427.0,219.0,3911.0,3711.0,29.0,5.0,10.0,2.0,2.0,3.0,5.0
LOLTMNT03_336246,complete,LCK,2026.0,0.0,2.0,16.01,Blue,mid,Guti,T1 Esports Academy,1.0,Orianna,Akali,Malphite,Jarvan IV,Rakan,Kai'Sa,2109.0,0.0,1.0,3.0,4.0,10.0,18.0,0.0,0.0,0.0,0.0,0.0,0.2845,0.7966,0.0,0.0,21.0,8.0,7.0,48.0,13157.0,8579.0,244.0683,12425.0,323.0,315.0,8.0,9.1892,3476.0,4838.0,94.0,4115.0,5198.0,95.0,-639.0,-360.0,-1.0,0.0,0.0,1.0,2.0,0.0,0.0,5293.0,8095.0,153.0,6026.0,8103.0,155.0,-733.0,-8.0,-2.0,0.0,0.0,1.0,2.0,0.0,0.0,7539.0,11316.0,210.0,8347.0,11195.0,208.0,-808.0,121.0,2.0,0.0,4.0,1.0,3.0,2.0,0.0,9503.0,15904.0,264.0,10403.0,13937.0,264.0,-900.0,1967.0,0.0,0.0,4.0,1.0,3.0,3.0,0.0
LOLTMNT06_164136,complete,AL,2026.0,0.0,3.0,16.01,Red,mid,Guti,T1 Esports Academy,0.0,Viktor,Rumble,Azir,Sion,Miss Fortune,Kai'Sa,2078.0,1.0,3.0,1.0,8.0,12.0,17.0,0.0,0.0,0.0,0.0,0.0,0.3465,0.8373,0.0,0.0,14.0,9.0,2.0,49.0,14485.0,9970.0,287.873,13900.0,330.0,329.0,1.0,9.5284,3581.0,5277.0,102.0,3468.0,4704.0,95.0,113.0,573.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5181.0,7699.0,154.0,5699.0,7673.0,149.0,-518.0,26.0,5.0,0.0,0.0,1.0,1.0,2.0,0.0,7714.0,11059.0,223.0,7590.0,10387.0,203.0,124.0,672.0,20.0,0.0,0.0,1.0,1.0,3.0,0.0,9750.0,13378.0,251.0,9088.0,11848.0,223.0,662.0,1530.0,28.0,1.0,3.0,1.0,1.0,4.0,1.0
LOLTMNT06_164530,complete,LFL,2026.0,0.0,1.0,16.01,Red,mid,Guti,T1 Esports Academy,0.0,Sylas,Orianna,Jayce,Rumble,Ambessa,Gwen,1864.0,0.0,5.0,3.0,4.0,20.0,26.0,0.0,0.0,0.0,0.0,1.0,0.6438,1.4807,0.0,0.0,6.0,7.0,3.0,32.0,13499.0,9421.0,303.2511,13675.0,299.0,299.0,0.0,9.6245,3944.0,5393.0,100.0,3181.0,4638.0,87.0,763.0,755.0,13.0,2.0,1.0,0.0,0.0,0.0,3.0,5804.0,8074.0,149.0,4957.0,6966.0,128.0,847.0,1108.0,21.0,2.0,2.0,0.0,1.0,1.0,4.0,8179.0,10983.0,206.0,7150.0,10368.0,182.0,1029.0,615.0,24.0,3.0,2.0,1.0,2.0,3.0,4.0,10134.0,13431.0,248.0,9548.0,13402.0,221.0,586.0,29.0,27.0,4.0,3.0,1.0,2.0,5.0,4.0
LOLTMNT04_147334,complete,TCL,2026.0,0.0,2.0,16.01,Red,mid,Guti,T1 Esports Academy,1.0,Azir,Poppy,Malphite,Varus,Nautilus,Alistar,2259.0,0.0,8.0,4.0,4.0,18.0,21.0,2.0,0.0,0.0,0.0,1.0,0.4781,1.0359,0.0,0.0,18.0,11.0,4.0,53.0,17774.0,12890.0,342.3639,17200.0,344.0,336.0,8.0,9.1368,4498.0,5397.0,94.0,3710.0,5030.0,86.0,788.0,367.0,8.0,3.0,0.0,0.0,1.0,0.0,1.0,7474.0,8467.0,143.0,5264.0,6881.0,117.0,2210.0,1586.0,26.0,6.0,3.0,1.0,2.0,1.0,4.0,9247.0,10675.0,191.0,6635.0,8871.0,158.0,2612.0,1804.0,33.0,6.0,4.0,1.0,2.0,1.0,4.0,11850.0,13468.0,238.0,9875.0,11780.0,205.0,1975.0,1688.0,33.0,7.0,4.0,3.0,4.0,2.0,5.0
LOLTMNT01_325708,complete,LCS,2026.0,0.0,1.0,16.01,Blue,mid,Guti,T1 Esports Academy,1.0,Azir,Malphite,Vi,Varus,Gnar,Lulu,1858.0,1.0,5.0,2.0,6.0,18.0,11.0,1.0,0.0,0.0,0.0,0.0,0.5813,0.9365,0.0,0.0,12.0,11.0,1.0,36.0,14679.0,10613.0,342.7234,13675.0,324.0,320.0,4.0,10.4629,3667.0,4746.0,96.0,3642.0,4666.0,94.0,25.0,80.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,5200.0,7203.0,144.0,5682.0,7921.0,156.0,-482.0,-718.0,-12.0,1.0,0.0,1.0,0.0,2.0,1.0,8025.0,11442.0,213.0,7572.0,11007.0,213.0,453.0,435.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,10788.0,15308.0,269.0,9475.0,13394.0,253.0,1313.0,1914.0,16.0,3.0,2.0,1.0,1.0,4.0,2.0
LOLTMNT01_325761,complete,LCS,2026.0,0.0,2.0,16.01,Blue,mid,Guti,T1 Esports Academy,0.0,Yone,Jayce,Vi,Varus,Aphelios,Nautilus,1316.0,1.0,4.0,0.0,3.0,25.0,6.0,1.0,0.0,0.0,0.0,1.0,1.1398,1.4134,0.0,0.0,8.0,6.0,2.0,25.0,11530.0,8570.0,390.7295,10050.0,255.0,251.0,4.0,11.6261,3744.0,5286.0,108.0,3401.0,5177.0,93.0,343.0,109.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,5910.0,8173.0,164.0,4910.0,7922.0,138.0,1000.0,251.0,26.0,0.0,1.0,0.0,0.0,1.0,0.0,10086.0,11882.0,224.0,6873.0,10795.0,195.0,3213.0,1087.0,29.0,3.0,3.0,0.0,0.0,2.0,2.0,,,,,,,,,,,,,,,
LOLTMNT04_150468,complete,EBL,2026.0,0.0,1.0,16.02,Blue,mid,Guti,T1 Esports Academy,0.0,Yone,Viego,Jayce,Orianna,Akali,Vi,1830.0,1.0,4.0,1.0,1.0,15.0,7.0,1.0,0.0,0.0,0.0,1.0,0.4918,0.7213,0.0,0.0,8.0,5.0,2.0,27.0,15547.0,11538.0,378.2951,14000.0,344.0,335.0,9.0,11.2787,4177.0,5271.0,100.0,3460.0,4859.0,97.0,717.0,412.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,5990.0,7892.0,149.0,5464.0,7479.0,141.0,526.0,413.0,8.0,1.0,0.0,1.0,1.0,1.0,1.0,9234.0,11429.0,221.0,7575.0,10303.0,201.0,1659.0,1126.0,20.0,3.0,0.0,1.0,1.0,1.0,2.0,11230.0,14255.0,264.0,10770.0,13854.0,274.0,460.0,401.0,-10.0,3.0,1.0,1.0,2.0,2.0,2.0
