gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT04_151750,complete,NLC,2026.0,0.0,1.0,16.02,Red,sup,HKE Naskito,Huskies Esports,0.0,Lulu,Sion,Smolder,Malphite,Galio,Orianna,1623.0,1.0,0.0,2.0,13.0,19.0,8.0,0.0,0.0,0.0,0.0,0.0,0.7024,0.9982,0.0,0.0,30.0,4.0,7.0,70.0,7082.0,3495.0,129.2052,6665.0,30.0,30.0,0.0,1.1091,2198.0,3083.0,20.0,2389.0,3129.0,12.0,-191.0,-46.0,8.0,0.0,0.0,1.0,0.0,2.0,0.0,3459.0,4818.0,26.0,3563.0,4816.0,19.0,-104.0,2.0,7.0,0.0,1.0,1.0,0.0,3.0,1.0,4768.0,6567.0,30.0,4495.0,6326.0,19.0,273.0,241.0,11.0,0.0,4.0,1.0,0.0,3.0,2.0,6083.0,8964.0,30.0,5507.0,7776.0,20.0,576.0,1188.0,10.0,0.0,8.0,1.0,0.0,3.0,4.0
LOLTMNT04_152705,complete,LIT,2026.0,1.0,2.0,16.02,Blue,sup,HKE Naskito,Huskies Esports,1.0,Rell,Sion,Smolder,Malphite,Orianna,Galio,2093.0,1.0,1.0,5.0,11.0,23.0,18.0,0.0,0.0,0.0,0.0,0.0,0.6593,1.1753,0.0,0.0,60.0,10.0,9.0,120.0,9034.0,4489.0,128.6861,7985.0,35.0,35.0,0.0,1.0033,2476.0,3010.0,18.0,2496.0,3050.0,11.0,-20.0,-40.0,7.0,1.0,0.0,1.0,1.0,1.0,1.0,3698.0,4127.0,24.0,3884.0,4969.0,16.0,-186.0,-842.0,8.0,1.0,2.0,3.0,1.0,6.0,2.0,4730.0,6009.0,28.0,4901.0,6644.0,20.0,-171.0,-635.0,8.0,1.0,2.0,3.0,1.0,6.0,2.0,6024.0,7151.0,30.0,6072.0,7822.0,22.0,-48.0,-671.0,8.0,1.0,4.0,4.0,1.0,8.0,3.0
LOLTMNT01_338423,complete,LCP,2026.0,0.0,1.0,16.02,Blue,sup,HKE Naskito,Huskies Esports,1.0,Neeko,Jayce,Vladimir,Varus,Xin Zhao,Wukong,2099.0,0.0,2.0,5.0,3.0,11.0,25.0,0.0,0.0,0.0,0.0,0.0,0.3144,1.0291,0.0,0.0,37.0,12.0,8.0,92.0,8516.0,3958.0,113.1396,8340.0,37.0,37.0,0.0,1.0576,2240.0,2705.0,15.0,2524.0,2797.0,12.0,-284.0,-92.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,3176.0,4089.0,22.0,3659.0,3800.0,21.0,-483.0,289.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,4719.0,6092.0,24.0,5515.0,6035.0,26.0,-796.0,57.0,-2.0,1.0,0.0,3.0,2.0,6.0,2.0,6033.0,8015.0,28.0,6761.0,6965.0,32.0,-728.0,1050.0,-4.0,1.0,1.0,3.0,2.0,7.0,3.0
LOLTMNT01_338459,complete,LCK,2026.0,0.0,2.0,16.02,Red,sup,HKE Naskito,Huskies Esports,0.0,Rakan,Jayce,Sion,Vladimir,Xin Zhao,Ornn,1365.0,1.0,0.0,1.0,11.0,19.0,9.0,0.0,0.0,0.0,0.0,0.0,0.8352,1.2308,0.0,0.0,29.0,10.0,4.0,60.0,6513.0,3453.0,151.7802,5345.0,31.0,31.0,0.0,1.3626,2319.0,2329.0,13.0,2757.0,2941.0,12.0,-438.0,-612.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,3783.0,3892.0,23.0,4144.0,4606.0,22.0,-361.0,-714.0,1.0,0.0,5.0,1.0,1.0,4.0,2.0,5563.0,5584.0,28.0,5254.0,6305.0,28.0,309.0,-721.0,0.0,0.0,9.0,1.0,1.0,5.0,3.0,,,,,,,,,,,,,,,
LOLTMNT04_152740,complete,TCL,2026.0,0.0,3.0,16.02,Blue,sup,HKE Naskito,Huskies Esports,1.0,Braum,Jayce,Vladimir,Sion,Leona,Zoe,1800.0,1.0,0.0,0.0,10.0,20.0,6.0,0.0,0.0,0.0,0.0,1.0,0.6667,0.8667,0.0,0.0,44.0,7.0,10.0,101.0,7987.0,4039.0,134.6333,7115.0,18.0,18.0,0.0,0.6,2468.0,2330.0,4.0,2277.0,2254.0,13.0,191.0,76.0,-9.0,0.0,2.0,0.0,0.0,1.0,2.0,3543.0,3819.0,10.0,3243.0,3587.0,21.0,300.0,232.0,-11.0,0.0,2.0,0.0,0.0,1.0,2.0,4768.0,5112.0,15.0,4418.0,5277.0,27.0,350.0,-165.0,-12.0,0.0,3.0,0.0,0.0,3.0,2.0,5925.0,6378.0,18.0,5444.0,6042.0,28.0,481.0,336.0,-10.0,0.0,3.0,0.0,0.0,4.0,3.0
LOLTMNT02_351343,complete,LCP,2026.0,1.0,1.0,16.03,Red,sup,HKE Naskito,Huskies Esports,0.0,Karma,Sion,LeBlanc,Orianna,Ornn,Ambessa,1713.0,1.0,0.0,1.0,18.0,23.0,5.0,0.0,0.0,0.0,0.0,0.0,0.8056,0.9807,0.0,0.0,36.0,11.0,5.0,83.0,8535.0,4765.0,166.9002,7545.0,29.0,29.0,0.0,1.0158,2217.0,2532.0,10.0,2612.0,2670.0,11.0,-395.0,-138.0,-1.0,0.0,0.0,1.0,0.0,3.0,0.0,3686.0,3920.0,17.0,3636.0,3905.0,18.0,50.0,15.0,-1.0,0.0,4.0,1.0,0.0,3.0,2.0,4926.0,5724.0,20.0,4707.0,5962.0,22.0,219.0,-238.0,-2.0,0.0,5.0,1.0,0.0,3.0,3.0,7408.0,8961.0,26.0,5842.0,7731.0,27.0,1566.0,1230.0,-1.0,0.0,15.0,1.0,0.0,5.0,5.0
LOLTMNT02_352362,complete,LCK,2026.0,0.0,2.0,16.03,Blue,sup,HKE Naskito,Huskies Esports,1.0,Rakan,LeBlanc,Sion,Caitlyn,Jinx,Ashe,1712.0,1.0,3.0,2.0,16.0,31.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0864,1.5421,0.0,0.0,34.0,7.0,5.0,79.0,8502.0,4734.0,165.9112,7260.0,34.0,34.0,0.0,1.1916,2575.0,3120.0,19.0,2321.0,2531.0,13.0,254.0,589.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,3793.0,4179.0,25.0,3785.0,3674.0,17.0,8.0,505.0,8.0,1.0,1.0,1.0,0.0,3.0,2.0,5272.0,5949.0,27.0,5100.0,5205.0,18.0,172.0,744.0,9.0,2.0,1.0,2.0,0.0,6.0,3.0,7196.0,8821.0,33.0,6104.0,6753.0,20.0,1092.0,2068.0,13.0,3.0,10.0,2.0,0.0,7.0,7.0
LOLTMNT05_175521,complete,NLC,2026.0,0.0,1.0,16.03,Blue,sup,HKE Naskito,Huskies Esports,1.0,Soraka,Ahri,Sion,Lee Sin,Braum,Dr. Mundo,2147.0,1.0,0.0,4.0,18.0,26.0,13.0,0.0,0.0,0.0,0.0,0.0,0.7266,1.0899,0.0,0.0,50.0,13.0,11.0,122.0,10245.0,5590.0,156.218,9230.0,46.0,42.0,4.0,1.2855,2327.0,2713.0,15.0,2347.0,3115.0,14.0,-20.0,-402.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3555.0,3830.0,26.0,3578.0,4793.0,18.0,-23.0,-963.0,8.0,0.0,3.0,1.0,0.0,2.0,0.0,4730.0,5923.0,29.0,4663.0,6233.0,21.0,67.0,-310.0,8.0,0.0,4.0,2.0,0.0,3.0,1.0,6010.0,7751.0,32.0,5864.0,8273.0,22.0,146.0,-522.0,10.0,0.0,7.0,3.0,0.0,4.0,2.0
LOLTMNT02_352654,complete,AL,2026.0,0.0,2.0,16.03,Blue,sup,HKE Naskito,Huskies Esports,1.0,Karma,Ahri,Lee Sin,Sion,Sivir,Caitlyn,1897.0,0.0,0.0,3.0,4.0,10.0,16.0,0.0,0.0,0.0,0.0,0.0,0.3163,0.8224,0.0,0.0,41.0,7.0,9.0,86.0,7339.0,3194.0,101.0227,7230.0,33.0,33.0,0.0,1.0438,2305.0,2977.0,19.0,2177.0,2828.0,16.0,128.0,149.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,3474.0,3489.0,24.0,3618.0,4153.0,26.0,-144.0,-664.0,-2.0,0.0,1.0,1.0,0.0,3.0,1.0,4877.0,5300.0,27.0,4713.0,5680.0,28.0,164.0,-380.0,-1.0,0.0,2.0,1.0,0.0,4.0,1.0,6022.0,7223.0,29.0,6076.0,7722.0,29.0,-54.0,-499.0,0.0,0.0,4.0,2.0,0.0,5.0,2.0
LOLTMNT05_176513,complete,LFL,2026.0,0.0,3.0,16.03,Red,sup,HKE Naskito,Huskies Esports,0.0,Taric,Lee Sin,Ahri,Nidalee,Rell,Lulu,1644.0,0.0,1.0,9.0,7.0,13.0,32.0,0.0,0.0,0.0,0.0,0.0,0.4745,1.6423,0.0,0.0,32.0,4.0,4.0,72.0,6970.0,3341.0,121.9343,6630.0,23.0,23.0,0.0,0.8394,2374.0,2371.0,13.0,2788.0,2814.0,13.0,-414.0,-443.0,0.0,0.0,2.0,3.0,0.0,5.0,1.0,3797.0,3143.0,19.0,4157.0,4121.0,19.0,-360.0,-978.0,0.0,1.0,2.0,5.0,0.0,7.0,2.0,4957.0,5428.0,22.0,5305.0,5315.0,19.0,-348.0,113.0,3.0,1.0,3.0,5.0,0.0,9.0,3.0,6542.0,7266.0,23.0,6637.0,7277.0,21.0,-95.0,-11.0,2.0,1.0,7.0,8.0,0.0,14.0,4.0
