gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_319634,complete,ROL,2026.0,0.0,1.0,16.01,Red,top,HandiDog,Dynasty,0.0,K'Sante,Zed,Trundle,Orianna,Gwen,Fiora,2120.0,1.0,7.0,0.0,11.0,26.0,6.0,2.0,0.0,0.0,0.0,1.0,0.7358,0.9057,0.0,0.0,11.0,2.0,2.0,35.0,14784.0,10184.0,288.2264,13700.0,275.0,275.0,0.0,7.783,3767.0,5334.0,80.0,3324.0,4964.0,86.0,443.0,370.0,-6.0,1.0,0.0,0.0,0.0,0.0,1.0,6015.0,9600.0,140.0,4583.0,7808.0,121.0,1432.0,1792.0,19.0,2.0,0.0,0.0,0.0,0.0,2.0,8329.0,12327.0,176.0,6611.0,9766.0,152.0,1718.0,2561.0,24.0,4.0,2.0,0.0,2.0,0.0,3.0,10416.0,16265.0,233.0,8868.0,12983.0,211.0,1548.0,3282.0,22.0,4.0,2.0,0.0,3.0,0.0,3.0
LOLTMNT01_318843,complete,ROL,2026.0,0.0,1.0,16.01,Red,top,HandiDog,Dynasty,0.0,Zaahen,Tristana,Zoe,Fiora,Jax,Kayle,1396.0,0.0,0.0,4.0,0.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.1719,1.0745,0.0,0.0,7.0,0.0,1.0,17.0,7070.0,3947.0,169.6418,6375.0,182.0,182.0,0.0,7.8223,2911.0,5047.0,65.0,3846.0,5293.0,104.0,-935.0,-246.0,-39.0,0.0,0.0,0.0,0.0,0.0,0.0,4444.0,8545.0,112.0,6372.0,9261.0,167.0,-1928.0,-716.0,-55.0,0.0,0.0,0.0,0.0,0.0,0.0,6176.0,11209.0,157.0,9934.0,12722.0,214.0,-3758.0,-1513.0,-57.0,0.0,0.0,2.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
LOLTMNT01_319672,complete,ROL,2026.0,0.0,1.0,16.01,Blue,top,HandiDog,Dynasty,1.0,K'Sante,Fiora,Rell,Gwen,Renekton,Olaf,1766.0,0.0,3.0,5.0,1.0,8.0,28.0,0.0,0.0,0.0,0.0,0.0,0.2718,1.2231,0.0,0.0,9.0,4.0,0.0,31.0,11540.0,7662.0,260.3171,13380.0,234.0,234.0,0.0,7.9502,3275.0,4746.0,81.0,4175.0,5952.0,94.0,-900.0,-1206.0,-13.0,0.0,0.0,2.0,2.0,0.0,0.0,6491.0,8948.0,128.0,5630.0,9047.0,127.0,861.0,-99.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,8710.0,12569.0,192.0,8555.0,12548.0,177.0,155.0,21.0,15.0,2.0,0.0,2.0,4.0,1.0,1.0,10499.0,14540.0,224.0,12086.0,17186.0,247.0,-1587.0,-2646.0,-23.0,3.0,0.0,4.0,7.0,2.0,1.0
LOLTMNT01_318877,complete,ROL,2026.0,0.0,1.0,16.01,Red,top,HandiDog,Dynasty,0.0,K'Sante,Aatrox,Gwen,Azir,Nami,Nautilus,1543.0,0.0,3.0,4.0,1.0,14.0,23.0,1.0,0.0,0.0,0.0,0.0,0.5444,1.4388,0.0,0.0,9.0,0.0,1.0,27.0,10001.0,6578.0,255.7874,9685.0,203.0,203.0,0.0,7.8937,3284.0,5410.0,89.0,3510.0,5470.0,96.0,-226.0,-60.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,5228.0,9185.0,144.0,6053.0,10221.0,150.0,-825.0,-1036.0,-6.0,0.0,0.0,1.0,1.0,1.0,0.0,7189.0,12010.0,189.0,8721.0,13412.0,197.0,-1532.0,-1402.0,-8.0,1.0,0.0,1.0,3.0,1.0,0.0,9848.0,14076.0,203.0,11417.0,16715.0,225.0,-1569.0,-2639.0,-22.0,3.0,0.0,3.0,5.0,1.0,1.0
LOLTMNT04_147233,complete,NLC,2026.0,0.0,1.0,16.01,Blue,top,HandiDog,Dynasty,1.0,K'Sante,Rumble,Akali,Jayce,Olaf,Ornn,1490.0,0.0,2.0,5.0,2.0,10.0,35.0,0.0,0.0,0.0,0.0,0.0,0.4027,1.8121,0.0,0.0,8.0,2.0,0.0,22.0,7479.0,4164.0,167.6779,7150.0,141.0,141.0,0.0,5.6779,2697.0,4653.0,56.0,3977.0,5260.0,78.0,-1280.0,-607.0,-22.0,0.0,0.0,1.0,2.0,0.0,0.0,3855.0,7648.0,85.0,6580.0,9519.0,128.0,-2725.0,-1871.0,-43.0,0.0,0.0,2.0,3.0,0.0,0.0,6312.0,10147.0,117.0,9263.0,12491.0,167.0,-2951.0,-2344.0,-50.0,2.0,1.0,3.0,6.0,2.0,0.0,7479.0,12176.0,141.0,11130.0,15566.0,182.0,-3651.0,-3390.0,-41.0,2.0,2.0,5.0,8.0,4.0,1.0
LOLTMNT03_337495,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,top,HandiDog,Dynasty,1.0,Zaahen,Rumble,Nami,Malphite,Alistar,Lucian,3396.0,1.0,8.0,5.0,9.0,39.0,27.0,1.0,0.0,0.0,0.0,0.0,0.689,1.1661,0.0,0.0,21.0,13.0,2.0,69.0,24226.0,17023.0,300.7597,30073.0,390.0,390.0,0.0,6.8905,3592.0,5180.0,81.0,3209.0,4702.0,78.0,383.0,478.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,6363.0,9593.0,132.0,4320.0,7109.0,102.0,2043.0,2484.0,30.0,2.0,1.0,0.0,0.0,0.0,3.0,8784.0,12143.0,159.0,5847.0,10094.0,144.0,2937.0,2049.0,15.0,4.0,1.0,1.0,0.0,1.0,3.0,9982.0,13635.0,184.0,7559.0,13510.0,174.0,2423.0,125.0,10.0,4.0,1.0,2.0,0.0,2.0,3.0
LOLTMNT01_320481,complete,LCP,2026.0,0.0,1.0,16.01,Blue,top,HandiDog,Dynasty,1.0,Zaahen,Aphelios,Jarvan IV,Corki,Rumble,Alistar,1851.0,1.0,4.0,3.0,7.0,23.0,11.0,0.0,0.0,0.0,0.0,0.0,0.7455,1.1021,0.0,0.0,15.0,2.0,1.0,33.0,11639.0,7587.0,245.9319,9508.0,208.0,204.0,4.0,6.7423,3550.0,5673.0,68.0,3081.0,5038.0,74.0,469.0,635.0,-6.0,2.0,0.0,0.0,0.0,0.0,2.0,4985.0,8353.0,104.0,5168.0,9695.0,116.0,-183.0,-1342.0,-12.0,2.0,0.0,2.0,2.0,0.0,2.0,6680.0,11479.0,145.0,7082.0,13210.0,166.0,-402.0,-1731.0,-21.0,2.0,0.0,3.0,2.0,1.0,3.0,8246.0,14026.0,176.0,8789.0,15648.0,209.0,-543.0,-1622.0,-33.0,2.0,0.0,3.0,2.0,1.0,4.0
LOLTMNT02_343180,complete,LCP,2026.0,0.0,1.0,16.01,Blue,top,HandiDog,Dynasty,1.0,Dr. Mundo,Rumble,Malphite,Sejuani,Karma,Neeko,2228.0,0.0,6.0,3.0,4.0,17.0,22.0,0.0,0.0,0.0,0.0,0.0,0.4578,1.0233,0.0,0.0,11.0,6.0,0.0,38.0,16756.0,11935.0,321.4093,14900.0,314.0,299.0,15.0,8.456,3598.0,5472.0,93.0,3713.0,5410.0,102.0,-115.0,62.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,6541.0,9623.0,152.0,5440.0,8956.0,147.0,1101.0,667.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,8679.0,12434.0,203.0,7653.0,12979.0,217.0,1026.0,-545.0,-14.0,0.0,1.0,0.0,0.0,1.0,1.0,12087.0,15672.0,251.0,9676.0,16129.0,262.0,2411.0,-457.0,-11.0,2.0,2.0,0.0,0.0,2.0,1.0
LOLTMNT01_324588,complete,CBLOL,2026.0,0.0,2.0,16.01,Blue,top,HandiDog,Dynasty,1.0,Sion,Rumble,Malphite,Ornn,Cho'Gath,Fiora,2375.0,0.0,4.0,3.0,4.0,17.0,22.0,0.0,0.0,0.0,0.0,1.0,0.4295,0.9853,0.0,0.0,10.0,3.0,2.0,29.0,14060.0,8939.0,225.8274,13800.0,285.0,285.0,0.0,7.2,3455.0,5395.0,85.0,3220.0,5193.0,87.0,235.0,202.0,-2.0,0.0,1.0,0.0,0.0,0.0,1.0,6078.0,9356.0,138.0,4849.0,8813.0,140.0,1229.0,543.0,-2.0,1.0,2.0,0.0,0.0,0.0,1.0,7743.0,12399.0,188.0,6592.0,12658.0,196.0,1151.0,-259.0,-8.0,1.0,2.0,0.0,0.0,0.0,1.0,9706.0,14145.0,208.0,8749.0,15130.0,209.0,957.0,-985.0,-1.0,3.0,2.0,2.0,2.0,3.0,2.0
LOLTMNT04_151293,complete,LIT,2026.0,0.0,1.0,16.02,Blue,top,HandiDog,Dynasty,1.0,Dr. Mundo,Aphelios,Rumble,Sion,Bard,Neeko,2231.0,0.0,4.0,5.0,4.0,13.0,22.0,1.0,0.0,0.0,0.0,0.0,0.3496,0.9413,0.0,0.0,14.0,2.0,0.0,38.0,16568.0,11741.0,315.7597,16450.0,327.0,323.0,4.0,8.7943,3180.0,5118.0,83.0,3981.0,5277.0,99.0,-801.0,-159.0,-16.0,0.0,0.0,1.0,1.0,0.0,0.0,4895.0,8756.0,133.0,5563.0,8931.0,148.0,-668.0,-175.0,-15.0,0.0,0.0,1.0,1.0,0.0,0.0,7238.0,11419.0,168.0,8045.0,13325.0,188.0,-807.0,-1906.0,-20.0,1.0,1.0,3.0,2.0,2.0,1.0,9370.0,14974.0,226.0,10022.0,16083.0,234.0,-652.0,-1109.0,-8.0,1.0,2.0,3.0,2.0,2.0,1.0
