gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_338031,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,bot,Hans Sama,G2 Esports,0.0,Corki,Rumble,Orianna,Sion,Braum,Nautilus,1912.0,0.0,1.0,2.0,3.0,7.0,18.0,0.0,0.0,0.0,0.0,1.0,0.2197,0.7531,0.0,1.0,12.0,9.0,4.0,40.0,13173.0,8997.0,282.3326,12600.0,315.0,307.0,8.0,9.8849,3455.0,3748.0,90.0,3549.0,3972.0,93.0,-94.0,-224.0,-3.0,0.0,1.0,0.0,0.0,0.0,1.0,5618.0,6513.0,143.0,6751.0,6902.0,158.0,-1133.0,-389.0,-15.0,0.0,1.0,0.0,0.0,0.0,1.0,8119.0,9594.0,203.0,11109.0,10168.0,216.0,-2990.0,-574.0,-13.0,0.0,2.0,0.0,3.0,1.0,1.0,9741.0,11480.0,248.0,13899.0,13999.0,277.0,-4158.0,-2519.0,-29.0,0.0,2.0,1.0,3.0,4.0,1.0
LOLTMNT05_171227,complete,CCWS,2026.0,0.0,1.0,16.01,Blue,bot,Hans Sama,G2 Esports,0.0,Yunara,Rumble,Jayce,Orianna,Gwen,Gnar,2159.0,0.0,2.0,2.0,6.0,14.0,19.0,0.0,0.0,0.0,0.0,0.0,0.3891,0.9171,0.0,0.0,16.0,19.0,5.0,71.0,16399.0,11719.0,325.6786,16075.0,354.0,334.0,20.0,9.8379,3374.0,3754.0,89.0,3864.0,4137.0,98.0,-490.0,-383.0,-9.0,0.0,0.0,0.0,0.0,1.0,0.0,5272.0,5747.0,130.0,6365.0,6991.0,156.0,-1093.0,-1244.0,-26.0,0.0,0.0,0.0,0.0,2.0,0.0,7709.0,8792.0,195.0,8785.0,9431.0,215.0,-1076.0,-639.0,-20.0,0.0,1.0,0.0,0.0,3.0,1.0,10215.0,10649.0,239.0,10813.0,11532.0,261.0,-598.0,-883.0,-22.0,1.0,2.0,0.0,0.0,4.0,1.0
LOLTMNT05_172217,complete,CCWS,2026.0,0.0,1.0,16.01,Blue,bot,Hans Sama,G2 Esports,1.0,Ezreal,Malphite,Yunara,Rumble,Neeko,Akali,1532.0,1.0,8.0,0.0,2.0,22.0,5.0,2.0,0.0,0.0,0.0,0.0,0.8616,1.0574,0.0,0.0,14.0,7.0,5.0,38.0,14859.0,11458.0,448.7467,11108.0,284.0,284.0,0.0,11.1227,4059.0,4066.0,98.0,3422.0,4322.0,93.0,637.0,-256.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,6878.0,6797.0,150.0,5910.0,7377.0,156.0,968.0,-580.0,-6.0,3.0,1.0,0.0,0.0,0.0,1.0,9974.0,10302.0,215.0,7550.0,9418.0,193.0,2424.0,884.0,22.0,3.0,2.0,0.0,0.0,0.0,3.0,14163.0,13885.0,280.0,9609.0,11121.0,246.0,4554.0,2764.0,34.0,6.0,2.0,0.0,0.0,0.0,4.0
LOLTMNT06_166082,complete,AL,2026.0,0.0,1.0,16.02,Blue,bot,Hans Sama,G2 Esports,1.0,Kai'Sa,Neeko,Yunara,Aurora,Alistar,Poppy,1769.0,1.0,11.0,1.0,7.0,25.0,7.0,3.0,0.0,0.0,0.0,0.0,0.8479,1.0854,0.0,0.0,10.0,10.0,4.0,43.0,18975.0,15091.0,511.8485,14950.0,314.0,296.0,18.0,10.6501,4462.0,4063.0,104.0,3458.0,4024.0,93.0,1004.0,39.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,7634.0,6164.0,144.0,5791.0,5695.0,126.0,1843.0,469.0,18.0,4.0,3.0,1.0,1.0,0.0,2.0,10621.0,8931.0,207.0,8257.0,7916.0,180.0,2364.0,1015.0,27.0,5.0,3.0,1.0,1.0,0.0,3.0,13857.0,11770.0,268.0,10375.0,10570.0,229.0,3482.0,1200.0,39.0,6.0,3.0,1.0,1.0,1.0,4.0
LOLTMNT01_328152,complete,HW,2026.0,0.0,1.0,16.02,Blue,bot,Hans Sama,G2 Esports,0.0,Corki,Varus,Azir,Orianna,Wukong,Qiyana,2023.0,0.0,0.0,2.0,0.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.1186,0.6822,0.0,1.0,14.0,12.0,3.0,53.0,13994.0,9591.0,284.4587,13175.0,342.0,342.0,0.0,10.1434,3360.0,3447.0,90.0,3682.0,3790.0,98.0,-322.0,-343.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,5508.0,5538.0,139.0,6405.0,6441.0,151.0,-897.0,-903.0,-12.0,0.0,0.0,0.0,0.0,1.0,0.0,7785.0,8800.0,208.0,8896.0,9371.0,209.0,-1111.0,-571.0,-1.0,0.0,0.0,0.0,0.0,2.0,0.0,10257.0,11207.0,264.0,11776.0,12561.0,273.0,-1519.0,-1354.0,-9.0,0.0,0.0,0.0,1.0,2.0,0.0
LOLTMNT01_332170,complete,LCK,2026.0,0.0,1.0,16.02,Blue,bot,Hans Sama,G2 Esports,1.0,Varus,Aphelios,Taliyah,Rumble,Ambessa,Gnar,1746.0,1.0,6.0,2.0,6.0,17.0,6.0,1.0,1.0,0.0,0.0,0.0,0.5842,0.7904,0.0,0.0,13.0,5.0,5.0,34.0,15691.0,11854.0,407.354,11975.0,294.0,286.0,8.0,10.1031,3883.0,4196.0,107.0,3527.0,3787.0,86.0,356.0,409.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,6388.0,6356.0,161.0,6128.0,6084.0,138.0,260.0,272.0,23.0,0.0,0.0,1.0,1.0,1.0,0.0,8816.0,8926.0,219.0,8176.0,9095.0,202.0,640.0,-169.0,17.0,0.0,0.0,1.0,1.0,1.0,0.0,12058.0,11927.0,265.0,10188.0,11270.0,247.0,1870.0,657.0,18.0,1.0,5.0,2.0,1.0,2.0,1.0
LOLTMNT01_336823,complete,HLL,2026.0,0.0,1.0,16.02,Blue,bot,Hans Sama,G2 Esports,1.0,Aphelios,Yunara,Rumble,Aatrox,Ambessa,Neeko,2040.0,1.0,7.0,4.0,6.0,16.0,12.0,1.0,1.0,1.0,0.0,0.0,0.4706,0.8235,0.0,0.0,14.0,10.0,2.0,37.0,18039.0,13602.0,400.0588,15550.0,307.0,283.0,24.0,9.0294,3631.0,3454.0,78.0,3882.0,4040.0,91.0,-251.0,-586.0,-13.0,1.0,1.0,1.0,1.0,0.0,1.0,5475.0,5442.0,114.0,6332.0,6730.0,142.0,-857.0,-1288.0,-28.0,1.0,3.0,3.0,1.0,3.0,2.0,7852.0,7955.0,167.0,8888.0,10217.0,217.0,-1036.0,-2262.0,-50.0,1.0,3.0,3.0,1.0,3.0,2.0,10054.0,10223.0,215.0,11410.0,12890.0,271.0,-1356.0,-2667.0,-56.0,1.0,3.0,4.0,3.0,3.0,2.0
LOLTMNT01_337442,complete,AL,2026.0,0.0,1.0,16.02,Blue,bot,Hans Sama,G2 Esports,1.0,Aphelios,Sion,Caitlyn,Poppy,Karma,K'Sante,1892.0,0.0,1.0,3.0,2.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.1903,0.5074,0.0,0.0,13.0,17.0,2.0,53.0,14105.0,9970.0,316.1734,13350.0,336.0,312.0,24.0,10.6554,3470.0,3609.0,91.0,3894.0,3445.0,105.0,-424.0,164.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,6435.0,5944.0,149.0,6502.0,5073.0,158.0,-67.0,871.0,-9.0,0.0,1.0,0.0,0.0,0.0,0.0,8928.0,8598.0,208.0,9552.0,7554.0,226.0,-624.0,1044.0,-18.0,1.0,1.0,0.0,1.0,0.0,0.0,11164.0,10133.0,264.0,12385.0,9310.0,274.0,-1221.0,823.0,-10.0,1.0,1.0,1.0,2.0,0.0,0.0
LOLTMNT04_152732,complete,TCL,2026.0,0.0,1.0,16.02,Blue,bot,Hans Sama,G2 Esports,1.0,Sivir,Yunara,Ezreal,Aurelion Sol,Neeko,Rakan,2438.0,1.0,4.0,1.0,8.0,19.0,13.0,0.0,0.0,0.0,0.0,0.0,0.4676,0.7875,0.0,0.0,21.0,23.0,7.0,77.0,21995.0,16746.0,412.1247,19925.0,446.0,422.0,24.0,10.9762,3576.0,3931.0,93.0,3825.0,4143.0,95.0,-249.0,-212.0,-2.0,0.0,0.0,1.0,0.0,1.0,0.0,6580.0,6393.0,137.0,6127.0,6556.0,146.0,453.0,-163.0,-9.0,1.0,1.0,1.0,0.0,1.0,1.0,9583.0,9711.0,206.0,9555.0,10158.0,214.0,28.0,-447.0,-8.0,2.0,1.0,1.0,2.0,1.0,2.0,12365.0,12467.0,271.0,12148.0,12688.0,277.0,217.0,-221.0,-6.0,3.0,1.0,1.0,2.0,2.0,2.0
LOLTMNT02_351385,complete,LCK,2026.0,0.0,1.0,16.03,Blue,bot,Hans Sama,G2 Esports,1.0,Ezreal,Yunara,Rumble,Kai'Sa,Thresh,Kennen,1795.0,0.0,2.0,3.0,4.0,10.0,25.0,0.0,0.0,0.0,0.0,0.0,0.3343,1.1699,0.0,1.0,10.0,8.0,1.0,35.0,13608.0,9671.0,323.2646,13358.0,293.0,285.0,8.0,9.7939,3417.0,3668.0,90.0,4050.0,4150.0,100.0,-633.0,-482.0,-10.0,0.0,0.0,1.0,0.0,1.0,0.0,6010.0,6429.0,146.0,6394.0,7163.0,160.0,-384.0,-734.0,-14.0,1.0,0.0,1.0,0.0,1.0,0.0,8599.0,9519.0,208.0,10784.0,10261.0,220.0,-2185.0,-742.0,-12.0,1.0,1.0,1.0,3.0,3.0,0.0,10612.0,11955.0,259.0,16098.0,13729.0,290.0,-5486.0,-1774.0,-31.0,1.0,3.0,1.0,9.0,4.0,0.0
