gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_171066,complete,LIT,2026.0,0.0,1.0,16.01,Red,top,Haruhiro,P11 Esports,0.0,Rumble,Azir,Taliyah,Zaahen,Yunara,Alistar,1451.0,0.0,0.0,5.0,0.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.1241,0.827,0.0,0.0,10.0,2.0,2.0,22.0,7000.0,3764.0,155.6444,6750.0,173.0,173.0,0.0,7.1537,3262.0,4759.0,83.0,3971.0,5495.0,84.0,-709.0,-736.0,-1.0,0.0,0.0,2.0,2.0,1.0,0.0,4569.0,6171.0,109.0,6911.0,9818.0,148.0,-2342.0,-3647.0,-39.0,0.0,0.0,3.0,3.0,1.0,0.0,6173.0,9914.0,157.0,8740.0,12649.0,183.0,-2567.0,-2735.0,-26.0,0.0,0.0,3.0,4.0,1.0,0.0,7000.0,11139.0,173.0,11407.0,15820.0,207.0,-4407.0,-4681.0,-34.0,0.0,0.0,5.0,7.0,6.0,0.0
LOLTMNT03_336226,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,top,Haruhiro,P11 Esports,1.0,Yorick,Ornn,Yasuo,Sion,Bard,Akali,1784.0,0.0,0.0,4.0,1.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0673,0.6726,0.0,0.0,12.0,2.0,3.0,31.0,9465.0,5550.0,186.6592,9208.0,217.0,217.0,0.0,7.2982,3414.0,5130.0,76.0,3100.0,4736.0,72.0,314.0,394.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,5128.0,9021.0,127.0,4777.0,8327.0,116.0,351.0,694.0,11.0,0.0,1.0,0.0,0.0,0.0,1.0,6972.0,12076.0,170.0,7087.0,12176.0,167.0,-115.0,-100.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,8419.0,14651.0,204.0,8813.0,15671.0,193.0,-394.0,-1020.0,11.0,0.0,1.0,3.0,3.0,3.0,1.0
LOLTMNT01_320423,complete,LCP,2026.0,0.0,1.0,16.01,Blue,top,Haruhiro,P11 Esports,1.0,Sion,Lucian,Ambessa,Smolder,Gwen,Zaahen,1502.0,0.0,0.0,3.0,0.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0799,0.9987,0.0,0.0,9.0,0.0,3.0,18.0,8776.0,5436.0,217.1505,8175.0,235.0,235.0,0.0,9.3875,3524.0,5348.0,95.0,3362.0,5596.0,93.0,162.0,-248.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5075.0,8406.0,140.0,5659.0,9190.0,146.0,-584.0,-784.0,-6.0,0.0,0.0,1.0,0.0,0.0,0.0,7486.0,12152.0,205.0,8122.0,13723.0,208.0,-636.0,-1571.0,-3.0,0.0,0.0,1.0,1.0,0.0,0.0,8773.0,14523.0,235.0,11012.0,17922.0,232.0,-2239.0,-3399.0,3.0,0.0,0.0,3.0,2.0,7.0,0.0
LOLTMNT06_164200,complete,LEC,2026.0,0.0,1.0,16.01,Red,top,Haruhiro,P11 Esports,0.0,Ornn,Dr. Mundo,Gwen,Naafiri,Ekko,Akali,1546.0,0.0,1.0,3.0,1.0,6.0,25.0,0.0,0.0,0.0,0.0,0.0,0.2329,1.2031,0.0,0.0,12.0,1.0,2.0,28.0,8730.0,5301.0,205.7309,8500.0,212.0,209.0,3.0,8.2277,3387.0,5069.0,82.0,3451.0,5286.0,83.0,-64.0,-217.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,5227.0,8773.0,140.0,5341.0,9002.0,145.0,-114.0,-229.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,7435.0,11822.0,186.0,8593.0,13006.0,211.0,-1158.0,-1184.0,-25.0,1.0,0.0,1.0,0.0,1.0,0.0,8581.0,13577.0,208.0,11628.0,16844.0,250.0,-3047.0,-3267.0,-42.0,1.0,1.0,3.0,1.0,3.0,0.0
LOLTMNT02_344149,complete,LCP,2026.0,0.0,1.0,16.01,Blue,top,Haruhiro,P11 Esports,1.0,Aurora,Lillia,Zaahen,Diana,Darius,Fiora,1855.0,0.0,2.0,5.0,3.0,16.0,21.0,0.0,0.0,0.0,0.0,0.0,0.5175,1.1968,0.0,0.0,13.0,2.0,5.0,30.0,9889.0,5829.0,188.5391,9125.0,201.0,201.0,0.0,6.5013,2972.0,4560.0,74.0,4122.0,6089.0,91.0,-1150.0,-1529.0,-17.0,0.0,0.0,2.0,2.0,0.0,0.0,4140.0,7207.0,102.0,7320.0,11085.0,153.0,-3180.0,-3878.0,-51.0,0.0,0.0,4.0,4.0,0.0,0.0,5687.0,10063.0,149.0,10074.0,14294.0,201.0,-4387.0,-4231.0,-52.0,0.0,0.0,4.0,6.0,1.0,0.0,7981.0,12836.0,168.0,11877.0,16974.0,256.0,-3896.0,-4138.0,-88.0,1.0,2.0,4.0,6.0,1.0,1.0
LOLTMNT01_327016,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,top,Haruhiro,P11 Esports,1.0,Sion,Diana,Yone,Gwen,Zaahen,Jarvan IV,1983.0,0.0,3.0,5.0,7.0,10.0,29.0,0.0,0.0,0.0,0.0,1.0,0.3026,1.18,0.0,0.0,12.0,3.0,2.0,35.0,12522.0,8201.0,248.1392,12300.0,229.0,229.0,0.0,6.9289,3511.0,4657.0,67.0,3163.0,4901.0,72.0,348.0,-244.0,-5.0,1.0,0.0,0.0,0.0,0.0,1.0,5362.0,8568.0,115.0,4351.0,7711.0,102.0,1011.0,857.0,13.0,1.0,2.0,0.0,0.0,0.0,3.0,7668.0,12540.0,170.0,5802.0,10104.0,135.0,1866.0,2436.0,35.0,2.0,3.0,0.0,0.0,1.0,4.0,8907.0,14235.0,195.0,8191.0,12920.0,175.0,716.0,1315.0,20.0,2.0,5.0,1.0,1.0,3.0,5.0
LOLTMNT04_151154,complete,TCL,2026.0,0.0,1.0,16.02,Red,top,Haruhiro,P11 Esports,0.0,K'Sante,Diana,Gwen,Ambessa,Gnar,Aatrox,1847.0,0.0,1.0,6.0,1.0,10.0,21.0,0.0,0.0,0.0,0.0,0.0,0.3249,1.007,0.0,0.0,12.0,1.0,0.0,25.0,8777.0,4734.0,153.7845,8600.0,191.0,191.0,0.0,6.2047,2899.0,4852.0,64.0,3621.0,4845.0,74.0,-722.0,7.0,-10.0,0.0,0.0,1.0,1.0,0.0,0.0,4438.0,8138.0,106.0,6449.0,9653.0,124.0,-2011.0,-1515.0,-18.0,0.0,0.0,2.0,3.0,0.0,0.0,6170.0,10800.0,138.0,8236.0,11934.0,158.0,-2066.0,-1134.0,-20.0,1.0,0.0,2.0,4.0,0.0,2.0,7366.0,12824.0,164.0,10427.0,14836.0,195.0,-3061.0,-2012.0,-31.0,1.0,1.0,3.0,5.0,2.0,2.0
LOLTMNT01_332905,complete,HW,2026.0,0.0,2.0,16.02,Red,top,Haruhiro,P11 Esports,0.0,Ornn,Diana,Gwen,Ambessa,Gnar,Fiora,2623.0,1.0,2.0,4.0,18.0,35.0,21.0,0.0,0.0,0.0,0.0,0.0,0.8006,1.281,0.0,0.0,27.0,5.0,6.0,56.0,13121.0,7494.0,171.422,11650.0,217.0,217.0,0.0,4.9638,3166.0,5023.0,69.0,4163.0,5133.0,100.0,-997.0,-110.0,-31.0,1.0,0.0,1.0,1.0,0.0,0.0,4317.0,7549.0,84.0,5978.0,7848.0,132.0,-1661.0,-299.0,-48.0,1.0,4.0,2.0,1.0,2.0,2.0,5761.0,10391.0,121.0,8625.0,10563.0,173.0,-2864.0,-172.0,-52.0,1.0,5.0,2.0,3.0,2.0,3.0,6820.0,12600.0,133.0,11893.0,14704.0,231.0,-5073.0,-2104.0,-98.0,1.0,10.0,3.0,4.0,4.0,3.0
LOLTMNT04_151168,complete,LFL,2026.0,0.0,3.0,16.02,Blue,top,Haruhiro,P11 Esports,1.0,Ambessa,Diana,Gwen,Urgot,Renekton,Gnar,2481.0,1.0,12.0,8.0,7.0,41.0,26.0,1.0,0.0,0.0,0.0,0.0,0.9915,1.6203,0.0,0.0,20.0,6.0,2.0,52.0,16897.0,11560.0,279.5647,15500.0,216.0,208.0,8.0,5.2237,3840.0,4157.0,58.0,3492.0,4004.0,71.0,348.0,153.0,-13.0,3.0,2.0,1.0,1.0,0.0,3.0,6050.0,8118.0,91.0,6292.0,8231.0,114.0,-242.0,-113.0,-23.0,6.0,2.0,2.0,3.0,1.0,5.0,8897.0,11488.0,129.0,9050.0,11189.0,158.0,-153.0,299.0,-29.0,8.0,2.0,3.0,4.0,2.0,7.0,10668.0,14219.0,160.0,13870.0,15149.0,211.0,-3202.0,-930.0,-51.0,9.0,2.0,5.0,7.0,4.0,7.0
LOLTMNT04_152149,complete,LIT,2026.0,1.0,4.0,16.02,Blue,top,Haruhiro,P11 Esports,1.0,Gragas,Diana,Gwen,Urgot,Xin Zhao,Qiyana,1861.0,0.0,1.0,6.0,3.0,13.0,27.0,0.0,0.0,0.0,0.0,0.0,0.4191,1.2896,0.0,0.0,12.0,1.0,0.0,29.0,9739.0,5667.0,182.7082,9150.0,229.0,228.0,1.0,7.3831,3186.0,4786.0,62.0,4236.0,5470.0,103.0,-1050.0,-684.0,-41.0,1.0,0.0,2.0,1.0,1.0,1.0,4847.0,8251.0,109.0,6142.0,7944.0,138.0,-1295.0,307.0,-29.0,1.0,1.0,3.0,2.0,1.0,3.0,6195.0,10066.0,144.0,9406.0,11025.0,171.0,-3211.0,-959.0,-27.0,1.0,2.0,4.0,6.0,3.0,4.0,7803.0,13073.0,188.0,11254.0,13807.0,210.0,-3451.0,-734.0,-22.0,1.0,2.0,5.0,7.0,3.0,5.0
