gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_164317,complete,LEC,2026.0,0.0,1.0,16.01,Red,bot,Hazel,Karmine Corp Blue,0.0,Varus,Jayce,Orianna,Rumble,Corki,Sivir,2135.0,0.0,1.0,1.0,5.0,11.0,20.0,0.0,0.0,0.0,0.0,1.0,0.3091,0.8712,0.0,0.0,13.0,12.0,4.0,46.0,15648.0,11017.0,309.6112,15275.0,391.0,387.0,4.0,10.9883,3677.0,3644.0,92.0,3789.0,3686.0,82.0,-112.0,-42.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,6231.0,6495.0,147.0,6585.0,6556.0,139.0,-354.0,-61.0,8.0,1.0,1.0,0.0,2.0,0.0,0.0,8598.0,9893.0,225.0,9452.0,9632.0,211.0,-854.0,261.0,14.0,1.0,1.0,0.0,2.0,0.0,0.0,10590.0,12342.0,274.0,13271.0,13604.0,281.0,-2681.0,-1262.0,-7.0,1.0,3.0,1.0,4.0,2.0,0.0
LOLTMNT05_171218,complete,CCWS,2026.0,0.0,1.0,16.01,Red,bot,Hazel,Karmine Corp Blue,0.0,Yunara,Sion,Rakan,Malphite,Braum,Bard,2242.0,1.0,3.0,2.0,8.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.5352,0.8029,0.0,0.0,17.0,14.0,6.0,69.0,18406.0,13557.0,362.81,18200.0,375.0,366.0,9.0,10.0357,3614.0,3990.0,88.0,3482.0,3207.0,92.0,132.0,783.0,-4.0,0.0,1.0,0.0,0.0,0.0,1.0,5743.0,6513.0,140.0,5804.0,5701.0,149.0,-61.0,812.0,-9.0,0.0,2.0,0.0,0.0,0.0,1.0,8741.0,9270.0,201.0,8150.0,7839.0,205.0,591.0,1431.0,-4.0,1.0,2.0,0.0,0.0,0.0,1.0,10780.0,11688.0,253.0,12156.0,10074.0,255.0,-1376.0,1614.0,-2.0,1.0,3.0,1.0,3.0,1.0,1.0
LOLTMNT06_164519,complete,AL,2026.0,0.0,1.0,16.01,Blue,bot,Hazel,Karmine Corp Blue,0.0,Aphelios,Jayce,Rumble,Corki,Sivir,Kai'Sa,2163.0,0.0,2.0,6.0,3.0,13.0,28.0,0.0,0.0,0.0,0.0,0.0,0.3606,1.1373,0.0,0.0,13.0,4.0,5.0,29.0,15171.0,10483.0,290.7906,15225.0,325.0,317.0,8.0,9.0153,3660.0,4293.0,101.0,3404.0,4038.0,89.0,256.0,255.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5147.0,5812.0,132.0,6982.0,7332.0,156.0,-1835.0,-1520.0,-24.0,0.0,0.0,1.0,1.0,1.0,0.0,7544.0,8749.0,187.0,9790.0,10640.0,227.0,-2246.0,-1891.0,-40.0,0.0,0.0,1.0,1.0,1.0,0.0,9876.0,11814.0,251.0,12749.0,14029.0,284.0,-2873.0,-2215.0,-33.0,0.0,1.0,2.0,3.0,4.0,0.0
LOLTMNT01_326657,complete,ROL,2026.0,0.0,1.0,16.02,Red,bot,Hazel,Karmine Corp Blue,1.0,Aphelios,Jayce,Malphite,K'Sante,Xin Zhao,Bard,2275.0,0.0,6.0,3.0,9.0,24.0,25.0,1.0,0.0,0.0,0.0,1.0,0.633,1.2923,0.0,1.0,12.0,16.0,2.0,57.0,18266.0,13349.0,352.0615,18450.0,343.0,327.0,16.0,9.0462,3595.0,3597.0,86.0,3464.0,3523.0,82.0,131.0,74.0,4.0,0.0,2.0,0.0,0.0,1.0,1.0,5520.0,5942.0,131.0,5660.0,5932.0,128.0,-140.0,10.0,3.0,1.0,2.0,1.0,0.0,2.0,2.0,9290.0,9587.0,196.0,8793.0,8673.0,195.0,497.0,914.0,1.0,2.0,5.0,1.0,0.0,2.0,3.0,11155.0,12004.0,252.0,10768.0,11152.0,249.0,387.0,852.0,3.0,2.0,5.0,1.0,0.0,2.0,3.0
LOLTMNT04_150462,complete,LFL,2026.0,0.0,1.0,16.02,Blue,bot,Hazel,Karmine Corp Blue,0.0,Yunara,Orianna,Jayce,Azir,Kai'Sa,Rakan,1555.0,0.0,0.0,4.0,0.0,6.0,27.0,0.0,0.0,0.0,0.0,0.0,0.2315,1.2733,0.0,0.0,13.0,5.0,5.0,27.0,9071.0,5623.0,216.9646,8925.0,227.0,222.0,5.0,8.7588,3371.0,3599.0,88.0,4448.0,4116.0,101.0,-1077.0,-517.0,-13.0,0.0,0.0,2.0,2.0,0.0,0.0,5292.0,5857.0,132.0,7979.0,6817.0,161.0,-2687.0,-960.0,-29.0,0.0,0.0,2.0,2.0,0.0,0.0,7254.0,7757.0,173.0,10980.0,9427.0,213.0,-3726.0,-1670.0,-40.0,0.0,0.0,2.0,2.0,3.0,0.0,8813.0,10118.0,219.0,14328.0,12937.0,267.0,-5515.0,-2819.0,-48.0,0.0,0.0,3.0,4.0,4.0,0.0
LOLTMNT01_332135,complete,LCP,2026.0,0.0,1.0,16.02,Red,bot,Hazel,Karmine Corp Blue,0.0,Yunara,Jayce,Irelia,Ryze,Vi,Sejuani,1517.0,0.0,3.0,3.0,2.0,7.0,26.0,0.0,0.0,0.0,0.0,0.0,0.2769,1.3052,0.0,0.0,11.0,4.0,3.0,24.0,11151.0,7781.0,307.7521,10625.0,236.0,236.0,0.0,9.3342,3278.0,3652.0,77.0,4445.0,4730.0,99.0,-1167.0,-1078.0,-22.0,0.0,0.0,1.0,1.0,1.0,0.0,5687.0,6149.0,133.0,7754.0,7103.0,153.0,-2067.0,-954.0,-20.0,0.0,0.0,1.0,2.0,2.0,0.0,8964.0,9455.0,200.0,10341.0,10224.0,219.0,-1377.0,-769.0,-19.0,2.0,0.0,1.0,2.0,2.0,0.0,11115.0,11798.0,236.0,14808.0,13481.0,249.0,-3693.0,-1683.0,-13.0,3.0,2.0,3.0,5.0,11.0,1.0
LOLTMNT01_336823,complete,HLL,2026.0,0.0,1.0,16.02,Red,bot,Hazel,Karmine Corp Blue,0.0,Corki,Jayce,Varus,Poppy,Caitlyn,Ezreal,2040.0,0.0,3.0,3.0,5.0,12.0,16.0,0.0,0.0,0.0,0.0,1.0,0.3529,0.8235,0.0,0.0,15.0,13.0,6.0,48.0,15647.0,11210.0,329.7059,15333.0,353.0,347.0,6.0,10.3824,3882.0,4040.0,91.0,3631.0,3454.0,78.0,251.0,586.0,13.0,1.0,0.0,1.0,1.0,1.0,1.0,6332.0,6730.0,142.0,5475.0,5442.0,114.0,857.0,1288.0,28.0,1.0,3.0,2.0,1.0,3.0,3.0,8888.0,10217.0,217.0,7852.0,7955.0,167.0,1036.0,2262.0,50.0,1.0,3.0,2.0,1.0,3.0,3.0,11410.0,12890.0,271.0,10054.0,10223.0,215.0,1356.0,2667.0,56.0,3.0,3.0,2.0,1.0,3.0,4.0
LOLTMNT04_151744,complete,EBL,2026.0,0.0,1.0,16.02,Red,bot,Hazel,Karmine Corp Blue,1.0,Kai'Sa,Jayce,Dr. Mundo,K'Sante,Aatrox,Nautilus,2566.0,0.0,2.0,3.0,2.0,12.0,21.0,0.0,0.0,0.0,0.0,0.0,0.2806,0.7716,0.0,0.0,20.0,13.0,7.0,53.0,18239.0,12729.0,297.6383,18425.0,406.0,390.0,16.0,9.4934,3554.0,3908.0,95.0,3738.0,3922.0,108.0,-184.0,-14.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,5859.0,6318.0,145.0,6722.0,6422.0,167.0,-863.0,-104.0,-22.0,0.0,0.0,0.0,0.0,0.0,0.0,8261.0,9321.0,205.0,9688.0,9190.0,220.0,-1427.0,131.0,-15.0,1.0,0.0,1.0,2.0,0.0,0.0,11010.0,11947.0,263.0,12155.0,12012.0,288.0,-1145.0,-65.0,-25.0,2.0,1.0,1.0,2.0,0.0,0.0
LOLTMNT01_338418,complete,LCP,2026.0,0.0,1.0,16.02,Blue,bot,Hazel,Karmine Corp Blue,0.0,Kai'Sa,Jayce,Vi,Azir,Jarvan IV,Aatrox,2005.0,0.0,2.0,1.0,1.0,5.0,17.0,0.0,0.0,0.0,0.0,1.0,0.1496,0.6584,0.0,1.0,14.0,13.0,7.0,48.0,14543.0,10177.0,304.5486,14775.0,335.0,327.0,8.0,10.0249,3515.0,3674.0,90.0,3544.0,3478.0,90.0,-29.0,196.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6205.0,6343.0,150.0,5806.0,5868.0,142.0,399.0,475.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,8659.0,9205.0,204.0,8679.0,8473.0,200.0,-20.0,732.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,10945.0,11701.0,258.0,11613.0,11627.0,264.0,-668.0,74.0,-6.0,2.0,1.0,0.0,2.0,2.0,1.0
LOLTMNT05_175418,complete,LFL,2026.0,0.0,1.0,16.03,Blue,bot,Hazel,Karmine Corp Blue,0.0,Kai'Sa,Neeko,Varus,Cassiopeia,Bard,K'Sante,2008.0,0.0,2.0,5.0,4.0,6.0,19.0,0.0,0.0,0.0,0.0,0.0,0.1793,0.747,0.0,0.0,12.0,6.0,5.0,33.0,15117.0,10745.0,321.0657,15275.0,326.0,326.0,0.0,9.741,3377.0,3636.0,92.0,4661.0,3898.0,87.0,-1284.0,-262.0,5.0,0.0,0.0,2.0,3.0,2.0,0.0,5690.0,6106.0,139.0,7817.0,6584.0,140.0,-2127.0,-478.0,-1.0,0.0,0.0,3.0,5.0,3.0,0.0,8138.0,9218.0,199.0,10345.0,9225.0,212.0,-2207.0,-7.0,-13.0,0.0,1.0,3.0,5.0,3.0,0.0,11174.0,12165.0,262.0,13790.0,12991.0,273.0,-2616.0,-826.0,-11.0,1.0,1.0,3.0,7.0,3.0,0.0
