gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_335649,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,mid,Hwichan,KT Rolster Challengers,0.0,Akali,Orianna,Jayce,Neeko,Bard,Aphelios,1926.0,1.0,10.0,2.0,11.0,23.0,7.0,1.0,0.0,0.0,0.0,0.0,0.7165,0.9346,0.0,0.0,10.0,8.0,5.0,46.0,16616.0,12411.0,386.6355,16675.0,299.0,298.0,1.0,9.3146,3544.0,5231.0,97.0,3231.0,4673.0,86.0,313.0,558.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,5695.0,8270.0,154.0,4835.0,7457.0,140.0,860.0,813.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,8003.0,11573.0,221.0,6713.0,10184.0,197.0,1290.0,1389.0,24.0,1.0,1.0,0.0,0.0,0.0,0.0,10722.0,14371.0,265.0,8880.0,13087.0,263.0,1842.0,1284.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0
LOLTMNT03_334676,complete,LCKC,2026.0,0.0,2.0,16.01,Red,mid,Hwichan,KT Rolster Challengers,0.0,Taliyah,Orianna,Jayce,Neeko,Qiyana,Ambessa,1878.0,1.0,3.0,0.0,8.0,21.0,15.0,0.0,0.0,0.0,0.0,0.0,0.6709,1.1502,0.0,0.0,19.0,5.0,8.0,44.0,12918.0,8811.0,281.5016,11700.0,303.0,286.0,17.0,9.6805,3612.0,4981.0,90.0,3909.0,5227.0,103.0,-297.0,-246.0,-13.0,0.0,1.0,0.0,1.0,0.0,1.0,5908.0,8308.0,153.0,6291.0,8298.0,164.0,-383.0,10.0,-11.0,1.0,1.0,0.0,2.0,0.0,1.0,7755.0,11399.0,207.0,8408.0,11108.0,222.0,-653.0,291.0,-15.0,1.0,2.0,0.0,2.0,0.0,1.0,10128.0,15772.0,272.0,9877.0,14384.0,258.0,251.0,1388.0,14.0,1.0,6.0,0.0,2.0,1.0,2.0
LOLTMNT03_337603,complete,LCK,2026.0,0.0,1.0,16.01,Red,mid,Hwichan,KT Rolster Challengers,1.0,Ahri,Poppy,Jarvan IV,Malphite,Varus,Renekton,1810.0,1.0,7.0,2.0,15.0,28.0,16.0,1.0,0.0,0.0,0.0,0.0,0.9282,1.4586,0.0,0.0,7.0,3.0,1.0,28.0,15065.0,11097.0,367.8564,13525.0,284.0,284.0,0.0,9.4144,3699.0,5183.0,98.0,4026.0,5216.0,90.0,-327.0,-33.0,8.0,0.0,1.0,1.0,1.0,4.0,0.0,6407.0,7978.0,155.0,6183.0,8092.0,137.0,224.0,-114.0,18.0,1.0,1.0,2.0,3.0,4.0,1.0,9465.0,11107.0,198.0,8002.0,10445.0,183.0,1463.0,662.0,15.0,3.0,7.0,2.0,4.0,6.0,2.0,11929.0,15233.0,244.0,9047.0,11988.0,198.0,2882.0,3245.0,46.0,5.0,11.0,2.0,4.0,7.0,4.0
LOLTMNT06_164175,complete,AL,2026.0,0.0,2.0,16.01,Blue,mid,Hwichan,KT Rolster Challengers,0.0,Anivia,Orianna,Jarvan IV,Aurora,Nocturne,Kai'Sa,1941.0,1.0,2.0,2.0,10.0,16.0,7.0,0.0,0.0,0.0,0.0,1.0,0.4946,0.711,0.0,0.0,15.0,3.0,4.0,36.0,14177.0,9942.0,307.3261,13450.0,320.0,320.0,0.0,9.8918,3791.0,5150.0,94.0,3145.0,4732.0,81.0,646.0,418.0,13.0,0.0,1.0,0.0,0.0,0.0,1.0,5495.0,8001.0,149.0,4668.0,7280.0,126.0,827.0,721.0,23.0,0.0,1.0,0.0,0.0,0.0,1.0,8206.0,10945.0,207.0,6367.0,9804.0,177.0,1839.0,1141.0,30.0,0.0,2.0,0.0,0.0,0.0,2.0,10648.0,16042.0,257.0,8269.0,13809.0,216.0,2379.0,2233.0,41.0,1.0,4.0,1.0,1.0,1.0,3.0
LOLTMNT06_163474,complete,AL,2026.0,0.0,1.0,16.01,Red,mid,Hwichan,KT Rolster Challengers,1.0,Orianna,Akali,Malphite,Poppy,Renata Glasc,Braum,2002.0,0.0,0.0,6.0,3.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,0.2398,0.7193,0.0,1.0,14.0,6.0,1.0,33.0,11287.0,6927.0,207.6024,11225.0,304.0,300.0,4.0,9.1109,3474.0,4871.0,96.0,3624.0,5256.0,95.0,-150.0,-385.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,4983.0,7183.0,146.0,6256.0,8540.0,158.0,-1273.0,-1357.0,-12.0,0.0,0.0,2.0,2.0,1.0,0.0,6687.0,9762.0,195.0,8707.0,11547.0,216.0,-2020.0,-1785.0,-21.0,0.0,1.0,4.0,3.0,2.0,1.0,8535.0,12140.0,242.0,10790.0,15081.0,270.0,-2255.0,-2941.0,-28.0,0.0,1.0,5.0,3.0,3.0,1.0
LOLTMNT05_171228,complete,CCWS,2026.0,0.0,2.0,16.01,Red,mid,Hwichan,KT Rolster Challengers,0.0,Taliyah,Rumble,Jayce,Pantheon,Akali,Ahri,1553.0,1.0,1.0,2.0,13.0,21.0,12.0,0.0,0.0,0.0,0.0,1.0,0.8113,1.275,0.0,0.0,13.0,3.0,3.0,23.0,10653.0,7209.0,278.519,10275.0,236.0,232.0,4.0,9.1178,3941.0,5411.0,106.0,3478.0,5348.0,98.0,463.0,63.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,5605.0,7859.0,147.0,5795.0,8134.0,146.0,-190.0,-275.0,1.0,0.0,2.0,1.0,1.0,3.0,1.0,7577.0,10564.0,190.0,7593.0,10762.0,195.0,-16.0,-198.0,-5.0,0.0,8.0,1.0,1.0,4.0,1.0,9918.0,13645.0,230.0,10856.0,14513.0,244.0,-938.0,-868.0,-14.0,0.0,11.0,2.0,3.0,4.0,2.0
LOLTMNT01_323370,complete,ROL,2026.0,0.0,3.0,16.01,Blue,mid,Hwichan,KT Rolster Challengers,1.0,Akali,Neeko,Malphite,Pantheon,LeBlanc,Qiyana,2132.0,1.0,11.0,3.0,5.0,30.0,19.0,2.0,1.0,0.0,0.0,0.0,0.8443,1.379,0.0,0.0,8.0,10.0,3.0,41.0,17336.0,12711.0,357.7205,15225.0,319.0,316.0,3.0,8.9775,3995.0,4797.0,93.0,3424.0,4777.0,81.0,571.0,20.0,12.0,2.0,0.0,1.0,0.0,1.0,1.0,5955.0,7926.0,156.0,5038.0,7346.0,129.0,917.0,580.0,27.0,2.0,0.0,1.0,0.0,1.0,1.0,10132.0,11074.0,214.0,6458.0,9212.0,160.0,3674.0,1862.0,54.0,6.0,0.0,1.0,0.0,3.0,3.0,11889.0,13086.0,247.0,8393.0,11074.0,171.0,3496.0,2012.0,76.0,7.0,2.0,2.0,1.0,7.0,4.0
LOLTMNT03_341109,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,mid,Hwichan,KT Rolster Challengers,0.0,Taliyah,Orianna,Azir,Varus,Bard,Neeko,2153.0,1.0,2.0,3.0,12.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.5574,0.9754,0.0,0.0,17.0,6.0,5.0,38.0,13879.0,9211.0,256.693,13075.0,324.0,302.0,22.0,9.0293,3552.0,5217.0,103.0,3951.0,5209.0,101.0,-399.0,8.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,5584.0,8055.0,155.0,6924.0,8333.0,156.0,-1340.0,-278.0,-1.0,1.0,0.0,2.0,4.0,0.0,0.0,7425.0,10641.0,203.0,9135.0,11342.0,201.0,-1710.0,-701.0,2.0,1.0,3.0,3.0,4.0,7.0,1.0,9410.0,14292.0,251.0,11624.0,15780.0,266.0,-2214.0,-1488.0,-15.0,1.0,6.0,3.0,4.0,7.0,1.0
LOLTMNT02_344078,complete,LCP,2026.0,0.0,2.0,16.01,Red,mid,Hwichan,KT Rolster Challengers,0.0,Akali,Orianna,Azir,Vi,Aurora,Renekton,1996.0,0.0,10.0,2.0,5.0,17.0,19.0,2.0,1.0,0.0,0.0,0.0,0.511,1.0822,0.0,0.0,8.0,4.0,2.0,39.0,16185.0,11838.0,355.8517,15000.0,329.0,329.0,0.0,9.8898,3769.0,5034.0,93.0,3644.0,5544.0,101.0,125.0,-510.0,-8.0,1.0,1.0,0.0,0.0,0.0,0.0,6968.0,8453.0,145.0,5331.0,7828.0,141.0,1637.0,625.0,4.0,6.0,3.0,0.0,0.0,3.0,1.0,8917.0,11111.0,195.0,8176.0,11478.0,203.0,741.0,-367.0,-8.0,7.0,3.0,1.0,1.0,5.0,1.0,11422.0,13848.0,250.0,9999.0,14322.0,254.0,1423.0,-474.0,-4.0,8.0,3.0,1.0,1.0,5.0,1.0
LOLTMNT02_343084,complete,LCP,2026.0,0.0,3.0,16.01,Red,mid,Hwichan,KT Rolster Challengers,0.0,Aurora,Orianna,Vi,Azir,Gnar,Sion,2655.0,1.0,7.0,5.0,5.0,19.0,29.0,0.0,0.0,0.0,0.0,0.0,0.4294,1.0847,0.0,0.0,8.0,3.0,4.0,30.0,18465.0,12773.0,288.6554,17500.0,328.0,328.0,0.0,7.4124,3448.0,4688.0,81.0,3585.0,4937.0,91.0,-137.0,-249.0,-10.0,1.0,0.0,0.0,0.0,1.0,0.0,4865.0,6915.0,125.0,6588.0,8436.0,153.0,-1723.0,-1521.0,-28.0,1.0,0.0,1.0,3.0,1.0,0.0,6626.0,9495.0,172.0,8193.0,10459.0,197.0,-1567.0,-964.0,-25.0,1.0,0.0,2.0,3.0,1.0,0.0,9095.0,12268.0,220.0,9816.0,12960.0,249.0,-721.0,-692.0,-29.0,2.0,0.0,2.0,3.0,1.0,1.0
