gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT02_344149,complete,LCP,2026.0,0.0,1.0,16.01,Blue,jng,Iso99,P11 Esports,1.0,Dr. Mundo,Lillia,Zaahen,Diana,Darius,Fiora,1855.0,0.0,7.0,5.0,8.0,16.0,21.0,1.0,0.0,0.0,0.0,0.0,0.5175,1.1968,0.0,0.0,11.0,7.0,2.0,36.0,13252.0,9192.0,297.3154,12450.0,214.0,19.0,195.0,6.9218,4316.0,4485.0,82.0,3582.0,4177.0,81.0,734.0,308.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,6593.0,7117.0,123.0,5290.0,6290.0,113.0,1303.0,827.0,10.0,3.0,5.0,2.0,0.0,5.0,3.0,8179.0,9999.0,160.0,7477.0,9563.0,157.0,702.0,436.0,3.0,3.0,5.0,3.0,0.0,7.0,3.0,11571.0,12648.0,185.0,9010.0,11599.0,188.0,2561.0,1049.0,-3.0,7.0,6.0,3.0,0.0,7.0,3.0
LOLTMNT01_327016,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,jng,Iso99,P11 Esports,1.0,Ambessa,Diana,Yone,Gwen,Zaahen,Jarvan IV,1983.0,0.0,3.0,6.0,4.0,10.0,29.0,0.0,0.0,0.0,0.0,1.0,0.3026,1.18,1.0,0.0,6.0,8.0,5.0,38.0,12136.0,7815.0,236.4599,15755.0,215.0,31.0,184.0,6.5053,3612.0,4360.0,78.0,3848.0,4325.0,81.0,-236.0,35.0,-3.0,0.0,1.0,0.0,1.0,0.0,0.0,5757.0,6844.0,112.0,6614.0,7230.0,121.0,-857.0,-386.0,-9.0,2.0,1.0,1.0,5.0,0.0,0.0,7727.0,8963.0,149.0,9294.0,10719.0,171.0,-1567.0,-1756.0,-22.0,3.0,2.0,2.0,7.0,0.0,0.0,9330.0,11344.0,175.0,11425.0,13542.0,203.0,-2095.0,-2198.0,-28.0,3.0,3.0,3.0,8.0,4.0,0.0
LOLTMNT04_151154,complete,TCL,2026.0,0.0,1.0,16.02,Red,jng,Iso99,P11 Esports,0.0,Jayce,Diana,Gwen,Ambessa,Gnar,Aatrox,1847.0,0.0,4.0,3.0,3.0,10.0,21.0,0.0,0.0,0.0,0.0,0.0,0.3249,1.007,0.0,1.0,10.0,15.0,1.0,49.0,13367.0,9324.0,302.8912,13125.0,226.0,37.0,189.0,7.3416,3654.0,4276.0,86.0,3561.0,4150.0,78.0,93.0,126.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,5479.0,6332.0,119.0,5569.0,6496.0,116.0,-90.0,-164.0,3.0,0.0,1.0,2.0,1.0,2.0,1.0,9010.0,9192.0,157.0,6931.0,8101.0,141.0,2079.0,1091.0,16.0,3.0,2.0,2.0,1.0,3.0,2.0,11216.0,11519.0,188.0,9715.0,11106.0,177.0,1501.0,413.0,11.0,4.0,2.0,2.0,3.0,6.0,3.0
LOLTMNT01_332905,complete,HW,2026.0,0.0,2.0,16.02,Red,jng,Iso99,P11 Esports,0.0,Wukong,Diana,Gwen,Ambessa,Gnar,Fiora,2623.0,1.0,4.0,5.0,18.0,35.0,21.0,0.0,0.0,0.0,0.0,1.0,0.8006,1.281,1.0,2.0,9.0,17.0,6.0,60.0,16839.0,11212.0,256.4697,15813.0,292.0,77.0,215.0,6.6794,3638.0,4453.0,82.0,3662.0,4231.0,82.0,-24.0,222.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,6039.0,7199.0,130.0,6173.0,7130.0,125.0,-134.0,69.0,5.0,1.0,4.0,0.0,1.0,2.0,2.0,8068.0,9135.0,162.0,8206.0,9232.0,150.0,-138.0,-97.0,12.0,2.0,5.0,0.0,1.0,4.0,2.0,10696.0,12659.0,224.0,10352.0,12880.0,190.0,344.0,-221.0,34.0,3.0,7.0,1.0,1.0,8.0,3.0
LOLTMNT04_151168,complete,LFL,2026.0,0.0,3.0,16.02,Blue,jng,Iso99,P11 Esports,1.0,Aatrox,Diana,Gwen,Urgot,Renekton,Gnar,2481.0,1.0,3.0,6.0,13.0,41.0,26.0,0.0,0.0,0.0,0.0,0.0,0.9915,1.6203,3.0,0.0,6.0,9.0,2.0,42.0,15255.0,9918.0,239.8549,15590.0,263.0,48.0,215.0,6.3603,3706.0,4310.0,85.0,3460.0,4109.0,85.0,246.0,201.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5116.0,6410.0,115.0,5185.0,6410.0,120.0,-69.0,0.0,-5.0,0.0,2.0,2.0,0.0,2.0,1.0,7667.0,9741.0,160.0,7720.0,9654.0,163.0,-53.0,87.0,-3.0,1.0,4.0,2.0,1.0,3.0,2.0,9683.0,12997.0,192.0,9872.0,11942.0,180.0,-189.0,1055.0,12.0,2.0,6.0,3.0,2.0,7.0,2.0
LOLTMNT04_152149,complete,LIT,2026.0,1.0,4.0,16.02,Blue,jng,Iso99,P11 Esports,1.0,Pantheon,Diana,Gwen,Urgot,Xin Zhao,Qiyana,1861.0,0.0,5.0,5.0,4.0,13.0,27.0,0.0,0.0,0.0,0.0,1.0,0.4191,1.2896,0.0,1.0,6.0,4.0,3.0,33.0,10949.0,6877.0,221.7195,10150.0,182.0,21.0,161.0,5.8678,3990.0,4385.0,78.0,4089.0,4001.0,72.0,-99.0,384.0,6.0,2.0,0.0,0.0,2.0,2.0,0.0,6096.0,6184.0,103.0,6719.0,7454.0,126.0,-623.0,-1270.0,-23.0,4.0,1.0,1.0,3.0,3.0,0.0,8191.0,9537.0,138.0,8595.0,10242.0,168.0,-404.0,-705.0,-30.0,5.0,2.0,2.0,3.0,5.0,0.0,9480.0,11618.0,160.0,10528.0,13721.0,218.0,-1048.0,-2103.0,-58.0,5.0,3.0,2.0,3.0,5.0,0.0
LOLTMNT04_151179,complete,LFL,2026.0,0.0,5.0,16.02,Red,jng,Iso99,P11 Esports,0.0,Olaf,Diana,Gwen,Urgot,Jax,Zaahen,1879.0,1.0,6.0,2.0,13.0,23.0,12.0,0.0,0.0,0.0,0.0,0.0,0.7344,1.1176,2.0,0.0,7.0,6.0,4.0,46.0,15134.0,11025.0,352.049,13900.0,265.0,38.0,227.0,8.4619,4226.0,4012.0,72.0,3807.0,3665.0,64.0,419.0,347.0,8.0,2.0,3.0,1.0,1.0,2.0,2.0,6343.0,7328.0,129.0,6314.0,7009.0,109.0,29.0,319.0,20.0,2.0,4.0,1.0,2.0,2.0,2.0,8540.0,9903.0,166.0,7954.0,9430.0,139.0,586.0,473.0,27.0,3.0,5.0,2.0,2.0,5.0,3.0,11462.0,14377.0,219.0,9645.0,11708.0,164.0,1817.0,2669.0,55.0,4.0,8.0,2.0,2.0,6.0,4.0
LOLTMNT01_337681,complete,LCP,2026.0,0.0,1.0,16.02,Blue,jng,Iso99,P11 Esports,1.0,Xin Zhao,Syndra,Diana,Nautilus,Neeko,Karma,1831.0,0.0,1.0,5.0,4.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,0.2294,0.9503,0.0,1.0,6.0,5.0,3.0,26.0,9261.0,5250.0,172.0371,8275.0,171.0,5.0,166.0,5.6035,3431.0,4111.0,79.0,3514.0,3958.0,82.0,-83.0,153.0,-3.0,0.0,1.0,0.0,0.0,0.0,0.0,5451.0,6834.0,115.0,6058.0,6956.0,123.0,-607.0,-122.0,-8.0,1.0,2.0,1.0,2.0,2.0,1.0,6729.0,8591.0,136.0,8430.0,10055.0,170.0,-1701.0,-1464.0,-34.0,1.0,3.0,2.0,3.0,4.0,1.0,8147.0,10314.0,157.0,11675.0,13706.0,205.0,-3528.0,-3392.0,-48.0,1.0,4.0,3.0,6.0,5.0,1.0
LOLTMNT01_338623,complete,LCP,2026.0,0.0,2.0,16.02,Red,jng,Iso99,P11 Esports,0.0,Pantheon,Diana,Jarvan IV,Orianna,Neeko,Aatrox,1734.0,1.0,5.0,2.0,6.0,20.0,9.0,2.0,0.0,0.0,0.0,0.0,0.692,1.0035,0.0,0.0,6.0,1.0,3.0,20.0,12231.0,8418.0,291.2803,10925.0,202.0,2.0,200.0,6.9896,3546.0,4125.0,86.0,3140.0,3517.0,61.0,406.0,608.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,5342.0,7020.0,126.0,4819.0,6198.0,96.0,523.0,822.0,30.0,0.0,2.0,0.0,0.0,2.0,1.0,7084.0,9303.0,161.0,7009.0,8577.0,127.0,75.0,726.0,34.0,0.0,2.0,0.0,1.0,2.0,1.0,10176.0,13103.0,189.0,8580.0,10543.0,152.0,1596.0,2560.0,37.0,3.0,4.0,0.0,1.0,2.0,3.0
LOLTMNT01_337768,complete,LCK,2026.0,0.0,3.0,16.02,Blue,jng,Iso99,P11 Esports,1.0,Dr. Mundo,Diana,Lucian,Malphite,Sivir,Smolder,2406.0,1.0,8.0,4.0,9.0,19.0,12.0,0.0,0.0,0.0,0.0,0.0,0.4738,0.7481,2.0,0.0,7.0,13.0,6.0,56.0,19230.0,14046.0,350.2743,18400.0,308.0,41.0,267.0,7.6808,3921.0,4748.0,85.0,4678.0,4644.0,82.0,-757.0,104.0,3.0,1.0,1.0,1.0,3.0,1.0,0.0,5915.0,7272.0,124.0,6603.0,6873.0,119.0,-688.0,399.0,5.0,2.0,1.0,2.0,4.0,2.0,0.0,8552.0,10272.0,169.0,8457.0,9563.0,155.0,95.0,709.0,14.0,3.0,1.0,3.0,4.0,3.0,1.0,10519.0,12743.0,194.0,10252.0,12131.0,196.0,267.0,612.0,-2.0,4.0,3.0,3.0,4.0,4.0,1.0
