gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_335584,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,top,Janus,Nongshim Esports Academy,0.0,Ambessa,Rumble,Azir,Orianna,Poppy,Ezreal,1817.0,1.0,3.0,1.0,4.0,26.0,10.0,0.0,0.0,0.0,0.0,0.0,0.8586,1.1888,0.0,0.0,19.0,1.0,4.0,31.0,11561.0,7579.0,250.2697,10125.0,242.0,242.0,0.0,7.9912,3378.0,5211.0,90.0,3286.0,5214.0,88.0,92.0,-3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5748.0,8981.0,141.0,5302.0,8672.0,127.0,446.0,309.0,14.0,0.0,1.0,0.0,1.0,2.0,0.0,7713.0,12456.0,187.0,7143.0,11928.0,185.0,570.0,528.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,9194.0,15397.0,208.0,8781.0,14290.0,218.0,413.0,1107.0,-10.0,1.0,3.0,1.0,1.0,5.0,1.0
LOLTMNT03_334607,complete,LCKC,2026.0,0.0,2.0,16.01,Blue,top,Janus,Nongshim Esports Academy,0.0,Gnar,Azir,Rumble,Orianna,Lucian,Leona,2074.0,1.0,6.0,2.0,11.0,31.0,15.0,0.0,0.0,0.0,0.0,0.0,0.8968,1.3308,0.0,0.0,22.0,2.0,5.0,47.0,16149.0,11642.0,336.7985,14058.0,298.0,294.0,4.0,8.621,3869.0,5210.0,84.0,3436.0,4844.0,75.0,433.0,366.0,9.0,2.0,0.0,1.0,1.0,0.0,2.0,5994.0,9297.0,138.0,5062.0,7599.0,120.0,932.0,1698.0,18.0,3.0,0.0,2.0,1.0,1.0,3.0,8417.0,12588.0,197.0,6588.0,10966.0,166.0,1829.0,1622.0,31.0,4.0,0.0,2.0,1.0,1.0,4.0,11410.0,16790.0,234.0,8009.0,13361.0,204.0,3401.0,3429.0,30.0,5.0,4.0,2.0,1.0,1.0,6.0
LOLTMNT03_336511,complete,LCK,2026.0,0.0,1.0,16.01,Blue,top,Janus,Nongshim Esports Academy,0.0,Ambessa,Rumble,Orianna,Azir,Galio,Sion,2126.0,1.0,2.0,1.0,2.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,0.508,0.6209,0.0,0.0,22.0,3.0,5.0,51.0,14551.0,9938.0,280.4704,12475.0,334.0,326.0,8.0,9.4262,3594.0,5441.0,102.0,3681.0,5569.0,110.0,-87.0,-128.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,5114.0,8781.0,151.0,5367.0,9474.0,169.0,-253.0,-693.0,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,6938.0,11921.0,204.0,7937.0,13118.0,233.0,-999.0,-1197.0,-29.0,0.0,1.0,1.0,0.0,1.0,1.0,9486.0,15212.0,261.0,9530.0,15933.0,282.0,-44.0,-721.0,-21.0,0.0,1.0,1.0,0.0,1.0,1.0
LOLTMNT06_164172,complete,AL,2026.0,0.0,2.0,16.01,Blue,top,Janus,Nongshim Esports Academy,0.0,Gnar,Azir,Orianna,Rumble,Poppy,Lulu,1700.0,1.0,5.0,1.0,6.0,16.0,6.0,1.0,0.0,0.0,0.0,0.0,0.5647,0.7765,0.0,0.0,17.0,5.0,4.0,44.0,13608.0,9864.0,348.1412,10608.0,264.0,260.0,4.0,9.3176,3654.0,5379.0,94.0,3304.0,5214.0,87.0,350.0,165.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5842.0,9407.0,141.0,4498.0,7539.0,118.0,1344.0,1868.0,23.0,1.0,2.0,0.0,0.0,0.0,2.0,9184.0,13399.0,177.0,7226.0,10440.0,169.0,1958.0,2959.0,8.0,3.0,3.0,1.0,1.0,0.0,4.0,11224.0,16550.0,230.0,9084.0,13107.0,219.0,2140.0,3443.0,11.0,3.0,4.0,1.0,1.0,0.0,5.0
LOLTMNT05_172225,complete,CCWS,2026.0,0.0,1.0,16.01,Red,top,Janus,Nongshim Esports Academy,1.0,Gnar,Malphite,Jayce,Rumble,Lulu,Ambessa,1988.0,1.0,0.0,1.0,7.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.2716,0.3924,0.0,0.0,21.0,7.0,5.0,59.0,13611.0,9280.0,280.0805,12758.0,290.0,289.0,1.0,8.7525,3359.0,5006.0,85.0,3243.0,4840.0,83.0,116.0,166.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,5219.0,9064.0,139.0,4926.0,8168.0,133.0,293.0,896.0,6.0,0.0,1.0,0.0,0.0,1.0,1.0,7656.0,12737.0,195.0,7299.0,11185.0,178.0,357.0,1552.0,17.0,0.0,2.0,0.0,2.0,1.0,2.0,10246.0,16453.0,244.0,8750.0,13773.0,215.0,1496.0,2680.0,29.0,0.0,4.0,0.0,2.0,1.0,3.0
LOLTMNT06_163502,complete,AL,2026.0,0.0,2.0,16.01,Blue,top,Janus,Nongshim Esports Academy,0.0,Rek'Sai,Azir,Rumble,Jayce,Nautilus,Rell,1571.0,1.0,2.0,1.0,4.0,19.0,4.0,0.0,0.0,0.0,0.0,0.0,0.7257,0.8784,0.0,0.0,15.0,3.0,2.0,36.0,12026.0,8546.0,326.3908,9800.0,276.0,272.0,4.0,10.5411,4129.0,5864.0,101.0,3122.0,4870.0,84.0,1007.0,994.0,17.0,1.0,0.0,0.0,0.0,0.0,1.0,5634.0,8967.0,137.0,5336.0,9592.0,142.0,298.0,-625.0,-5.0,1.0,0.0,1.0,1.0,0.0,1.0,8317.0,13156.0,207.0,7449.0,13462.0,207.0,868.0,-306.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,11059.0,17459.0,270.0,8824.0,15693.0,240.0,2235.0,1766.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0
LOLTMNT03_341109,complete,LCKC,2026.0,0.0,1.0,16.01,Red,top,Janus,Nongshim Esports Academy,1.0,Rumble,Malphite,Vi,Jayce,Nautilus,Yunara,2153.0,0.0,3.0,8.0,4.0,15.0,20.0,1.0,1.0,0.0,0.0,0.0,0.418,0.9754,0.0,0.0,20.0,2.0,9.0,52.0,11138.0,6470.0,180.3065,10825.0,239.0,239.0,0.0,6.6605,3115.0,4653.0,78.0,4187.0,6091.0,99.0,-1072.0,-1438.0,-21.0,0.0,0.0,2.0,1.0,1.0,0.0,4573.0,7750.0,123.0,6742.0,10731.0,154.0,-2169.0,-2981.0,-31.0,0.0,0.0,3.0,2.0,1.0,1.0,7378.0,11102.0,170.0,8293.0,13011.0,186.0,-915.0,-1909.0,-16.0,3.0,2.0,4.0,3.0,1.0,2.0,8653.0,13172.0,197.0,10443.0,16834.0,227.0,-1790.0,-3662.0,-30.0,3.0,2.0,5.0,4.0,3.0,2.0
LOLTMNT02_344078,complete,LCP,2026.0,0.0,2.0,16.01,Blue,top,Janus,Nongshim Esports Academy,1.0,Rek'Sai,Malphite,Jayce,Yunara,Gnar,Gwen,1996.0,1.0,4.0,3.0,3.0,19.0,17.0,1.0,0.0,0.0,0.0,0.0,0.5711,1.0822,0.0,0.0,14.0,3.0,4.0,38.0,14433.0,10086.0,303.1864,12550.0,327.0,319.0,8.0,9.8297,3375.0,5379.0,90.0,3231.0,5149.0,83.0,144.0,230.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5094.0,8775.0,127.0,4809.0,8586.0,124.0,285.0,189.0,3.0,1.0,0.0,1.0,0.0,2.0,1.0,7219.0,12699.0,192.0,6769.0,12102.0,179.0,450.0,597.0,13.0,1.0,0.0,1.0,0.0,2.0,1.0,9214.0,15748.0,248.0,8821.0,15744.0,247.0,393.0,4.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0
LOLTMNT02_343084,complete,LCP,2026.0,0.0,3.0,16.01,Blue,top,Janus,Nongshim Esports Academy,1.0,Kennen,Malphite,Jayce,Yunara,Poppy,Rell,2655.0,0.0,4.0,5.0,10.0,29.0,19.0,0.0,0.0,0.0,0.0,0.0,0.6554,1.0847,0.0,0.0,22.0,12.0,9.0,90.0,16785.0,11093.0,250.6893,16535.0,357.0,341.0,16.0,8.0678,3797.0,5252.0,96.0,3095.0,4883.0,79.0,702.0,369.0,17.0,1.0,0.0,0.0,0.0,0.0,1.0,6169.0,9186.0,145.0,4674.0,8202.0,121.0,1495.0,984.0,24.0,1.0,1.0,0.0,0.0,0.0,2.0,8613.0,13075.0,204.0,7380.0,12292.0,180.0,1233.0,783.0,24.0,2.0,2.0,1.0,1.0,0.0,3.0,10516.0,16499.0,262.0,9237.0,14702.0,223.0,1279.0,1797.0,39.0,2.0,2.0,1.0,1.0,0.0,3.0
LOLTMNT01_332056,complete,LCKC,2026.0,0.0,1.0,16.02,Blue,top,Janus,Nongshim Esports Academy,0.0,K'Sante,Orianna,Azir,Varus,Nautilus,Aphelios,2476.0,1.0,4.0,3.0,3.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.3635,0.727,0.0,0.0,23.0,7.0,4.0,55.0,14501.0,9174.0,222.3102,12100.0,294.0,294.0,0.0,7.1244,3641.0,5475.0,108.0,3802.0,5348.0,105.0,-161.0,127.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5287.0,9046.0,165.0,5813.0,8984.0,159.0,-526.0,62.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7162.0,12412.0,223.0,8020.0,11733.0,201.0,-858.0,679.0,22.0,0.0,1.0,0.0,1.0,0.0,0.0,8791.0,14427.0,252.0,11965.0,14329.0,236.0,-3174.0,98.0,16.0,1.0,2.0,1.0,5.0,1.0,1.0
