gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_336220,complete,LCKC,2026.0,0.0,1.0,16.01,Red,bot,Jasten,One More Esports,0.0,Corki,Rumble,Caitlyn,Orianna,Akali,Yone,1640.0,0.0,0.0,5.0,1.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.1463,0.878,0.0,0.0,13.0,6.0,5.0,27.0,9616.0,5995.0,219.3293,9405.0,249.0,245.0,4.0,9.1098,3238.0,3520.0,88.0,3840.0,4099.0,104.0,-602.0,-579.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,5296.0,5403.0,140.0,7419.0,6626.0,160.0,-2123.0,-1223.0,-20.0,0.0,0.0,2.0,1.0,1.0,0.0,7475.0,8121.0,199.0,10433.0,9630.0,225.0,-2958.0,-1509.0,-26.0,0.0,0.0,2.0,2.0,1.0,0.0,9048.0,9974.0,242.0,15841.0,13804.0,287.0,-6793.0,-3830.0,-45.0,0.0,0.0,4.0,6.0,4.0,0.0
LOLTMNT03_337254,complete,LCKC,2026.0,0.0,2.0,16.01,Blue,bot,Jasten,One More Esports,1.0,Lucian,Bard,Caitlyn,Jarvan IV,Nocturne,Vi,2114.0,0.0,0.0,4.0,4.0,14.0,24.0,0.0,0.0,0.0,0.0,1.0,0.3974,1.0785,0.0,0.0,15.0,7.0,4.0,32.0,12907.0,8319.0,236.1116,12700.0,268.0,268.0,0.0,7.6064,3172.0,3524.0,74.0,3988.0,4178.0,93.0,-816.0,-654.0,-19.0,0.0,1.0,1.0,1.0,1.0,0.0,5131.0,5466.0,115.0,7006.0,7048.0,154.0,-1875.0,-1582.0,-39.0,0.0,1.0,1.0,1.0,1.0,0.0,7014.0,8573.0,161.0,10052.0,10026.0,213.0,-3038.0,-1453.0,-52.0,0.0,2.0,3.0,2.0,3.0,1.0,9425.0,10950.0,211.0,12745.0,12695.0,258.0,-3320.0,-1745.0,-47.0,0.0,2.0,3.0,3.0,3.0,2.0
LOLTMNT01_320332,complete,ROL,2026.0,0.0,1.0,16.01,Blue,bot,Jasten,One More Esports,1.0,Sivir,Neeko,Poppy,Ambessa,Jax,Malphite,2074.0,0.0,8.0,5.0,5.0,17.0,24.0,0.0,0.0,0.0,0.0,1.0,0.4918,1.1861,0.0,1.0,11.0,6.0,1.0,23.0,18806.0,14299.0,413.6644,19005.0,333.0,325.0,8.0,9.6336,3555.0,3427.0,78.0,3644.0,4153.0,95.0,-89.0,-726.0,-17.0,1.0,0.0,0.0,0.0,0.0,0.0,6694.0,5992.0,134.0,6445.0,6444.0,151.0,249.0,-452.0,-17.0,3.0,1.0,0.0,0.0,0.0,1.0,9279.0,9047.0,196.0,9439.0,9470.0,215.0,-160.0,-423.0,-19.0,3.0,2.0,1.0,1.0,2.0,1.0,12240.0,11710.0,249.0,13872.0,12637.0,275.0,-1632.0,-927.0,-26.0,4.0,3.0,3.0,6.0,4.0,1.0
LOLTMNT03_337513,complete,LCKC,2026.0,0.0,2.0,16.01,Blue,bot,Jasten,One More Esports,1.0,Lucian,Neeko,Poppy,Lillia,Akali,Galio,1595.0,0.0,2.0,6.0,3.0,13.0,31.0,0.0,0.0,0.0,0.0,0.0,0.489,1.6552,0.0,0.0,9.0,4.0,2.0,25.0,11680.0,8151.0,306.6207,11810.0,250.0,250.0,0.0,9.4044,3729.0,3724.0,102.0,2948.0,3218.0,70.0,781.0,506.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,6636.0,5785.0,153.0,5492.0,5194.0,114.0,1144.0,591.0,39.0,0.0,0.0,1.0,0.0,2.0,1.0,9111.0,7973.0,198.0,9729.0,8485.0,180.0,-618.0,-512.0,18.0,2.0,0.0,3.0,1.0,4.0,1.0,11324.0,10418.0,241.0,13843.0,12008.0,229.0,-2519.0,-1590.0,12.0,2.0,3.0,5.0,6.0,6.0,1.0
LOLTMNT02_343037,complete,ROL,2026.0,0.0,1.0,16.01,Blue,bot,Jasten,One More Esports,1.0,Yunara,Qiyana,Caitlyn,Neeko,Fiora,Taliyah,2490.0,0.0,7.0,5.0,13.0,26.0,20.0,1.0,0.0,0.0,0.0,1.0,0.6265,1.1084,1.0,0.0,23.0,15.0,10.0,67.0,20935.0,15580.0,375.4217,19300.0,350.0,342.0,8.0,8.4337,3523.0,3289.0,74.0,3619.0,4007.0,100.0,-96.0,-718.0,-26.0,1.0,0.0,0.0,0.0,0.0,0.0,6533.0,5491.0,109.0,5619.0,6026.0,139.0,914.0,-535.0,-30.0,4.0,3.0,1.0,1.0,0.0,2.0,8680.0,8074.0,162.0,8996.0,9578.0,211.0,-316.0,-1504.0,-49.0,4.0,3.0,1.0,2.0,1.0,2.0,11038.0,10607.0,211.0,11054.0,12408.0,272.0,-16.0,-1801.0,-61.0,4.0,6.0,2.0,2.0,1.0,3.0
LOLTMNT06_166043,complete,LFL,2026.0,0.0,2.0,16.01,Red,bot,Jasten,One More Esports,0.0,Varus,Qiyana,Rumble,Orianna,Poppy,Leona,1705.0,0.0,1.0,5.0,3.0,8.0,20.0,0.0,0.0,0.0,0.0,0.0,0.2815,0.9853,0.0,1.0,11.0,6.0,1.0,23.0,10357.0,6603.0,232.3636,10425.0,249.0,249.0,0.0,8.7625,3350.0,3531.0,85.0,3474.0,3475.0,94.0,-124.0,56.0,-9.0,0.0,0.0,0.0,0.0,1.0,0.0,4983.0,5676.0,134.0,6249.0,6090.0,158.0,-1266.0,-414.0,-24.0,0.0,1.0,1.0,0.0,2.0,0.0,7313.0,8204.0,187.0,9045.0,9613.0,230.0,-1732.0,-1409.0,-43.0,0.0,2.0,2.0,0.0,5.0,0.0,9574.0,10861.0,240.0,11649.0,12409.0,294.0,-2075.0,-1548.0,-54.0,1.0,3.0,3.0,1.0,6.0,0.0
LOLTMNT03_341342,complete,LCK,2026.0,0.0,1.0,16.01,Red,bot,Jasten,One More Esports,0.0,Sivir,Jayce,Rumble,Ambessa,Alistar,Rakan,2485.0,1.0,10.0,5.0,13.0,30.0,15.0,3.0,0.0,0.0,0.0,1.0,0.7243,1.0865,0.0,1.0,21.0,12.0,7.0,55.0,22032.0,16687.0,402.9054,19525.0,404.0,384.0,20.0,9.7545,4318.0,3557.0,81.0,3078.0,3129.0,76.0,1240.0,428.0,5.0,2.0,3.0,0.0,0.0,1.0,2.0,6827.0,6258.0,142.0,5402.0,5498.0,137.0,1425.0,760.0,5.0,2.0,3.0,0.0,0.0,1.0,2.0,9361.0,9145.0,201.0,7330.0,7999.0,192.0,2031.0,1146.0,9.0,3.0,5.0,0.0,0.0,1.0,3.0,11274.0,11080.0,255.0,10319.0,10410.0,253.0,955.0,670.0,2.0,3.0,5.0,1.0,1.0,1.0,3.0
LOLTMNT04_149134,complete,LEC,2026.0,0.0,2.0,16.01,Blue,bot,Jasten,One More Esports,1.0,Yunara,Malphite,Ambessa,Aphelios,Gnar,Neeko,2088.0,0.0,4.0,6.0,4.0,12.0,24.0,1.0,0.0,0.0,0.0,1.0,0.3448,1.0345,0.0,1.0,13.0,12.0,4.0,42.0,14421.0,9886.0,284.0805,14050.0,336.0,332.0,4.0,9.6552,4001.0,3301.0,79.0,3995.0,4035.0,103.0,6.0,-734.0,-24.0,3.0,1.0,0.0,0.0,0.0,0.0,5993.0,5770.0,135.0,6752.0,6507.0,159.0,-759.0,-737.0,-24.0,3.0,1.0,1.0,1.0,0.0,0.0,8068.0,8683.0,197.0,9861.0,9655.0,230.0,-1793.0,-972.0,-33.0,3.0,1.0,1.0,2.0,0.0,0.0,10159.0,10723.0,246.0,13097.0,11955.0,273.0,-2938.0,-1232.0,-27.0,4.0,2.0,2.0,5.0,0.0,0.0
LOLTMNT01_325655,complete,CBLOL,2026.0,0.0,3.0,16.01,Red,bot,Jasten,One More Esports,0.0,Corki,Jayce,Rumble,Ryze,Akali,Viktor,1732.0,0.0,3.0,5.0,2.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.2079,0.97,0.0,0.0,11.0,9.0,0.0,31.0,11492.0,7683.0,266.1547,11250.0,271.0,271.0,0.0,9.388,3382.0,3577.0,93.0,3709.0,3866.0,104.0,-327.0,-289.0,-11.0,0.0,0.0,1.0,0.0,0.0,0.0,5868.0,5956.0,146.0,6887.0,6167.0,163.0,-1019.0,-211.0,-17.0,1.0,1.0,2.0,3.0,0.0,0.0,7993.0,7915.0,196.0,10798.0,9453.0,222.0,-2805.0,-1538.0,-26.0,2.0,1.0,3.0,6.0,1.0,0.0,10350.0,10635.0,267.0,13126.0,11982.0,278.0,-2776.0,-1347.0,-11.0,2.0,2.0,3.0,7.0,1.0,1.0
LOLTMNT01_331565,complete,LCP,2026.0,0.0,1.0,16.01,Red,bot,Jasten,One More Esports,0.0,Yunara,Jayce,Rengar,Neeko,Sylas,Xin Zhao,1504.0,0.0,3.0,4.0,2.0,9.0,15.0,1.0,0.0,0.0,0.0,0.0,0.359,0.9574,0.0,0.0,8.0,7.0,0.0,21.0,9925.0,6581.0,262.5399,10025.0,210.0,210.0,0.0,8.3777,4108.0,3464.0,83.0,3947.0,4214.0,106.0,161.0,-750.0,-23.0,2.0,0.0,1.0,0.0,2.0,0.0,6329.0,5774.0,130.0,6718.0,6928.0,166.0,-389.0,-1154.0,-36.0,3.0,1.0,2.0,1.0,2.0,0.0,8547.0,8644.0,191.0,10108.0,9623.0,219.0,-1561.0,-979.0,-28.0,3.0,1.0,2.0,3.0,3.0,0.0,9917.0,10255.0,210.0,14380.0,12993.0,264.0,-4463.0,-2738.0,-54.0,3.0,2.0,4.0,6.0,7.0,1.0
