gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_174014,complete,LIT,2026.0,0.0,1.0,16.01,Blue,jng,Jeykup,BK ROG Esports,1.0,Jayce,Malphite,Caitlyn,Zoe,Varus,Corki,2475.0,1.0,1.0,1.0,4.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.3636,0.5818,0.0,0.0,8.0,14.0,4.0,59.0,16883.0,11558.0,280.1939,14500.0,347.0,29.0,318.0,8.4121,3890.0,4565.0,87.0,3487.0,4131.0,78.0,403.0,434.0,9.0,0.0,1.0,0.0,0.0,0.0,1.0,5912.0,7487.0,140.0,5578.0,5942.0,103.0,334.0,1545.0,37.0,0.0,1.0,0.0,2.0,0.0,2.0,8029.0,10632.0,193.0,7523.0,9252.0,154.0,506.0,1380.0,39.0,0.0,1.0,0.0,2.0,0.0,2.0,10325.0,14097.0,252.0,9182.0,11239.0,189.0,1143.0,2858.0,63.0,0.0,1.0,0.0,2.0,0.0,2.0
LOLTMNT04_152165,complete,EBL,2026.0,0.0,1.0,16.02,Blue,jng,Jeykup,BK ROG Esports,1.0,Vi,Pantheon,Jarvan IV,Neeko,Sion,K'Sante,1853.0,0.0,1.0,2.0,1.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0648,0.5505,0.0,1.0,9.0,11.0,4.0,49.0,11585.0,7529.0,243.7885,11050.0,276.0,12.0,264.0,8.9369,3964.0,4832.0,90.0,3862.0,4001.0,73.0,102.0,831.0,17.0,1.0,0.0,0.0,0.0,1.0,1.0,5828.0,7502.0,140.0,5867.0,6353.0,109.0,-39.0,1149.0,31.0,1.0,0.0,0.0,1.0,3.0,1.0,7841.0,10620.0,190.0,8078.0,9269.0,151.0,-237.0,1351.0,39.0,1.0,0.0,0.0,1.0,4.0,1.0,9481.0,12941.0,227.0,9952.0,12199.0,188.0,-471.0,742.0,39.0,1.0,0.0,1.0,1.0,7.0,1.0
LOLTMNT01_335001,complete,LJL,2026.0,0.0,1.0,16.02,Red,jng,Jeykup,BK ROG Esports,0.0,Xin Zhao,Orianna,Varus,Kayn,Karma,Lulu,2052.0,1.0,4.0,1.0,3.0,23.0,7.0,0.0,0.0,0.0,0.0,0.0,0.6725,0.8772,2.0,0.0,9.0,11.0,5.0,59.0,14051.0,9589.0,280.3801,11925.0,260.0,25.0,235.0,7.6023,3474.0,4259.0,80.0,3903.0,4183.0,76.0,-429.0,76.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,5335.0,6371.0,111.0,5858.0,6234.0,109.0,-523.0,137.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,7718.0,9020.0,157.0,7634.0,8789.0,154.0,84.0,231.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,9892.0,11616.0,198.0,9068.0,11222.0,185.0,824.0,394.0,13.0,2.0,1.0,1.0,2.0,1.0,3.0
LOLTMNT05_176064,complete,LEC,2026.0,0.0,1.0,16.02,Red,jng,Jeykup,BK ROG Esports,0.0,Jayce,Varus,Ryze,Neeko,Alistar,Braum,1975.0,1.0,6.0,1.0,6.0,21.0,12.0,2.0,0.0,0.0,0.0,0.0,0.638,1.0025,2.0,0.0,10.0,14.0,6.0,58.0,15687.0,11382.0,345.7823,13850.0,297.0,34.0,263.0,9.0228,3782.0,4856.0,93.0,3546.0,3567.0,66.0,236.0,1289.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,6305.0,7657.0,140.0,5538.0,6606.0,113.0,767.0,1051.0,27.0,2.0,0.0,0.0,1.0,1.0,0.0,8336.0,10721.0,189.0,8170.0,9870.0,152.0,166.0,851.0,37.0,2.0,0.0,1.0,2.0,3.0,0.0,10922.0,14584.0,234.0,9379.0,11549.0,171.0,1543.0,3035.0,63.0,2.0,2.0,1.0,2.0,5.0,1.0
LOLTMNT02_350321,complete,CBLOL,2026.0,0.0,1.0,16.02,Blue,jng,Jeykup,BK ROG Esports,1.0,Jayce,Pantheon,Neeko,Wukong,Nautilus,Bard,1457.0,0.0,2.0,4.0,2.0,6.0,17.0,1.0,0.0,0.0,0.0,0.0,0.2471,0.9472,0.0,1.0,4.0,9.0,2.0,40.0,9978.0,6730.0,277.1448,10295.0,201.0,24.0,177.0,8.2773,4303.0,4715.0,88.0,4186.0,4293.0,76.0,117.0,422.0,12.0,2.0,1.0,1.0,2.0,1.0,1.0,6073.0,7098.0,133.0,6439.0,7319.0,124.0,-366.0,-221.0,9.0,2.0,1.0,1.0,3.0,2.0,1.0,7763.0,9359.0,169.0,9398.0,10338.0,166.0,-1635.0,-979.0,3.0,2.0,2.0,3.0,5.0,5.0,1.0,9978.0,11310.0,201.0,11527.0,12344.0,174.0,-1549.0,-1034.0,27.0,2.0,2.0,4.0,6.0,8.0,1.0
LOLTMNT05_175239,complete,TCL,2026.0,0.0,1.0,16.02,Red,jng,Jeykup,BK ROG Esports,0.0,Jarvan IV,Sion,Neeko,Malphite,K'Sante,Ornn,2114.0,0.0,0.0,7.0,6.0,7.0,23.0,0.0,0.0,0.0,0.0,1.0,0.1987,0.8515,0.0,2.0,10.0,9.0,5.0,47.0,11253.0,6665.0,189.1675,11075.0,217.0,23.0,194.0,6.1589,3485.0,4336.0,84.0,3621.0,4276.0,80.0,-136.0,60.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5235.0,6744.0,121.0,5737.0,7166.0,131.0,-502.0,-422.0,-10.0,0.0,1.0,0.0,0.0,0.0,0.0,6982.0,9006.0,158.0,8404.0,10798.0,183.0,-1422.0,-1792.0,-25.0,0.0,1.0,1.0,0.0,2.0,0.0,8383.0,10726.0,183.0,10853.0,14231.0,227.0,-2470.0,-3505.0,-44.0,0.0,2.0,3.0,0.0,6.0,0.0
LOLTMNT02_354256,complete,LCK,2026.0,0.0,1.0,16.03,Blue,jng,Jeykup,BK ROG Esports,1.0,Dr. Mundo,Ahri,Jarvan IV,Yunara,Rell,Nautilus,1812.0,1.0,3.0,2.0,18.0,23.0,7.0,0.0,0.0,0.0,0.0,0.0,0.7616,0.9934,1.0,0.0,10.0,14.0,9.0,64.0,13677.0,9705.0,321.3576,12175.0,228.0,23.0,205.0,7.5497,3891.0,4675.0,86.0,3218.0,3906.0,68.0,673.0,769.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,5770.0,7315.0,128.0,4784.0,6336.0,104.0,986.0,979.0,24.0,1.0,2.0,1.0,0.0,1.0,1.0,8161.0,9461.0,168.0,6775.0,9136.0,140.0,1386.0,325.0,28.0,1.0,3.0,2.0,1.0,2.0,2.0,10870.0,13118.0,208.0,8180.0,10842.0,169.0,2690.0,2276.0,39.0,2.0,7.0,2.0,1.0,2.0,3.0
LOLTMNT02_354540,complete,LCS,2026.0,0.0,1.0,16.03,Blue,jng,Jeykup,BK ROG Esports,1.0,Jayce,Jarvan IV,Syndra,Pantheon,Sivir,Jhin,2272.0,1.0,1.0,2.0,7.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.2905,0.4489,1.0,0.0,14.0,21.0,8.0,89.0,14857.0,9947.0,262.6849,13125.0,282.0,33.0,249.0,7.4472,3833.0,4701.0,95.0,3604.0,4246.0,81.0,229.0,455.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,5468.0,6699.0,130.0,5217.0,6651.0,120.0,251.0,48.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,7844.0,9594.0,172.0,7220.0,9938.0,169.0,624.0,-344.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,9607.0,11804.0,210.0,9196.0,12098.0,205.0,411.0,-294.0,5.0,1.0,0.0,2.0,1.0,3.0,0.0
LOLTMNT05_175735,complete,LEC,2026.0,1.0,1.0,16.03,Blue,jng,Jeykup,BK ROG Esports,1.0,Dr. Mundo,Fiora,Alistar,Pantheon,Ahri,Akali,2020.0,1.0,5.0,2.0,18.0,29.0,12.0,0.0,0.0,0.0,0.0,0.0,0.8614,1.2178,0.0,0.0,8.0,10.0,6.0,49.0,15629.0,11233.0,333.6535,14850.0,251.0,24.0,227.0,7.4554,3665.0,4377.0,84.0,3975.0,3897.0,66.0,-310.0,480.0,18.0,0.0,1.0,2.0,2.0,1.0,0.0,6132.0,7529.0,130.0,5578.0,6187.0,105.0,554.0,1342.0,25.0,1.0,3.0,2.0,2.0,1.0,1.0,8372.0,10284.0,175.0,7362.0,8781.0,145.0,1010.0,1503.0,30.0,2.0,4.0,2.0,2.0,2.0,1.0,10564.0,13041.0,208.0,8841.0,11118.0,176.0,1723.0,1923.0,32.0,2.0,6.0,2.0,2.0,3.0,2.0
LOLTMNT05_176948,complete,PRM,2026.0,0.0,1.0,16.03,Red,jng,Jeykup,BK ROG Esports,0.0,Jayce,Ryze,Azir,Dr. Mundo,Malphite,Nocturne,1568.0,0.0,0.0,3.0,1.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.1148,0.7653,0.0,1.0,9.0,11.0,6.0,44.0,9650.0,6176.0,236.3265,9450.0,225.0,39.0,186.0,8.6097,3452.0,3856.0,73.0,3957.0,4134.0,83.0,-505.0,-278.0,-10.0,0.0,0.0,1.0,1.0,0.0,0.0,5434.0,7171.0,130.0,6514.0,6938.0,125.0,-1080.0,233.0,5.0,0.0,0.0,1.0,3.0,1.0,0.0,7576.0,10244.0,183.0,8866.0,9942.0,165.0,-1290.0,302.0,18.0,0.0,1.0,1.0,4.0,2.0,1.0,9286.0,12145.0,217.0,11438.0,13291.0,202.0,-2152.0,-1146.0,15.0,0.0,1.0,2.0,6.0,2.0,1.0
