gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT04_149143,complete,LEC,2026.0,0.0,1.0,16.01,Red,bot,Jezu,ZYB Esport,0.0,Caitlyn,Orianna,Wukong,Rumble,Aphelios,Yunara,2307.0,1.0,15.0,4.0,8.0,37.0,28.0,3.0,0.0,0.0,0.0,1.0,0.9623,1.6905,0.0,0.0,20.0,10.0,6.0,56.0,21076.0,16094.0,418.5696,18450.0,317.0,301.0,16.0,8.2445,4182.0,3716.0,102.0,3584.0,3905.0,85.0,598.0,-189.0,17.0,1.0,2.0,0.0,1.0,0.0,2.0,6600.0,6169.0,163.0,5806.0,6342.0,137.0,794.0,-173.0,26.0,1.0,2.0,0.0,1.0,0.0,2.0,8630.0,8805.0,209.0,9000.0,8796.0,174.0,-370.0,9.0,35.0,1.0,2.0,0.0,3.0,1.0,3.0,12808.0,12397.0,248.0,13535.0,11718.0,216.0,-727.0,679.0,32.0,6.0,4.0,1.0,7.0,2.0,4.0
LOLTMNT06_166106,complete,AL,2026.0,0.0,1.0,16.02,Red,bot,Jezu,ZYB Esport,0.0,Sivir,Rengar,Yunara,Ryze,Draven,Alistar,1473.0,0.0,2.0,3.0,2.0,6.0,21.0,0.0,0.0,0.0,0.0,0.0,0.2444,1.0998,0.0,0.0,13.0,4.0,5.0,22.0,11648.0,8367.0,340.8147,11375.0,253.0,237.0,16.0,10.3055,3549.0,3361.0,80.0,3461.0,3958.0,97.0,88.0,-597.0,-17.0,1.0,0.0,0.0,0.0,0.0,1.0,6270.0,6060.0,129.0,6737.0,7078.0,156.0,-467.0,-1018.0,-27.0,1.0,1.0,1.0,2.0,1.0,1.0,8757.0,9347.0,201.0,10268.0,10429.0,221.0,-1511.0,-1082.0,-20.0,1.0,2.0,1.0,3.0,3.0,1.0,11648.0,11669.0,253.0,13429.0,14464.0,280.0,-1781.0,-2795.0,-27.0,2.0,2.0,3.0,3.0,8.0,2.0
LOLTMNT01_336190,complete,CBLOL,2026.0,0.0,1.0,16.02,Red,bot,Jezu,ZYB Esport,0.0,Corki,Varus,Zoe,Gwen,Jax,Ambessa,2021.0,1.0,12.0,2.0,6.0,25.0,15.0,1.0,0.0,0.0,0.0,0.0,0.7422,1.1875,0.0,0.0,19.0,4.0,6.0,36.0,19220.0,14822.0,440.0396,16733.0,343.0,324.0,19.0,10.1831,4183.0,3607.0,73.0,3918.0,2916.0,71.0,265.0,691.0,2.0,3.0,1.0,0.0,2.0,2.0,2.0,6095.0,5369.0,120.0,6766.0,5079.0,118.0,-671.0,290.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,10130.0,9580.0,191.0,8848.0,7022.0,154.0,1282.0,2558.0,37.0,6.0,3.0,1.0,4.0,2.0,3.0,13093.0,13532.0,242.0,11965.0,10081.0,213.0,1128.0,3451.0,29.0,8.0,5.0,1.0,6.0,2.0,3.0
LOLTMNT05_176064,complete,LEC,2026.0,0.0,1.0,16.02,Blue,bot,Jezu,ZYB Esport,1.0,Caitlyn,Ambessa,Yunara,Corki,Ezreal,Jhin,1975.0,0.0,6.0,3.0,2.0,12.0,21.0,0.0,0.0,0.0,0.0,0.0,0.3646,1.0025,0.0,0.0,21.0,7.0,9.0,41.0,15665.0,11360.0,345.1139,14325.0,333.0,321.0,12.0,10.1165,3580.0,3562.0,101.0,3630.0,3716.0,103.0,-50.0,-154.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,5739.0,5863.0,161.0,6079.0,6256.0,158.0,-340.0,-393.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9262.0,9460.0,212.0,9368.0,9355.0,223.0,-106.0,105.0,-11.0,3.0,1.0,1.0,1.0,0.0,1.0,11261.0,11367.0,251.0,12662.0,12424.0,266.0,-1401.0,-1057.0,-15.0,5.0,1.0,2.0,3.0,1.0,1.0
LOLTMNT01_337856,complete,LCK,2026.0,0.0,1.0,16.02,Blue,bot,Jezu,ZYB Esport,1.0,Varus,Ambessa,Orianna,Yone,K'Sante,Nautilus,1856.0,0.0,2.0,5.0,6.0,15.0,32.0,0.0,0.0,0.0,0.0,0.0,0.4849,1.5194,0.0,0.0,18.0,7.0,5.0,39.0,12479.0,8417.0,272.1013,11875.0,256.0,256.0,0.0,8.2759,3196.0,3444.0,82.0,3642.0,3867.0,96.0,-446.0,-423.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,4711.0,5047.0,113.0,6514.0,6620.0,161.0,-1803.0,-1573.0,-48.0,0.0,0.0,0.0,0.0,0.0,0.0,7733.0,8478.0,165.0,10341.0,11215.0,228.0,-2608.0,-2737.0,-63.0,1.0,3.0,2.0,3.0,3.0,0.0,10165.0,10533.0,210.0,14081.0,14586.0,264.0,-3916.0,-4053.0,-54.0,2.0,4.0,3.0,8.0,6.0,0.0
LOLTMNT05_176258,complete,LFL,2026.0,0.0,1.0,16.02,Blue,bot,Jezu,ZYB Esport,1.0,Tristana,Yunara,Qiyana,Rumble,Bard,Elise,1627.0,0.0,6.0,3.0,5.0,12.0,18.0,0.0,0.0,0.0,0.0,1.0,0.4425,1.1063,0.0,0.0,15.0,5.0,7.0,32.0,13638.0,10043.0,370.3626,12475.0,262.0,258.0,4.0,9.662,4800.0,3315.0,88.0,3635.0,2963.0,80.0,1165.0,352.0,8.0,4.0,2.0,0.0,1.0,1.0,2.0,6867.0,5221.0,131.0,5164.0,4751.0,115.0,1703.0,470.0,16.0,4.0,4.0,1.0,1.0,1.0,4.0,9825.0,8598.0,197.0,7973.0,7576.0,180.0,1852.0,1022.0,17.0,5.0,4.0,1.0,1.0,1.0,4.0,11740.0,10759.0,249.0,10342.0,9999.0,211.0,1398.0,760.0,38.0,5.0,4.0,2.0,1.0,3.0,4.0
LOLTMNT02_354347,complete,LES,2026.0,0.0,1.0,16.03,Red,bot,Jezu,ZYB Esport,0.0,Ezreal,Ryze,Yunara,Dr. Mundo,Vi,Jarvan IV,2565.0,0.0,4.0,5.0,5.0,11.0,32.0,0.0,0.0,0.0,0.0,0.0,0.2573,1.0058,0.0,0.0,21.0,9.0,6.0,48.0,17130.0,11622.0,271.8596,15483.0,353.0,338.0,15.0,8.2573,3762.0,3728.0,94.0,3577.0,3614.0,82.0,185.0,114.0,12.0,1.0,0.0,1.0,1.0,1.0,0.0,6080.0,5617.0,127.0,6039.0,5778.0,119.0,41.0,-161.0,8.0,3.0,0.0,2.0,1.0,3.0,0.0,8398.0,8344.0,195.0,8566.0,8812.0,190.0,-168.0,-468.0,5.0,3.0,0.0,2.0,1.0,3.0,0.0,10562.0,11200.0,242.0,11226.0,11286.0,233.0,-664.0,-86.0,9.0,3.0,1.0,2.0,3.0,4.0,0.0
LOLTMNT02_353713,complete,RL,2026.0,0.0,1.0,16.03,Red,bot,Jezu,ZYB Esport,0.0,Yasuo,Wukong,Yunara,Malphite,Renekton,Rumble,2039.0,0.0,8.0,2.0,4.0,19.0,20.0,1.0,0.0,0.0,0.0,0.0,0.5591,1.1182,0.0,0.0,17.0,3.0,9.0,39.0,16394.0,11959.0,351.9078,16475.0,325.0,309.0,16.0,9.5635,3275.0,3564.0,87.0,3707.0,3996.0,102.0,-432.0,-432.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,5219.0,5878.0,138.0,6048.0,6621.0,161.0,-829.0,-743.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,8442.0,9189.0,206.0,8426.0,9629.0,220.0,16.0,-440.0,-14.0,2.0,0.0,0.0,0.0,1.0,0.0,11928.0,13409.0,259.0,10554.0,12445.0,283.0,1374.0,964.0,-24.0,5.0,2.0,0.0,0.0,1.0,0.0
LOLTMNT02_355321,complete,HW,2026.0,0.0,1.0,16.03,Red,bot,Jezu,ZYB Esport,0.0,Kai'Sa,Yunara,Orianna,Azir,Nautilus,Pyke,1549.0,0.0,8.0,6.0,3.0,14.0,21.0,2.0,0.0,0.0,0.0,1.0,0.5423,1.3557,0.0,0.0,11.0,4.0,3.0,20.0,13284.0,9848.0,381.459,13275.0,220.0,210.0,10.0,8.5216,4473.0,2999.0,71.0,3931.0,3764.0,87.0,542.0,-765.0,-16.0,4.0,0.0,1.0,2.0,0.0,2.0,7784.0,5344.0,121.0,6606.0,5933.0,130.0,1178.0,-589.0,-9.0,7.0,2.0,2.0,4.0,1.0,4.0,11096.0,8303.0,167.0,8973.0,8838.0,185.0,2123.0,-535.0,-18.0,8.0,2.0,4.0,4.0,2.0,5.0,13169.0,10890.0,219.0,13096.0,12339.0,232.0,73.0,-1449.0,-13.0,8.0,3.0,6.0,7.0,4.0,6.0
LOLTMNT05_176932,complete,NLC,2026.0,0.0,1.0,16.03,Red,bot,Jezu,ZYB Esport,0.0,Vayne,Yunara,Orianna,Jarvan IV,Corki,,1726.0,1.0,12.0,0.0,6.0,31.0,6.0,3.0,2.0,0.0,0.0,0.0,1.0776,1.2862,0.0,0.0,13.0,3.0,3.0,22.0,17261.0,13464.0,468.0417,14475.0,277.0,273.0,4.0,9.6292,3855.0,3636.0,84.0,3901.0,3682.0,90.0,-46.0,-46.0,-6.0,2.0,0.0,0.0,1.0,0.0,1.0,5971.0,6270.0,144.0,6467.0,5848.0,143.0,-496.0,422.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,9290.0,10507.0,193.0,8542.0,8205.0,191.0,748.0,2302.0,2.0,5.0,0.0,0.0,1.0,0.0,2.0,13718.0,14623.0,255.0,11121.0,11094.0,243.0,2597.0,3529.0,12.0,6.0,4.0,0.0,2.0,0.0,3.0
