gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_337985,complete,CBLOL,2026.0,0.0,1.0,16.01,Red,sup,JoJo,FURIA,1.0,Alistar,Malphite,Qiyana,Renekton,Corki,Aphelios,1779.0,1.0,0.0,0.0,17.0,28.0,6.0,0.0,0.0,0.0,0.0,0.0,0.9444,1.1467,0.0,0.0,44.0,3.0,8.0,98.0,8244.0,4339.0,146.3406,7340.0,19.0,19.0,0.0,0.6408,2569.0,3080.0,12.0,2338.0,2540.0,16.0,231.0,540.0,-4.0,0.0,2.0,0.0,0.0,0.0,0.0,3549.0,4168.0,16.0,3489.0,4070.0,18.0,60.0,98.0,-2.0,0.0,2.0,0.0,0.0,1.0,0.0,4990.0,6127.0,17.0,4565.0,5359.0,24.0,425.0,768.0,-7.0,0.0,5.0,0.0,0.0,1.0,1.0,6640.0,8363.0,18.0,5589.0,6425.0,28.0,1051.0,1938.0,-10.0,0.0,11.0,0.0,0.0,1.0,2.0
LOLTMNT06_164335,complete,LEC,2026.0,0.0,1.0,16.01,Red,sup,JoJo,FURIA,1.0,Alistar,Malphite,Neeko,Renekton,Ezreal,Sivir,1909.0,1.0,1.0,2.0,14.0,22.0,5.0,0.0,0.0,0.0,0.0,0.0,0.6915,0.8486,1.0,0.0,64.0,17.0,9.0,149.0,8994.0,4824.0,151.6186,8180.0,35.0,31.0,4.0,1.1001,2249.0,2351.0,17.0,2431.0,3110.0,17.0,-182.0,-759.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3804.0,3260.0,21.0,3503.0,3941.0,20.0,301.0,-681.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,5338.0,3835.0,25.0,4658.0,4992.0,24.0,680.0,-1157.0,1.0,1.0,4.0,1.0,0.0,3.0,0.0,6425.0,5199.0,30.0,5715.0,6590.0,29.0,710.0,-1391.0,1.0,1.0,4.0,1.0,0.0,3.0,0.0
LOLTMNT04_148327,complete,TCL,2026.0,0.0,1.0,16.01,Red,sup,JoJo,FURIA,1.0,Rakan,Malphite,Neeko,Renekton,Poppy,Karma,1694.0,1.0,0.0,1.0,15.0,21.0,9.0,0.0,0.0,0.0,0.0,0.0,0.7438,1.0626,0.0,0.0,49.0,25.0,11.0,134.0,8101.0,4370.0,154.7816,7010.0,42.0,42.0,0.0,1.4876,2478.0,2472.0,20.0,2528.0,2664.0,17.0,-50.0,-192.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,3614.0,2873.0,26.0,4209.0,3399.0,23.0,-595.0,-526.0,3.0,0.0,1.0,0.0,1.0,3.0,0.0,4931.0,3650.0,30.0,5281.0,4132.0,27.0,-350.0,-482.0,3.0,0.0,3.0,0.0,1.0,3.0,2.0,6745.0,6225.0,36.0,6259.0,5271.0,30.0,486.0,954.0,6.0,0.0,9.0,1.0,1.0,3.0,4.0
LOLTMNT06_166081,complete,AL,2026.0,0.0,1.0,16.02,Red,sup,JoJo,FURIA,1.0,Alistar,Malphite,Renekton,Orianna,Lulu,Rakan,2076.0,0.0,0.0,4.0,3.0,7.0,21.0,0.0,0.0,0.0,0.0,0.0,0.2023,0.8092,0.0,0.0,70.0,14.0,18.0,143.0,7502.0,2991.0,86.4451,7330.0,34.0,34.0,0.0,0.9827,2180.0,2549.0,18.0,2235.0,2739.0,16.0,-55.0,-190.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3306.0,3360.0,25.0,3836.0,4413.0,24.0,-530.0,-1053.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,4340.0,4126.0,27.0,5213.0,5999.0,29.0,-873.0,-1873.0,-2.0,0.0,0.0,2.0,0.0,7.0,0.0,5506.0,5878.0,28.0,6266.0,7208.0,32.0,-760.0,-1330.0,-4.0,0.0,1.0,3.0,0.0,7.0,1.0
LOLTMNT04_149469,complete,EBL,2026.0,0.0,1.0,16.02,Red,sup,JoJo,FURIA,1.0,Leona,Malphite,Aurora,Renekton,Bard,Alistar,1680.0,0.0,0.0,5.0,2.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.6429,0.0,0.0,61.0,11.0,19.0,115.0,5999.0,2296.0,82.0,5610.0,28.0,28.0,0.0,1.0,2244.0,2717.0,17.0,2343.0,2681.0,23.0,-99.0,36.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,3187.0,3054.0,19.0,3408.0,3654.0,30.0,-221.0,-600.0,-11.0,0.0,0.0,1.0,0.0,1.0,0.0,4352.0,3910.0,24.0,4570.0,5276.0,31.0,-218.0,-1366.0,-7.0,0.0,1.0,1.0,0.0,1.0,1.0,5439.0,5277.0,28.0,5738.0,6496.0,37.0,-299.0,-1219.0,-9.0,0.0,1.0,2.0,0.0,2.0,1.0
LOLTMNT01_336805,complete,HW,2026.0,0.0,1.0,16.02,Blue,sup,JoJo,FURIA,0.0,Rell,Jayce,Aatrox,Varus,K'Sante,Sion,2173.0,1.0,1.0,3.0,16.0,24.0,9.0,0.0,0.0,0.0,0.0,1.0,0.6627,0.9112,0.0,0.0,68.0,23.0,16.0,158.0,10770.0,6061.0,167.3539,9505.0,45.0,45.0,0.0,1.2425,2642.0,2795.0,24.0,2360.0,2566.0,16.0,282.0,229.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,3701.0,3201.0,30.0,3448.0,3392.0,26.0,253.0,-191.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,4961.0,4476.0,33.0,4592.0,4197.0,31.0,369.0,279.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,6257.0,6549.0,40.0,5704.0,6372.0,34.0,553.0,177.0,6.0,0.0,5.0,1.0,0.0,2.0,3.0
LOLTMNT01_337433,complete,HW,2026.0,0.0,1.0,16.02,Red,sup,JoJo,FURIA,0.0,Lulu,Qiyana,Jayce,Varus,Nautilus,Aphelios,1991.0,1.0,1.0,0.0,16.0,19.0,4.0,0.0,0.0,0.0,0.0,1.0,0.5726,0.6931,0.0,0.0,62.0,19.0,11.0,146.0,9444.0,5107.0,153.9026,7845.0,38.0,38.0,0.0,1.1452,2569.0,2991.0,19.0,2433.0,2947.0,23.0,136.0,44.0,-4.0,0.0,1.0,0.0,0.0,0.0,1.0,3791.0,4298.0,25.0,3478.0,3615.0,28.0,313.0,683.0,-3.0,0.0,3.0,0.0,0.0,0.0,2.0,5219.0,5752.0,30.0,4702.0,5325.0,34.0,517.0,427.0,-4.0,0.0,5.0,0.0,0.0,0.0,2.0,6418.0,7600.0,33.0,6063.0,7669.0,40.0,355.0,-69.0,-7.0,0.0,10.0,0.0,0.0,1.0,3.0
LOLTMNT05_175414,complete,PRM,2026.0,0.0,1.0,16.03,Red,sup,JoJo,FURIA,0.0,Lulu,Jayce,Nocturne,Varus,Aphelios,Neeko,1744.0,1.0,0.0,0.0,21.0,21.0,7.0,0.0,0.0,0.0,0.0,1.0,0.7225,0.9633,0.0,0.0,45.0,13.0,13.0,93.0,8355.0,4522.0,155.5734,7325.0,34.0,34.0,0.0,1.1697,2512.0,2997.0,20.0,2508.0,2854.0,17.0,4.0,143.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3652.0,4295.0,26.0,3743.0,4150.0,24.0,-91.0,145.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,5100.0,5922.0,28.0,4948.0,5407.0,31.0,152.0,515.0,-3.0,0.0,6.0,0.0,0.0,2.0,1.0,6594.0,8765.0,30.0,6018.0,6638.0,31.0,576.0,2127.0,-1.0,0.0,12.0,0.0,0.0,4.0,3.0
LOLTMNT05_175422,complete,PRM,2026.0,0.0,2.0,16.03,Red,sup,JoJo,FURIA,1.0,Seraphine,Renekton,Kennen,Neeko,Lucian,Ezreal,1772.0,1.0,3.0,2.0,12.0,22.0,9.0,0.0,0.0,0.0,0.0,1.0,0.7449,1.0497,0.0,0.0,50.0,18.0,7.0,117.0,9476.0,5586.0,189.1422,8415.0,37.0,37.0,0.0,1.2528,2951.0,3255.0,17.0,2976.0,3031.0,19.0,-25.0,224.0,-2.0,1.0,2.0,1.0,1.0,2.0,1.0,4493.0,4535.0,23.0,4177.0,3885.0,24.0,316.0,650.0,-1.0,2.0,4.0,2.0,1.0,4.0,3.0,5724.0,5666.0,31.0,5394.0,5160.0,32.0,330.0,506.0,-1.0,2.0,4.0,2.0,1.0,4.0,3.0,8129.0,8673.0,36.0,6533.0,6753.0,37.0,1596.0,1920.0,-1.0,3.0,8.0,2.0,1.0,4.0,4.0
LOLTMNT05_176506,complete,AL,2026.0,0.0,1.0,16.03,Red,sup,JoJo,FURIA,1.0,Nami,Bard,Nautilus,Sion,Vi,Sylas,2203.0,0.0,1.0,5.0,14.0,16.0,20.0,0.0,0.0,0.0,0.0,1.0,0.4358,0.9805,0.0,0.0,54.0,11.0,10.0,121.0,8761.0,3991.0,108.6972,8520.0,25.0,25.0,0.0,0.6809,2686.0,2528.0,10.0,2412.0,2886.0,22.0,274.0,-358.0,-12.0,1.0,1.0,0.0,0.0,1.0,1.0,3813.0,4219.0,15.0,3603.0,3872.0,35.0,210.0,347.0,-20.0,1.0,3.0,0.0,0.0,2.0,2.0,4821.0,5265.0,18.0,4935.0,4771.0,40.0,-114.0,494.0,-22.0,1.0,4.0,1.0,0.0,4.0,3.0,6306.0,7827.0,21.0,6150.0,7008.0,42.0,156.0,819.0,-21.0,1.0,10.0,2.0,0.0,6.0,5.0
