gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_338031,complete,LCKC,2026.0,0.0,1.0,16.01,Red,mid,Jojopyun,Movistar KOI,1.0,Taliyah,Kled,Malphite,Dr. Mundo,Nami,Bard,1912.0,1.0,3.0,4.0,8.0,17.0,7.0,0.0,0.0,0.0,0.0,0.0,0.5335,0.7531,0.0,0.0,15.0,5.0,5.0,41.0,14185.0,10009.0,314.09,12225.0,312.0,294.0,18.0,9.7908,3849.0,5199.0,96.0,3566.0,4809.0,84.0,283.0,390.0,12.0,1.0,0.0,1.0,1.0,1.0,1.0,5536.0,7638.0,145.0,5268.0,7717.0,142.0,268.0,-79.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,7364.0,10441.0,191.0,7399.0,10842.0,201.0,-35.0,-401.0,-10.0,1.0,3.0,2.0,1.0,1.0,1.0,9475.0,13524.0,228.0,9368.0,13668.0,252.0,107.0,-144.0,-24.0,2.0,5.0,3.0,1.0,2.0,1.0
LOLTMNT01_323365,complete,ROL,2026.0,0.0,1.0,16.01,Red,mid,Jojopyun,Movistar KOI,1.0,Azir,Neeko,Malphite,Orianna,Nautilus,Alistar,1934.0,1.0,4.0,5.0,1.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.4964,0.7446,0.0,0.0,15.0,6.0,2.0,39.0,13468.0,9247.0,286.8769,21350.0,320.0,301.0,19.0,9.9276,3699.0,5097.0,107.0,3610.0,5328.0,92.0,89.0,-231.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,5100.0,7139.0,149.0,5685.0,8817.0,150.0,-585.0,-1678.0,-1.0,0.0,0.0,2.0,0.0,3.0,0.0,7756.0,10394.0,207.0,7563.0,10938.0,190.0,193.0,-544.0,17.0,2.0,0.0,2.0,0.0,3.0,1.0,9757.0,13777.0,271.0,9954.0,14213.0,253.0,-197.0,-436.0,18.0,2.0,0.0,3.0,0.0,4.0,1.0
LOLTMNT03_338560,complete,HLL,2026.0,0.0,1.0,16.01,Red,mid,Jojopyun,Movistar KOI,1.0,Azir,Wukong,K'Sante,Malphite,Taliyah,Renekton,1601.0,0.0,1.0,7.0,1.0,4.0,22.0,0.0,0.0,0.0,0.0,0.0,0.1499,0.9744,0.0,0.0,12.0,4.0,1.0,25.0,9355.0,5813.0,217.8513,8925.0,245.0,238.0,7.0,9.1818,3328.0,4827.0,91.0,3404.0,4745.0,80.0,-76.0,82.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,5053.0,7515.0,149.0,5063.0,7331.0,133.0,-10.0,184.0,16.0,0.0,0.0,2.0,1.0,0.0,0.0,6862.0,9979.0,192.0,7017.0,10435.0,193.0,-155.0,-456.0,-1.0,0.0,1.0,4.0,1.0,0.0,0.0,9034.0,12417.0,241.0,8852.0,15179.0,235.0,182.0,-2762.0,6.0,1.0,1.0,5.0,1.0,3.0,1.0
LOLTMNT01_327617,complete,ROL,2026.0,0.0,1.0,16.02,Red,mid,Jojopyun,Movistar KOI,0.0,Akali,Jayce,Varus,Vi,Poppy,Kai'Sa,1925.0,1.0,3.0,5.0,13.0,22.0,11.0,0.0,0.0,0.0,0.0,0.0,0.6857,1.0286,0.0,0.0,20.0,6.0,6.0,49.0,12665.0,8462.0,263.7506,11625.0,248.0,247.0,1.0,7.7299,3321.0,5002.0,93.0,3206.0,5104.0,82.0,115.0,-102.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,4830.0,7502.0,130.0,4675.0,6989.0,113.0,155.0,513.0,17.0,0.0,3.0,2.0,1.0,1.0,2.0,6663.0,10731.0,185.0,6256.0,9629.0,161.0,407.0,1102.0,24.0,0.0,3.0,2.0,1.0,1.0,2.0,8387.0,13042.0,212.0,7409.0,10609.0,182.0,978.0,2433.0,30.0,0.0,7.0,3.0,1.0,1.0,4.0
LOLTMNT04_150462,complete,LFL,2026.0,0.0,1.0,16.02,Red,mid,Jojopyun,Movistar KOI,1.0,Taliyah,Neeko,Varus,Akali,Lulu,Jarvan IV,1555.0,1.0,9.0,3.0,13.0,27.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0418,1.2733,0.0,0.0,16.0,7.0,4.0,37.0,14816.0,11368.0,438.6367,13100.0,283.0,263.0,20.0,10.9196,3845.0,5191.0,96.0,3847.0,4972.0,100.0,-2.0,219.0,-4.0,1.0,0.0,2.0,0.0,2.0,1.0,6688.0,8303.0,147.0,5619.0,7346.0,144.0,1069.0,957.0,3.0,4.0,1.0,3.0,0.0,4.0,3.0,10428.0,12317.0,210.0,7461.0,10275.0,201.0,2967.0,2042.0,9.0,7.0,5.0,3.0,0.0,4.0,5.0,13641.0,15896.0,269.0,9647.0,15287.0,265.0,3994.0,609.0,4.0,8.0,9.0,3.0,0.0,4.0,5.0
LOLTMNT06_166095,complete,AL,2026.0,0.0,1.0,16.02,Blue,mid,Jojopyun,Movistar KOI,1.0,Azir,Neeko,Orianna,Jarvan IV,Gnar,Aurora,1961.0,0.0,3.0,3.0,1.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.153,0.5201,0.0,0.0,16.0,11.0,1.0,52.0,13300.0,9024.0,276.104,12575.0,317.0,317.0,0.0,9.6991,3789.0,5503.0,107.0,3347.0,5009.0,89.0,442.0,494.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,5465.0,8338.0,162.0,5059.0,7944.0,144.0,406.0,394.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,7742.0,11829.0,239.0,6994.0,11002.0,202.0,748.0,827.0,37.0,0.0,0.0,0.0,0.0,1.0,0.0,11110.0,14350.0,276.0,8453.0,13423.0,247.0,2657.0,927.0,29.0,3.0,0.0,0.0,0.0,1.0,1.0
LOLTMNT01_335992,complete,CBLOL,2026.0,0.0,1.0,16.02,Red,mid,Jojopyun,Movistar KOI,1.0,Azir,Sion,Ryze,Jayce,Bard,Jax,2397.0,0.0,3.0,4.0,3.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.2503,0.6008,0.0,0.0,19.0,10.0,3.0,61.0,16292.0,11127.0,278.5232,17535.0,415.0,387.0,28.0,10.388,4041.0,5287.0,107.0,3595.0,5379.0,101.0,446.0,-92.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,6156.0,8496.0,173.0,5422.0,7827.0,148.0,734.0,669.0,25.0,1.0,0.0,0.0,0.0,1.0,1.0,8070.0,10975.0,202.0,7696.0,10066.0,193.0,374.0,909.0,9.0,2.0,1.0,2.0,0.0,2.0,2.0,9805.0,14123.0,256.0,9599.0,12547.0,239.0,206.0,1576.0,17.0,2.0,1.0,2.0,0.0,2.0,2.0
LOLTMNT04_152714,complete,EBL,2026.0,0.0,1.0,16.02,Red,mid,Jojopyun,Movistar KOI,1.0,Anivia,Akali,Yone,Irelia,Neeko,Xayah,2172.0,1.0,4.0,5.0,8.0,24.0,13.0,0.0,0.0,0.0,0.0,0.0,0.663,1.0221,0.0,0.0,17.0,6.0,3.0,39.0,15296.0,10590.0,292.5414,14075.0,344.0,320.0,24.0,9.5028,3341.0,4822.0,93.0,3639.0,4836.0,85.0,-298.0,-14.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,5303.0,7735.0,148.0,5298.0,7552.0,135.0,5.0,183.0,13.0,0.0,1.0,1.0,0.0,1.0,0.0,7034.0,10342.0,192.0,7247.0,9753.0,171.0,-213.0,589.0,21.0,0.0,2.0,3.0,1.0,1.0,2.0,9784.0,14904.0,243.0,10100.0,15222.0,235.0,-316.0,-318.0,8.0,2.0,5.0,4.0,2.0,2.0,2.0
LOLTMNT01_338508,complete,HW,2026.0,0.0,1.0,16.02,Red,mid,Jojopyun,Movistar KOI,1.0,Azir,Dr. Mundo,Ambessa,Malphite,Neeko,Lulu,2269.0,0.0,2.0,6.0,9.0,13.0,23.0,0.0,0.0,0.0,0.0,0.0,0.3438,0.952,0.0,0.0,18.0,11.0,4.0,48.0,15054.0,10150.0,268.4002,14700.0,366.0,362.0,4.0,9.6783,3654.0,4836.0,85.0,3831.0,4869.0,87.0,-177.0,-33.0,-2.0,1.0,2.0,1.0,1.0,0.0,1.0,5172.0,7117.0,120.0,6713.0,7955.0,127.0,-1541.0,-838.0,-7.0,1.0,5.0,4.0,4.0,1.0,2.0,7087.0,9975.0,179.0,9161.0,11209.0,191.0,-2074.0,-1234.0,-12.0,1.0,5.0,4.0,4.0,1.0,2.0,9247.0,13476.0,252.0,11196.0,13351.0,238.0,-1949.0,125.0,14.0,1.0,5.0,4.0,4.0,1.0,2.0
LOLTMNT02_352429,complete,LCK,2026.0,0.0,1.0,16.03,Blue,mid,Jojopyun,Movistar KOI,1.0,Ryze,Malphite,Orianna,Dr. Mundo,Nautilus,Ambessa,2200.0,0.0,3.0,2.0,4.0,9.0,24.0,0.0,0.0,0.0,0.0,0.0,0.2455,0.9,0.0,0.0,15.0,11.0,1.0,45.0,14006.0,9242.0,252.0545,13925.0,343.0,343.0,0.0,9.3545,4051.0,5091.0,102.0,3719.0,5259.0,102.0,332.0,-168.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5844.0,7898.0,159.0,5391.0,8142.0,155.0,453.0,-244.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0,7751.0,10830.0,213.0,7637.0,10519.0,201.0,114.0,311.0,12.0,1.0,0.0,0.0,0.0,3.0,1.0,9724.0,15515.0,274.0,9060.0,13068.0,244.0,664.0,2447.0,30.0,1.0,0.0,0.0,0.0,3.0,1.0
