gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_176988,complete,PRM,2026.0,0.0,1.0,16.03,Red,jng,Joki37,Orbit Anonymo Esports,0.0,Aatrox,Jayce,Naafiri,Ryze,Dr. Mundo,Ambessa,2655.0,0.0,1.0,5.0,7.0,14.0,20.0,0.0,0.0,0.0,0.0,0.0,0.3164,0.7684,0.0,2.0,8.0,14.0,7.0,69.0,14777.0,9085.0,205.3107,14675.0,281.0,33.0,248.0,6.3503,4000.0,4511.0,84.0,3437.0,4055.0,76.0,563.0,456.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,5645.0,6743.0,122.0,6179.0,6273.0,117.0,-534.0,470.0,5.0,1.0,2.0,1.0,2.0,0.0,1.0,7291.0,9030.0,158.0,8271.0,8392.0,144.0,-980.0,638.0,14.0,1.0,4.0,1.0,3.0,1.0,2.0,9489.0,12052.0,196.0,10218.0,10975.0,186.0,-729.0,1077.0,10.0,1.0,5.0,1.0,3.0,1.0,2.0
LOLTMNT05_177003,complete,AL,2026.0,1.0,1.0,16.03,Red,jng,Joki37,Orbit Anonymo Esports,0.0,Neeko,Aurora,Diana,Rumble,Varus,K'Sante,1798.0,1.0,4.0,0.0,8.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7008,0.7008,2.0,0.0,7.0,7.0,5.0,50.0,13346.0,9402.0,313.7486,11875.0,249.0,21.0,228.0,8.3092,3722.0,4621.0,89.0,3300.0,3866.0,75.0,422.0,755.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,6197.0,8055.0,138.0,4787.0,5914.0,110.0,1410.0,2141.0,28.0,1.0,2.0,0.0,0.0,0.0,1.0,8588.0,11126.0,182.0,6009.0,7597.0,132.0,2579.0,3529.0,50.0,2.0,3.0,0.0,0.0,0.0,3.0,10597.0,14270.0,211.0,7346.0,9334.0,153.0,3251.0,4936.0,58.0,2.0,5.0,0.0,0.0,0.0,5.0
LOLTMNT03_345376,complete,LJL,2026.0,1.0,1.0,16.03,Blue,jng,Joki37,Orbit Anonymo Esports,1.0,Ivern,Jayce,Lulu,LeBlanc,Nasus,Yorick,1544.0,0.0,2.0,4.0,7.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.3886,1.1658,0.0,1.0,5.0,1.0,4.0,15.0,9413.0,5988.0,232.6943,9000.0,139.0,5.0,134.0,5.4016,3484.0,3613.0,63.0,3941.0,4339.0,83.0,-457.0,-726.0,-20.0,0.0,2.0,0.0,1.0,0.0,0.0,5633.0,5685.0,90.0,6158.0,7160.0,127.0,-525.0,-1475.0,-37.0,1.0,5.0,1.0,2.0,2.0,1.0,7513.0,7825.0,114.0,8767.0,9928.0,168.0,-1254.0,-2103.0,-54.0,2.0,5.0,2.0,4.0,4.0,2.0,9323.0,10419.0,139.0,11481.0,13130.0,196.0,-2158.0,-2711.0,-57.0,2.0,7.0,3.0,5.0,9.0,3.0
LOLTMNT03_344660,complete,LJL,2026.0,1.0,1.0,16.03,Red,jng,Joki37,Orbit Anonymo Esports,0.0,Neeko,Qiyana,Lulu,Ryze,Bard,Karma,1986.0,1.0,1.0,8.0,10.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.5438,1.0876,1.0,0.0,6.0,14.0,4.0,53.0,12891.0,8564.0,258.7311,11850.0,219.0,30.0,189.0,6.6163,3342.0,3936.0,75.0,4061.0,4372.0,77.0,-719.0,-436.0,-2.0,0.0,0.0,2.0,1.0,3.0,0.0,5724.0,7100.0,119.0,5642.0,6316.0,109.0,82.0,784.0,10.0,1.0,1.0,3.0,1.0,4.0,0.0,7535.0,9410.0,151.0,8759.0,10244.0,159.0,-1224.0,-834.0,-8.0,1.0,3.0,5.0,3.0,8.0,0.0,9221.0,11786.0,178.0,10091.0,11855.0,179.0,-870.0,-69.0,-1.0,1.0,5.0,6.0,3.0,8.0,0.0
LOLTMNT02_357177,complete,LCKC,2026.0,0.0,2.0,16.03,Blue,jng,Joki37,Orbit Anonymo Esports,1.0,Pantheon,Lulu,Lee Sin,Talon,Xin Zhao,Jayce,1611.0,1.0,3.0,2.0,10.0,22.0,5.0,0.0,0.0,0.0,0.0,1.0,0.8194,1.0056,1.0,0.0,8.0,6.0,5.0,41.0,11106.0,7544.0,280.9683,10125.0,187.0,13.0,174.0,6.9646,3875.0,4492.0,85.0,3658.0,3489.0,66.0,217.0,1003.0,19.0,0.0,3.0,1.0,1.0,0.0,1.0,5963.0,7170.0,131.0,5602.0,5571.0,99.0,361.0,1599.0,32.0,1.0,3.0,1.0,1.0,1.0,1.0,7682.0,9367.0,154.0,7487.0,7644.0,130.0,195.0,1723.0,24.0,1.0,5.0,1.0,1.0,2.0,3.0,10204.0,12395.0,181.0,8990.0,9148.0,148.0,1214.0,3247.0,33.0,3.0,6.0,2.0,1.0,2.0,6.0
LOLTMNT03_345857,complete,RL,2026.0,0.0,1.0,16.03,Blue,jng,Joki37,Orbit Anonymo Esports,1.0,Poppy,Ambessa,Ahri,Nami,Aatrox,Nocturne,1909.0,0.0,0.0,2.0,3.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,0.22,0.7543,1.0,0.0,8.0,11.0,5.0,37.0,9656.0,5486.0,172.4254,9275.0,186.0,13.0,173.0,5.846,3497.0,4358.0,81.0,4509.0,4497.0,80.0,-1012.0,-139.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4978.0,6463.0,115.0,6298.0,7399.0,128.0,-1320.0,-936.0,-13.0,0.0,0.0,0.0,2.0,0.0,0.0,6867.0,9240.0,157.0,9228.0,10479.0,172.0,-2361.0,-1239.0,-15.0,0.0,2.0,0.0,3.0,1.0,1.0,8230.0,11348.0,173.0,12028.0,14217.0,218.0,-3798.0,-2869.0,-45.0,0.0,3.0,1.0,5.0,2.0,1.0
LOLTMNT02_357239,complete,HLL,2026.0,0.0,2.0,16.03,Red,jng,Joki37,Orbit Anonymo Esports,0.0,Vi,Ambessa,Ahri,Nami,Aatrox,Kled,1745.0,1.0,2.0,3.0,9.0,26.0,13.0,0.0,0.0,0.0,0.0,1.0,0.894,1.341,0.0,0.0,6.0,3.0,4.0,25.0,10452.0,6617.0,227.5186,9500.0,175.0,11.0,164.0,6.0172,4072.0,4435.0,80.0,3299.0,3939.0,74.0,773.0,496.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,5854.0,6436.0,113.0,5102.0,6559.0,118.0,752.0,-123.0,-5.0,2.0,1.0,1.0,0.0,1.0,2.0,7328.0,8844.0,136.0,6569.0,8674.0,144.0,759.0,170.0,-8.0,2.0,2.0,1.0,0.0,2.0,3.0,8614.0,10397.0,155.0,8994.0,11197.0,174.0,-380.0,-800.0,-19.0,2.0,4.0,2.0,2.0,4.0,5.0
LOLTMNT02_359320,complete,LCP,2026.0,1.0,1.0,16.04,Blue,jng,Joki37,Orbit Anonymo Esports,1.0,Jarvan IV,Lulu,Jayce,Dr. Mundo,Karma,Nasus,1819.0,1.0,3.0,1.0,11.0,17.0,3.0,0.0,0.0,0.0,0.0,1.0,0.5607,0.6597,1.0,0.0,9.0,7.0,6.0,37.0,12584.0,8598.0,283.6064,11150.0,221.0,18.0,203.0,7.2897,3432.0,3997.0,73.0,3820.0,4385.0,84.0,-388.0,-388.0,-11.0,0.0,1.0,1.0,1.0,0.0,0.0,5319.0,6707.0,115.0,5432.0,6588.0,123.0,-113.0,119.0,-8.0,0.0,2.0,1.0,1.0,0.0,0.0,7452.0,10120.0,158.0,7093.0,8559.0,155.0,359.0,1561.0,3.0,1.0,5.0,1.0,1.0,0.0,1.0,9866.0,12314.0,182.0,8685.0,10413.0,183.0,1181.0,1901.0,-1.0,3.0,7.0,1.0,1.0,1.0,2.0
LOLTMNT02_360286,complete,LCK,2026.0,0.0,2.0,16.04,Blue,jng,Joki37,Orbit Anonymo Esports,1.0,Vi,Lulu,Jayce,Dr. Mundo,Pantheon,Karma,2584.0,1.0,2.0,1.0,16.0,25.0,12.0,0.0,0.0,0.0,0.0,1.0,0.5805,0.8591,2.0,0.0,12.0,14.0,10.0,69.0,16525.0,10978.0,254.9071,15100.0,277.0,20.0,257.0,6.4319,3724.0,4306.0,77.0,3650.0,4230.0,83.0,74.0,76.0,-6.0,0.0,2.0,0.0,0.0,1.0,0.0,5631.0,7092.0,115.0,5221.0,5918.0,111.0,410.0,1174.0,4.0,0.0,6.0,0.0,0.0,1.0,1.0,7928.0,9921.0,153.0,6873.0,7980.0,149.0,1055.0,1941.0,4.0,0.0,9.0,0.0,0.0,1.0,1.0,9695.0,12858.0,186.0,8882.0,10566.0,186.0,813.0,2292.0,0.0,0.0,11.0,0.0,0.0,2.0,2.0
LOLTMNT05_180114,complete,LEC,2026.0,1.0,3.0,16.04,Blue,jng,Joki37,Orbit Anonymo Esports,1.0,Pantheon,Lulu,Jayce,Dr. Mundo,Sivir,Caitlyn,1499.0,0.0,0.0,5.0,4.0,6.0,20.0,0.0,0.0,0.0,0.0,0.0,0.2402,1.0407,0.0,1.0,5.0,2.0,2.0,16.0,7512.0,4178.0,167.2315,7450.0,146.0,7.0,139.0,5.8439,3210.0,3812.0,68.0,3478.0,4187.0,78.0,-268.0,-375.0,-10.0,0.0,0.0,1.0,0.0,2.0,0.0,4592.0,5405.0,96.0,5318.0,6928.0,117.0,-726.0,-1523.0,-21.0,0.0,1.0,2.0,0.0,5.0,0.0,6243.0,7806.0,124.0,7459.0,9598.0,155.0,-1216.0,-1792.0,-31.0,0.0,3.0,3.0,1.0,7.0,1.0,7512.0,9752.0,146.0,9992.0,12939.0,183.0,-2480.0,-3187.0,-37.0,0.0,4.0,5.0,1.0,13.0,1.0
