gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_166083,complete,AL,2026.0,0.0,1.0,16.02,Blue,jng,Josedeodo,Team Liquid,0.0,Xin Zhao,Ziggs,Jayce,Varus,Yunara,Alistar,2163.0,0.0,3.0,2.0,3.0,7.0,13.0,0.0,0.0,0.0,0.0,1.0,0.1942,0.5548,0.0,1.0,14.0,13.0,13.0,66.0,13254.0,8566.0,237.6144,12975.0,249.0,22.0,227.0,6.9071,3582.0,4000.0,76.0,3502.0,4082.0,81.0,80.0,-82.0,-5.0,0.0,1.0,0.0,0.0,0.0,2.0,5836.0,6898.0,126.0,5396.0,6720.0,123.0,440.0,178.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,7857.0,9163.0,164.0,7185.0,9236.0,164.0,672.0,-73.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,10378.0,11720.0,196.0,9186.0,12164.0,214.0,1192.0,-444.0,-18.0,3.0,2.0,0.0,0.0,1.0,2.0
LOLTMNT01_327636,complete,ROL,2026.0,0.0,2.0,16.02,Red,jng,Josedeodo,Team Liquid,1.0,Vi,Ziggs,Malphite,Ambessa,Karma,Cassiopeia,1833.0,0.0,1.0,5.0,2.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.1309,0.7529,0.0,1.0,8.0,8.0,7.0,43.0,10253.0,6238.0,204.1899,9175.0,210.0,34.0,176.0,6.874,3699.0,3693.0,70.0,4747.0,4720.0,88.0,-1048.0,-1027.0,-18.0,1.0,0.0,2.0,3.0,1.0,0.0,5424.0,6207.0,107.0,6749.0,7992.0,140.0,-1325.0,-1785.0,-33.0,1.0,1.0,2.0,3.0,2.0,0.0,7328.0,9101.0,153.0,8771.0,10507.0,180.0,-1443.0,-1406.0,-27.0,1.0,2.0,3.0,3.0,4.0,1.0,8835.0,10928.0,183.0,11396.0,13350.0,210.0,-2561.0,-2422.0,-27.0,1.0,2.0,4.0,5.0,7.0,1.0
LOLTMNT04_151763,complete,CCWS,2026.0,0.0,1.0,16.02,Blue,jng,Josedeodo,Team Liquid,1.0,Jarvan IV,Aurora,Malphite,Azir,Nautilus,Neeko,1718.0,1.0,4.0,1.0,7.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.3842,0.5588,1.0,0.0,11.0,16.0,9.0,57.0,12348.0,8568.0,299.2317,11025.0,210.0,25.0,185.0,7.3341,3919.0,4311.0,84.0,3280.0,3629.0,67.0,639.0,682.0,17.0,1.0,0.0,0.0,0.0,1.0,0.0,5625.0,6538.0,126.0,5072.0,6444.0,114.0,553.0,94.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,7677.0,8584.0,158.0,6947.0,9358.0,161.0,730.0,-774.0,-3.0,2.0,0.0,0.0,0.0,1.0,0.0,10747.0,11502.0,190.0,8537.0,11532.0,196.0,2210.0,-30.0,-6.0,4.0,2.0,0.0,0.0,1.0,1.0
LOLTMNT01_337444,complete,HW,2026.0,0.0,2.0,16.02,Blue,jng,Josedeodo,Team Liquid,1.0,Nocturne,Aurora,Malphite,Pantheon,Ezreal,Nautilus,1451.0,1.0,3.0,0.0,11.0,17.0,3.0,1.0,0.0,0.0,0.0,1.0,0.703,0.827,1.0,0.0,7.0,4.0,7.0,28.0,11148.0,7912.0,327.1675,9325.0,191.0,10.0,181.0,7.898,3667.0,4438.0,84.0,3545.0,4486.0,83.0,122.0,-48.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6178.0,7344.0,115.0,5385.0,6619.0,120.0,793.0,725.0,-5.0,2.0,3.0,0.0,0.0,1.0,1.0,8509.0,10419.0,166.0,6873.0,8418.0,148.0,1636.0,2001.0,18.0,2.0,4.0,0.0,0.0,1.0,2.0,11148.0,14294.0,191.0,8029.0,9997.0,165.0,3119.0,4297.0,26.0,3.0,11.0,0.0,0.0,1.0,4.0
LOLTMNT05_176461,complete,AL,2026.0,0.0,1.0,16.03,Red,jng,Josedeodo,Team Liquid,1.0,Wukong,K'Sante,Orianna,Jarvan IV,Gwen,Nautilus,1728.0,1.0,3.0,1.0,9.0,19.0,5.0,1.0,0.0,0.0,0.0,0.0,0.6597,0.8333,1.0,0.0,12.0,23.0,10.0,75.0,12289.0,8488.0,294.7222,11983.0,241.0,38.0,203.0,8.3681,3561.0,4305.0,85.0,3977.0,4412.0,84.0,-416.0,-107.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5489.0,6863.0,131.0,5689.0,6725.0,122.0,-200.0,138.0,9.0,0.0,2.0,0.0,1.0,1.0,1.0,7896.0,9378.0,176.0,7794.0,9139.0,159.0,102.0,239.0,17.0,1.0,3.0,0.0,2.0,1.0,1.0,10883.0,12807.0,220.0,9065.0,10701.0,179.0,1818.0,2106.0,41.0,3.0,6.0,0.0,2.0,1.0,3.0
LOLTMNT02_351519,complete,HW,2026.0,0.0,2.0,16.03,Blue,jng,Josedeodo,Team Liquid,0.0,Jarvan IV,Rumble,Nocturne,K'Sante,Yunara,Xin Zhao,2778.0,0.0,3.0,4.0,9.0,15.0,29.0,0.0,0.0,0.0,0.0,0.0,0.324,0.9503,1.0,1.0,19.0,21.0,17.0,92.0,15615.0,9672.0,208.8985,15125.0,271.0,46.0,225.0,5.8531,3598.0,4685.0,90.0,3629.0,4305.0,81.0,-31.0,380.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,5423.0,6818.0,129.0,5122.0,6344.0,115.0,301.0,474.0,14.0,0.0,3.0,0.0,0.0,1.0,1.0,7509.0,9211.0,173.0,7099.0,9428.0,162.0,410.0,-217.0,11.0,0.0,4.0,0.0,0.0,2.0,1.0,8915.0,10520.0,195.0,8725.0,11523.0,191.0,190.0,-1003.0,4.0,0.0,5.0,1.0,0.0,4.0,1.0
LOLTMNT02_352539,complete,HLL,2026.0,0.0,3.0,16.03,Red,jng,Josedeodo,Team Liquid,1.0,Lee Sin,Syndra,K'Sante,Nocturne,Bard,Poppy,1992.0,0.0,1.0,4.0,8.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,0.2711,0.8133,0.0,1.0,22.0,11.0,10.0,63.0,11308.0,6969.0,209.9096,10625.0,217.0,22.0,195.0,6.5361,3486.0,4136.0,79.0,3788.0,3974.0,69.0,-302.0,162.0,10.0,0.0,2.0,1.0,1.0,3.0,1.0,5164.0,6368.0,114.0,5538.0,6190.0,101.0,-374.0,178.0,13.0,0.0,4.0,1.0,2.0,3.0,2.0,6909.0,8393.0,147.0,7258.0,8651.0,136.0,-349.0,-258.0,11.0,0.0,6.0,3.0,2.0,6.0,3.0,9195.0,10890.0,186.0,9374.0,11305.0,175.0,-179.0,-415.0,11.0,1.0,6.0,3.0,3.0,6.0,4.0
LOLTMNT02_351782,complete,LCP,2026.0,1.0,1.0,16.03,Blue,jng,Josedeodo,Team Liquid,0.0,Jarvan IV,Varus,Rumble,Aurora,Lulu,Nautilus,2799.0,1.0,2.0,2.0,20.0,25.0,18.0,0.0,0.0,0.0,0.0,0.0,0.5359,0.9218,3.0,1.0,19.0,21.0,18.0,98.0,17832.0,11846.0,253.9335,16775.0,293.0,29.0,264.0,6.2808,3502.0,3891.0,73.0,3617.0,4072.0,76.0,-115.0,-181.0,-3.0,0.0,1.0,0.0,0.0,2.0,0.0,5105.0,5973.0,112.0,5324.0,6662.0,123.0,-219.0,-689.0,-11.0,0.0,1.0,0.0,0.0,2.0,0.0,7020.0,8716.0,154.0,6712.0,8325.0,149.0,308.0,391.0,5.0,0.0,2.0,0.0,0.0,3.0,1.0,9382.0,11891.0,185.0,8362.0,10680.0,184.0,1020.0,1211.0,1.0,0.0,8.0,0.0,0.0,3.0,2.0
LOLTMNT03_351007,complete,RL,2026.0,0.0,1.0,16.04,Blue,jng,Josedeodo,Team Liquid,0.0,Trundle,Pantheon,Orianna,Varus,Renekton,Jayce,2054.0,1.0,4.0,2.0,15.0,23.0,8.0,0.0,0.0,0.0,0.0,0.0,0.6719,0.9056,1.0,0.0,14.0,21.0,13.0,75.0,14354.0,9888.0,288.8413,11925.0,240.0,24.0,216.0,7.0107,3381.0,3846.0,74.0,3549.0,4094.0,79.0,-168.0,-248.0,-5.0,0.0,2.0,1.0,0.0,1.0,1.0,5061.0,5975.0,116.0,5856.0,7101.0,130.0,-795.0,-1126.0,-14.0,0.0,2.0,1.0,1.0,2.0,1.0,7703.0,9486.0,170.0,7412.0,8901.0,158.0,291.0,585.0,12.0,1.0,3.0,1.0,1.0,3.0,2.0,9822.0,11456.0,192.0,9032.0,11134.0,188.0,790.0,322.0,4.0,2.0,7.0,2.0,1.0,4.0,3.0
LOLTMNT03_350017,complete,HW,2026.0,0.0,2.0,16.04,Blue,jng,Josedeodo,Team Liquid,1.0,Vi,Akali,Azir,Pantheon,Ashe,Aphelios,1444.0,1.0,4.0,1.0,6.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.6648,0.831,1.0,0.0,9.0,4.0,8.0,38.0,10209.0,6988.0,290.3601,8375.0,173.0,5.0,168.0,7.1884,3736.0,4006.0,78.0,3942.0,4013.0,75.0,-206.0,-7.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,5916.0,6791.0,124.0,5649.0,6765.0,120.0,267.0,26.0,4.0,2.0,0.0,1.0,1.0,1.0,1.0,8335.0,9495.0,156.0,7313.0,9069.0,153.0,1022.0,426.0,3.0,3.0,5.0,1.0,1.0,3.0,2.0,10209.0,12134.0,173.0,8428.0,10460.0,176.0,1781.0,1674.0,-3.0,4.0,6.0,1.0,1.0,3.0,3.0
