gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_163319,complete,LEC,2026.0,0.0,1.0,16.01,Blue,sup,Jun,GiantX,1.0,Rakan,Sylas,Qiyana,Malphite,Nautilus,Caitlyn,2125.0,1.0,0.0,3.0,14.0,19.0,20.0,0.0,0.0,0.0,0.0,0.0,0.5365,1.1012,0.0,0.0,76.0,23.0,13.0,170.0,9033.0,4422.0,124.8565,8415.0,41.0,41.0,0.0,1.1576,2362.0,2652.0,11.0,2515.0,2642.0,7.0,-153.0,10.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,3437.0,3612.0,18.0,3647.0,3885.0,17.0,-210.0,-273.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4594.0,4447.0,23.0,5045.0,5207.0,25.0,-451.0,-760.0,-2.0,0.0,1.0,0.0,0.0,3.0,1.0,6132.0,6985.0,27.0,6389.0,6654.0,33.0,-257.0,331.0,-6.0,0.0,8.0,1.0,0.0,5.0,3.0
LOLTMNT05_171227,complete,CCWS,2026.0,0.0,1.0,16.01,Red,sup,Jun,GiantX,1.0,Bard,Dr. Mundo,Malphite,Azir,Braum,Nautilus,2159.0,1.0,1.0,6.0,12.0,19.0,14.0,0.0,0.0,0.0,0.0,1.0,0.528,0.9171,0.0,0.0,81.0,28.0,22.0,188.0,9678.0,4998.0,138.8976,9480.0,44.0,44.0,0.0,1.2228,2962.0,2512.0,14.0,2447.0,2445.0,16.0,515.0,67.0,-2.0,1.0,0.0,0.0,0.0,2.0,1.0,4105.0,3905.0,15.0,3488.0,3245.0,19.0,617.0,660.0,-4.0,1.0,2.0,0.0,0.0,2.0,1.0,5391.0,4725.0,22.0,4650.0,4766.0,21.0,741.0,-41.0,1.0,1.0,3.0,0.0,0.0,3.0,2.0,6480.0,5497.0,25.0,5677.0,5767.0,21.0,803.0,-270.0,4.0,1.0,4.0,0.0,0.0,5.0,3.0
LOLTMNT05_171236,complete,CCWS,2026.0,0.0,1.0,16.01,Red,sup,Jun,GiantX,1.0,Alistar,Jayce,Sylas,Rumble,Nautilus,Renekton,2507.0,0.0,1.0,3.0,5.0,8.0,19.0,0.0,0.0,0.0,0.0,0.0,0.1915,0.6462,0.0,0.0,110.0,18.0,19.0,193.0,10619.0,5229.0,125.1456,10185.0,45.0,45.0,0.0,1.077,2474.0,2754.0,20.0,2433.0,2687.0,17.0,41.0,67.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3724.0,3660.0,33.0,3605.0,3401.0,25.0,119.0,259.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,4751.0,3756.0,34.0,4837.0,4034.0,30.0,-86.0,-278.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,6457.0,6916.0,36.0,6576.0,6693.0,40.0,-119.0,223.0,-4.0,1.0,0.0,1.0,1.0,4.0,1.0
LOLTMNT01_326647,complete,HW,2026.0,0.0,1.0,16.02,Blue,sup,Jun,GiantX,0.0,Rakan,Sion,Orianna,Ryze,Nami,Alistar,1471.0,1.0,1.0,2.0,9.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.571,0.775,0.0,0.0,51.0,13.0,11.0,104.0,7314.0,4038.0,164.7043,6435.0,29.0,29.0,0.0,1.1829,2521.0,2733.0,12.0,2658.0,3335.0,22.0,-137.0,-602.0,-10.0,0.0,1.0,1.0,0.0,1.0,0.0,3888.0,4407.0,19.0,4332.0,4914.0,27.0,-444.0,-507.0,-8.0,0.0,5.0,2.0,1.0,3.0,1.0,5144.0,5451.0,24.0,5547.0,6154.0,33.0,-403.0,-703.0,-9.0,0.0,6.0,2.0,1.0,3.0,1.0,7314.0,8695.0,29.0,6479.0,7323.0,36.0,835.0,1372.0,-7.0,1.0,9.0,2.0,1.0,3.0,1.0
LOLTMNT04_149470,complete,LIT,2026.0,1.0,1.0,16.02,Red,sup,Jun,GiantX,0.0,Lulu,Jayce,Varus,Jarvan IV,Wukong,Qiyana,1710.0,0.0,0.0,3.0,2.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.1404,0.5614,0.0,0.0,54.0,16.0,14.0,108.0,6710.0,2946.0,103.3684,6530.0,25.0,25.0,0.0,0.8772,2472.0,2751.0,7.0,2222.0,2584.0,13.0,250.0,167.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,3617.0,3936.0,14.0,3458.0,4274.0,25.0,159.0,-338.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,4829.0,5369.0,18.0,4909.0,5513.0,31.0,-80.0,-144.0,-13.0,0.0,2.0,1.0,0.0,3.0,1.0,6071.0,6560.0,25.0,6110.0,6349.0,33.0,-39.0,211.0,-8.0,0.0,2.0,2.0,0.0,5.0,1.0
LOLTMNT06_166095,complete,AL,2026.0,0.0,1.0,16.02,Red,sup,Jun,GiantX,0.0,Elise,Jayce,Rumble,Varus,Pantheon,Alistar,1961.0,1.0,1.0,0.0,7.0,12.0,5.0,0.0,0.0,0.0,0.0,1.0,0.3672,0.5201,0.0,0.0,73.0,30.0,16.0,186.0,9918.0,5642.0,172.6262,8495.0,51.0,51.0,0.0,1.5604,2762.0,3205.0,20.0,2263.0,2450.0,17.0,499.0,755.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,4227.0,4277.0,29.0,3386.0,3230.0,25.0,841.0,1047.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,5665.0,5698.0,35.0,4449.0,5320.0,29.0,1216.0,378.0,6.0,1.0,1.0,0.0,0.0,0.0,2.0,6957.0,6641.0,43.0,5603.0,7691.0,31.0,1354.0,-1050.0,12.0,1.0,2.0,0.0,0.0,2.0,2.0
LOLTMNT01_335935,complete,ROL,2026.0,0.0,1.0,16.02,Blue,sup,Jun,GiantX,1.0,Bard,K'Sante,Azir,Jayce,Yunara,Aphelios,2044.0,1.0,3.0,1.0,18.0,29.0,14.0,0.0,0.0,0.0,0.0,0.0,0.8513,1.2622,0.0,0.0,77.0,25.0,10.0,192.0,11058.0,6613.0,194.1194,9505.0,42.0,42.0,0.0,1.2329,2848.0,2668.0,16.0,2506.0,2713.0,13.0,342.0,-45.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,4137.0,3742.0,25.0,3488.0,3470.0,20.0,649.0,272.0,5.0,1.0,2.0,0.0,0.0,2.0,1.0,5554.0,5405.0,27.0,5478.0,4460.0,26.0,76.0,945.0,1.0,2.0,4.0,0.0,1.0,3.0,2.0,6837.0,7287.0,33.0,7021.0,5301.0,32.0,-184.0,1986.0,1.0,2.0,4.0,0.0,2.0,3.0,2.0
LOLTMNT04_152708,complete,LFL,2026.0,0.0,1.0,16.02,Blue,sup,Jun,GiantX,1.0,Rakan,Jayce,Pantheon,Azir,K'Sante,Karma,2198.0,0.0,0.0,4.0,7.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,0.2457,0.737,0.0,0.0,87.0,18.0,13.0,182.0,8749.0,3989.0,108.8899,7600.0,35.0,35.0,0.0,0.9554,2421.0,2944.0,17.0,2362.0,3092.0,10.0,59.0,-148.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3553.0,3980.0,19.0,3673.0,4324.0,20.0,-120.0,-344.0,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,4898.0,5426.0,23.0,5462.0,5594.0,28.0,-564.0,-168.0,-5.0,0.0,3.0,0.0,1.0,1.0,0.0,6211.0,7529.0,26.0,7467.0,8780.0,34.0,-1256.0,-1251.0,-8.0,0.0,5.0,2.0,1.0,8.0,0.0
LOLTMNT01_338422,complete,LCK,2026.0,0.0,1.0,16.02,Red,sup,Jun,GiantX,1.0,Rakan,Irelia,Pantheon,Akali,Neeko,Kai'Sa,2077.0,1.0,0.0,3.0,10.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.3755,0.6933,0.0,0.0,69.0,18.0,7.0,167.0,9597.0,5084.0,146.8657,8395.0,40.0,40.0,0.0,1.1555,2408.0,3016.0,16.0,2156.0,2943.0,19.0,252.0,73.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,3455.0,3909.0,20.0,3135.0,4128.0,25.0,320.0,-219.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,4896.0,5471.0,28.0,4812.0,6057.0,30.0,84.0,-586.0,-2.0,0.0,1.0,2.0,0.0,6.0,1.0,6139.0,7274.0,31.0,5899.0,6912.0,30.0,240.0,362.0,1.0,0.0,2.0,2.0,0.0,6.0,2.0
LOLTMNT02_352499,complete,HW,2026.0,0.0,1.0,16.03,Red,sup,Jun,GiantX,0.0,Rakan,Varus,Jayce,Yunara,Alistar,Kai'Sa,1991.0,0.0,0.0,3.0,2.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0904,0.5424,0.0,0.0,79.0,18.0,12.0,168.0,7765.0,3428.0,103.3049,7515.0,33.0,33.0,0.0,0.9945,2409.0,2869.0,10.0,2756.0,3033.0,13.0,-347.0,-164.0,-3.0,0.0,0.0,1.0,1.0,1.0,0.0,3461.0,3563.0,16.0,3956.0,4213.0,18.0,-495.0,-650.0,-2.0,0.0,0.0,1.0,1.0,3.0,0.0,4698.0,5289.0,22.0,5018.0,5163.0,21.0,-320.0,126.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,5980.0,6110.0,27.0,6388.0,6793.0,24.0,-408.0,-683.0,3.0,0.0,1.0,2.0,1.0,5.0,1.0
