gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT04_151435,complete,LEC,2026.0,0.0,1.0,16.02,Blue,sup,JustFocus,Inferno Drive Tokyo,1.0,Elise,Lee Sin,Jarvan IV,Nocturne,Orianna,Ahri,1405.0,1.0,3.0,1.0,11.0,17.0,3.0,0.0,0.0,0.0,0.0,1.0,0.726,0.8114,0.0,0.0,27.0,10.0,7.0,79.0,8604.0,5462.0,233.2527,7135.0,25.0,25.0,0.0,1.0676,3457.0,2545.0,15.0,2227.0,2503.0,14.0,1230.0,42.0,1.0,1.0,4.0,0.0,0.0,0.0,2.0,5302.0,3336.0,19.0,3413.0,3334.0,17.0,1889.0,2.0,2.0,2.0,6.0,1.0,0.0,1.0,4.0,6918.0,4755.0,23.0,4557.0,5199.0,18.0,2361.0,-444.0,5.0,3.0,6.0,1.0,0.0,1.0,4.0,,,,,,,,,,,,,,,
LOLTMNT01_335433,complete,LCS,2026.0,0.0,1.0,16.02,Blue,sup,JustFocus,Inferno Drive Tokyo,1.0,Neeko,Swain,Lee Sin,Jarvan IV,Renekton,Orianna,1531.0,1.0,5.0,2.0,17.0,29.0,7.0,0.0,0.0,0.0,0.0,1.0,1.1365,1.4108,0.0,0.0,38.0,8.0,13.0,83.0,8767.0,5368.0,210.3723,7820.0,24.0,24.0,0.0,0.9406,3976.0,2513.0,10.0,2143.0,1635.0,7.0,1833.0,878.0,3.0,4.0,4.0,0.0,0.0,0.0,2.0,5474.0,3968.0,18.0,3181.0,2893.0,14.0,2293.0,1075.0,4.0,4.0,9.0,0.0,0.0,0.0,4.0,6754.0,5229.0,19.0,4215.0,4946.0,16.0,2539.0,283.0,3.0,4.0,11.0,1.0,0.0,1.0,5.0,8371.0,7441.0,23.0,5508.0,6889.0,21.0,2863.0,552.0,2.0,5.0,14.0,2.0,0.0,3.0,7.0
LOLTMNT04_152497,complete,LEC,2026.0,0.0,1.0,16.02,Blue,sup,JustFocus,Inferno Drive Tokyo,1.0,Alistar,Gwen,Jarvan IV,Leona,Lulu,Nautilus,2084.0,1.0,1.0,3.0,6.0,21.0,20.0,0.0,0.0,0.0,0.0,0.0,0.6046,1.1804,0.0,0.0,86.0,9.0,16.0,143.0,8776.0,4249.0,122.3321,8665.0,24.0,24.0,0.0,0.691,2392.0,2445.0,18.0,2377.0,2544.0,16.0,15.0,-99.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3827.0,2911.0,20.0,3578.0,3557.0,23.0,249.0,-646.0,-3.0,0.0,2.0,1.0,0.0,1.0,0.0,4914.0,4024.0,22.0,4777.0,5317.0,30.0,137.0,-1293.0,-8.0,0.0,2.0,1.0,0.0,3.0,0.0,6017.0,5559.0,24.0,5982.0,6572.0,33.0,35.0,-1013.0,-9.0,0.0,4.0,2.0,0.0,5.0,1.0
LOLTMNT04_152519,complete,LIT,2026.0,0.0,1.0,16.02,Blue,sup,JustFocus,Inferno Drive Tokyo,1.0,Elise,Skarner,Poppy,Lee Sin,Ahri,Orianna,1790.0,1.0,1.0,1.0,20.0,32.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0726,1.3408,0.0,0.0,50.0,5.0,10.0,91.0,9347.0,5420.0,181.676,8855.0,17.0,17.0,0.0,0.5698,3066.0,1577.0,8.0,2567.0,3085.0,18.0,499.0,-1508.0,-10.0,1.0,6.0,0.0,0.0,1.0,1.0,4670.0,3270.0,10.0,3960.0,4587.0,26.0,710.0,-1317.0,-16.0,1.0,9.0,1.0,0.0,3.0,1.0,6677.0,5784.0,13.0,5051.0,6309.0,34.0,1626.0,-525.0,-21.0,1.0,15.0,1.0,0.0,4.0,3.0,8004.0,8041.0,17.0,6181.0,8651.0,37.0,1823.0,-610.0,-20.0,1.0,17.0,1.0,0.0,5.0,3.0
LOLTMNT04_152637,complete,LFL,2026.0,0.0,1.0,16.02,Red,sup,JustFocus,Inferno Drive Tokyo,0.0,Bard,Ryze,Vi,Jayce,Lee Sin,Jax,2008.0,1.0,1.0,0.0,9.0,17.0,8.0,0.0,0.0,0.0,0.0,0.0,0.508,0.747,0.0,0.0,64.0,20.0,19.0,149.0,9034.0,4662.0,139.3028,8165.0,41.0,41.0,0.0,1.2251,2331.0,2185.0,14.0,2712.0,2205.0,8.0,-381.0,-20.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,3543.0,3893.0,23.0,4326.0,3791.0,18.0,-783.0,102.0,5.0,0.0,1.0,0.0,2.0,1.0,0.0,4652.0,5185.0,24.0,5383.0,5011.0,22.0,-731.0,174.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,6018.0,7139.0,29.0,6566.0,6498.0,27.0,-548.0,641.0,2.0,0.0,4.0,0.0,2.0,3.0,1.0
LOLTMNT04_152648,complete,EBL,2026.0,0.0,1.0,16.02,Red,sup,JustFocus,Inferno Drive Tokyo,0.0,Nautilus,Lee Sin,Ryze,Nocturne,Renata Glasc,Sion,2540.0,1.0,1.0,7.0,16.0,21.0,19.0,0.0,0.0,0.0,0.0,0.0,0.4961,0.9449,0.0,0.0,58.0,7.0,10.0,121.0,11653.0,6196.0,146.3622,10375.0,35.0,35.0,0.0,0.8268,2613.0,2513.0,13.0,2291.0,2616.0,14.0,322.0,-103.0,-1.0,0.0,2.0,1.0,0.0,0.0,1.0,3647.0,3395.0,21.0,3440.0,3360.0,17.0,207.0,35.0,4.0,0.0,2.0,2.0,0.0,2.0,1.0,4644.0,4823.0,23.0,4607.0,4353.0,21.0,37.0,470.0,2.0,0.0,2.0,2.0,0.0,2.0,1.0,5902.0,6543.0,26.0,5810.0,6505.0,25.0,92.0,38.0,1.0,0.0,3.0,5.0,0.0,6.0,1.0
LOLTMNT04_151670,complete,EBL,2026.0,0.0,1.0,16.02,Red,sup,JustFocus,Inferno Drive Tokyo,0.0,Neeko,Lee Sin,Ryze,Ahri,Viktor,Aurora,2232.0,0.0,0.0,8.0,5.0,7.0,25.0,0.0,0.0,0.0,0.0,0.0,0.1882,0.8602,0.0,0.0,61.0,8.0,15.0,121.0,8785.0,3956.0,106.3441,7905.0,22.0,22.0,0.0,0.5914,2296.0,2412.0,13.0,2495.0,2319.0,15.0,-199.0,93.0,-2.0,0.0,0.0,1.0,0.0,2.0,0.0,3447.0,3410.0,15.0,3825.0,2981.0,18.0,-378.0,429.0,-3.0,0.0,0.0,1.0,0.0,3.0,0.0,4661.0,4482.0,18.0,4974.0,4424.0,19.0,-313.0,58.0,-1.0,0.0,1.0,1.0,0.0,4.0,0.0,5720.0,5102.0,18.0,6395.0,6563.0,24.0,-675.0,-1461.0,-6.0,0.0,1.0,3.0,0.0,6.0,0.0
LOLTMNT01_338306,complete,HW,2026.0,0.0,1.0,16.02,Red,sup,JustFocus,Inferno Drive Tokyo,0.0,Elise,Nocturne,Jarvan IV,Jayce,Leona,Braum,1839.0,1.0,5.0,1.0,12.0,26.0,9.0,1.0,0.0,0.0,0.0,1.0,0.8483,1.1093,0.0,0.0,53.0,15.0,15.0,115.0,9820.0,5793.0,189.0049,8905.0,34.0,30.0,4.0,1.1093,3102.0,1994.0,9.0,2082.0,2024.0,14.0,1020.0,-30.0,-5.0,3.0,3.0,0.0,0.0,0.0,5.0,4796.0,4048.0,21.0,3024.0,3402.0,18.0,1772.0,646.0,3.0,5.0,3.0,0.0,0.0,0.0,6.0,6442.0,5678.0,24.0,4138.0,5309.0,22.0,2304.0,369.0,2.0,5.0,7.0,0.0,0.0,1.0,6.0,7862.0,7463.0,29.0,5743.0,6724.0,25.0,2119.0,739.0,4.0,5.0,7.0,1.0,0.0,2.0,7.0
LOLTMNT05_176303,complete,LFL,2026.0,0.0,1.0,16.03,Red,sup,JustFocus,Inferno Drive Tokyo,0.0,Bard,Lucian,Ezreal,Orianna,Kai'Sa,Zeri,1966.0,0.0,0.0,1.0,6.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.4883,0.9766,0.0,0.0,76.0,14.0,19.0,143.0,7540.0,3254.0,99.3082,6975.0,25.0,25.0,0.0,0.763,2603.0,2531.0,11.0,2271.0,2530.0,17.0,332.0,1.0,-6.0,0.0,3.0,0.0,0.0,0.0,1.0,3559.0,3146.0,16.0,3376.0,3511.0,26.0,183.0,-365.0,-10.0,0.0,3.0,1.0,0.0,1.0,2.0,4987.0,4724.0,22.0,4463.0,4577.0,29.0,524.0,147.0,-7.0,0.0,5.0,1.0,0.0,1.0,3.0,6090.0,6645.0,24.0,5832.0,6896.0,33.0,258.0,-251.0,-9.0,0.0,6.0,1.0,0.0,2.0,5.0
LOLTMNT05_175361,complete,LFL,2026.0,0.0,1.0,16.03,Red,sup,JustFocus,Inferno Drive Tokyo,0.0,Neeko,Yunara,LeBlanc,Rumble,Sivir,Lucian,2130.0,1.0,2.0,5.0,14.0,20.0,13.0,0.0,0.0,0.0,0.0,0.0,0.5634,0.9296,0.0,0.0,51.0,19.0,9.0,120.0,10518.0,5897.0,166.1127,10755.0,44.0,44.0,0.0,1.2394,2780.0,2504.0,9.0,2572.0,2601.0,11.0,208.0,-97.0,-2.0,1.0,1.0,1.0,1.0,0.0,0.0,3944.0,3771.0,20.0,3668.0,3928.0,16.0,276.0,-157.0,4.0,1.0,2.0,1.0,1.0,0.0,0.0,5706.0,6143.0,25.0,4680.0,4952.0,17.0,1026.0,1191.0,8.0,1.0,5.0,2.0,1.0,0.0,2.0,7643.0,8525.0,32.0,5829.0,7665.0,18.0,1814.0,860.0,14.0,2.0,10.0,3.0,1.0,1.0,4.0
