gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_163125,complete,AL,2026.0,0.0,1.0,16.01,Blue,top,Juzu,Dragons Esports,1.0,Zaahen,Hecarim,Sion,Caitlyn,Neeko,Rakan,1667.0,1.0,6.0,0.0,4.0,14.0,5.0,1.0,0.0,0.0,0.0,0.0,0.5039,0.6839,0.0,0.0,13.0,1.0,1.0,32.0,12539.0,8863.0,319.0042,10258.0,254.0,252.0,2.0,9.1422,3861.0,5299.0,84.0,2915.0,4410.0,68.0,946.0,889.0,16.0,1.0,1.0,0.0,0.0,0.0,2.0,5796.0,9088.0,143.0,4707.0,8598.0,131.0,1089.0,490.0,12.0,1.0,1.0,0.0,0.0,0.0,2.0,7705.0,11858.0,185.0,6708.0,11293.0,170.0,997.0,565.0,15.0,2.0,2.0,0.0,1.0,0.0,3.0,10394.0,16262.0,228.0,8124.0,13643.0,206.0,2270.0,2619.0,22.0,4.0,3.0,0.0,1.0,0.0,4.0
LOLTMNT06_163127,complete,AL,2026.0,0.0,2.0,16.01,Blue,top,Juzu,Dragons Esports,1.0,Rumble,Hecarim,Sion,Caitlyn,Renekton,K'Sante,1975.0,1.0,3.0,4.0,12.0,24.0,19.0,1.0,0.0,0.0,0.0,1.0,0.7291,1.3063,0.0,0.0,16.0,4.0,3.0,55.0,12602.0,8297.0,252.0608,11025.0,240.0,228.0,12.0,7.2911,3373.0,4757.0,79.0,3361.0,5087.0,74.0,12.0,-330.0,5.0,0.0,1.0,1.0,0.0,4.0,0.0,4955.0,8240.0,125.0,5049.0,8844.0,123.0,-94.0,-604.0,2.0,0.0,1.0,1.0,0.0,4.0,0.0,7365.0,11088.0,168.0,6514.0,11761.0,161.0,851.0,-673.0,7.0,1.0,1.0,1.0,0.0,5.0,1.0,9313.0,14655.0,198.0,8426.0,14516.0,195.0,887.0,139.0,3.0,1.0,7.0,3.0,1.0,7.0,3.0
LOLTMNT03_337829,complete,CBLOL,2026.0,0.0,1.0,16.01,Red,top,Juzu,Dragons Esports,0.0,Gnar,Orianna,Jayce,Rumble,Leona,Neeko,1782.0,1.0,3.0,0.0,11.0,26.0,12.0,0.0,0.0,0.0,0.0,0.0,0.8754,1.2795,0.0,0.0,13.0,1.0,1.0,27.0,14119.0,10208.0,343.7037,13058.0,301.0,284.0,17.0,10.1347,3522.0,5410.0,94.0,3338.0,5255.0,90.0,184.0,155.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5588.0,9187.0,146.0,5081.0,9101.0,151.0,507.0,86.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,7929.0,13475.0,217.0,6787.0,12349.0,204.0,1142.0,1126.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,10831.0,18356.0,274.0,8384.0,15163.0,253.0,2447.0,3193.0,21.0,1.0,3.0,0.0,0.0,0.0,1.0
LOLTMNT06_164234,complete,LEC,2026.0,0.0,2.0,16.01,Blue,top,Juzu,Dragons Esports,1.0,Rumble,Neeko,Malphite,Akali,Thresh,LeBlanc,1742.0,1.0,3.0,0.0,13.0,20.0,6.0,0.0,0.0,0.0,0.0,1.0,0.6889,0.8955,0.0,0.0,14.0,0.0,2.0,25.0,10453.0,6624.0,228.1515,8500.0,214.0,208.0,6.0,7.3708,3324.0,4933.0,78.0,3312.0,4888.0,86.0,12.0,45.0,-8.0,0.0,3.0,0.0,0.0,0.0,1.0,4743.0,8204.0,121.0,4922.0,8313.0,128.0,-179.0,-109.0,-7.0,0.0,3.0,0.0,0.0,2.0,1.0,6789.0,11266.0,166.0,7169.0,11541.0,173.0,-380.0,-275.0,-7.0,1.0,4.0,0.0,0.0,4.0,2.0,8671.0,14143.0,205.0,8608.0,13928.0,208.0,63.0,215.0,-3.0,2.0,8.0,0.0,0.0,5.0,3.0
LOLTMNT04_148357,complete,NLC,2026.0,0.0,1.0,16.01,Red,top,Juzu,Dragons Esports,0.0,Renekton,Caitlyn,Rumble,Neeko,Bard,Lulu,1531.0,1.0,10.0,0.0,6.0,21.0,4.0,3.0,1.0,0.0,0.0,0.0,0.823,0.9798,0.0,0.0,13.0,3.0,2.0,40.0,13811.0,10412.0,408.047,12200.0,234.0,234.0,0.0,9.1705,3849.0,5367.0,90.0,3279.0,4684.0,77.0,570.0,683.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0,6414.0,9818.0,144.0,4763.0,7719.0,120.0,1651.0,2099.0,24.0,2.0,0.0,0.0,0.0,0.0,2.0,10013.0,13211.0,195.0,6119.0,9847.0,158.0,3894.0,3364.0,37.0,5.0,2.0,0.0,0.0,0.0,4.0,13400.0,16988.0,229.0,8108.0,12323.0,201.0,5292.0,4665.0,28.0,10.0,6.0,0.0,0.0,0.0,6.0
LOLTMNT03_338635,complete,LCKC,2026.0,0.0,2.0,16.01,Red,top,Juzu,Dragons Esports,0.0,Gwen,Caitlyn,Rumble,Neeko,Galio,Syndra,2032.0,1.0,5.0,2.0,9.0,19.0,6.0,0.0,0.0,0.0,0.0,1.0,0.561,0.7382,0.0,0.0,16.0,8.0,5.0,48.0,16465.0,12044.0,355.6299,14775.0,336.0,336.0,0.0,9.9213,4152.0,5271.0,98.0,3376.0,4994.0,89.0,776.0,277.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,6071.0,9365.0,145.0,4786.0,8062.0,131.0,1285.0,1303.0,14.0,2.0,0.0,0.0,0.0,0.0,2.0,8768.0,12107.0,189.0,6983.0,11480.0,195.0,1785.0,627.0,-6.0,4.0,1.0,1.0,0.0,1.0,2.0,11395.0,15438.0,250.0,8981.0,15805.0,255.0,2414.0,-367.0,-5.0,4.0,1.0,1.0,0.0,1.0,2.0
LOLTMNT03_341342,complete,LCK,2026.0,0.0,1.0,16.01,Blue,top,Juzu,Dragons Esports,1.0,Jax,Malphite,Neeko,Ryze,Gwen,Gnar,2485.0,0.0,5.0,5.0,3.0,15.0,30.0,1.0,0.0,0.0,0.0,0.0,0.3622,1.0865,0.0,0.0,19.0,8.0,5.0,52.0,15742.0,10397.0,251.0342,15455.0,269.0,265.0,4.0,6.495,3002.0,4511.0,70.0,3809.0,5165.0,91.0,-807.0,-654.0,-21.0,0.0,0.0,1.0,1.0,0.0,0.0,4198.0,7573.0,100.0,5497.0,8597.0,137.0,-1299.0,-1024.0,-37.0,0.0,0.0,1.0,1.0,0.0,0.0,5733.0,10484.0,140.0,7924.0,11959.0,191.0,-2191.0,-1475.0,-51.0,0.0,0.0,1.0,2.0,1.0,0.0,7327.0,13266.0,185.0,9484.0,14325.0,235.0,-2157.0,-1059.0,-50.0,0.0,0.0,1.0,2.0,1.0,0.0
LOLTMNT04_149134,complete,LEC,2026.0,0.0,2.0,16.01,Red,top,Juzu,Dragons Esports,0.0,Gwen,Jayce,Rumble,Ryze,Lulu,Renekton,2088.0,1.0,2.0,3.0,7.0,24.0,12.0,0.0,0.0,0.0,0.0,0.0,0.6897,1.0345,0.0,0.0,17.0,7.0,5.0,50.0,14204.0,9669.0,277.8448,12475.0,293.0,289.0,4.0,8.4195,3234.0,5140.0,85.0,3689.0,5304.0,96.0,-455.0,-164.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,4568.0,8135.0,122.0,5717.0,9324.0,148.0,-1149.0,-1189.0,-26.0,0.0,0.0,1.0,1.0,0.0,0.0,6446.0,11277.0,170.0,8104.0,13501.0,204.0,-1658.0,-2224.0,-34.0,0.0,0.0,2.0,2.0,0.0,0.0,8410.0,14661.0,211.0,9736.0,15638.0,232.0,-1326.0,-977.0,-21.0,0.0,2.0,2.0,3.0,0.0,0.0
LOLTMNT01_325655,complete,CBLOL,2026.0,0.0,3.0,16.01,Blue,top,Juzu,Dragons Esports,1.0,Ambessa,Malphite,Cassiopeia,Neeko,Renekton,Mel,1732.0,1.0,5.0,1.0,6.0,22.0,6.0,0.0,0.0,0.0,0.0,0.0,0.7621,0.97,0.0,0.0,16.0,5.0,4.0,51.0,13127.0,9318.0,322.7945,12600.0,256.0,252.0,4.0,8.8684,3526.0,5080.0,81.0,3282.0,4809.0,87.0,244.0,271.0,-6.0,1.0,0.0,0.0,0.0,0.0,0.0,5401.0,8467.0,124.0,4837.0,8116.0,128.0,564.0,351.0,-4.0,2.0,1.0,1.0,0.0,1.0,1.0,7713.0,12298.0,180.0,6334.0,10476.0,173.0,1379.0,1822.0,7.0,2.0,2.0,1.0,0.0,1.0,2.0,10789.0,16433.0,233.0,7806.0,13054.0,213.0,2983.0,3379.0,20.0,3.0,2.0,1.0,0.0,1.0,3.0
LOLTMNT04_152055,complete,LIT,2026.0,1.0,1.0,16.01,Blue,top,Juzu,Dragons Esports,1.0,K'Sante,Malphite,Neeko,Azir,Fiora,Gwen,1786.0,1.0,7.0,0.0,7.0,25.0,6.0,1.0,0.0,0.0,0.0,0.0,0.8399,1.0414,1.0,0.0,12.0,3.0,1.0,33.0,12683.0,8764.0,294.4233,11575.0,235.0,231.0,4.0,7.8947,3256.0,5162.0,81.0,3593.0,5299.0,98.0,-337.0,-137.0,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,5059.0,8705.0,128.0,5629.0,9159.0,156.0,-570.0,-454.0,-28.0,1.0,0.0,0.0,0.0,0.0,0.0,6985.0,11829.0,162.0,8035.0,12401.0,216.0,-1050.0,-572.0,-54.0,2.0,0.0,0.0,0.0,0.0,1.0,10199.0,15748.0,217.0,10273.0,14581.0,248.0,-74.0,1167.0,-31.0,5.0,1.0,0.0,1.0,0.0,3.0
