gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_340232,complete,LCK,2026.0,0.0,1.0,16.01,Red,jng,KKT,Lille Esport,0.0,Naafiri,Sion,Ryze,Malphite,Alistar,Poppy,2044.0,0.0,3.0,4.0,6.0,12.0,21.0,0.0,0.0,0.0,0.0,0.0,0.3523,0.9687,0.0,1.0,10.0,3.0,8.0,34.0,11749.0,7304.0,214.4031,10500.0,184.0,10.0,174.0,5.4012,3510.0,3977.0,75.0,4069.0,4201.0,83.0,-559.0,-224.0,-8.0,0.0,2.0,0.0,1.0,0.0,1.0,5585.0,6007.0,108.0,6571.0,7544.0,143.0,-986.0,-1537.0,-35.0,2.0,2.0,0.0,1.0,2.0,1.0,7087.0,8189.0,132.0,9154.0,10504.0,186.0,-2067.0,-2315.0,-54.0,2.0,3.0,2.0,2.0,3.0,2.0,8050.0,9179.0,144.0,11952.0,12924.0,225.0,-3902.0,-3745.0,-81.0,2.0,3.0,3.0,4.0,4.0,2.0
LOLTMNT01_334295,complete,LCK,2026.0,0.0,1.0,16.02,Blue,jng,KKT,Lille Esport,1.0,Wukong,Akali,Azir,Orianna,Sion,K'Sante,2335.0,1.0,3.0,4.0,10.0,26.0,11.0,0.0,0.0,0.0,0.0,0.0,0.6681,0.9507,2.0,1.0,12.0,17.0,10.0,70.0,14065.0,9026.0,231.9315,12233.0,253.0,33.0,220.0,6.5011,3423.0,4037.0,80.0,3497.0,4079.0,75.0,-74.0,-42.0,5.0,0.0,0.0,1.0,0.0,2.0,0.0,5717.0,7236.0,132.0,5607.0,6766.0,121.0,110.0,470.0,11.0,1.0,0.0,1.0,1.0,2.0,1.0,7238.0,9267.0,158.0,7415.0,8631.0,144.0,-177.0,636.0,14.0,1.0,3.0,3.0,2.0,4.0,2.0,9276.0,11703.0,183.0,9232.0,11212.0,173.0,44.0,491.0,10.0,2.0,7.0,3.0,2.0,5.0,4.0
LOLTMNT04_151408,complete,LEC,2026.0,0.0,1.0,16.02,Blue,jng,KKT,Lille Esport,1.0,Jarvan IV,Akali,Corki,Ryze,LeBlanc,Azir,2071.0,1.0,3.0,4.0,17.0,22.0,14.0,0.0,0.0,0.0,0.0,0.0,0.6374,1.043,0.0,1.0,13.0,9.0,11.0,54.0,13648.0,9148.0,265.0314,12225.0,209.0,22.0,187.0,6.055,3792.0,3976.0,77.0,3831.0,4296.0,81.0,-39.0,-320.0,-4.0,1.0,2.0,1.0,1.0,0.0,1.0,5783.0,6396.0,109.0,6045.0,6897.0,126.0,-262.0,-501.0,-17.0,2.0,4.0,1.0,2.0,0.0,2.0,7609.0,8641.0,145.0,8323.0,9268.0,164.0,-714.0,-627.0,-19.0,2.0,5.0,2.0,3.0,0.0,2.0,9317.0,11218.0,166.0,10391.0,11098.0,184.0,-1074.0,120.0,-18.0,2.0,10.0,2.0,4.0,1.0,3.0
LOLTMNT01_338644,complete,LCK,2026.0,0.0,1.0,16.02,Red,jng,KKT,Lille Esport,0.0,Vi,Dr. Mundo,Varus,Ryze,Azir,Galio,2313.0,1.0,4.0,3.0,8.0,22.0,14.0,0.0,0.0,0.0,0.0,0.0,0.5707,0.9079,1.0,1.0,13.0,11.0,11.0,60.0,14124.0,9130.0,236.8353,12575.0,240.0,26.0,214.0,6.2257,3522.0,3868.0,69.0,3569.0,4364.0,86.0,-47.0,-496.0,-17.0,1.0,0.0,1.0,0.0,0.0,0.0,6002.0,6675.0,107.0,5604.0,7428.0,135.0,398.0,-753.0,-28.0,3.0,1.0,1.0,0.0,1.0,1.0,8106.0,9286.0,143.0,7554.0,9672.0,176.0,552.0,-386.0,-33.0,4.0,2.0,1.0,0.0,1.0,2.0,9217.0,10412.0,161.0,9266.0,12176.0,198.0,-49.0,-1764.0,-37.0,4.0,2.0,3.0,0.0,4.0,2.0
LOLTMNT02_350130,complete,LJL,2026.0,0.0,1.0,16.02,Blue,jng,KKT,Lille Esport,1.0,Dr. Mundo,Ezreal,Azir,Ambessa,Alistar,Braum,1948.0,0.0,2.0,5.0,5.0,11.0,28.0,0.0,0.0,0.0,0.0,1.0,0.3388,1.2012,0.0,1.0,10.0,7.0,8.0,37.0,10689.0,6439.0,198.3265,9950.0,171.0,10.0,161.0,5.2669,3747.0,3897.0,73.0,4087.0,4008.0,75.0,-340.0,-111.0,-2.0,1.0,0.0,2.0,1.0,3.0,1.0,5481.0,6488.0,115.0,6037.0,6559.0,110.0,-556.0,-71.0,5.0,1.0,1.0,2.0,2.0,4.0,1.0,7454.0,8826.0,143.0,9568.0,9168.0,136.0,-2114.0,-342.0,7.0,2.0,1.0,2.0,5.0,7.0,1.0,8969.0,10178.0,155.0,10935.0,11047.0,159.0,-1966.0,-869.0,-4.0,2.0,4.0,3.0,5.0,8.0,3.0
LOLTMNT02_350741,complete,LCKC,2026.0,0.0,1.0,16.02,Red,jng,KKT,Lille Esport,0.0,Wukong,Malphite,Varus,Taliyah,Leona,Bard,2171.0,1.0,3.0,2.0,8.0,19.0,11.0,0.0,0.0,0.0,0.0,0.0,0.5251,0.8291,0.0,1.0,10.0,14.0,8.0,61.0,13463.0,8759.0,242.0728,12133.0,232.0,29.0,203.0,6.4118,3429.0,3579.0,71.0,3394.0,3850.0,71.0,35.0,-271.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,5299.0,5981.0,109.0,5302.0,6317.0,109.0,-3.0,-336.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,7543.0,9540.0,162.0,6760.0,8755.0,141.0,783.0,785.0,21.0,1.0,3.0,1.0,0.0,2.0,2.0,9668.0,12466.0,184.0,8888.0,11286.0,180.0,780.0,1180.0,4.0,2.0,3.0,1.0,0.0,3.0,3.0
LOLTMNT02_354256,complete,LCK,2026.0,0.0,1.0,16.03,Red,jng,KKT,Lille Esport,0.0,Vi,Azir,Yone,Ambessa,Poppy,Alistar,1812.0,0.0,1.0,5.0,3.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,0.2318,0.9934,0.0,1.0,9.0,2.0,4.0,28.0,9864.0,5892.0,195.0993,8600.0,192.0,12.0,180.0,6.3576,3218.0,3906.0,68.0,3891.0,4675.0,86.0,-673.0,-769.0,-18.0,0.0,0.0,0.0,1.0,0.0,0.0,4784.0,6336.0,104.0,5770.0,7315.0,128.0,-986.0,-979.0,-24.0,0.0,1.0,1.0,1.0,2.0,1.0,6775.0,9136.0,140.0,8161.0,9461.0,168.0,-1386.0,-325.0,-28.0,1.0,2.0,2.0,1.0,3.0,2.0,8180.0,10842.0,169.0,10870.0,13118.0,208.0,-2690.0,-2276.0,-39.0,1.0,2.0,3.0,2.0,7.0,2.0
LOLTMNT02_354678,complete,RL,2026.0,0.0,1.0,16.03,Red,jng,KKT,Lille Esport,0.0,Jarvan IV,Dr. Mundo,Varus,Yunara,Neeko,Rakan,1431.0,0.0,2.0,5.0,5.0,8.0,21.0,0.0,0.0,0.0,0.0,0.0,0.3354,1.2159,0.0,1.0,6.0,6.0,4.0,25.0,7994.0,4799.0,201.2159,7800.0,145.0,9.0,136.0,6.0797,3888.0,3560.0,67.0,3472.0,4410.0,83.0,416.0,-850.0,-16.0,2.0,0.0,0.0,0.0,0.0,0.0,5746.0,6261.0,108.0,5955.0,7212.0,124.0,-209.0,-951.0,-16.0,2.0,3.0,2.0,2.0,2.0,1.0,7305.0,8208.0,138.0,8661.0,10409.0,173.0,-1356.0,-2201.0,-35.0,2.0,4.0,3.0,3.0,3.0,1.0,,,,,,,,,,,,,,,
LOLTMNT02_356337,complete,RL,2026.0,0.0,1.0,16.03,Blue,jng,KKT,Lille Esport,1.0,Malphite,Alistar,Azir,Varus,Renekton,Syndra,2259.0,0.0,1.0,5.0,8.0,12.0,19.0,0.0,0.0,0.0,0.0,0.0,0.3187,0.8234,0.0,1.0,12.0,15.0,12.0,60.0,11903.0,7019.0,186.4276,11800.0,215.0,25.0,190.0,5.7105,3466.0,4153.0,80.0,3636.0,4545.0,85.0,-170.0,-392.0,-5.0,0.0,0.0,0.0,0.0,1.0,0.0,5043.0,6395.0,112.0,5600.0,6956.0,121.0,-557.0,-561.0,-9.0,0.0,2.0,0.0,0.0,3.0,0.0,7473.0,9506.0,147.0,6895.0,8211.0,140.0,578.0,1295.0,7.0,1.0,5.0,0.0,0.0,5.0,2.0,9116.0,11353.0,176.0,8462.0,10392.0,173.0,654.0,961.0,3.0,1.0,6.0,1.0,0.0,6.0,3.0
LOLTMNT05_176932,complete,NLC,2026.0,0.0,1.0,16.03,Blue,jng,KKT,Lille Esport,1.0,Jayce,Neeko,Varus,Dr. Mundo,Caitlyn,Ezreal,1726.0,0.0,2.0,5.0,1.0,6.0,31.0,0.0,0.0,0.0,0.0,0.0,0.2086,1.2862,0.0,2.0,9.0,13.0,2.0,53.0,12336.0,8539.0,296.8366,11950.0,208.0,35.0,173.0,7.2306,4044.0,4708.0,95.0,3591.0,4205.0,76.0,453.0,503.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,6245.0,7561.0,142.0,5348.0,6751.0,119.0,897.0,810.0,23.0,1.0,0.0,0.0,0.0,1.0,0.0,8570.0,9687.0,183.0,7585.0,10779.0,180.0,985.0,-1092.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,9947.0,11044.0,196.0,12142.0,16184.0,227.0,-2195.0,-5140.0,-31.0,1.0,1.0,3.0,6.0,5.0,0.0
