gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_164546,complete,LFL,2026.0,0.0,1.0,16.01,Red,sup,Kaiser,Berlin International Gaming,0.0,Bard,Rumble,Jayce,Varus,Karma,Leona,1485.0,1.0,1.0,3.0,20.0,25.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0101,1.2525,0.0,0.0,38.0,12.0,7.0,91.0,7996.0,4691.0,189.5354,7715.0,29.0,29.0,0.0,1.1717,2500.0,3417.0,14.0,2661.0,2685.0,20.0,-161.0,732.0,-6.0,0.0,3.0,1.0,0.0,2.0,2.0,4146.0,5336.0,22.0,3830.0,3893.0,24.0,316.0,1443.0,-2.0,0.0,9.0,2.0,0.0,3.0,5.0,5782.0,6521.0,27.0,5028.0,4939.0,29.0,754.0,1582.0,-2.0,1.0,10.0,2.0,0.0,3.0,6.0,7996.0,10500.0,29.0,6060.0,7774.0,31.0,1936.0,2726.0,-2.0,1.0,20.0,3.0,0.0,5.0,8.0
LOLTMNT05_172226,complete,CCWS,2026.0,0.0,1.0,16.01,Blue,sup,Kaiser,Berlin International Gaming,1.0,Leona,Varus,Malphite,Azir,Ambessa,Gwen,1907.0,0.0,0.0,8.0,4.0,12.0,26.0,0.0,0.0,0.0,0.0,0.0,0.3776,1.1956,0.0,0.0,56.0,19.0,13.0,136.0,7585.0,3419.0,107.5721,6945.0,42.0,42.0,0.0,1.3214,2529.0,2823.0,22.0,3159.0,3373.0,16.0,-630.0,-550.0,6.0,0.0,1.0,3.0,1.0,6.0,0.0,3708.0,3391.0,28.0,4483.0,4488.0,20.0,-775.0,-1097.0,8.0,0.0,2.0,5.0,1.0,8.0,1.0,4915.0,4313.0,31.0,5633.0,5388.0,21.0,-718.0,-1075.0,10.0,0.0,3.0,6.0,1.0,10.0,1.0,6115.0,5966.0,38.0,6716.0,5995.0,23.0,-601.0,-29.0,15.0,0.0,4.0,7.0,1.0,12.0,1.0
LOLTMNT01_333368,complete,LCP,2026.0,0.0,1.0,16.02,Blue,sup,Kaiser,Berlin International Gaming,1.0,Bard,Jarvan IV,Wukong,Ambessa,Kai'Sa,Corki,1881.0,0.0,1.0,4.0,8.0,11.0,28.0,0.0,0.0,0.0,0.0,0.0,0.3509,1.2121,0.0,0.0,61.0,16.0,13.0,131.0,8268.0,4155.0,132.5359,8045.0,42.0,42.0,0.0,1.3397,2635.0,3261.0,19.0,2616.0,2745.0,15.0,19.0,516.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,3834.0,4853.0,28.0,3815.0,4271.0,22.0,19.0,582.0,6.0,1.0,3.0,0.0,0.0,3.0,0.0,5206.0,5895.0,32.0,5050.0,5730.0,25.0,156.0,165.0,7.0,1.0,6.0,1.0,0.0,5.0,0.0,6384.0,8267.0,34.0,6489.0,8761.0,25.0,-105.0,-494.0,9.0,1.0,7.0,2.0,0.0,12.0,0.0
LOLTMNT01_333561,complete,HW,2026.0,0.0,2.0,16.02,Red,sup,Kaiser,Berlin International Gaming,0.0,Rakan,Pantheon,Varus,Wukong,Karma,Alistar,1222.0,1.0,0.0,0.0,14.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8347,0.8347,0.0,0.0,33.0,6.0,7.0,71.0,5942.0,3174.0,155.8429,4760.0,28.0,28.0,0.0,1.3748,2603.0,2891.0,15.0,2525.0,2837.0,26.0,78.0,54.0,-11.0,0.0,4.0,0.0,0.0,0.0,1.0,4172.0,4107.0,24.0,3681.0,3686.0,35.0,491.0,421.0,-11.0,0.0,7.0,0.0,0.0,0.0,2.0,5725.0,6096.0,28.0,4633.0,4648.0,37.0,1092.0,1448.0,-9.0,0.0,12.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,
LOLTMNT04_151303,complete,LEC,2026.0,0.0,3.0,16.02,Red,sup,Kaiser,Berlin International Gaming,0.0,Braum,Varus,Caitlyn,Wukong,Alistar,Lulu,1435.0,1.0,1.0,0.0,8.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7526,0.7944,0.0,0.0,34.0,6.0,6.0,73.0,7035.0,3832.0,160.223,5715.0,20.0,20.0,0.0,0.8362,2339.0,2920.0,12.0,2276.0,3167.0,22.0,63.0,-247.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,3671.0,4411.0,18.0,3311.0,5000.0,32.0,360.0,-589.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,5323.0,6474.0,19.0,4263.0,6226.0,34.0,1060.0,248.0,-15.0,1.0,2.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
LOLTMNT02_346807,complete,LJL,2026.0,0.0,1.0,16.02,Red,sup,Kaiser,Berlin International Gaming,0.0,Nami,Varus,Jayce,Yunara,Ezreal,Alistar,1833.0,1.0,2.0,1.0,15.0,27.0,11.0,0.0,0.0,0.0,0.0,0.0,0.8838,1.2439,0.0,0.0,45.0,7.0,7.0,99.0,9131.0,5116.0,167.4632,8285.0,23.0,23.0,0.0,0.7529,2707.0,3061.0,9.0,2454.0,2749.0,17.0,253.0,312.0,-8.0,1.0,1.0,0.0,0.0,1.0,0.0,4727.0,4999.0,15.0,3509.0,3799.0,22.0,1218.0,1200.0,-7.0,2.0,3.0,0.0,0.0,1.0,2.0,5946.0,6454.0,18.0,4907.0,5891.0,26.0,1039.0,563.0,-8.0,2.0,6.0,0.0,0.0,4.0,2.0,7504.0,8747.0,21.0,5951.0,7971.0,29.0,1553.0,776.0,-8.0,2.0,10.0,0.0,0.0,5.0,3.0
LOLTMNT02_346809,complete,LJL,2026.0,0.0,2.0,16.02,Blue,sup,Kaiser,Berlin International Gaming,1.0,Alistar,Vi,Galio,Yunara,Bard,Ambessa,1739.0,1.0,1.0,4.0,19.0,27.0,15.0,0.0,0.0,0.0,0.0,0.0,0.9316,1.4491,0.0,0.0,57.0,8.0,8.0,118.0,8281.0,4458.0,153.8125,7610.0,16.0,16.0,0.0,0.552,2564.0,2904.0,6.0,2983.0,3108.0,10.0,-419.0,-204.0,-4.0,0.0,3.0,1.0,1.0,1.0,1.0,3827.0,4225.0,11.0,4150.0,4153.0,17.0,-323.0,72.0,-6.0,0.0,7.0,2.0,1.0,2.0,2.0,5575.0,6569.0,12.0,5768.0,6489.0,19.0,-193.0,80.0,-7.0,1.0,12.0,3.0,2.0,5.0,3.0,7112.0,8978.0,15.0,7055.0,8098.0,22.0,57.0,880.0,-7.0,1.0,16.0,4.0,2.0,8.0,3.0
LOLTMNT01_338589,complete,LCK,2026.0,0.0,3.0,16.02,Blue,sup,Kaiser,Berlin International Gaming,1.0,Bard,Vi,Yunara,Galio,Ornn,Lulu,1890.0,1.0,0.0,4.0,17.0,25.0,16.0,0.0,0.0,0.0,0.0,1.0,0.7937,1.3016,0.0,0.0,45.0,16.0,9.0,129.0,9150.0,5019.0,159.3333,7945.0,26.0,26.0,0.0,0.8254,2339.0,1809.0,10.0,2546.0,1839.0,5.0,-207.0,-30.0,5.0,0.0,1.0,2.0,0.0,3.0,1.0,3834.0,3183.0,15.0,3701.0,3126.0,13.0,133.0,57.0,2.0,0.0,5.0,2.0,0.0,5.0,2.0,5498.0,5740.0,20.0,4821.0,3907.0,16.0,677.0,1833.0,4.0,0.0,10.0,3.0,0.0,7.0,5.0,6957.0,8025.0,20.0,7132.0,6858.0,18.0,-175.0,1167.0,2.0,0.0,12.0,3.0,1.0,9.0,6.0
LOLTMNT02_349098,complete,LCS,2026.0,0.0,1.0,16.02,Red,sup,Kaiser,Berlin International Gaming,0.0,Bard,Varus,Jayce,Orianna,Neeko,Sivir,1782.0,1.0,2.0,1.0,18.0,24.0,8.0,0.0,0.0,0.0,0.0,0.0,0.8081,1.0774,0.0,0.0,55.0,14.0,8.0,119.0,9325.0,5414.0,182.2896,7980.0,25.0,25.0,0.0,0.8418,2519.0,2727.0,9.0,2398.0,2532.0,10.0,121.0,195.0,-1.0,0.0,2.0,0.0,0.0,0.0,1.0,3812.0,4032.0,13.0,3615.0,3963.0,15.0,197.0,69.0,-2.0,0.0,3.0,0.0,0.0,1.0,2.0,5187.0,5919.0,15.0,4894.0,5624.0,20.0,293.0,295.0,-5.0,0.0,7.0,0.0,0.0,3.0,3.0,6733.0,8476.0,18.0,5908.0,7294.0,22.0,825.0,1182.0,-4.0,0.0,12.0,0.0,0.0,3.0,3.0
LOLTMNT02_349142,complete,LJL,2026.0,0.0,2.0,16.02,Blue,sup,Kaiser,Berlin International Gaming,1.0,Alistar,Jarvan IV,Orianna,Yunara,Braum,Sivir,1721.0,0.0,0.0,6.0,4.0,9.0,22.0,0.0,0.0,0.0,0.0,1.0,0.3138,1.0808,0.0,0.0,66.0,5.0,15.0,108.0,6460.0,2674.0,93.2249,6060.0,25.0,25.0,0.0,0.8716,2530.0,2697.0,16.0,2566.0,2799.0,12.0,-36.0,-102.0,4.0,0.0,2.0,2.0,0.0,2.0,2.0,3485.0,3549.0,22.0,3770.0,3711.0,17.0,-285.0,-162.0,5.0,0.0,2.0,2.0,0.0,3.0,2.0,4572.0,3962.0,24.0,5007.0,4999.0,22.0,-435.0,-1037.0,2.0,0.0,2.0,3.0,0.0,5.0,2.0,5724.0,5358.0,25.0,6391.0,7855.0,23.0,-667.0,-2497.0,2.0,0.0,4.0,4.0,0.0,12.0,3.0
