gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_335630,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,top,Kangin,BNK FEARX Youth,1.0,Sion,Poppy,Vi,Ambessa,Varus,Neeko,2188.0,0.0,1.0,3.0,15.0,21.0,23.0,0.0,0.0,0.0,0.0,0.0,0.5759,1.2066,0.0,0.0,8.0,5.0,2.0,32.0,15075.0,10336.0,283.4369,14850.0,315.0,313.0,2.0,8.638,3489.0,5149.0,94.0,3324.0,5286.0,89.0,165.0,-137.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5243.0,9078.0,148.0,5198.0,9152.0,145.0,45.0,-74.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,6720.0,11806.0,188.0,7621.0,12356.0,186.0,-901.0,-550.0,2.0,0.0,4.0,1.0,2.0,2.0,0.0,8796.0,14660.0,218.0,8859.0,13746.0,196.0,-63.0,914.0,22.0,0.0,8.0,2.0,2.0,6.0,1.0
LOLTMNT03_334658,complete,LCKC,2026.0,0.0,2.0,16.01,Red,top,Kangin,BNK FEARX Youth,1.0,Volibear,Poppy,Vi,Ambessa,Neeko,Ezreal,2211.0,0.0,2.0,7.0,1.0,8.0,28.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.9769,0.0,0.0,9.0,2.0,4.0,27.0,12940.0,8154.0,221.2754,12625.0,295.0,295.0,0.0,8.0054,3358.0,4745.0,85.0,3138.0,4929.0,78.0,220.0,-184.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,5345.0,8526.0,140.0,4937.0,8003.0,114.0,408.0,523.0,26.0,0.0,0.0,1.0,1.0,1.0,0.0,7804.0,12843.0,198.0,6435.0,10708.0,160.0,1369.0,2135.0,38.0,1.0,0.0,1.0,1.0,1.0,1.0,9179.0,14965.0,226.0,8266.0,13900.0,196.0,913.0,1065.0,30.0,1.0,0.0,4.0,1.0,5.0,1.0
LOLTMNT03_337260,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,top,Kangin,BNK FEARX Youth,1.0,Rumble,Neeko,Vi,Poppy,Alistar,Lulu,1629.0,1.0,3.0,1.0,2.0,17.0,9.0,1.0,1.0,0.0,0.0,0.0,0.6262,0.9576,0.0,0.0,10.0,1.0,5.0,30.0,12429.0,8830.0,325.2302,9950.0,273.0,261.0,12.0,10.0552,3563.0,5162.0,98.0,3836.0,5396.0,98.0,-273.0,-234.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5449.0,8976.0,150.0,5956.0,9550.0,166.0,-507.0,-574.0,-16.0,0.0,1.0,1.0,1.0,0.0,0.0,7887.0,12788.0,215.0,8495.0,12598.0,220.0,-608.0,190.0,-5.0,0.0,1.0,1.0,3.0,0.0,1.0,10329.0,16626.0,259.0,9877.0,15024.0,254.0,452.0,1602.0,5.0,0.0,2.0,1.0,3.0,1.0,2.0
LOLTMNT03_336244,complete,LCK,2026.0,0.0,2.0,16.01,Blue,top,Kangin,BNK FEARX Youth,0.0,Zaahen,Jayce,Vi,Neeko,Wukong,Dr. Mundo,2096.0,0.0,5.0,2.0,2.0,11.0,20.0,1.0,0.0,0.0,0.0,0.0,0.3149,0.8874,0.0,0.0,10.0,4.0,4.0,36.0,16986.0,12435.0,355.9637,16333.0,328.0,316.0,12.0,9.3893,3375.0,5100.0,89.0,3446.0,5410.0,96.0,-71.0,-310.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,5299.0,8559.0,137.0,5134.0,8877.0,142.0,165.0,-318.0,-5.0,0.0,0.0,0.0,0.0,1.0,0.0,8023.0,12462.0,196.0,6889.0,11964.0,190.0,1134.0,498.0,6.0,1.0,0.0,0.0,0.0,3.0,0.0,11549.0,16657.0,235.0,9882.0,15877.0,256.0,1667.0,780.0,-21.0,3.0,1.0,0.0,0.0,6.0,0.0
LOLTMNT03_337304,complete,LCK,2026.0,0.0,3.0,16.01,Red,top,Kangin,BNK FEARX Youth,1.0,Yorick,Neeko,Pantheon,Vi,Gnar,Blitzcrank,1991.0,0.0,3.0,6.0,1.0,16.0,26.0,0.0,0.0,0.0,0.0,0.0,0.4822,1.2657,0.0,0.0,9.0,7.0,5.0,37.0,13670.0,9333.0,281.2557,12933.0,299.0,295.0,4.0,9.0105,3611.0,5224.0,96.0,3144.0,4843.0,81.0,467.0,381.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,8861.0,154.0,4675.0,8501.0,124.0,820.0,360.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,7328.0,11759.0,204.0,6828.0,11983.0,180.0,500.0,-224.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,9544.0,14297.0,236.0,9511.0,14479.0,212.0,33.0,-182.0,24.0,2.0,0.0,3.0,2.0,2.0,1.0
LOLTMNT03_338494,complete,LCK,2026.0,0.0,1.0,16.01,Red,top,Kangin,BNK FEARX Youth,1.0,Sion,Neeko,Poppy,Sylas,Rakan,Alistar,1626.0,1.0,3.0,0.0,8.0,25.0,6.0,0.0,0.0,0.0,0.0,0.0,0.9225,1.1439,0.0,0.0,12.0,5.0,6.0,38.0,11261.0,7668.0,282.952,11000.0,268.0,268.0,0.0,9.8893,3503.0,5411.0,97.0,3677.0,5388.0,91.0,-174.0,23.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,5518.0,8895.0,148.0,5583.0,9239.0,147.0,-65.0,-344.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,8002.0,12787.0,214.0,7055.0,11617.0,188.0,947.0,1170.0,26.0,1.0,4.0,0.0,1.0,1.0,1.0,10353.0,16108.0,264.0,9155.0,13872.0,219.0,1198.0,2236.0,45.0,2.0,6.0,0.0,2.0,2.0,3.0
LOLTMNT03_338498,complete,LCK,2026.0,0.0,2.0,16.01,Blue,top,Kangin,BNK FEARX Youth,0.0,K'Sante,Rumble,Jayce,Qiyana,Gnar,Renekton,1845.0,1.0,6.0,0.0,12.0,25.0,9.0,2.0,0.0,0.0,0.0,0.0,0.813,1.1057,0.0,0.0,4.0,4.0,0.0,20.0,13755.0,9716.0,315.9675,12300.0,267.0,267.0,0.0,8.6829,3897.0,5507.0,97.0,3181.0,4945.0,82.0,716.0,562.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,5708.0,9316.0,151.0,4836.0,8425.0,137.0,872.0,891.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,8535.0,13200.0,197.0,7073.0,11311.0,177.0,1462.0,1889.0,20.0,3.0,3.0,0.0,2.0,1.0,1.0,10386.0,16004.0,232.0,9126.0,13358.0,205.0,1260.0,2646.0,27.0,3.0,4.0,0.0,3.0,1.0,2.0
LOLTMNT03_340105,complete,LCKC,2026.0,0.0,1.0,16.01,Red,top,Kangin,BNK FEARX Youth,0.0,Vayne,Rumble,Jayce,Neeko,Poppy,Bard,2447.0,1.0,9.0,2.0,1.0,21.0,15.0,1.0,1.0,0.0,0.0,0.0,0.5149,0.8827,0.0,0.0,18.0,7.0,2.0,53.0,18443.0,13176.0,323.0732,17233.0,368.0,352.0,16.0,9.0233,3650.0,5087.0,101.0,3394.0,5193.0,89.0,256.0,-106.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5505.0,9258.0,150.0,4903.0,8645.0,136.0,602.0,613.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,7598.0,12573.0,200.0,6552.0,12021.0,183.0,1046.0,552.0,17.0,1.0,0.0,0.0,0.0,0.0,1.0,11010.0,16022.0,245.0,7785.0,14863.0,206.0,3225.0,1159.0,39.0,5.0,0.0,0.0,0.0,0.0,2.0
LOLTMNT02_343066,complete,LCP,2026.0,0.0,2.0,16.01,Blue,top,Kangin,BNK FEARX Youth,1.0,Sion,Vi,Ambessa,Jayce,Lulu,Dr. Mundo,1588.0,0.0,0.0,1.0,1.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0756,0.6045,0.0,0.0,10.0,3.0,1.0,28.0,8933.0,5418.0,204.7103,9075.0,261.0,257.0,4.0,9.8615,3264.0,4963.0,90.0,3603.0,5286.0,99.0,-339.0,-323.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,4744.0,8481.0,133.0,5351.0,9197.0,152.0,-607.0,-716.0,-19.0,0.0,0.0,0.0,0.0,0.0,0.0,6445.0,11675.0,187.0,7931.0,12924.0,210.0,-1486.0,-1249.0,-23.0,0.0,0.0,1.0,1.0,0.0,0.0,8653.0,15509.0,256.0,10273.0,15778.0,246.0,-1620.0,-269.0,10.0,0.0,1.0,1.0,3.0,0.0,0.0
LOLTMNT03_341143,complete,LCK,2026.0,0.0,3.0,16.01,Red,top,Kangin,BNK FEARX Youth,0.0,Gangplank,Rumble,Jayce,Neeko,Qiyana,Wukong,2476.0,1.0,3.0,1.0,8.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.3877,0.7512,0.0,0.0,19.0,7.0,4.0,57.0,19258.0,13931.0,337.5848,17850.0,422.0,390.0,32.0,10.2262,3428.0,4950.0,83.0,3333.0,5193.0,85.0,95.0,-243.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,5724.0,9086.0,150.0,5032.0,8861.0,141.0,692.0,225.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,8540.0,12727.0,213.0,7614.0,12515.0,198.0,926.0,212.0,15.0,0.0,2.0,1.0,0.0,1.0,0.0,10841.0,15730.0,277.0,9506.0,14981.0,239.0,1335.0,749.0,38.0,0.0,2.0,1.0,1.0,1.0,1.0
