gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_336222,complete,CBLOL,2026.0,0.0,1.0,16.02,Red,mid,Karaage,Fast8,0.0,Viktor,Varus,Ryze,Orianna,Gwen,Taliyah,2172.0,1.0,6.0,2.0,7.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,0.442,0.6906,0.0,0.0,12.0,10.0,3.0,38.0,14870.0,10164.0,280.7735,13285.0,316.0,316.0,0.0,8.7293,3445.0,5174.0,98.0,3391.0,4845.0,94.0,54.0,329.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5334.0,8134.0,158.0,5043.0,7543.0,146.0,291.0,591.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,7118.0,10867.0,216.0,6802.0,10134.0,199.0,316.0,733.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,9610.0,13318.0,254.0,8423.0,12702.0,228.0,1187.0,616.0,26.0,2.0,1.0,0.0,0.0,1.0,0.0
LOLTMNT01_335397,complete,LCS,2026.0,0.0,1.0,16.02,Blue,mid,Karaage,Fast8,1.0,Ryze,Riven,Ambessa,Taliyah,Anivia,Akali,1535.0,0.0,1.0,6.0,1.0,3.0,27.0,0.0,0.0,0.0,0.0,0.0,0.1173,1.1726,0.0,0.0,10.0,5.0,2.0,27.0,9648.0,6241.0,243.9479,9600.0,239.0,239.0,0.0,9.342,3410.0,4636.0,88.0,3808.0,4921.0,82.0,-398.0,-285.0,6.0,0.0,1.0,2.0,1.0,2.0,1.0,5062.0,7292.0,139.0,6467.0,8456.0,143.0,-1405.0,-1164.0,-4.0,0.0,1.0,3.0,3.0,3.0,1.0,6778.0,9629.0,188.0,9613.0,12188.0,191.0,-2835.0,-2559.0,-3.0,0.0,1.0,5.0,6.0,6.0,1.0,8477.0,13593.0,239.0,12440.0,15593.0,231.0,-3963.0,-2000.0,8.0,0.0,1.0,5.0,8.0,11.0,1.0
LOLTMNT01_335472,complete,LCKC,2026.0,0.0,1.0,16.02,Blue,mid,Karaage,Fast8,1.0,Ryze,Ambessa,Orianna,Zyra,Neeko,Rakan,1610.0,1.0,3.0,5.0,7.0,35.0,18.0,0.0,0.0,0.0,0.0,0.0,1.3043,1.9752,0.0,0.0,10.0,4.0,3.0,24.0,10528.0,6968.0,259.677,10635.0,221.0,217.0,4.0,8.236,3828.0,4878.0,89.0,3499.0,4726.0,92.0,329.0,152.0,-3.0,1.0,3.0,0.0,0.0,0.0,2.0,5368.0,7149.0,127.0,5867.0,7422.0,140.0,-499.0,-273.0,-13.0,1.0,3.0,2.0,2.0,1.0,3.0,7201.0,9991.0,172.0,7326.0,9434.0,173.0,-125.0,557.0,-1.0,1.0,6.0,3.0,3.0,1.0,5.0,9788.0,13836.0,213.0,9123.0,13405.0,226.0,665.0,431.0,-13.0,3.0,6.0,4.0,3.0,1.0,5.0
LOLTMNT04_152540,complete,LIT,2026.0,0.0,1.0,16.02,Blue,mid,Karaage,Fast8,1.0,Ahri,Ambessa,Ryze,Orianna,Vi,Pantheon,1640.0,1.0,9.0,0.0,8.0,24.0,3.0,2.0,1.0,0.0,0.0,1.0,0.878,0.9878,0.0,0.0,8.0,8.0,3.0,32.0,14140.0,10519.0,384.8415,11575.0,274.0,274.0,0.0,10.0244,4232.0,5222.0,96.0,3232.0,4867.0,81.0,1000.0,355.0,15.0,1.0,2.0,0.0,0.0,0.0,1.0,6381.0,8415.0,142.0,4442.0,6536.0,110.0,1939.0,1879.0,32.0,3.0,3.0,0.0,0.0,0.0,4.0,8791.0,11303.0,192.0,6517.0,8947.0,162.0,2274.0,2356.0,30.0,6.0,4.0,0.0,0.0,0.0,4.0,11562.0,14461.0,250.0,8371.0,11524.0,211.0,3191.0,2937.0,39.0,6.0,5.0,0.0,0.0,0.0,6.0
LOLTMNT04_151631,complete,LFL,2026.0,0.0,1.0,16.02,Blue,mid,Karaage,Fast8,1.0,Ryze,Lux,Ambessa,Orianna,Poppy,Leona,1820.0,1.0,5.0,1.0,17.0,27.0,12.0,1.0,0.0,0.0,0.0,0.0,0.8901,1.2857,0.0,0.0,14.0,3.0,6.0,37.0,13094.0,9106.0,300.1978,10910.0,278.0,274.0,4.0,9.1648,3479.0,5069.0,93.0,3238.0,4870.0,83.0,241.0,199.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5063.0,7734.0,141.0,5002.0,7400.0,126.0,61.0,334.0,15.0,0.0,1.0,0.0,0.0,2.0,1.0,7026.0,10467.0,182.0,6621.0,9964.0,156.0,405.0,503.0,26.0,0.0,6.0,1.0,0.0,5.0,2.0,9034.0,13616.0,236.0,8226.0,14403.0,196.0,808.0,-787.0,40.0,0.0,9.0,1.0,0.0,5.0,3.0
LOLTMNT04_151641,complete,EBL,2026.0,0.0,1.0,16.02,Blue,mid,Karaage,Fast8,1.0,Viktor,LeBlanc,Ambessa,Orianna,Gwen,Taliyah,1371.0,0.0,1.0,9.0,1.0,9.0,35.0,0.0,0.0,0.0,0.0,0.0,0.3939,1.9256,0.0,0.0,2.0,0.0,1.0,3.0,6830.0,3758.0,164.4639,6550.0,140.0,140.0,0.0,6.1269,2767.0,4023.0,57.0,3452.0,4838.0,66.0,-685.0,-815.0,-9.0,0.0,1.0,3.0,2.0,1.0,1.0,4264.0,6334.0,98.0,6766.0,8136.0,111.0,-2502.0,-1802.0,-13.0,0.0,1.0,5.0,6.0,2.0,2.0,6180.0,8674.0,129.0,8872.0,11099.0,156.0,-2692.0,-2425.0,-27.0,1.0,1.0,8.0,7.0,4.0,3.0,,,,,,,,,,,,,,,
LOLTMNT04_151670,complete,EBL,2026.0,0.0,1.0,16.02,Blue,mid,Karaage,Fast8,1.0,Varus,Caitlyn,Orianna,Gwen,Kai'Sa,Miss Fortune,2232.0,1.0,10.0,3.0,3.0,25.0,7.0,1.0,1.0,0.0,0.0,1.0,0.672,0.8602,0.0,0.0,14.0,5.0,4.0,36.0,19866.0,15037.0,404.2204,17350.0,381.0,373.0,8.0,10.2419,3802.0,4579.0,84.0,3556.0,5083.0,91.0,246.0,-504.0,-7.0,1.0,1.0,1.0,0.0,1.0,1.0,6438.0,8121.0,136.0,5033.0,7182.0,133.0,1405.0,939.0,3.0,3.0,2.0,2.0,0.0,1.0,2.0,9037.0,10766.0,190.0,7665.0,9742.0,183.0,1372.0,1024.0,7.0,4.0,2.0,2.0,1.0,1.0,3.0,12178.0,14362.0,248.0,9636.0,12692.0,239.0,2542.0,1670.0,9.0,6.0,2.0,2.0,1.0,1.0,4.0
LOLTMNT01_338226,complete,LCP,2026.0,0.0,1.0,16.02,Blue,mid,Karaage,Fast8,1.0,Ryze,Ambessa,Orianna,Gwen,Xin Zhao,Vi,1571.0,0.0,2.0,7.0,2.0,10.0,27.0,0.0,0.0,0.0,0.0,0.0,0.3819,1.4131,0.0,0.0,10.0,3.0,4.0,23.0,9662.0,6182.0,236.1044,9400.0,242.0,242.0,0.0,9.2425,4289.0,5591.0,96.0,3062.0,4336.0,70.0,1227.0,1255.0,26.0,2.0,0.0,1.0,0.0,2.0,2.0,5901.0,7919.0,143.0,5199.0,7527.0,117.0,702.0,392.0,26.0,2.0,0.0,2.0,0.0,4.0,2.0,7651.0,10328.0,186.0,7186.0,11022.0,166.0,465.0,-694.0,20.0,2.0,2.0,4.0,0.0,7.0,3.0,9517.0,14688.0,242.0,8959.0,13695.0,195.0,558.0,993.0,47.0,2.0,2.0,6.0,0.0,10.0,3.0
LOLTMNT05_176283,complete,LFL,2026.0,0.0,1.0,16.03,Red,mid,Karaage,Fast8,0.0,Ryze,LeBlanc,Orianna,Jayce,Anivia,Gwen,1531.0,1.0,4.0,1.0,10.0,23.0,8.0,0.0,0.0,0.0,0.0,0.0,0.9014,1.2149,0.0,0.0,12.0,2.0,4.0,23.0,11010.0,7611.0,298.2756,9750.0,230.0,228.0,2.0,9.0137,3419.0,5285.0,96.0,3457.0,5056.0,90.0,-38.0,229.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,5374.0,8038.0,145.0,5535.0,7643.0,136.0,-161.0,395.0,9.0,0.0,2.0,1.0,1.0,2.0,0.0,6902.0,10491.0,178.0,7422.0,9745.0,169.0,-520.0,746.0,9.0,0.0,5.0,1.0,2.0,2.0,2.0,10366.0,16004.0,220.0,8369.0,10718.0,185.0,1997.0,5286.0,35.0,4.0,9.0,1.0,2.0,2.0,5.0
LOLTMNT05_175360,complete,AL,2026.0,0.0,1.0,16.03,Red,mid,Karaage,Fast8,0.0,Swain,Orianna,Ambessa,Jayce,Neeko,Gwen,1313.0,1.0,5.0,0.0,12.0,31.0,3.0,0.0,0.0,0.0,0.0,0.0,1.4166,1.508,0.0,0.0,7.0,3.0,2.0,17.0,10627.0,7673.0,350.6321,9250.0,182.0,182.0,0.0,8.3168,4007.0,5409.0,99.0,2859.0,4500.0,68.0,1148.0,909.0,31.0,0.0,4.0,0.0,0.0,0.0,2.0,7018.0,8495.0,146.0,4305.0,7030.0,109.0,2713.0,1465.0,37.0,2.0,8.0,0.0,0.0,1.0,4.0,9463.0,10551.0,172.0,5663.0,8957.0,143.0,3800.0,1594.0,29.0,4.0,9.0,0.0,0.0,1.0,7.0,,,,,,,,,,,,,,,
