gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_320312,complete,ROL,2026.0,0.0,1.0,16.01,Red,sup,Kellin,BNK FEARX,0.0,Lulu,Rumble,Orianna,Jayce,Alistar,Neeko,2071.0,1.0,0.0,1.0,23.0,26.0,13.0,0.0,0.0,0.0,0.0,0.0,0.7533,1.1299,0.0,0.0,67.0,14.0,12.0,126.0,9438.0,4938.0,143.0613,8560.0,32.0,32.0,0.0,0.9271,2361.0,2822.0,17.0,2578.0,2879.0,16.0,-217.0,-57.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3505.0,4090.0,23.0,3751.0,4074.0,22.0,-246.0,16.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,4655.0,5597.0,28.0,5128.0,5761.0,26.0,-473.0,-164.0,2.0,0.0,3.0,0.0,0.0,5.0,0.0,6142.0,8001.0,28.0,6388.0,7319.0,35.0,-246.0,682.0,-7.0,0.0,11.0,1.0,0.0,6.0,0.0
LOLTMNT03_337429,complete,HLL,2026.0,0.0,2.0,16.01,Blue,sup,Kellin,BNK FEARX,0.0,Neeko,Rumble,Jayce,Jarvan IV,Nocturne,Xin Zhao,1732.0,1.0,1.0,4.0,8.0,19.0,11.0,0.0,0.0,0.0,0.0,0.0,0.6582,1.0393,0.0,0.0,61.0,22.0,13.0,137.0,8013.0,4204.0,145.6351,6825.0,34.0,34.0,0.0,1.1778,2648.0,2584.0,12.0,2175.0,2848.0,22.0,473.0,-264.0,-10.0,1.0,0.0,0.0,0.0,0.0,1.0,3770.0,3332.0,18.0,3414.0,3580.0,25.0,356.0,-248.0,-7.0,1.0,0.0,1.0,0.0,1.0,1.0,5170.0,4803.0,22.0,4651.0,4626.0,31.0,519.0,177.0,-9.0,1.0,4.0,3.0,0.0,4.0,3.0,6619.0,6068.0,31.0,5697.0,5877.0,34.0,922.0,191.0,-3.0,1.0,6.0,3.0,0.0,5.0,3.0
LOLTMNT03_337847,complete,CBLOL,2026.0,0.0,1.0,16.01,Blue,sup,Kellin,BNK FEARX,1.0,Rakan,Neeko,Malphite,Gwen,Poppy,Yunara,1913.0,1.0,2.0,2.0,13.0,17.0,13.0,0.0,0.0,0.0,0.0,0.0,0.5332,0.9409,0.0,0.0,79.0,21.0,23.0,161.0,8904.0,4726.0,148.2279,7975.0,29.0,29.0,0.0,0.9096,2375.0,2722.0,10.0,2257.0,2547.0,12.0,118.0,175.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,3514.0,2823.0,13.0,3629.0,3430.0,18.0,-115.0,-607.0,-5.0,0.0,0.0,1.0,0.0,2.0,0.0,4816.0,4076.0,17.0,4931.0,4638.0,21.0,-115.0,-562.0,-4.0,0.0,3.0,2.0,0.0,4.0,1.0,5894.0,5840.0,22.0,6240.0,6489.0,29.0,-346.0,-649.0,-7.0,0.0,3.0,2.0,0.0,6.0,1.0
LOLTMNT01_322090,complete,LCP,2026.0,0.0,2.0,16.01,Blue,sup,Kellin,BNK FEARX,0.0,Lulu,Rumble,Orianna,Jayce,Corki,Aphelios,1506.0,0.0,0.0,3.0,7.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.3984,1.1952,0.0,0.0,42.0,7.0,10.0,84.0,6118.0,2770.0,110.3586,6010.0,28.0,28.0,0.0,1.1155,2408.0,2957.0,13.0,2546.0,2890.0,18.0,-138.0,67.0,-5.0,0.0,2.0,0.0,1.0,0.0,1.0,3612.0,4558.0,21.0,3854.0,4253.0,28.0,-242.0,305.0,-7.0,0.0,3.0,1.0,1.0,3.0,1.0,4967.0,6514.0,24.0,5198.0,6250.0,31.0,-231.0,264.0,-7.0,0.0,5.0,1.0,1.0,4.0,1.0,6102.0,8046.0,28.0,7897.0,10111.0,39.0,-1795.0,-2065.0,-11.0,0.0,7.0,3.0,2.0,14.0,2.0
LOLTMNT01_321000,complete,LCP,2026.0,0.0,3.0,16.01,Red,sup,Kellin,BNK FEARX,1.0,Alistar,Malphite,Jarvan IV,Gwen,Akali,LeBlanc,2187.0,1.0,0.0,4.0,14.0,18.0,12.0,0.0,0.0,0.0,0.0,1.0,0.4938,0.823,0.0,0.0,80.0,6.0,22.0,136.0,9228.0,4491.0,123.2099,7990.0,33.0,33.0,0.0,0.9053,2601.0,3112.0,16.0,2723.0,2812.0,13.0,-122.0,300.0,3.0,0.0,2.0,1.0,0.0,2.0,1.0,3632.0,4143.0,25.0,4188.0,4473.0,19.0,-556.0,-330.0,6.0,0.0,2.0,2.0,1.0,3.0,1.0,4755.0,5819.0,28.0,5489.0,5575.0,22.0,-734.0,244.0,6.0,0.0,4.0,2.0,1.0,4.0,2.0,5960.0,7555.0,28.0,6631.0,7776.0,23.0,-671.0,-221.0,5.0,0.0,6.0,3.0,1.0,5.0,3.0
LOLTMNT06_166059,complete,AL,2026.0,0.0,1.0,16.01,Red,sup,Kellin,BNK FEARX,0.0,Lulu,Jayce,Rumble,Xin Zhao,Nautilus,Gwen,2075.0,0.0,1.0,2.0,17.0,22.0,18.0,0.0,0.0,0.0,0.0,1.0,0.6361,1.1566,0.0,0.0,65.0,10.0,15.0,122.0,9728.0,5219.0,150.9108,10630.0,31.0,31.0,0.0,0.8964,2478.0,3216.0,12.0,2483.0,3110.0,9.0,-5.0,106.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,3894.0,4969.0,21.0,3533.0,4279.0,15.0,361.0,690.0,6.0,0.0,4.0,0.0,0.0,1.0,1.0,4936.0,6623.0,23.0,4915.0,6493.0,21.0,21.0,130.0,2.0,0.0,4.0,0.0,0.0,2.0,1.0,6327.0,8461.0,28.0,6248.0,9351.0,23.0,79.0,-890.0,5.0,0.0,8.0,1.0,0.0,5.0,2.0
LOLTMNT02_343107,complete,HW,2026.0,0.0,2.0,16.01,Red,sup,Kellin,BNK FEARX,1.0,Leona,Malphite,Varus,Vi,Lucian,Poppy,1916.0,0.0,0.0,8.0,6.0,10.0,23.0,0.0,0.0,0.0,0.0,0.0,0.3132,1.0334,0.0,0.0,75.0,10.0,25.0,134.0,7489.0,3305.0,103.4969,7125.0,25.0,25.0,0.0,0.7829,2467.0,2869.0,13.0,2296.0,2475.0,12.0,171.0,394.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,3806.0,3787.0,19.0,3565.0,3353.0,15.0,241.0,434.0,4.0,0.0,4.0,2.0,0.0,2.0,1.0,4908.0,4684.0,21.0,4705.0,4603.0,22.0,203.0,81.0,-1.0,0.0,4.0,4.0,0.0,4.0,1.0,5946.0,5829.0,25.0,6564.0,7721.0,25.0,-618.0,-1892.0,0.0,0.0,4.0,5.0,0.0,12.0,2.0
LOLTMNT01_326904,complete,LCK,2026.0,0.0,1.0,16.01,Blue,sup,Kellin,BNK FEARX,0.0,Neeko,Azir,Orianna,Bard,Alistar,Karma,2364.0,0.0,1.0,8.0,12.0,18.0,25.0,0.0,0.0,0.0,0.0,0.0,0.4569,1.0914,0.0,0.0,91.0,20.0,14.0,181.0,9925.0,4827.0,122.5127,8925.0,44.0,44.0,0.0,1.1168,2524.0,2448.0,20.0,2541.0,2768.0,13.0,-17.0,-320.0,7.0,0.0,1.0,1.0,0.0,1.0,1.0,3473.0,3665.0,25.0,3576.0,3884.0,20.0,-103.0,-219.0,5.0,0.0,1.0,2.0,0.0,1.0,1.0,4708.0,4505.0,31.0,4793.0,5398.0,22.0,-85.0,-893.0,9.0,0.0,4.0,3.0,0.0,4.0,3.0,5923.0,5976.0,35.0,5903.0,6696.0,24.0,20.0,-720.0,11.0,0.0,6.0,4.0,0.0,5.0,4.0
LOLTMNT04_150427,complete,CCWS,2026.0,0.0,2.0,16.01,Red,sup,Kellin,BNK FEARX,0.0,Milio,Azir,Orianna,Ambessa,Gwen,Gnar,2580.0,1.0,0.0,4.0,17.0,26.0,15.0,0.0,0.0,0.0,0.0,0.0,0.6047,0.9535,0.0,0.0,88.0,14.0,17.0,160.0,11365.0,5826.0,135.4884,9585.0,31.0,31.0,0.0,0.7209,2587.0,2876.0,12.0,2373.0,2678.0,15.0,214.0,198.0,-3.0,0.0,2.0,2.0,0.0,2.0,0.0,3839.0,4525.0,21.0,3614.0,3762.0,23.0,225.0,763.0,-2.0,0.0,2.0,2.0,0.0,3.0,1.0,5028.0,5577.0,24.0,4576.0,4445.0,25.0,452.0,1132.0,-1.0,0.0,2.0,2.0,0.0,3.0,1.0,6115.0,7385.0,28.0,5758.0,7035.0,28.0,357.0,350.0,0.0,0.0,2.0,2.0,0.0,3.0,1.0
LOLTMNT06_166087,complete,AL,2026.0,0.0,3.0,16.01,Blue,sup,Kellin,BNK FEARX,0.0,Rell,Azir,Orianna,Yunara,Sivir,Sylas,1820.0,0.0,1.0,4.0,4.0,8.0,18.0,0.0,0.0,0.0,0.0,0.0,0.2637,0.8571,0.0,0.0,72.0,16.0,18.0,130.0,7302.0,3314.0,109.2527,7160.0,34.0,34.0,0.0,1.1209,2275.0,2413.0,13.0,2465.0,2919.0,11.0,-190.0,-506.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,3337.0,3502.0,22.0,3660.0,3969.0,15.0,-323.0,-467.0,7.0,0.0,0.0,1.0,0.0,3.0,0.0,4364.0,3796.0,25.0,5351.0,5513.0,20.0,-987.0,-1717.0,5.0,0.0,0.0,1.0,1.0,5.0,0.0,5687.0,5967.0,30.0,6690.0,7155.0,28.0,-1003.0,-1188.0,2.0,0.0,3.0,2.0,1.0,7.0,0.0
