gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_321834,complete,LCP,2026.0,0.0,1.0,16.01,Blue,sup,Keria,T1,0.0,Milio,Jayce,Azir,Varus,Rell,Nautilus,2205.0,0.0,0.0,3.0,7.0,13.0,16.0,0.0,0.0,0.0,0.0,0.0,0.3537,0.7891,0.0,0.0,72.0,12.0,19.0,135.0,9129.0,4355.0,118.5034,8900.0,36.0,32.0,4.0,0.9796,2250.0,3071.0,13.0,2233.0,2591.0,14.0,17.0,480.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3700.0,4616.0,20.0,3621.0,4199.0,25.0,79.0,417.0,-5.0,0.0,1.0,1.0,0.0,2.0,1.0,4729.0,6194.0,23.0,4789.0,5577.0,28.0,-60.0,617.0,-5.0,0.0,1.0,1.0,0.0,4.0,1.0,5987.0,7788.0,27.0,5842.0,7448.0,28.0,145.0,340.0,-1.0,0.0,1.0,1.0,0.0,4.0,1.0
LOLTMNT01_321853,complete,LCP,2026.0,0.0,2.0,16.01,Red,sup,Keria,T1,0.0,Lulu,Jayce,Azir,Varus,Yone,Gwen,1603.0,1.0,1.0,1.0,13.0,22.0,6.0,0.0,0.0,0.0,0.0,1.0,0.8235,1.048,0.0,0.0,55.0,8.0,14.0,98.0,8045.0,4499.0,168.3968,7170.0,23.0,23.0,0.0,0.8609,2569.0,2857.0,14.0,2475.0,2308.0,18.0,94.0,549.0,-4.0,0.0,2.0,0.0,0.0,0.0,1.0,3904.0,4598.0,19.0,3666.0,3353.0,28.0,238.0,1245.0,-9.0,0.0,5.0,0.0,0.0,1.0,2.0,5654.0,6055.0,21.0,4868.0,4650.0,31.0,786.0,1405.0,-10.0,0.0,6.0,0.0,0.0,2.0,3.0,7444.0,9366.0,23.0,5930.0,6637.0,37.0,1514.0,2729.0,-14.0,1.0,8.0,1.0,0.0,2.0,5.0
LOLTMNT01_321867,complete,LCP,2026.0,0.0,3.0,16.01,Blue,sup,Keria,T1,0.0,Bard,Jayce,Varus,Rell,Renata Glasc,Ashe,1700.0,1.0,1.0,0.0,24.0,32.0,9.0,0.0,0.0,0.0,0.0,0.0,1.1294,1.4471,0.0,0.0,51.0,12.0,16.0,100.0,9201.0,5457.0,192.6,8455.0,30.0,30.0,0.0,1.0588,2351.0,2476.0,13.0,2308.0,2620.0,17.0,43.0,-144.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,3705.0,4084.0,21.0,3608.0,3383.0,29.0,97.0,701.0,-8.0,0.0,5.0,0.0,0.0,1.0,2.0,5418.0,6828.0,24.0,4823.0,5600.0,34.0,595.0,1228.0,-10.0,0.0,10.0,0.0,0.0,4.0,3.0,7708.0,9819.0,27.0,5889.0,6959.0,36.0,1819.0,2860.0,-9.0,1.0,17.0,0.0,0.0,6.0,5.0
LOLTMNT06_163424,complete,LEC,2026.0,0.0,1.0,16.01,Blue,sup,Keria,T1,0.0,Thresh,Jayce,Varus,Jarvan IV,Renekton,Rek'Sai,1766.0,1.0,4.0,4.0,17.0,26.0,18.0,0.0,0.0,0.0,0.0,0.0,0.8834,1.4609,0.0,0.0,56.0,5.0,16.0,102.0,9746.0,5868.0,199.3658,9445.0,25.0,25.0,0.0,0.8494,3056.0,2870.0,18.0,2711.0,2711.0,14.0,345.0,159.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,5318.0,4704.0,23.0,4334.0,4281.0,17.0,984.0,423.0,6.0,3.0,10.0,2.0,2.0,4.0,4.0,6597.0,5712.0,24.0,5918.0,6303.0,19.0,679.0,-591.0,5.0,4.0,10.0,2.0,2.0,9.0,5.0,7861.0,7718.0,25.0,7099.0,8064.0,19.0,762.0,-346.0,6.0,4.0,11.0,3.0,2.0,13.0,6.0
LOLTMNT06_164476,complete,LEC,2026.0,0.0,2.0,16.01,Blue,sup,Keria,T1,1.0,Neeko,Varus,Malphite,Vi,Nami,Karma,1832.0,0.0,0.0,3.0,5.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,0.3275,1.048,0.0,0.0,65.0,9.0,17.0,121.0,7129.0,3116.0,102.0524,6660.0,35.0,35.0,0.0,1.1463,2477.0,2545.0,16.0,2558.0,2393.0,7.0,-81.0,152.0,9.0,0.0,1.0,1.0,0.0,4.0,1.0,3615.0,3949.0,23.0,3506.0,3033.0,10.0,109.0,916.0,13.0,0.0,1.0,1.0,0.0,4.0,1.0,4628.0,5218.0,27.0,4714.0,4353.0,16.0,-86.0,865.0,11.0,0.0,3.0,1.0,0.0,4.0,3.0,5934.0,7390.0,32.0,6567.0,7176.0,18.0,-633.0,214.0,14.0,0.0,4.0,2.0,1.0,10.0,4.0
LOLTMNT03_338312,complete,LCKC,2026.0,0.0,3.0,16.01,Red,sup,Keria,T1,0.0,Renata Glasc,Jayce,Rumble,Akali,K'Sante,Kennen,2102.0,1.0,1.0,2.0,18.0,29.0,15.0,0.0,0.0,0.0,0.0,0.0,0.8278,1.2559,0.0,0.0,71.0,12.0,21.0,144.0,9882.0,5318.0,151.7983,9095.0,23.0,23.0,0.0,0.6565,2548.0,3043.0,6.0,2229.0,2722.0,9.0,319.0,321.0,-3.0,0.0,2.0,0.0,0.0,1.0,1.0,3866.0,4443.0,14.0,3445.0,3839.0,17.0,421.0,604.0,-3.0,0.0,5.0,0.0,0.0,2.0,2.0,5080.0,6050.0,18.0,4666.0,5598.0,21.0,414.0,452.0,-3.0,0.0,8.0,0.0,0.0,4.0,3.0,6574.0,8343.0,18.0,6081.0,7739.0,22.0,493.0,604.0,-4.0,0.0,12.0,1.0,0.0,8.0,5.0
LOLTMNT03_341399,complete,LCK,2026.0,0.0,1.0,16.01,Blue,sup,Keria,T1,0.0,Lissandra,Jayce,Rumble,Orianna,Nautilus,Malphite,1849.0,1.0,1.0,1.0,11.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.5192,0.6814,0.0,0.0,65.0,18.0,17.0,140.0,8675.0,4627.0,150.146,7605.0,38.0,38.0,0.0,1.2331,2738.0,2497.0,11.0,2428.0,2441.0,16.0,310.0,56.0,-5.0,1.0,0.0,1.0,0.0,1.0,1.0,3901.0,3985.0,19.0,3658.0,3329.0,23.0,243.0,656.0,-4.0,1.0,2.0,1.0,0.0,2.0,2.0,5115.0,4785.0,22.0,4805.0,4397.0,27.0,310.0,388.0,-5.0,1.0,4.0,1.0,0.0,3.0,3.0,6546.0,6080.0,31.0,6061.0,6005.0,31.0,485.0,75.0,0.0,1.0,5.0,1.0,0.0,5.0,3.0
LOLTMNT02_344221,complete,LCP,2026.0,0.0,2.0,16.01,Blue,sup,Keria,T1,1.0,Lulu,Malphite,Nocturne,Rumble,Jarvan IV,Pantheon,2796.0,1.0,1.0,3.0,6.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,0.1931,0.5794,0.0,0.0,104.0,10.0,21.0,175.0,13081.0,7102.0,152.4034,11820.0,44.0,44.0,0.0,0.9442,2445.0,3127.0,11.0,2622.0,2802.0,13.0,-177.0,325.0,-2.0,0.0,1.0,0.0,0.0,1.0,1.0,3978.0,4474.0,28.0,4089.0,4013.0,22.0,-111.0,461.0,6.0,0.0,1.0,0.0,1.0,1.0,1.0,5010.0,5417.0,31.0,5483.0,5641.0,26.0,-473.0,-224.0,5.0,0.0,1.0,2.0,1.0,4.0,1.0,6070.0,7073.0,34.0,6944.0,7920.0,31.0,-874.0,-847.0,3.0,0.0,1.0,3.0,1.0,7.0,2.0
LOLTMNT01_326904,complete,LCK,2026.0,0.0,1.0,16.01,Red,sup,Keria,T1,1.0,Nami,Malphite,Yunara,Akali,Ambessa,Pantheon,2364.0,1.0,1.0,5.0,20.0,25.0,18.0,0.0,0.0,0.0,0.0,0.0,0.6345,1.0914,0.0,0.0,75.0,13.0,17.0,162.0,12053.0,6955.0,176.5228,10375.0,34.0,34.0,0.0,0.8629,2541.0,2768.0,13.0,2524.0,2448.0,20.0,17.0,320.0,-7.0,0.0,1.0,1.0,0.0,1.0,1.0,3576.0,3884.0,20.0,3473.0,3665.0,25.0,103.0,219.0,-5.0,0.0,1.0,1.0,0.0,1.0,2.0,4793.0,5398.0,22.0,4708.0,4505.0,31.0,85.0,893.0,-9.0,0.0,4.0,3.0,0.0,4.0,3.0,5903.0,6696.0,24.0,5923.0,5976.0,35.0,-20.0,720.0,-11.0,0.0,5.0,4.0,0.0,6.0,4.0
LOLTMNT04_150427,complete,CCWS,2026.0,0.0,2.0,16.01,Blue,sup,Keria,T1,1.0,Thresh,Malphite,Yunara,Pantheon,Akali,Rek'Sai,2580.0,0.0,0.0,5.0,12.0,15.0,26.0,0.0,0.0,0.0,0.0,1.0,0.3488,0.9535,0.0,0.0,93.0,17.0,28.0,158.0,10576.0,5037.0,117.1395,10760.0,36.0,36.0,0.0,0.8372,2373.0,2678.0,15.0,2587.0,2876.0,12.0,-214.0,-198.0,3.0,0.0,2.0,0.0,0.0,2.0,2.0,3614.0,3762.0,23.0,3839.0,4525.0,21.0,-225.0,-763.0,2.0,0.0,3.0,1.0,0.0,2.0,2.0,4576.0,4445.0,25.0,5028.0,5577.0,24.0,-452.0,-1132.0,1.0,0.0,3.0,1.0,0.0,2.0,2.0,5758.0,7035.0,28.0,6115.0,7385.0,28.0,-357.0,-350.0,0.0,0.0,3.0,1.0,0.0,2.0,2.0
