gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_336395,complete,HLL,2026.0,0.0,1.0,16.01,Red,top,Kiin,Gen.G,1.0,Renekton,Neeko,Malphite,Varus,Lulu,Bard,1783.0,1.0,4.0,1.0,8.0,16.0,7.0,1.0,0.0,0.0,0.0,0.0,0.5384,0.774,0.0,0.0,12.0,7.0,3.0,44.0,12471.0,8558.0,287.9865,11325.0,252.0,248.0,4.0,8.4801,3227.0,5069.0,88.0,3560.0,5256.0,99.0,-333.0,-187.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,4989.0,8664.0,129.0,5066.0,8670.0,147.0,-77.0,-6.0,-18.0,0.0,1.0,0.0,0.0,0.0,1.0,7681.0,13060.0,186.0,6277.0,10841.0,179.0,1404.0,2219.0,7.0,2.0,2.0,0.0,0.0,0.0,3.0,10003.0,15325.0,217.0,10041.0,15030.0,212.0,-38.0,295.0,5.0,3.0,3.0,1.0,4.0,1.0,3.0
LOLTMNT05_171148,complete,LIT,2026.0,0.0,2.0,16.01,Blue,top,Kiin,Gen.G,1.0,Ambessa,Neeko,Sylas,Vi,Varus,Sivir,1469.0,1.0,2.0,1.0,7.0,34.0,5.0,0.0,0.0,0.0,0.0,0.0,1.3887,1.5929,0.0,0.0,13.0,4.0,2.0,29.0,10614.0,7342.0,299.8775,10100.0,229.0,229.0,0.0,9.3533,3329.0,4994.0,90.0,3612.0,5523.0,87.0,-283.0,-529.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,4924.0,8507.0,141.0,5302.0,9338.0,140.0,-378.0,-831.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,7761.0,12046.0,202.0,6968.0,12534.0,190.0,793.0,-488.0,12.0,2.0,0.0,1.0,1.0,1.0,1.0,10614.0,15404.0,229.0,7789.0,13615.0,198.0,2825.0,1789.0,31.0,2.0,7.0,1.0,1.0,3.0,4.0
LOLTMNT01_322115,complete,LCP,2026.0,0.0,1.0,16.01,Red,top,Kiin,Gen.G,1.0,Rumble,Neeko,Malphite,Orianna,Sivir,Ziggs,1872.0,1.0,6.0,0.0,10.0,22.0,7.0,1.0,0.0,0.0,0.0,0.0,0.7051,0.9295,0.0,0.0,16.0,3.0,2.0,38.0,16208.0,12114.0,388.2692,14300.0,285.0,281.0,4.0,9.1346,3994.0,5379.0,104.0,3530.0,5348.0,98.0,464.0,31.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6308.0,9157.0,155.0,5103.0,8595.0,148.0,1205.0,562.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,9352.0,12842.0,211.0,6965.0,11811.0,204.0,2387.0,1031.0,7.0,2.0,0.0,0.0,0.0,1.0,1.0,12160.0,16777.0,257.0,8426.0,13823.0,239.0,3734.0,2954.0,18.0,3.0,3.0,0.0,0.0,1.0,2.0
LOLTMNT01_322119,complete,LCP,2026.0,0.0,2.0,16.01,Blue,top,Kiin,Gen.G,0.0,Sion,Azir,Orianna,Malphite,Aphelios,Corki,1682.0,1.0,4.0,2.0,11.0,27.0,9.0,1.0,0.0,0.0,0.0,0.0,0.9631,1.2485,0.0,0.0,19.0,2.0,6.0,38.0,10762.0,7055.0,251.6647,9850.0,244.0,244.0,0.0,8.7039,3309.0,4619.0,85.0,3811.0,5201.0,98.0,-502.0,-582.0,-13.0,0.0,1.0,1.0,1.0,1.0,0.0,5034.0,8399.0,145.0,5480.0,8871.0,154.0,-446.0,-472.0,-9.0,0.0,1.0,1.0,1.0,1.0,0.0,7118.0,11909.0,200.0,7410.0,11666.0,201.0,-292.0,243.0,-1.0,1.0,3.0,1.0,2.0,1.0,1.0,8852.0,15378.0,240.0,8838.0,14300.0,238.0,14.0,1078.0,2.0,1.0,7.0,1.0,2.0,1.0,2.0
LOLTMNT06_166059,complete,AL,2026.0,0.0,1.0,16.01,Blue,top,Kiin,Gen.G,1.0,Renekton,Neeko,Malphite,Varus,Taliyah,Sion,2075.0,1.0,6.0,2.0,5.0,18.0,22.0,2.0,1.0,0.0,0.0,0.0,0.5205,1.1566,0.0,0.0,17.0,8.0,7.0,55.0,16343.0,11834.0,342.188,14175.0,322.0,322.0,0.0,9.3108,3775.0,5410.0,104.0,3222.0,5149.0,88.0,553.0,261.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,5461.0,9332.0,160.0,5111.0,9123.0,150.0,350.0,209.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,7603.0,13046.0,228.0,7121.0,12838.0,212.0,482.0,208.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,10566.0,16348.0,263.0,9602.0,16398.0,257.0,964.0,-50.0,6.0,2.0,2.0,1.0,1.0,4.0,1.0
LOLTMNT02_343107,complete,HW,2026.0,0.0,2.0,16.01,Blue,top,Kiin,Gen.G,0.0,Gwen,Rumble,Jayce,Neeko,Jax,Aurora,1916.0,1.0,4.0,3.0,6.0,23.0,10.0,0.0,0.0,0.0,0.0,0.0,0.7203,1.0334,0.0,0.0,17.0,8.0,2.0,49.0,13207.0,9023.0,282.5574,11500.0,277.0,277.0,0.0,8.6743,3291.0,5056.0,91.0,3242.0,5255.0,86.0,49.0,-199.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4736.0,7989.0,120.0,5866.0,9288.0,138.0,-1130.0,-1299.0,-18.0,0.0,2.0,2.0,2.0,1.0,0.0,6464.0,11591.0,172.0,8002.0,13349.0,203.0,-1538.0,-1758.0,-31.0,0.0,4.0,2.0,2.0,1.0,0.0,8546.0,15100.0,226.0,10533.0,16672.0,250.0,-1987.0,-1572.0,-24.0,0.0,4.0,2.0,3.0,2.0,2.0
LOLTMNT06_166077,complete,AL,2026.0,0.0,1.0,16.01,Red,top,Kiin,Gen.G,0.0,Gwen,Jayce,Rumble,Orianna,Nautilus,Neeko,2034.0,1.0,9.0,2.0,5.0,19.0,6.0,1.0,0.0,0.0,0.0,0.0,0.5605,0.7375,0.0,0.0,16.0,8.0,5.0,54.0,17041.0,12616.0,372.1534,15475.0,295.0,287.0,8.0,8.7021,3768.0,5461.0,88.0,3360.0,5088.0,85.0,408.0,373.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,5749.0,8986.0,132.0,5485.0,9013.0,141.0,264.0,-27.0,-9.0,2.0,2.0,1.0,1.0,1.0,1.0,9053.0,12125.0,181.0,7129.0,11139.0,170.0,1924.0,986.0,11.0,4.0,3.0,1.0,2.0,1.0,3.0,11274.0,15768.0,231.0,8649.0,13543.0,214.0,2625.0,2225.0,17.0,5.0,3.0,1.0,2.0,1.0,5.0
LOLTMNT01_327530,complete,HW,2026.0,0.0,2.0,16.01,Blue,top,Kiin,Gen.G,1.0,Rumble,Neeko,Malphite,Orianna,K'Sante,Ornn,1817.0,1.0,4.0,0.0,8.0,22.0,5.0,1.0,0.0,0.0,0.0,0.0,0.7265,0.8916,0.0,0.0,17.0,6.0,2.0,47.0,13952.0,9970.0,329.224,12050.0,249.0,245.0,4.0,8.2223,3634.0,5472.0,94.0,3373.0,5193.0,92.0,261.0,279.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5770.0,9253.0,148.0,4890.0,8714.0,140.0,880.0,539.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8524.0,12324.0,193.0,6675.0,11103.0,178.0,1849.0,1221.0,15.0,2.0,1.0,0.0,1.0,0.0,1.0,9905.0,14046.0,207.0,7826.0,13199.0,204.0,2079.0,847.0,3.0,2.0,3.0,0.0,1.0,0.0,1.0
LOLTMNT04_151709,complete,TCL,2026.0,0.0,1.0,16.02,Blue,top,Kiin,Gen.G,0.0,Aurora,Jayce,Varus,Rumble,Nami,Bard,2164.0,1.0,8.0,0.0,9.0,21.0,8.0,1.0,1.0,1.0,1.0,0.0,0.5823,0.8041,0.0,0.0,24.0,8.0,5.0,58.0,16733.0,12043.0,333.9094,15285.0,325.0,325.0,0.0,9.0111,3620.0,5149.0,101.0,3110.0,4781.0,68.0,510.0,368.0,33.0,0.0,0.0,0.0,0.0,2.0,0.0,5199.0,9267.0,154.0,4674.0,8413.0,120.0,525.0,854.0,34.0,0.0,0.0,0.0,0.0,2.0,0.0,7705.0,12425.0,192.0,6278.0,10930.0,154.0,1427.0,1495.0,38.0,2.0,2.0,0.0,0.0,4.0,1.0,9522.0,16361.0,244.0,7851.0,13357.0,190.0,1671.0,3004.0,54.0,2.0,3.0,0.0,0.0,4.0,1.0
LOLTMNT01_338311,complete,HW,2026.0,0.0,2.0,16.02,Blue,top,Kiin,Gen.G,0.0,Gnar,Rumble,Varus,Jayce,Sivir,Kalista,2103.0,1.0,4.0,2.0,7.0,21.0,17.0,2.0,0.0,0.0,0.0,0.0,0.5991,1.0842,0.0,0.0,24.0,6.0,7.0,55.0,15695.0,11129.0,317.5178,14708.0,318.0,318.0,0.0,9.0728,3584.0,5348.0,98.0,3418.0,5025.0,96.0,166.0,323.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5283.0,8816.0,146.0,5147.0,8687.0,153.0,136.0,129.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,7956.0,11942.0,187.0,7907.0,11996.0,206.0,49.0,-54.0,-19.0,2.0,2.0,1.0,1.0,1.0,1.0,10658.0,14901.0,242.0,9870.0,15414.0,262.0,788.0,-513.0,-20.0,2.0,2.0,2.0,1.0,4.0,1.0
