gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_165020,complete,AL,2026.0,0.0,1.0,16.01,Red,jng,Kireas,Dark Passage,0.0,Wukong,Orianna,Jayce,Rumble,Sivir,Yunara,1871.0,1.0,6.0,0.0,4.0,15.0,4.0,0.0,0.0,0.0,0.0,1.0,0.481,0.6093,1.0,0.0,8.0,8.0,6.0,53.0,14323.0,10231.0,328.0919,12583.0,249.0,14.0,235.0,7.985,3952.0,4410.0,82.0,3444.0,4226.0,79.0,508.0,184.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,6336.0,6761.0,117.0,4948.0,6285.0,112.0,1388.0,476.0,5.0,3.0,2.0,0.0,0.0,0.0,1.0,8873.0,9799.0,161.0,6807.0,7831.0,135.0,2066.0,1968.0,26.0,5.0,3.0,0.0,1.0,0.0,2.0,10851.0,13298.0,201.0,8335.0,10516.0,169.0,2516.0,2782.0,32.0,5.0,3.0,0.0,1.0,0.0,2.0
LOLTMNT02_344020,complete,HW,2026.0,0.0,2.0,16.01,Blue,jng,Kireas,Dark Passage,1.0,Jarvan IV,Syndra,Varus,Jayce,Neeko,Karma,3418.0,0.0,1.0,5.0,15.0,24.0,24.0,0.0,0.0,0.0,0.0,1.0,0.4213,0.8426,2.0,3.0,7.0,28.0,7.0,95.0,20264.0,13016.0,228.4845,22385.0,342.0,66.0,276.0,6.0035,3874.0,3651.0,71.0,3394.0,3898.0,74.0,480.0,-247.0,-3.0,1.0,2.0,0.0,0.0,0.0,1.0,5553.0,5908.0,111.0,5387.0,6450.0,117.0,166.0,-542.0,-6.0,1.0,2.0,1.0,1.0,0.0,1.0,7400.0,8667.0,143.0,7190.0,8941.0,160.0,210.0,-274.0,-17.0,1.0,6.0,1.0,1.0,2.0,1.0,9154.0,10757.0,172.0,8729.0,11104.0,184.0,425.0,-347.0,-12.0,1.0,8.0,2.0,1.0,4.0,2.0
LOLTMNT02_344034,complete,HW,2026.0,0.0,3.0,16.01,Red,jng,Kireas,Dark Passage,0.0,Dr. Mundo,Jayce,Orianna,Sivir,Rakan,Lulu,2482.0,1.0,2.0,2.0,13.0,23.0,15.0,0.0,0.0,0.0,0.0,1.0,0.556,0.9186,2.0,1.0,8.0,17.0,7.0,64.0,15116.0,9777.0,236.3497,13225.0,268.0,27.0,241.0,6.4786,3841.0,3728.0,72.0,3532.0,4069.0,78.0,309.0,-341.0,-6.0,1.0,3.0,0.0,0.0,1.0,0.0,5836.0,6460.0,118.0,5683.0,6838.0,126.0,153.0,-378.0,-8.0,2.0,3.0,0.0,1.0,2.0,0.0,7837.0,9239.0,159.0,7660.0,9723.0,174.0,177.0,-484.0,-15.0,2.0,4.0,0.0,1.0,3.0,0.0,9191.0,11001.0,185.0,10721.0,12731.0,211.0,-1530.0,-1730.0,-26.0,2.0,4.0,1.0,4.0,3.0,0.0
LOLTMNT01_333999,complete,LJL,2026.0,0.0,1.0,16.02,Blue,jng,Kireas,Dark Passage,1.0,Vi,Rumble,Malphite,Orianna,LeBlanc,Sylas,1751.0,0.0,1.0,3.0,3.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.1713,0.7196,0.0,1.0,6.0,20.0,6.0,77.0,9961.0,6113.0,209.4689,9200.0,206.0,24.0,182.0,7.0588,3357.0,3892.0,78.0,3610.0,4346.0,76.0,-253.0,-454.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,5526.0,6364.0,120.0,6015.0,7645.0,125.0,-489.0,-1281.0,-5.0,1.0,0.0,1.0,1.0,3.0,1.0,7380.0,9064.0,158.0,7968.0,9568.0,145.0,-588.0,-504.0,13.0,1.0,2.0,1.0,3.0,5.0,1.0,9210.0,11396.0,200.0,9929.0,12866.0,192.0,-719.0,-1470.0,8.0,1.0,2.0,1.0,3.0,5.0,1.0
LOLTMNT01_335002,complete,LJL,2026.0,0.0,2.0,16.02,Red,jng,Kireas,Dark Passage,0.0,Wukong,Rumble,Orianna,Malphite,Leona,Neeko,2278.0,1.0,10.0,3.0,10.0,28.0,23.0,1.0,0.0,0.0,0.0,0.0,0.7375,1.3433,2.0,0.0,11.0,21.0,15.0,80.0,17791.0,12868.0,338.9289,16668.0,260.0,51.0,209.0,6.8481,3990.0,3990.0,73.0,5104.0,4437.0,76.0,-1114.0,-447.0,-3.0,2.0,1.0,1.0,3.0,1.0,1.0,6986.0,6667.0,117.0,8106.0,7911.0,124.0,-1120.0,-1244.0,-7.0,4.0,1.0,2.0,5.0,4.0,2.0,9070.0,9325.0,154.0,11514.0,11201.0,171.0,-2444.0,-1876.0,-17.0,5.0,2.0,2.0,6.0,6.0,3.0,10639.0,11166.0,179.0,13650.0,13188.0,200.0,-3011.0,-2022.0,-21.0,5.0,5.0,3.0,7.0,7.0,4.0
LOLTMNT01_335065,complete,LCP,2026.0,0.0,3.0,16.02,Blue,jng,Kireas,Dark Passage,1.0,Xin Zhao,Rumble,Malphite,Neeko,Fiora,Volibear,2523.0,1.0,6.0,4.0,16.0,24.0,22.0,0.0,0.0,0.0,0.0,0.0,0.5707,1.0939,1.0,1.0,14.0,15.0,13.0,70.0,17041.0,11618.0,276.2901,15775.0,238.0,26.0,212.0,5.6599,3875.0,3809.0,71.0,3852.0,4025.0,75.0,23.0,-216.0,-4.0,1.0,2.0,0.0,2.0,0.0,2.0,5331.0,5717.0,104.0,5958.0,6702.0,120.0,-627.0,-985.0,-16.0,1.0,2.0,1.0,3.0,1.0,2.0,8636.0,9075.0,149.0,7764.0,9460.0,161.0,872.0,-385.0,-12.0,3.0,5.0,2.0,3.0,2.0,4.0,11161.0,11625.0,183.0,9144.0,11164.0,187.0,2017.0,461.0,-4.0,5.0,5.0,2.0,3.0,3.0,5.0
LOLTMNT02_349530,complete,LCKC,2026.0,0.0,1.0,16.02,Red,jng,Kireas,Dark Passage,0.0,Xin Zhao,Varus,Rumble,Orianna,Nautilus,Leona,1637.0,0.0,1.0,4.0,3.0,8.0,25.0,0.0,0.0,0.0,0.0,0.0,0.2932,1.2095,0.0,1.0,6.0,11.0,6.0,41.0,9490.0,5875.0,215.3329,9050.0,184.0,18.0,166.0,6.744,3451.0,4334.0,77.0,3802.0,4376.0,86.0,-351.0,-42.0,-9.0,0.0,0.0,1.0,0.0,2.0,0.0,5915.0,7243.0,121.0,5512.0,6532.0,124.0,403.0,711.0,-3.0,1.0,2.0,2.0,0.0,3.0,1.0,7691.0,9869.0,161.0,8366.0,9510.0,162.0,-675.0,359.0,-1.0,1.0,3.0,2.0,2.0,6.0,1.0,9090.0,10983.0,179.0,10616.0,12766.0,202.0,-1526.0,-1783.0,-23.0,1.0,3.0,3.0,3.0,10.0,1.0
LOLTMNT05_175233,complete,TCL,2026.0,0.0,2.0,16.02,Red,jng,Kireas,Dark Passage,0.0,Viego,Rumble,Orianna,Jarvan IV,Sylas,Taliyah,1771.0,0.0,2.0,5.0,1.0,9.0,21.0,0.0,0.0,0.0,0.0,0.0,0.3049,0.9825,0.0,1.0,5.0,5.0,4.0,29.0,11053.0,7165.0,242.7442,10625.0,213.0,31.0,182.0,7.2163,3576.0,4314.0,82.0,3499.0,4396.0,83.0,77.0,-82.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,5085.0,6216.0,110.0,5351.0,7304.0,132.0,-266.0,-1088.0,-22.0,0.0,1.0,1.0,0.0,0.0,0.0,6811.0,8687.0,153.0,7836.0,10677.0,171.0,-1025.0,-1990.0,-18.0,0.0,1.0,2.0,1.0,1.0,0.0,9278.0,10906.0,186.0,10586.0,14719.0,223.0,-1308.0,-3813.0,-37.0,1.0,1.0,3.0,2.0,3.0,0.0
LOLTMNT05_175583,complete,AL,2026.0,0.0,2.0,16.03,Red,jng,Kireas,Dark Passage,0.0,Viego,Jayce,Varus,Rumble,Sivir,Kalista,2273.0,0.0,8.0,5.0,5.0,17.0,20.0,1.0,0.0,0.0,0.0,1.0,0.4487,0.9767,0.0,1.0,7.0,21.0,10.0,69.0,16353.0,11440.0,301.9798,15405.0,297.0,49.0,248.0,7.8399,3495.0,3590.0,62.0,3488.0,3698.0,73.0,7.0,-108.0,-11.0,1.0,0.0,2.0,0.0,2.0,1.0,6376.0,6804.0,113.0,5196.0,6388.0,119.0,1180.0,416.0,-6.0,4.0,0.0,2.0,0.0,2.0,2.0,9353.0,10228.0,158.0,6793.0,8049.0,147.0,2560.0,2179.0,11.0,6.0,1.0,2.0,0.0,3.0,2.0,11258.0,12881.0,189.0,9050.0,10757.0,177.0,2208.0,2124.0,12.0,7.0,3.0,3.0,1.0,5.0,2.0
LOLTMNT02_353790,complete,HW,2026.0,0.0,1.0,16.03,Red,jng,Kireas,Dark Passage,0.0,Wukong,Ryze,Yunara,Rumble,Caitlyn,Sivir,2291.0,0.0,3.0,7.0,6.0,19.0,28.0,0.0,0.0,0.0,0.0,1.0,0.4976,1.2309,1.0,1.0,10.0,18.0,10.0,74.0,14532.0,9583.0,250.9734,12375.0,264.0,63.0,201.0,6.914,3832.0,4079.0,77.0,3520.0,4528.0,84.0,312.0,-449.0,-7.0,1.0,0.0,0.0,0.0,0.0,1.0,5357.0,6083.0,106.0,5918.0,7281.0,129.0,-561.0,-1198.0,-23.0,1.0,2.0,2.0,2.0,0.0,2.0,7009.0,8608.0,144.0,8004.0,9968.0,172.0,-995.0,-1360.0,-28.0,1.0,2.0,3.0,2.0,1.0,2.0,8573.0,10661.0,178.0,9900.0,12571.0,205.0,-1327.0,-1910.0,-27.0,1.0,2.0,4.0,3.0,1.0,2.0
