gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_166105,complete,AL,2026.0,0.0,1.0,16.02,Blue,sup,Koresh,Priority,1.0,Rakan,Ryze,Jarvan IV,Renekton,,,1995.0,1.0,0.0,1.0,21.0,23.0,15.0,0.0,0.0,0.0,0.0,0.0,0.6917,1.1429,0.0,0.0,60.0,12.0,9.0,132.0,9769.0,5424.0,163.1278,8975.0,39.0,39.0,0.0,1.1729,2479.0,2572.0,16.0,2897.0,2922.0,17.0,-418.0,-350.0,-1.0,0.0,0.0,0.0,1.0,2.0,0.0,4211.0,4362.0,24.0,4115.0,4013.0,22.0,96.0,349.0,2.0,0.0,4.0,0.0,1.0,3.0,1.0,5500.0,5909.0,30.0,5734.0,5879.0,23.0,-234.0,30.0,7.0,0.0,6.0,0.0,2.0,6.0,1.0,6959.0,7735.0,34.0,6818.0,7072.0,25.0,141.0,663.0,9.0,0.0,11.0,1.0,2.0,7.0,2.0
LOLTMNT01_336659,complete,LCKC,2026.0,0.0,1.0,16.02,Red,sup,Koresh,Priority,0.0,Karma,Ryze,Orianna,Ambessa,Jax,Aatrox,2477.0,1.0,0.0,4.0,15.0,19.0,20.0,0.0,0.0,0.0,0.0,0.0,0.4602,0.9205,0.0,0.0,78.0,16.0,5.0,168.0,11386.0,6057.0,146.7178,9640.0,36.0,36.0,0.0,0.872,2424.0,2632.0,13.0,2273.0,2556.0,12.0,151.0,76.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3822.0,3959.0,22.0,3617.0,3209.0,17.0,205.0,750.0,5.0,0.0,0.0,2.0,0.0,4.0,1.0,4939.0,5372.0,24.0,5110.0,5304.0,22.0,-171.0,68.0,2.0,0.0,0.0,2.0,1.0,4.0,1.0,6314.0,8325.0,26.0,6337.0,6951.0,24.0,-23.0,1374.0,2.0,0.0,4.0,3.0,1.0,4.0,2.0
LOLTMNT04_151797,complete,LFL,2026.0,0.0,1.0,16.02,Blue,sup,Koresh,Priority,1.0,Lulu,Aphelios,Ryze,Qiyana,Rell,Neeko,1978.0,0.0,0.0,4.0,11.0,15.0,17.0,0.0,0.0,0.0,0.0,0.0,0.455,0.9707,0.0,0.0,56.0,14.0,6.0,139.0,8277.0,3966.0,120.3033,7485.0,31.0,31.0,0.0,0.9403,2342.0,3060.0,16.0,2151.0,2463.0,15.0,191.0,597.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3783.0,4694.0,20.0,3387.0,3026.0,20.0,396.0,1668.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,5127.0,6203.0,22.0,4650.0,4435.0,23.0,477.0,1768.0,-1.0,0.0,7.0,1.0,0.0,3.0,2.0,6306.0,8079.0,25.0,5749.0,5870.0,27.0,557.0,2209.0,-2.0,0.0,9.0,1.0,0.0,3.0,3.0
LOLTMNT02_346771,complete,LJL,2026.0,0.0,2.0,16.02,Red,sup,Koresh,Priority,0.0,Braum,Aphelios,Ryze,Qiyana,Rell,Neeko,1447.0,0.0,0.0,6.0,3.0,5.0,29.0,0.0,0.0,0.0,0.0,0.0,0.2073,1.4098,0.0,0.0,28.0,3.0,1.0,59.0,5321.0,2094.0,86.8279,4540.0,26.0,26.0,0.0,1.0781,2227.0,2400.0,14.0,2461.0,2041.0,8.0,-234.0,359.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,3302.0,3855.0,22.0,4028.0,3787.0,13.0,-726.0,68.0,9.0,0.0,0.0,2.0,0.0,8.0,1.0,4581.0,6355.0,25.0,5734.0,5998.0,15.0,-1153.0,357.0,10.0,0.0,3.0,3.0,0.0,13.0,3.0,5321.0,8811.0,26.0,7648.0,9887.0,15.0,-2327.0,-1076.0,11.0,0.0,3.0,6.0,0.0,23.0,3.0
LOLTMNT02_350825,complete,HW,2026.0,0.0,1.0,16.02,Blue,sup,Koresh,Priority,1.0,Lulu,Jarvan IV,Gwen,Dr. Mundo,Alistar,Rell,1973.0,1.0,0.0,3.0,16.0,27.0,20.0,0.0,0.0,0.0,0.0,0.0,0.8211,1.4293,0.0,0.0,57.0,4.0,5.0,116.0,9049.0,4748.0,144.3893,7290.0,22.0,22.0,0.0,0.669,2502.0,3460.0,15.0,2479.0,3181.0,20.0,23.0,279.0,-5.0,0.0,2.0,0.0,0.0,1.0,0.0,3693.0,4926.0,18.0,3750.0,4678.0,36.0,-57.0,248.0,-18.0,0.0,4.0,0.0,0.0,2.0,1.0,5111.0,6658.0,21.0,5182.0,6945.0,50.0,-71.0,-287.0,-29.0,0.0,8.0,0.0,0.0,3.0,3.0,6458.0,9271.0,21.0,6329.0,8327.0,54.0,129.0,944.0,-33.0,0.0,9.0,0.0,0.0,5.0,3.0
LOLTMNT05_175298,complete,TCL,2026.0,0.0,2.0,16.02,Blue,sup,Koresh,Priority,1.0,Nami,Jarvan IV,Gwen,Dr. Mundo,Varus,Mel,1483.0,1.0,0.0,2.0,18.0,22.0,10.0,0.0,0.0,0.0,0.0,1.0,0.8901,1.2947,0.0,0.0,42.0,9.0,5.0,83.0,7760.0,4459.0,180.4046,6250.0,25.0,25.0,0.0,1.0115,2906.0,3043.0,13.0,2531.0,2717.0,16.0,375.0,326.0,-3.0,0.0,4.0,1.0,0.0,3.0,1.0,4183.0,4538.0,18.0,3813.0,4121.0,21.0,370.0,417.0,-3.0,0.0,8.0,2.0,0.0,6.0,3.0,5493.0,6732.0,21.0,5008.0,5824.0,26.0,485.0,908.0,-5.0,0.0,12.0,2.0,0.0,7.0,4.0,7760.0,10273.0,25.0,6080.0,7520.0,27.0,1680.0,2753.0,-2.0,0.0,18.0,2.0,0.0,7.0,5.0
LOLTMNT02_353141,complete,LPLOL,2026.0,0.0,1.0,16.03,Red,sup,Koresh,Priority,0.0,Nami,Galio,Viego,Jarvan IV,Ryze,Ahri,1742.0,1.0,3.0,2.0,19.0,29.0,8.0,0.0,0.0,0.0,0.0,0.0,0.9989,1.2744,0.0,0.0,47.0,8.0,4.0,91.0,9745.0,5916.0,203.7658,8340.0,23.0,23.0,0.0,0.7922,3263.0,2757.0,12.0,2443.0,2988.0,15.0,820.0,-231.0,-3.0,1.0,6.0,1.0,0.0,1.0,2.0,4494.0,4760.0,17.0,3476.0,4269.0,22.0,1018.0,491.0,-5.0,1.0,7.0,1.0,0.0,1.0,2.0,6339.0,6759.0,19.0,4563.0,5895.0,23.0,1776.0,864.0,-4.0,2.0,10.0,2.0,0.0,2.0,3.0,8124.0,8737.0,20.0,6150.0,8458.0,29.0,1974.0,279.0,-9.0,3.0,13.0,2.0,0.0,3.0,3.0
LOLTMNT02_353164,complete,LPLOL,2026.0,0.0,2.0,16.03,Red,sup,Koresh,Priority,0.0,Lux,Galio,Viego,Jarvan IV,Ryze,Ahri,1599.0,0.0,3.0,9.0,5.0,12.0,30.0,0.0,0.0,0.0,0.0,0.0,0.4503,1.576,0.0,0.0,31.0,7.0,2.0,65.0,7657.0,4119.0,154.5591,7130.0,32.0,32.0,0.0,1.2008,2649.0,2673.0,16.0,2769.0,2979.0,16.0,-120.0,-306.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,4290.0,4460.0,27.0,4396.0,4418.0,17.0,-106.0,42.0,10.0,1.0,3.0,4.0,1.0,5.0,1.0,5723.0,5983.0,31.0,5513.0,6135.0,18.0,210.0,-152.0,13.0,2.0,4.0,6.0,1.0,5.0,2.0,7298.0,7570.0,32.0,6834.0,9058.0,20.0,464.0,-1488.0,12.0,3.0,4.0,8.0,1.0,8.0,2.0
LOLTMNT02_354231,complete,LCP,2026.0,1.0,3.0,16.03,Blue,sup,Koresh,Priority,1.0,Rakan,Galio,Aphelios,Jarvan IV,Xin Zhao,Pantheon,1738.0,0.0,1.0,6.0,13.0,18.0,26.0,0.0,0.0,0.0,0.0,0.0,0.6214,1.519,0.0,0.0,45.0,9.0,6.0,95.0,7758.0,3937.0,135.9148,7240.0,32.0,32.0,0.0,1.1047,2904.0,2772.0,14.0,3076.0,2975.0,12.0,-172.0,-203.0,2.0,1.0,1.0,2.0,1.0,3.0,0.0,3994.0,4156.0,23.0,4640.0,4449.0,16.0,-646.0,-293.0,7.0,1.0,1.0,3.0,1.0,7.0,0.0,5506.0,6128.0,26.0,6155.0,5753.0,17.0,-649.0,375.0,9.0,1.0,6.0,3.0,2.0,8.0,1.0,6906.0,7355.0,30.0,7490.0,8370.0,18.0,-584.0,-1015.0,12.0,1.0,11.0,4.0,2.0,11.0,3.0
LOLTMNT02_353248,complete,LES,2026.0,0.0,4.0,16.03,Blue,sup,Koresh,Priority,1.0,Braum,Galio,Aphelios,Jarvan IV,Xin Zhao,Kennen,1945.0,0.0,1.0,8.0,19.0,28.0,35.0,0.0,0.0,0.0,0.0,1.0,0.8638,1.9434,0.0,0.0,45.0,9.0,4.0,116.0,8989.0,4746.0,146.4062,8530.0,26.0,24.0,2.0,0.8021,2871.0,2786.0,16.0,2295.0,2929.0,14.0,576.0,-143.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,4432.0,4505.0,17.0,3735.0,4637.0,20.0,697.0,-132.0,-3.0,1.0,8.0,3.0,0.0,2.0,3.0,6069.0,6137.0,23.0,5292.0,6611.0,23.0,777.0,-474.0,0.0,1.0,14.0,5.0,0.0,9.0,5.0,7517.0,8318.0,24.0,6417.0,8602.0,26.0,1100.0,-284.0,-2.0,1.0,18.0,6.0,0.0,11.0,6.0
