gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_163282,complete,LEC,2026.0,0.0,1.0,16.01,Red,top,Kratos,MVK Esports,1.0,Rek'Sai,Ambessa,Sylas,Neeko,K'Sante,Bard,1760.0,1.0,5.0,1.0,4.0,14.0,4.0,1.0,0.0,0.0,0.0,0.0,0.4773,0.6136,0.0,0.0,14.0,3.0,5.0,45.0,13898.0,10032.0,342.0,12450.0,290.0,286.0,4.0,9.8864,3781.0,5534.0,103.0,3295.0,5012.0,90.0,486.0,522.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5739.0,9624.0,165.0,4948.0,8434.0,142.0,791.0,1190.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,8361.0,13259.0,220.0,6934.0,11829.0,199.0,1427.0,1430.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,9879.0,15111.0,247.0,8318.0,14260.0,234.0,1561.0,851.0,13.0,2.0,1.0,1.0,0.0,1.0,1.0
LOLTMNT01_320998,complete,LCP,2026.0,0.0,2.0,16.01,Red,top,Kratos,MVK Esports,0.0,Renekton,K'Sante,Rumble,Azir,Orianna,Sylas,1691.0,1.0,7.0,3.0,1.0,19.0,6.0,3.0,0.0,0.0,0.0,0.0,0.6742,0.887,0.0,0.0,15.0,5.0,4.0,38.0,13444.0,9719.0,344.8492,12025.0,272.0,268.0,4.0,9.6511,3961.0,5448.0,95.0,3149.0,4715.0,74.0,812.0,733.0,21.0,1.0,0.0,1.0,0.0,1.0,1.0,6569.0,8847.0,136.0,5403.0,7720.0,115.0,1166.0,1127.0,21.0,3.0,0.0,2.0,1.0,2.0,2.0,8676.0,12149.0,198.0,7700.0,11850.0,176.0,976.0,299.0,22.0,3.0,0.0,2.0,2.0,2.0,2.0,12125.0,16306.0,244.0,10431.0,14909.0,214.0,1694.0,1397.0,30.0,7.0,0.0,3.0,3.0,3.0,3.0
LOLTMNT03_340339,complete,LCK,2026.0,0.0,1.0,16.01,Blue,top,Kratos,MVK Esports,1.0,K'Sante,Neeko,Sylas,Akali,Bard,Nautilus,2746.0,0.0,1.0,2.0,3.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.1092,0.3277,0.0,0.0,19.0,22.0,16.0,91.0,16698.0,10821.0,236.4385,15400.0,418.0,418.0,0.0,9.1333,3422.0,5100.0,95.0,3506.0,5162.0,91.0,-84.0,-62.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5286.0,9050.0,156.0,5051.0,8718.0,138.0,235.0,332.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,7460.0,12163.0,208.0,6663.0,12132.0,189.0,797.0,31.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,9617.0,15943.0,269.0,8322.0,14900.0,237.0,1295.0,1043.0,32.0,0.0,2.0,0.0,0.0,0.0,1.0
LOLTMNT02_344222,complete,LCP,2026.0,0.0,2.0,16.01,Blue,top,Kratos,MVK Esports,1.0,Aatrox,Neeko,Sylas,Renekton,Lulu,Braum,2186.0,1.0,5.0,0.0,6.0,17.0,8.0,1.0,0.0,0.0,0.0,0.0,0.4666,0.6862,0.0,0.0,18.0,14.0,8.0,68.0,16692.0,11957.0,328.1885,15650.0,334.0,318.0,16.0,9.1674,3261.0,4778.0,80.0,3357.0,5224.0,87.0,-96.0,-446.0,-7.0,0.0,2.0,0.0,0.0,0.0,1.0,5077.0,8723.0,138.0,5231.0,8606.0,140.0,-154.0,117.0,-2.0,0.0,2.0,0.0,0.0,0.0,1.0,7308.0,12669.0,203.0,7744.0,12308.0,207.0,-436.0,361.0,-4.0,0.0,2.0,0.0,0.0,0.0,1.0,9884.0,16254.0,260.0,9971.0,16164.0,280.0,-87.0,90.0,-20.0,1.0,2.0,0.0,0.0,1.0,1.0
LOLTMNT03_341450,complete,LCK,2026.0,0.0,3.0,16.01,Red,top,Kratos,MVK Esports,0.0,Vayne,Ambessa,Aurora,Neeko,Akali,Sylas,1900.0,1.0,2.0,2.0,2.0,15.0,8.0,0.0,0.0,0.0,0.0,0.0,0.4737,0.7263,0.0,0.0,14.0,7.0,5.0,39.0,11547.0,7395.0,233.5263,9658.0,250.0,246.0,4.0,7.8947,3168.0,4529.0,81.0,3749.0,5273.0,96.0,-581.0,-744.0,-15.0,0.0,0.0,1.0,1.0,0.0,0.0,4629.0,7263.0,126.0,5767.0,8638.0,152.0,-1138.0,-1375.0,-26.0,0.0,0.0,1.0,1.0,0.0,0.0,6730.0,10215.0,173.0,8277.0,11640.0,204.0,-1547.0,-1425.0,-31.0,1.0,0.0,1.0,1.0,0.0,1.0,8393.0,12613.0,204.0,10342.0,13970.0,234.0,-1949.0,-1357.0,-30.0,1.0,0.0,2.0,3.0,0.0,1.0
LOLTMNT01_327784,complete,LCK,2026.0,0.0,1.0,16.01,Red,top,Kratos,MVK Esports,1.0,K'Sante,Neeko,Sylas,Azir,Varus,Yunara,2140.0,0.0,0.0,2.0,2.0,8.0,17.0,0.0,0.0,0.0,0.0,0.0,0.2243,0.7009,0.0,0.0,17.0,11.0,10.0,63.0,12307.0,7666.0,214.9346,11905.0,327.0,327.0,0.0,9.1682,3514.0,5286.0,102.0,3559.0,5317.0,89.0,-45.0,-31.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5779.0,9408.0,172.0,6233.0,8733.0,136.0,-454.0,675.0,36.0,0.0,0.0,0.0,3.0,0.0,0.0,7517.0,12306.0,222.0,8181.0,11918.0,189.0,-664.0,388.0,33.0,0.0,0.0,0.0,3.0,1.0,0.0,8986.0,14794.0,260.0,9959.0,14578.0,225.0,-973.0,216.0,35.0,0.0,0.0,0.0,3.0,2.0,0.0
LOLTMNT01_327799,complete,LCK,2026.0,0.0,2.0,16.01,Red,top,Kratos,MVK Esports,1.0,Ambessa,Neeko,Sylas,Azir,Lulu,Pantheon,2095.0,1.0,0.0,2.0,2.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.2578,0.3723,0.0,0.0,19.0,10.0,7.0,58.0,13263.0,8714.0,249.5656,11735.0,332.0,332.0,0.0,9.5084,3277.0,5162.0,90.0,3656.0,5348.0,103.0,-379.0,-186.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,4967.0,9112.0,147.0,5269.0,9016.0,155.0,-302.0,96.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,6919.0,12257.0,202.0,7176.0,12208.0,211.0,-257.0,49.0,-9.0,0.0,0.0,0.0,0.0,1.0,0.0,8682.0,14940.0,250.0,9386.0,15790.0,273.0,-704.0,-850.0,-23.0,0.0,0.0,1.0,0.0,2.0,0.0
LOLTMNT06_166086,complete,AL,2026.0,0.0,3.0,16.01,Red,top,Kratos,MVK Esports,0.0,Aatrox,Azir,Kai'Sa,Lucian,Galio,Gnar,2269.0,0.0,1.0,4.0,2.0,9.0,23.0,0.0,0.0,0.0,0.0,0.0,0.238,0.8462,0.0,0.0,17.0,5.0,10.0,45.0,12912.0,8008.0,211.7585,12025.0,275.0,271.0,4.0,7.2719,3374.0,5348.0,92.0,3607.0,5317.0,106.0,-233.0,31.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,4646.0,7479.0,119.0,6093.0,9141.0,137.0,-1447.0,-1662.0,-18.0,0.0,0.0,2.0,3.0,1.0,0.0,7258.0,10785.0,172.0,8977.0,12173.0,179.0,-1719.0,-1388.0,-7.0,1.0,1.0,2.0,5.0,3.0,0.0,8621.0,13379.0,198.0,10992.0,14974.0,219.0,-2371.0,-1595.0,-21.0,1.0,2.0,3.0,5.0,4.0,0.0
LOLTMNT01_334140,complete,LJL,2026.0,0.0,1.0,16.02,Red,top,Kratos,MVK Esports,1.0,K'Sante,Poppy,Nocturne,Ambessa,Yunara,Bard,2141.0,0.0,1.0,2.0,4.0,10.0,16.0,0.0,0.0,0.0,0.0,0.0,0.2802,0.7286,0.0,0.0,16.0,4.0,10.0,49.0,13329.0,8686.0,243.419,14100.0,331.0,331.0,0.0,9.276,3543.0,5286.0,101.0,3381.0,5348.0,93.0,162.0,-62.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5209.0,8811.0,153.0,5029.0,9330.0,150.0,180.0,-519.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7201.0,11813.0,205.0,6888.0,11756.0,185.0,313.0,57.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0,9145.0,15231.0,246.0,9177.0,14623.0,224.0,-32.0,608.0,22.0,1.0,3.0,0.0,3.0,0.0,1.0
LOLTMNT01_333250,complete,LJL,2026.0,0.0,2.0,16.02,Red,top,Kratos,MVK Esports,0.0,Aurora,Orianna,Ambessa,Poppy,Pantheon,Wukong,2035.0,1.0,1.0,4.0,4.0,19.0,8.0,0.0,0.0,0.0,0.0,0.0,0.5602,0.7961,0.0,0.0,21.0,6.0,10.0,52.0,12781.0,8354.0,246.3096,12900.0,287.0,287.0,0.0,8.4619,3741.0,5312.0,90.0,3026.0,4879.0,76.0,715.0,433.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,5328.0,8731.0,140.0,4882.0,8555.0,121.0,446.0,176.0,19.0,0.0,1.0,1.0,1.0,0.0,0.0,7140.0,10814.0,180.0,6905.0,11655.0,173.0,235.0,-841.0,7.0,0.0,1.0,2.0,1.0,0.0,0.0,9057.0,13757.0,233.0,8588.0,14213.0,219.0,469.0,-456.0,14.0,0.0,1.0,2.0,1.0,1.0,0.0
