gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_174076,complete,LIT,2026.0,0.0,1.0,16.01,Red,top,Krosak,CITA Kaizen,0.0,Gnar,Jayce,Jarvan IV,Ziggs,Rell,Sion,1683.0,1.0,4.0,5.0,4.0,21.0,7.0,0.0,0.0,0.0,0.0,0.0,0.7487,0.9982,0.0,0.0,10.0,2.0,2.0,22.0,11016.0,7307.0,260.4991,9258.0,196.0,196.0,0.0,6.9875,3353.0,4446.0,65.0,3871.0,4635.0,72.0,-518.0,-189.0,-7.0,1.0,1.0,3.0,2.0,1.0,2.0,4707.0,6611.0,101.0,6290.0,8589.0,123.0,-1583.0,-1978.0,-22.0,1.0,1.0,5.0,4.0,1.0,2.0,6590.0,10370.0,138.0,8005.0,11707.0,174.0,-1415.0,-1337.0,-36.0,2.0,2.0,5.0,4.0,2.0,3.0,8587.0,13833.0,174.0,8815.0,13042.0,182.0,-228.0,791.0,-8.0,2.0,3.0,5.0,4.0,2.0,4.0
LOLTMNT01_331397,complete,HLL,2026.0,0.0,1.0,16.02,Blue,top,Krosak,CITA Kaizen,1.0,Sion,Renekton,Diana,Jarvan IV,K'Sante,Olaf,2153.0,1.0,2.0,4.0,16.0,27.0,17.0,0.0,0.0,0.0,0.0,0.0,0.7524,1.2262,0.0,0.0,9.0,2.0,3.0,24.0,12661.0,7993.0,222.7497,11575.0,229.0,229.0,0.0,6.3818,2954.0,4483.0,71.0,3507.0,5509.0,62.0,-553.0,-1026.0,9.0,0.0,0.0,2.0,2.0,0.0,0.0,4876.0,8235.0,116.0,5696.0,9018.0,103.0,-820.0,-783.0,13.0,0.0,1.0,2.0,2.0,0.0,1.0,6677.0,11517.0,155.0,7006.0,11135.0,127.0,-329.0,382.0,28.0,0.0,7.0,2.0,2.0,1.0,3.0,8622.0,14621.0,184.0,8572.0,13210.0,155.0,50.0,1411.0,29.0,1.0,11.0,2.0,2.0,2.0,4.0
LOLTMNT01_334977,complete,LCP,2026.0,0.0,1.0,16.02,Blue,top,Krosak,CITA Kaizen,1.0,Ornn,Jayce,Malphite,Jarvan IV,Sivir,Yunara,1369.0,0.0,0.0,3.0,3.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,0.3068,1.271,0.0,0.0,10.0,2.0,4.0,24.0,7091.0,4023.0,176.3185,6350.0,181.0,181.0,0.0,7.9328,3103.0,4770.0,77.0,3367.0,4914.0,86.0,-264.0,-144.0,-9.0,0.0,1.0,0.0,0.0,0.0,0.0,4915.0,8501.0,133.0,4955.0,8616.0,137.0,-40.0,-115.0,-4.0,0.0,1.0,0.0,0.0,0.0,0.0,6565.0,11609.0,172.0,6661.0,11576.0,179.0,-96.0,33.0,-7.0,0.0,3.0,1.0,0.0,2.0,1.0,,,,,,,,,,,,,,,
LOLTMNT01_336035,complete,LCP,2026.0,0.0,2.0,16.02,Red,top,Krosak,CITA Kaizen,0.0,K'Sante,Neeko,Jayce,Ryze,Ambessa,Sion,1401.0,0.0,3.0,4.0,3.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.5567,1.7987,0.0,0.0,7.0,1.0,1.0,17.0,8418.0,5284.0,226.2955,6875.0,172.0,172.0,0.0,7.3662,3509.0,5255.0,82.0,3409.0,4759.0,79.0,100.0,496.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,5629.0,10015.0,135.0,4951.0,8091.0,123.0,678.0,1924.0,12.0,2.0,1.0,0.0,0.0,0.0,2.0,7646.0,11925.0,164.0,6970.0,10410.0,150.0,676.0,1515.0,14.0,3.0,2.0,2.0,2.0,2.0,3.0,,,,,,,,,,,,,,,
LOLTMNT02_348822,complete,LJL,2026.0,0.0,1.0,16.02,Blue,top,Krosak,CITA Kaizen,1.0,K'Sante,Gwen,Orianna,Thresh,Ambessa,Rumble,2212.0,0.0,6.0,5.0,4.0,25.0,29.0,1.0,0.0,0.0,0.0,0.0,0.6781,1.4647,0.0,0.0,12.0,2.0,3.0,36.0,13741.0,8953.0,242.8481,13075.0,269.0,269.0,0.0,7.2966,3306.0,5162.0,83.0,2969.0,4839.0,71.0,337.0,323.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4945.0,8900.0,131.0,4699.0,8556.0,120.0,246.0,344.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,7368.0,12821.0,174.0,6703.0,11201.0,160.0,665.0,1620.0,14.0,2.0,2.0,1.0,0.0,0.0,1.0,9365.0,15869.0,210.0,8751.0,13440.0,187.0,614.0,2429.0,23.0,3.0,2.0,2.0,1.0,0.0,2.0
LOLTMNT01_338588,complete,LCP,2026.0,0.0,2.0,16.02,Blue,top,Krosak,CITA Kaizen,1.0,Aatrox,Gwen,Orianna,Azir,Braum,Alistar,1763.0,1.0,6.0,2.0,4.0,24.0,8.0,0.0,0.0,0.0,0.0,1.0,0.8168,1.0891,0.0,0.0,11.0,3.0,1.0,34.0,13031.0,9159.0,311.7073,11825.0,263.0,255.0,8.0,8.9507,4306.0,5507.0,85.0,3049.0,4767.0,63.0,1257.0,740.0,22.0,2.0,0.0,1.0,1.0,0.0,2.0,6885.0,9996.0,133.0,4163.0,6480.0,91.0,2722.0,3516.0,42.0,5.0,0.0,2.0,1.0,0.0,5.0,9011.0,12958.0,178.0,5666.0,9840.0,126.0,3345.0,3118.0,52.0,6.0,2.0,2.0,1.0,1.0,6.0,11075.0,16864.0,224.0,7246.0,12594.0,172.0,3829.0,4270.0,52.0,6.0,2.0,2.0,1.0,1.0,6.0
LOLTMNT01_338625,complete,LCK,2026.0,0.0,3.0,16.02,Blue,top,Krosak,CITA Kaizen,1.0,Zaahen,Gwen,Orianna,Azir,Jax,Olaf,1754.0,1.0,1.0,2.0,8.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0262,1.3683,0.0,0.0,7.0,0.0,1.0,14.0,10767.0,6913.0,236.4766,9858.0,213.0,213.0,0.0,7.2862,3549.0,5220.0,95.0,3041.0,4790.0,73.0,508.0,430.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,5190.0,8644.0,141.0,4552.0,8481.0,117.0,638.0,163.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,7348.0,11981.0,173.0,6871.0,11672.0,155.0,477.0,309.0,18.0,0.0,3.0,2.0,1.0,1.0,2.0,9284.0,15421.0,208.0,8775.0,15004.0,214.0,509.0,417.0,-6.0,0.0,3.0,2.0,1.0,1.0,2.0
LOLTMNT02_353141,complete,LPLOL,2026.0,0.0,1.0,16.03,Blue,top,Krosak,CITA Kaizen,1.0,Sion,Diana,Orianna,Ambessa,Syndra,Gwen,1742.0,0.0,0.0,4.0,2.0,8.0,29.0,0.0,0.0,0.0,0.0,0.0,0.2755,1.2744,0.0,0.0,10.0,4.0,2.0,37.0,9667.0,5838.0,201.0792,8700.0,263.0,263.0,0.0,9.0586,3286.0,5317.0,93.0,3654.0,5275.0,86.0,-368.0,42.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,4881.0,9132.0,146.0,5541.0,9005.0,134.0,-660.0,127.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,6699.0,12734.0,209.0,8003.0,12966.0,202.0,-1304.0,-232.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,8264.0,14833.0,240.0,10694.0,16544.0,238.0,-2430.0,-1711.0,2.0,0.0,1.0,3.0,1.0,4.0,0.0
LOLTMNT02_353164,complete,LPLOL,2026.0,0.0,2.0,16.03,Blue,top,Krosak,CITA Kaizen,1.0,Jayce,Ambessa,Orianna,Sivir,Malphite,Ornn,1599.0,1.0,3.0,5.0,3.0,30.0,12.0,0.0,0.0,0.0,0.0,0.0,1.1257,1.576,0.0,0.0,9.0,0.0,1.0,12.0,11432.0,7894.0,296.2101,11025.0,237.0,233.0,4.0,8.8931,4192.0,5548.0,100.0,3167.0,4728.0,81.0,1025.0,820.0,19.0,1.0,1.0,0.0,0.0,0.0,2.0,6126.0,9534.0,140.0,5324.0,9150.0,127.0,802.0,384.0,13.0,2.0,1.0,2.0,1.0,1.0,2.0,8001.0,12497.0,190.0,7257.0,12585.0,176.0,744.0,-88.0,14.0,2.0,1.0,3.0,1.0,3.0,2.0,10423.0,16073.0,230.0,9132.0,15191.0,211.0,1291.0,882.0,19.0,3.0,2.0,4.0,1.0,4.0,3.0
LOLTMNT02_354231,complete,LCP,2026.0,1.0,3.0,16.03,Red,top,Krosak,CITA Kaizen,0.0,Gnar,Ambessa,Orianna,Ryze,Braum,Alistar,1738.0,1.0,7.0,5.0,4.0,26.0,18.0,1.0,1.0,0.0,0.0,0.0,0.8976,1.519,0.0,0.0,11.0,2.0,3.0,24.0,13121.0,9300.0,321.0587,11458.0,241.0,241.0,0.0,8.3199,3875.0,5286.0,108.0,2928.0,5129.0,72.0,947.0,157.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,5676.0,8788.0,163.0,4811.0,9168.0,123.0,865.0,-380.0,40.0,0.0,0.0,1.0,0.0,1.0,0.0,7892.0,12031.0,203.0,6909.0,12721.0,165.0,983.0,-690.0,38.0,1.0,0.0,3.0,1.0,2.0,0.0,9956.0,14807.0,225.0,8938.0,14540.0,189.0,1018.0,267.0,36.0,3.0,1.0,4.0,3.0,4.0,0.0
