gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT02_343034,complete,HW,2026.0,0.0,1.0,16.01,Blue,top,Kryze,Solary,1.0,Sion,Malphite,Aurora,Poppy,Caitlyn,Zaahen,1422.0,1.0,3.0,0.0,7.0,22.0,6.0,0.0,0.0,0.0,0.0,1.0,0.9283,1.1392,0.0,0.0,11.0,1.0,1.0,25.0,11727.0,8551.0,360.8017,9825.0,248.0,248.0,0.0,10.4641,4265.0,5713.0,94.0,2923.0,4826.0,72.0,1342.0,887.0,22.0,2.0,0.0,0.0,0.0,0.0,2.0,6153.0,9891.0,151.0,4717.0,8490.0,121.0,1436.0,1401.0,30.0,2.0,0.0,0.0,0.0,0.0,2.0,9752.0,14099.0,215.0,6204.0,10955.0,162.0,3548.0,3144.0,53.0,2.0,5.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,
LOLTMNT04_152129,complete,LFL,2026.0,0.0,1.0,16.02,Blue,top,Kryze,Solary,1.0,Rumble,Malphite,Fiora,Ambessa,Bard,Braum,1556.0,1.0,2.0,1.0,5.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.7712,0.8483,0.0,0.0,14.0,1.0,2.0,32.0,10883.0,7433.0,286.6195,8650.0,250.0,246.0,4.0,9.6401,3902.0,5322.0,92.0,3073.0,4835.0,81.0,829.0,487.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,5574.0,8851.0,143.0,4770.0,8161.0,128.0,804.0,690.0,15.0,1.0,0.0,0.0,0.0,0.0,1.0,8273.0,12802.0,203.0,6066.0,10244.0,161.0,2207.0,2558.0,42.0,2.0,0.0,0.0,0.0,0.0,3.0,10362.0,16540.0,245.0,7598.0,12714.0,203.0,2764.0,3826.0,42.0,2.0,2.0,1.0,0.0,1.0,5.0
LOLTMNT01_338603,complete,LCK,2026.0,0.0,1.0,16.02,Blue,top,Kryze,Solary,1.0,Rumble,Malphite,Jarvan IV,Yunara,Jhin,Sivir,2043.0,0.0,3.0,4.0,7.0,14.0,23.0,0.0,0.0,0.0,0.0,0.0,0.4112,1.0866,0.0,0.0,16.0,0.0,4.0,42.0,14123.0,9680.0,284.2878,13450.0,306.0,302.0,4.0,8.9868,3601.0,5410.0,95.0,3257.0,5406.0,84.0,344.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,5163.0,8912.0,143.0,5193.0,9253.0,135.0,-30.0,-341.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,6744.0,11634.0,185.0,8300.0,12959.0,189.0,-1556.0,-1325.0,-4.0,0.0,1.0,2.0,4.0,1.0,0.0,9710.0,15520.0,235.0,10433.0,15783.0,228.0,-723.0,-263.0,7.0,1.0,5.0,2.0,4.0,2.0,1.0
LOLTMNT02_349163,complete,LJL,2026.0,0.0,1.0,16.02,Blue,top,Kryze,Solary,1.0,Sion,Malphite,Fiora,Ambessa,Gwen,Zaahen,1845.0,1.0,3.0,2.0,5.0,28.0,8.0,0.0,0.0,0.0,0.0,0.0,0.9106,1.1707,0.0,0.0,16.0,1.0,3.0,36.0,11894.0,7855.0,255.4472,10725.0,228.0,224.0,4.0,7.4146,2878.0,4842.0,66.0,3659.0,5532.0,96.0,-781.0,-690.0,-30.0,0.0,0.0,1.0,0.0,1.0,0.0,5254.0,9267.0,117.0,5792.0,8764.0,138.0,-538.0,503.0,-21.0,1.0,1.0,2.0,1.0,1.0,2.0,7455.0,13015.0,162.0,7899.0,12166.0,196.0,-444.0,849.0,-34.0,2.0,3.0,2.0,1.0,1.0,2.0,9246.0,15564.0,204.0,9908.0,15067.0,236.0,-662.0,497.0,-32.0,2.0,4.0,2.0,1.0,1.0,3.0
LOLTMNT05_175239,complete,TCL,2026.0,0.0,1.0,16.02,Blue,top,Kryze,Solary,1.0,Gnar,Ambessa,Orianna,Yunara,Rumble,Aurora,2114.0,1.0,6.0,1.0,10.0,23.0,7.0,0.0,0.0,0.0,0.0,0.0,0.6528,0.8515,0.0,0.0,12.0,10.0,2.0,53.0,15187.0,10599.0,300.8231,14283.0,304.0,292.0,12.0,8.6282,3242.0,4904.0,83.0,3405.0,5224.0,91.0,-163.0,-320.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,4850.0,8274.0,135.0,5277.0,9003.0,136.0,-427.0,-729.0,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,7104.0,12438.0,183.0,6970.0,11622.0,176.0,134.0,816.0,7.0,1.0,1.0,1.0,1.0,0.0,1.0,10235.0,16624.0,230.0,9180.0,13625.0,201.0,1055.0,2999.0,29.0,3.0,3.0,1.0,2.0,0.0,2.0
LOLTMNT02_353317,complete,LES,2026.0,0.0,1.0,16.03,Blue,top,Kryze,Solary,1.0,Rumble,Ambessa,Yunara,Orianna,Corki,Rell,2669.0,1.0,2.0,1.0,7.0,17.0,16.0,0.0,0.0,0.0,0.0,0.0,0.3822,0.7419,0.0,0.0,19.0,2.0,5.0,48.0,18432.0,12712.0,285.77,16415.0,377.0,369.0,8.0,8.4751,3308.0,5286.0,90.0,3690.0,5410.0,103.0,-382.0,-124.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,5908.0,9487.0,144.0,5183.0,8600.0,148.0,725.0,887.0,-4.0,0.0,1.0,0.0,0.0,0.0,1.0,7608.0,12627.0,197.0,6600.0,10354.0,183.0,1008.0,2273.0,14.0,0.0,1.0,0.0,0.0,0.0,1.0,9583.0,15348.0,220.0,7943.0,12572.0,216.0,1640.0,2776.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0
LOLTMNT02_353559,complete,LCK,2026.0,0.0,1.0,16.03,Blue,top,Kryze,Solary,1.0,Sion,Caitlyn,Ambessa,Alistar,Vi,Pantheon,2172.0,1.0,1.0,2.0,9.0,24.0,10.0,0.0,0.0,0.0,0.0,0.0,0.663,0.9392,0.0,0.0,15.0,1.0,5.0,39.0,15929.0,11223.0,310.0276,14955.0,325.0,325.0,0.0,8.9779,3602.0,5289.0,101.0,3680.0,5441.0,97.0,-78.0,-152.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6092.0,8597.0,153.0,5922.0,8937.0,138.0,170.0,-340.0,15.0,0.0,0.0,1.0,1.0,1.0,0.0,8157.0,11164.0,192.0,8093.0,12582.0,190.0,64.0,-1418.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,9713.0,14092.0,238.0,10769.0,15345.0,226.0,-1056.0,-1253.0,12.0,0.0,1.0,1.0,2.0,1.0,2.0
LOLTMNT02_355321,complete,HW,2026.0,0.0,1.0,16.03,Blue,top,Kryze,Solary,1.0,Rumble,Ambessa,Caitlyn,Ryze,Riven,Akali,1549.0,1.0,5.0,1.0,1.0,21.0,14.0,0.0,0.0,0.0,0.0,0.0,0.8134,1.3557,0.0,0.0,11.0,3.0,1.0,31.0,13983.0,10547.0,408.5345,13075.0,259.0,259.0,0.0,10.0323,3804.0,5118.0,102.0,3552.0,5337.0,84.0,252.0,-219.0,18.0,0.0,0.0,1.0,1.0,0.0,1.0,6426.0,8737.0,148.0,5187.0,8915.0,128.0,1239.0,-178.0,20.0,2.0,0.0,1.0,1.0,2.0,1.0,9542.0,12936.0,198.0,6598.0,11170.0,165.0,2944.0,1766.0,33.0,4.0,0.0,1.0,1.0,2.0,3.0,13582.0,17314.0,258.0,8139.0,14044.0,212.0,5443.0,3270.0,46.0,5.0,1.0,1.0,1.0,2.0,4.0
LOLTMNT05_176945,complete,AL,2026.0,1.0,1.0,16.03,Red,top,Kryze,Solary,0.0,K'Sante,Caitlyn,Yunara,Orianna,Jhin,Ezreal,1872.0,1.0,3.0,1.0,8.0,25.0,9.0,0.0,0.0,0.0,0.0,0.0,0.8013,1.0897,0.0,0.0,13.0,4.0,4.0,39.0,13133.0,9039.0,289.7115,12100.0,277.0,273.0,4.0,8.8782,3298.0,4932.0,89.0,3952.0,5523.0,98.0,-654.0,-591.0,-9.0,0.0,0.0,1.0,1.0,0.0,0.0,5512.0,9046.0,145.0,6533.0,9300.0,150.0,-1021.0,-254.0,-5.0,1.0,0.0,1.0,3.0,0.0,0.0,7499.0,11741.0,189.0,8056.0,11535.0,185.0,-557.0,206.0,4.0,1.0,2.0,1.0,3.0,0.0,1.0,10035.0,15529.0,234.0,9982.0,15004.0,231.0,53.0,525.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0
LOLTMNT02_357237,complete,HLL,2026.0,0.0,1.0,16.03,Blue,top,Kryze,Solary,1.0,Sion,Dr. Mundo,Yunara,Jarvan IV,Braum,Bard,2243.0,0.0,0.0,2.0,9.0,13.0,17.0,0.0,0.0,0.0,0.0,0.0,0.3477,0.8025,0.0,0.0,9.0,3.0,2.0,27.0,13129.0,8278.0,221.4356,12630.0,334.0,332.0,2.0,8.9345,3507.0,5310.0,92.0,3497.0,5379.0,93.0,10.0,-69.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,5111.0,8803.0,146.0,5450.0,9333.0,154.0,-339.0,-530.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,7017.0,12265.0,207.0,7163.0,11610.0,197.0,-146.0,655.0,10.0,0.0,1.0,0.0,0.0,1.0,0.0,8754.0,15161.0,254.0,9779.0,15445.0,237.0,-1025.0,-284.0,17.0,0.0,2.0,1.0,2.0,3.0,0.0
