gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_338569,complete,HLL,2026.0,0.0,1.0,16.01,Red,jng,Kurama,PCIFIC Esports,0.0,Malphite,Caitlyn,Orianna,Rumble,Wukong,Trundle,1542.0,0.0,1.0,4.0,3.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.2335,1.0895,0.0,1.0,7.0,5.0,4.0,32.0,9213.0,5792.0,225.3696,8450.0,168.0,16.0,152.0,6.537,3375.0,4104.0,76.0,4048.0,4279.0,85.0,-673.0,-175.0,-9.0,0.0,0.0,1.0,1.0,1.0,0.0,5172.0,6292.0,106.0,6597.0,6605.0,124.0,-1425.0,-313.0,-18.0,0.0,2.0,2.0,3.0,1.0,0.0,6881.0,8678.0,143.0,8859.0,10060.0,173.0,-1978.0,-1382.0,-30.0,0.0,2.0,2.0,4.0,3.0,0.0,8310.0,10397.0,165.0,12017.0,13657.0,208.0,-3707.0,-3260.0,-43.0,0.0,2.0,3.0,4.0,6.0,0.0
LOLTMNT04_147348,complete,TCL,2026.0,0.0,2.0,16.01,Red,jng,Kurama,PCIFIC Esports,0.0,Jarvan IV,Caitlyn,Orianna,Rumble,Karma,Bard,1790.0,0.0,2.0,4.0,8.0,12.0,19.0,0.0,0.0,0.0,0.0,0.0,0.4022,1.0391,0.0,2.0,7.0,7.0,7.0,37.0,9919.0,5992.0,200.8492,9575.0,169.0,7.0,162.0,5.6648,3981.0,3640.0,67.0,4311.0,4425.0,82.0,-330.0,-785.0,-15.0,2.0,1.0,0.0,1.0,1.0,1.0,5360.0,5489.0,96.0,6733.0,7497.0,136.0,-1373.0,-2008.0,-40.0,2.0,2.0,0.0,2.0,2.0,1.0,6903.0,8227.0,131.0,9503.0,10648.0,186.0,-2600.0,-2421.0,-55.0,2.0,2.0,0.0,2.0,2.0,1.0,8882.0,11532.0,160.0,12098.0,13682.0,220.0,-3216.0,-2150.0,-60.0,2.0,7.0,2.0,3.0,5.0,3.0
LOLTMNT01_333999,complete,LJL,2026.0,0.0,1.0,16.02,Red,jng,Kurama,PCIFIC Esports,0.0,Viego,Akali,Ryze,Jayce,Nautilus,Leona,1751.0,1.0,5.0,1.0,6.0,16.0,5.0,1.0,0.0,0.0,0.0,1.0,0.5483,0.7196,1.0,0.0,9.0,3.0,9.0,30.0,12375.0,8527.0,292.1873,10308.0,214.0,3.0,211.0,7.333,3610.0,4346.0,76.0,3357.0,3892.0,78.0,253.0,454.0,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,6015.0,7645.0,125.0,5526.0,6364.0,120.0,489.0,1281.0,5.0,1.0,3.0,1.0,1.0,0.0,1.0,7968.0,9568.0,145.0,7380.0,9064.0,158.0,588.0,504.0,-13.0,3.0,5.0,1.0,1.0,2.0,1.0,9929.0,12866.0,192.0,9210.0,11396.0,200.0,719.0,1470.0,-8.0,3.0,5.0,1.0,1.0,2.0,1.0
LOLTMNT01_335002,complete,LJL,2026.0,0.0,2.0,16.02,Blue,jng,Kurama,PCIFIC Esports,1.0,Qiyana,Akali,Jarvan IV,Jayce,Nautilus,Braum,2278.0,0.0,8.0,7.0,8.0,23.0,28.0,0.0,0.0,0.0,0.0,0.0,0.6058,1.3433,0.0,2.0,7.0,2.0,5.0,31.0,18840.0,13917.0,366.5584,19325.0,272.0,7.0,265.0,7.1642,5104.0,4437.0,76.0,3990.0,3990.0,73.0,1114.0,447.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,8106.0,7911.0,124.0,6986.0,6667.0,117.0,1120.0,1244.0,7.0,5.0,4.0,2.0,4.0,1.0,2.0,11514.0,11201.0,171.0,9070.0,9325.0,154.0,2444.0,1876.0,17.0,6.0,6.0,3.0,5.0,2.0,2.0,13650.0,13188.0,200.0,10639.0,11166.0,179.0,3011.0,2022.0,21.0,7.0,7.0,4.0,5.0,5.0,3.0
LOLTMNT01_335065,complete,LCP,2026.0,0.0,3.0,16.02,Red,jng,Kurama,PCIFIC Esports,0.0,Dr. Mundo,Akali,Jayce,Orianna,Braum,Rakan,2523.0,0.0,4.0,8.0,9.0,22.0,24.0,0.0,0.0,0.0,0.0,0.0,0.5232,1.0939,1.0,1.0,10.0,9.0,9.0,66.0,15258.0,9835.0,233.8882,15425.0,291.0,31.0,260.0,6.9203,3852.0,4025.0,75.0,3875.0,3809.0,71.0,-23.0,216.0,4.0,2.0,0.0,2.0,1.0,2.0,0.0,5958.0,6702.0,120.0,5331.0,5717.0,104.0,627.0,985.0,16.0,3.0,1.0,2.0,1.0,2.0,1.0,7764.0,9460.0,161.0,8636.0,9075.0,149.0,-872.0,385.0,12.0,3.0,2.0,4.0,3.0,5.0,2.0,9144.0,11164.0,187.0,11161.0,11625.0,183.0,-2017.0,-461.0,4.0,3.0,3.0,5.0,5.0,5.0,2.0
LOLTMNT02_350129,complete,LJL,2026.0,0.0,1.0,16.02,Red,jng,Kurama,PCIFIC Esports,0.0,Aatrox,Caitlyn,Ryze,Rumble,Syndra,Taliyah,1620.0,1.0,4.0,0.0,4.0,19.0,4.0,0.0,0.0,0.0,0.0,1.0,0.7037,0.8519,1.0,0.0,13.0,7.0,4.0,48.0,11714.0,8134.0,301.2593,9975.0,228.0,11.0,217.0,8.4444,3996.0,4278.0,79.0,4077.0,4439.0,77.0,-81.0,-161.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,5920.0,7197.0,127.0,5932.0,7111.0,113.0,-12.0,86.0,14.0,2.0,1.0,0.0,1.0,1.0,2.0,8021.0,10414.0,173.0,7674.0,8904.0,144.0,347.0,1510.0,29.0,2.0,2.0,0.0,1.0,1.0,3.0,10547.0,14100.0,213.0,9050.0,10782.0,170.0,1497.0,3318.0,43.0,3.0,3.0,0.0,1.0,1.0,4.0
LOLTMNT02_350141,complete,LJL,2026.0,0.0,2.0,16.02,Blue,jng,Kurama,PCIFIC Esports,1.0,Viego,Caitlyn,Jarvan IV,Jayce,Draven,Smolder,2023.0,1.0,4.0,1.0,4.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.4745,0.5635,2.0,0.0,11.0,12.0,11.0,57.0,14485.0,10082.0,299.0213,12733.0,287.0,34.0,253.0,8.5121,3923.0,3813.0,74.0,3383.0,3916.0,73.0,540.0,-103.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,5793.0,6793.0,126.0,5028.0,6225.0,113.0,765.0,568.0,13.0,2.0,1.0,1.0,0.0,0.0,2.0,8100.0,10336.0,178.0,7522.0,9103.0,164.0,578.0,1233.0,14.0,2.0,1.0,1.0,1.0,0.0,2.0,10001.0,13370.0,219.0,9083.0,10769.0,193.0,918.0,2601.0,26.0,2.0,1.0,1.0,1.0,0.0,2.0
LOLTMNT05_175585,complete,TCL,2026.0,0.0,1.0,16.03,Red,jng,Kurama,PCIFIC Esports,0.0,Qiyana,Varus,Zaahen,Taliyah,Neeko,Lulu,1988.0,0.0,3.0,4.0,6.0,9.0,21.0,0.0,0.0,0.0,0.0,1.0,0.2716,0.9054,0.0,0.0,10.0,12.0,9.0,51.0,13990.0,9659.0,291.5191,13800.0,234.0,27.0,207.0,7.0624,4169.0,4501.0,85.0,3400.0,4083.0,73.0,769.0,418.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,6230.0,6780.0,118.0,5542.0,6986.0,122.0,688.0,-206.0,-4.0,1.0,2.0,1.0,1.0,1.0,0.0,8749.0,9304.0,156.0,9145.0,10840.0,169.0,-396.0,-1536.0,-13.0,2.0,3.0,2.0,5.0,1.0,0.0,10677.0,11615.0,195.0,11528.0,13714.0,204.0,-851.0,-2099.0,-9.0,2.0,3.0,2.0,7.0,1.0,0.0
LOLTMNT05_176544,complete,AL,2026.0,0.0,2.0,16.03,Red,jng,Kurama,PCIFIC Esports,0.0,Viego,Varus,Vi,Orianna,Gnar,Poppy,2052.0,0.0,3.0,6.0,2.0,11.0,22.0,0.0,0.0,0.0,0.0,0.0,0.3216,0.9357,0.0,2.0,8.0,9.0,9.0,42.0,11831.0,7369.0,215.4678,11658.0,208.0,15.0,193.0,6.0819,3962.0,3997.0,71.0,3652.0,4394.0,84.0,310.0,-397.0,-13.0,2.0,1.0,0.0,0.0,1.0,1.0,6054.0,6720.0,116.0,5705.0,7223.0,128.0,349.0,-503.0,-12.0,3.0,1.0,0.0,1.0,1.0,1.0,8107.0,9102.0,154.0,7888.0,10872.0,173.0,219.0,-1770.0,-19.0,3.0,1.0,1.0,1.0,4.0,1.0,9222.0,10507.0,171.0,10573.0,15709.0,240.0,-1351.0,-5202.0,-69.0,3.0,1.0,3.0,1.0,5.0,1.0
LOLTMNT05_175874,complete,NLC,2026.0,0.0,1.0,16.03,Blue,jng,Kurama,PCIFIC Esports,1.0,Xin Zhao,Jayce,Ambessa,Rumble,Dr. Mundo,Neeko,1767.0,0.0,1.0,4.0,2.0,6.0,17.0,0.0,0.0,0.0,0.0,1.0,0.2037,0.781,0.0,1.0,6.0,3.0,5.0,34.0,10551.0,6671.0,226.5195,10155.0,210.0,19.0,191.0,7.1307,3866.0,4139.0,78.0,3543.0,4535.0,86.0,323.0,-396.0,-8.0,1.0,0.0,0.0,0.0,0.0,0.0,5449.0,6494.0,117.0,5495.0,7549.0,137.0,-46.0,-1055.0,-20.0,1.0,0.0,1.0,0.0,1.0,0.0,7619.0,9271.0,155.0,7559.0,10832.0,192.0,60.0,-1561.0,-37.0,1.0,1.0,1.0,0.0,1.0,0.0,9421.0,11862.0,189.0,11010.0,14491.0,237.0,-1589.0,-2629.0,-48.0,1.0,2.0,2.0,2.0,3.0,0.0
