gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_337968,complete,CBLOL,2026.0,0.0,1.0,16.01,Red,sup,Kuri,paiN Gaming,1.0,Rell,Neeko,Sylas,Akali,Ezreal,Yunara,2016.0,0.0,0.0,5.0,7.0,8.0,23.0,0.0,0.0,0.0,0.0,0.0,0.2381,0.9226,0.0,0.0,79.0,15.0,15.0,144.0,7765.0,3377.0,100.506,6960.0,42.0,40.0,2.0,1.25,2184.0,2676.0,24.0,2250.0,2958.0,21.0,-66.0,-282.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3264.0,3781.0,31.0,3496.0,4237.0,26.0,-232.0,-456.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,4489.0,5264.0,34.0,4863.0,5811.0,35.0,-374.0,-547.0,-1.0,0.0,1.0,1.0,0.0,4.0,0.0,5704.0,7154.0,38.0,6571.0,8436.0,44.0,-867.0,-1282.0,-6.0,0.0,2.0,2.0,0.0,9.0,0.0
LOLTMNT04_148327,complete,TCL,2026.0,0.0,1.0,16.01,Blue,sup,Kuri,paiN Gaming,0.0,Leona,Jayce,Rumble,Ambessa,Gwen,Gnar,1694.0,0.0,1.0,6.0,4.0,9.0,21.0,0.0,0.0,0.0,0.0,0.0,0.3188,1.0626,0.0,0.0,63.0,14.0,12.0,118.0,7088.0,3357.0,118.902,6925.0,30.0,30.0,0.0,1.0626,2528.0,2664.0,17.0,2478.0,2472.0,20.0,50.0,192.0,-3.0,0.0,2.0,0.0,0.0,0.0,0.0,4209.0,3399.0,23.0,3614.0,2873.0,26.0,595.0,526.0,-3.0,1.0,3.0,0.0,0.0,1.0,0.0,5281.0,4132.0,27.0,4931.0,3650.0,30.0,350.0,482.0,-3.0,1.0,3.0,2.0,0.0,3.0,0.0,6259.0,5271.0,30.0,6745.0,6225.0,36.0,-486.0,-954.0,-6.0,1.0,3.0,4.0,0.0,9.0,1.0
LOLTMNT05_172198,complete,CCWS,2026.0,0.0,1.0,16.01,Red,sup,Kuri,paiN Gaming,1.0,Neeko,Qiyana,Ambessa,Malphite,Bard,Karma,1821.0,0.0,1.0,5.0,9.0,16.0,23.0,0.0,0.0,0.0,0.0,0.0,0.5272,1.285,0.0,0.0,65.0,7.0,14.0,116.0,8329.0,4339.0,142.9654,7905.0,24.0,24.0,0.0,0.7908,2581.0,2750.0,15.0,2291.0,2700.0,10.0,290.0,50.0,5.0,0.0,2.0,1.0,0.0,1.0,1.0,3706.0,4152.0,16.0,3565.0,3677.0,16.0,141.0,475.0,0.0,0.0,4.0,2.0,0.0,4.0,2.0,5045.0,5119.0,17.0,4892.0,4936.0,17.0,153.0,183.0,0.0,0.0,6.0,3.0,1.0,5.0,3.0,7023.0,6381.0,22.0,6130.0,7205.0,21.0,893.0,-824.0,1.0,1.0,7.0,4.0,1.0,8.0,4.0
LOLTMNT01_326687,complete,HW,2026.0,0.0,1.0,16.02,Blue,sup,Kuri,paiN Gaming,0.0,Rakan,Jayce,Varus,Orianna,Corki,Aphelios,1911.0,0.0,1.0,5.0,9.0,14.0,19.0,0.0,0.0,0.0,0.0,0.0,0.4396,1.0361,0.0,0.0,75.0,10.0,10.0,122.0,7457.0,3283.0,103.0769,6890.0,27.0,27.0,0.0,0.8477,2547.0,2580.0,20.0,2533.0,2926.0,15.0,14.0,-346.0,5.0,0.0,1.0,1.0,0.0,2.0,1.0,3682.0,3325.0,21.0,3722.0,3581.0,18.0,-40.0,-256.0,3.0,0.0,4.0,3.0,0.0,5.0,2.0,4944.0,4516.0,23.0,4899.0,3877.0,22.0,45.0,639.0,1.0,0.0,6.0,3.0,0.0,5.0,3.0,5979.0,5225.0,25.0,5996.0,4561.0,26.0,-17.0,664.0,-1.0,0.0,8.0,3.0,0.0,6.0,4.0
LOLTMNT01_328136,complete,HLL,2026.0,0.0,1.0,16.02,Red,sup,Kuri,paiN Gaming,1.0,Seraphine,Malphite,Ambessa,Akali,Nautilus,Bard,1745.0,0.0,1.0,7.0,7.0,9.0,31.0,0.0,0.0,0.0,0.0,1.0,0.3095,1.3754,0.0,0.0,52.0,9.0,7.0,107.0,7995.0,4160.0,143.0372,7185.0,28.0,28.0,0.0,0.9628,2355.0,3186.0,16.0,2298.0,2750.0,25.0,57.0,436.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,4505.0,4402.0,25.0,4370.0,4267.0,32.0,135.0,135.0,-7.0,1.0,1.0,0.0,1.0,4.0,0.0,5604.0,5471.0,27.0,6458.0,6736.0,33.0,-854.0,-1265.0,-6.0,1.0,2.0,3.0,2.0,9.0,0.0,7072.0,7173.0,27.0,8292.0,8543.0,40.0,-1220.0,-1370.0,-13.0,1.0,5.0,5.0,3.0,13.0,1.0
LOLTMNT01_336821,complete,ROL,2026.0,0.0,1.0,16.02,Red,sup,Kuri,paiN Gaming,1.0,Bard,Ambessa,Rumble,Akali,Gnar,Alistar,1879.0,1.0,1.0,3.0,14.0,19.0,7.0,0.0,0.0,0.0,0.0,1.0,0.6067,0.8302,0.0,0.0,70.0,11.0,13.0,140.0,8495.0,4386.0,140.0532,7595.0,32.0,32.0,0.0,1.0218,2925.0,3228.0,19.0,2394.0,2773.0,21.0,531.0,455.0,-2.0,1.0,1.0,0.0,0.0,0.0,1.0,3993.0,4040.0,20.0,3529.0,3760.0,28.0,464.0,280.0,-8.0,1.0,3.0,1.0,0.0,2.0,2.0,5391.0,5768.0,25.0,4622.0,4533.0,33.0,769.0,1235.0,-8.0,1.0,5.0,1.0,0.0,2.0,2.0,6468.0,6227.0,29.0,5969.0,7073.0,36.0,499.0,-846.0,-7.0,1.0,5.0,2.0,0.0,5.0,2.0
LOLTMNT01_338317,complete,ROL,2026.0,0.0,1.0,16.02,Red,sup,Kuri,paiN Gaming,0.0,Nami,Jayce,Varus,Orianna,Corki,Aphelios,1993.0,1.0,2.0,3.0,22.0,29.0,9.0,1.0,0.0,0.0,0.0,0.0,0.8731,1.144,0.0,0.0,63.0,14.0,13.0,123.0,9872.0,5531.0,166.5128,8710.0,39.0,39.0,0.0,1.1741,2472.0,2826.0,21.0,2737.0,2972.0,18.0,-265.0,-146.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,3676.0,4329.0,29.0,3896.0,4813.0,28.0,-220.0,-484.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,5302.0,6370.0,34.0,4958.0,5619.0,35.0,344.0,751.0,-1.0,0.0,9.0,2.0,1.0,0.0,2.0,7211.0,8574.0,36.0,6503.0,8437.0,45.0,708.0,137.0,-9.0,2.0,11.0,3.0,1.0,6.0,2.0
LOLTMNT04_152756,complete,TCL,2026.0,0.0,1.0,16.02,Red,sup,Kuri,paiN Gaming,1.0,Nautilus,Akali,Qiyana,Pantheon,Yunara,Aphelios,1877.0,0.0,0.0,2.0,11.0,12.0,20.0,0.0,0.0,0.0,0.0,0.0,0.3836,1.0229,0.0,0.0,80.0,11.0,15.0,127.0,7117.0,3012.0,96.2813,6150.0,32.0,32.0,0.0,1.0229,2235.0,2522.0,14.0,2266.0,2507.0,17.0,-31.0,15.0,-3.0,0.0,1.0,0.0,0.0,0.0,1.0,3348.0,3392.0,22.0,3518.0,3307.0,26.0,-170.0,85.0,-4.0,0.0,2.0,0.0,0.0,1.0,1.0,4501.0,4070.0,25.0,4723.0,4733.0,28.0,-222.0,-663.0,-3.0,0.0,3.0,0.0,0.0,2.0,1.0,5649.0,5489.0,27.0,6056.0,5868.0,32.0,-407.0,-379.0,-5.0,0.0,7.0,0.0,0.0,4.0,2.0
LOLTMNT04_152759,complete,LFL,2026.0,0.0,2.0,16.02,Red,sup,Kuri,paiN Gaming,1.0,Karma,Akali,Qiyana,Nocturne,Bard,Gwen,1904.0,1.0,0.0,1.0,17.0,19.0,5.0,0.0,0.0,0.0,0.0,1.0,0.5987,0.7563,0.0,0.0,74.0,9.0,10.0,118.0,8735.0,4575.0,144.1702,7760.0,27.0,27.0,0.0,0.8508,2639.0,2820.0,14.0,2385.0,2580.0,23.0,254.0,240.0,-9.0,0.0,3.0,1.0,0.0,0.0,0.0,3769.0,3411.0,18.0,3437.0,3519.0,28.0,332.0,-108.0,-10.0,0.0,4.0,1.0,0.0,0.0,1.0,5031.0,4455.0,20.0,4589.0,4408.0,33.0,442.0,47.0,-13.0,0.0,7.0,1.0,0.0,1.0,1.0,6294.0,6475.0,24.0,5651.0,5266.0,36.0,643.0,1209.0,-12.0,0.0,10.0,1.0,0.0,1.0,1.0
LOLTMNT01_337603,complete,HW,2026.0,0.0,3.0,16.02,Red,sup,Kuri,paiN Gaming,0.0,Lulu,Qiyana,Jayce,Akali,Rakan,Alistar,1840.0,0.0,0.0,1.0,5.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,0.1957,0.75,0.0,0.0,70.0,6.0,6.0,109.0,7391.0,3362.0,109.6304,6760.0,38.0,36.0,2.0,1.2391,2328.0,3166.0,23.0,2370.0,3024.0,21.0,-42.0,142.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3618.0,4428.0,31.0,3541.0,4130.0,33.0,77.0,298.0,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,4781.0,5595.0,33.0,5500.0,6924.0,35.0,-719.0,-1329.0,-2.0,0.0,2.0,0.0,0.0,7.0,0.0,6277.0,8549.0,37.0,6858.0,8928.0,37.0,-581.0,-379.0,0.0,0.0,4.0,0.0,0.0,9.0,0.0
