gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_172024,complete,LIT,2026.0,0.0,1.0,16.01,Blue,bot,Kyte,Deacoy,1.0,Corki,Orianna,Ambessa,Ryze,Aatrox,Darius,2243.0,1.0,4.0,1.0,6.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.3745,0.7757,0.0,0.0,20.0,9.0,6.0,52.0,17255.0,12404.0,331.8056,14883.0,326.0,320.0,6.0,8.7205,3198.0,3779.0,85.0,3361.0,3416.0,74.0,-163.0,363.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,5043.0,5994.0,126.0,6003.0,5900.0,118.0,-960.0,94.0,8.0,0.0,0.0,1.0,3.0,0.0,0.0,7186.0,8501.0,180.0,7837.0,8416.0,170.0,-651.0,85.0,10.0,0.0,0.0,1.0,3.0,0.0,0.0,9543.0,10849.0,231.0,10102.0,10468.0,210.0,-559.0,381.0,21.0,0.0,1.0,1.0,4.0,1.0,0.0
LOLTMNT05_171070,complete,LIT,2026.0,0.0,1.0,16.01,Red,bot,Kyte,Deacoy,0.0,Sivir,Ambessa,Zaahen,Wukong,Xin Zhao,Urgot,1913.0,1.0,2.0,0.0,8.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0,0.5332,0.69,0.0,0.0,16.0,15.0,4.0,59.0,15868.0,11690.0,366.6492,14300.0,339.0,331.0,8.0,10.6325,3278.0,4313.0,80.0,3416.0,4500.0,95.0,-138.0,-187.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,5833.0,7284.0,142.0,5703.0,6931.0,147.0,130.0,353.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,8780.0,10069.0,197.0,7659.0,9147.0,193.0,1121.0,922.0,4.0,1.0,2.0,0.0,0.0,0.0,1.0,11118.0,12701.0,253.0,9716.0,11657.0,255.0,1402.0,1044.0,-2.0,1.0,5.0,0.0,0.0,0.0,1.0
LOLTMNT01_321182,complete,ROL,2026.0,0.0,1.0,16.01,Red,bot,Kyte,Deacoy,0.0,Sivir,Ornn,K'Sante,Sion,Rell,Orianna,1443.0,0.0,0.0,4.0,0.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0832,0.9979,0.0,0.0,9.0,0.0,0.0,16.0,8528.0,5309.0,220.7484,8300.0,202.0,202.0,0.0,8.3992,3156.0,3888.0,78.0,3673.0,3984.0,99.0,-517.0,-96.0,-21.0,0.0,0.0,0.0,0.0,1.0,0.0,4979.0,5784.0,117.0,6942.0,6689.0,155.0,-1963.0,-905.0,-38.0,0.0,0.0,2.0,2.0,2.0,0.0,7122.0,7798.0,162.0,11180.0,10165.0,222.0,-4058.0,-2367.0,-60.0,0.0,0.0,3.0,5.0,5.0,0.0,8528.0,10045.0,202.0,14966.0,13114.0,260.0,-6438.0,-3069.0,-58.0,0.0,0.0,4.0,10.0,9.0,0.0
LOLTMNT06_164200,complete,LEC,2026.0,0.0,1.0,16.01,Blue,bot,Kyte,Deacoy,1.0,Corki,Ahri,Ambessa,Wukong,Xayah,Rell,1546.0,1.0,9.0,2.0,8.0,25.0,6.0,1.0,0.0,0.0,0.0,0.0,0.9702,1.2031,0.0,0.0,12.0,2.0,5.0,28.0,14086.0,10657.0,413.5964,11900.0,222.0,218.0,4.0,8.6158,4250.0,4108.0,85.0,3228.0,3182.0,77.0,1022.0,926.0,8.0,2.0,0.0,1.0,0.0,1.0,1.0,6220.0,6592.0,134.0,5288.0,5661.0,125.0,932.0,931.0,9.0,2.0,1.0,1.0,0.0,1.0,1.0,10245.0,10748.0,192.0,7458.0,7791.0,174.0,2787.0,2957.0,18.0,6.0,2.0,1.0,0.0,2.0,2.0,13282.0,13509.0,222.0,10178.0,9423.0,203.0,3104.0,4086.0,19.0,8.0,6.0,1.0,1.0,2.0,3.0
LOLTMNT02_343177,complete,LCP,2026.0,0.0,1.0,16.01,Blue,bot,Kyte,Deacoy,1.0,Corki,Ambessa,Lucian,Wukong,Sion,K'Sante,2505.0,1.0,6.0,4.0,5.0,19.0,21.0,1.0,0.0,0.0,0.0,0.0,0.4551,0.9581,0.0,0.0,22.0,11.0,11.0,58.0,21644.0,16258.0,389.4132,19058.0,379.0,351.0,28.0,9.0778,3063.0,3240.0,80.0,3233.0,3583.0,87.0,-170.0,-343.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,5083.0,4981.0,116.0,5485.0,5448.0,132.0,-402.0,-467.0,-16.0,0.0,0.0,0.0,0.0,1.0,0.0,6953.0,7061.0,161.0,8337.0,8687.0,178.0,-1384.0,-1626.0,-17.0,0.0,2.0,2.0,1.0,6.0,1.0,10255.0,9383.0,194.0,10572.0,10681.0,214.0,-317.0,-1298.0,-20.0,2.0,3.0,4.0,2.0,9.0,2.0
LOLTMNT01_327096,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,bot,Kyte,Deacoy,1.0,Corki,Ambessa,Orianna,Mel,Darius,Zaahen,1755.0,0.0,3.0,9.0,6.0,17.0,42.0,0.0,0.0,0.0,0.0,0.0,0.5812,2.0171,0.0,0.0,10.0,3.0,3.0,19.0,12817.0,8961.0,306.359,12683.0,232.0,228.0,4.0,7.9316,3360.0,3711.0,84.0,3968.0,3658.0,80.0,-608.0,53.0,4.0,0.0,1.0,1.0,2.0,0.0,1.0,5812.0,5939.0,124.0,6278.0,5614.0,118.0,-466.0,325.0,6.0,1.0,2.0,2.0,3.0,0.0,2.0,7836.0,7662.0,158.0,9354.0,8891.0,177.0,-1518.0,-1229.0,-19.0,1.0,2.0,4.0,4.0,2.0,2.0,11097.0,10528.0,209.0,12519.0,12332.0,215.0,-1422.0,-1804.0,-6.0,3.0,3.0,7.0,4.0,14.0,3.0
LOLTMNT01_333295,complete,LJL,2026.0,0.0,1.0,16.02,Blue,bot,Kyte,Deacoy,1.0,Corki,Ornn,Rell,Varus,Lulu,Sylas,2304.0,1.0,5.0,0.0,6.0,15.0,7.0,1.0,0.0,0.0,0.0,1.0,0.3906,0.5729,0.0,0.0,19.0,12.0,10.0,53.0,18333.0,13357.0,347.8385,16433.0,370.0,338.0,32.0,9.6354,3610.0,3790.0,79.0,3633.0,3880.0,98.0,-23.0,-90.0,-19.0,1.0,0.0,0.0,0.0,0.0,0.0,5913.0,6418.0,131.0,6108.0,5460.0,142.0,-195.0,958.0,-11.0,1.0,2.0,0.0,1.0,0.0,1.0,8291.0,9020.0,183.0,9168.0,8055.0,212.0,-877.0,965.0,-29.0,2.0,3.0,0.0,2.0,0.0,1.0,10325.0,10946.0,224.0,11339.0,9802.0,260.0,-1014.0,1144.0,-36.0,2.0,4.0,0.0,2.0,1.0,2.0
LOLTMNT01_334313,complete,LCK,2026.0,0.0,2.0,16.02,Red,bot,Kyte,Deacoy,0.0,Yunara,Ornn,Rell,Aurora,Kai'Sa,Bard,2048.0,0.0,2.0,5.0,4.0,10.0,21.0,1.0,0.0,0.0,0.0,0.0,0.293,0.9082,0.0,0.0,17.0,7.0,7.0,43.0,15180.0,10726.0,314.2383,15200.0,312.0,282.0,30.0,9.1406,3220.0,3265.0,81.0,3892.0,3564.0,89.0,-672.0,-299.0,-8.0,0.0,0.0,1.0,1.0,0.0,0.0,5335.0,5191.0,125.0,7207.0,6409.0,147.0,-1872.0,-1218.0,-22.0,0.0,0.0,2.0,2.0,0.0,0.0,7674.0,7633.0,178.0,10752.0,9808.0,219.0,-3078.0,-2175.0,-41.0,0.0,0.0,2.0,4.0,1.0,0.0,11038.0,10515.0,239.0,13813.0,11955.0,264.0,-2775.0,-1440.0,-25.0,2.0,2.0,3.0,7.0,1.0,1.0
LOLTMNT01_333622,complete,CBLOL,2026.0,0.0,3.0,16.02,Blue,bot,Kyte,Deacoy,1.0,Sivir,Ornn,Rell,Aurora,Zaahen,Cho'Gath,1970.0,0.0,11.0,7.0,2.0,14.0,25.0,1.0,1.0,0.0,0.0,0.0,0.4264,1.1878,0.0,0.0,17.0,12.0,8.0,52.0,18034.0,13740.0,418.4772,17400.0,322.0,294.0,28.0,9.8071,4407.0,3598.0,79.0,3624.0,2906.0,64.0,783.0,692.0,15.0,4.0,0.0,0.0,2.0,0.0,3.0,6633.0,5333.0,113.0,5800.0,5256.0,107.0,833.0,77.0,6.0,5.0,0.0,2.0,2.0,1.0,3.0,10341.0,7337.0,151.0,7981.0,8064.0,149.0,2360.0,-727.0,2.0,8.0,0.0,5.0,2.0,3.0,4.0,12882.0,9934.0,225.0,10660.0,11135.0,219.0,2222.0,-1201.0,6.0,8.0,0.0,5.0,2.0,3.0,4.0
LOLTMNT04_152359,complete,LIT,2026.0,0.0,4.0,16.02,Red,bot,Kyte,Deacoy,0.0,Tristana,Ornn,Rell,Aurora,Cho'Gath,Galio,1568.0,0.0,1.0,5.0,1.0,5.0,24.0,0.0,0.0,0.0,0.0,0.0,0.1913,1.1097,0.0,0.0,10.0,5.0,2.0,25.0,10571.0,7097.0,271.5689,9950.0,218.0,214.0,4.0,8.3418,2973.0,3765.0,73.0,4221.0,4339.0,110.0,-1248.0,-574.0,-37.0,0.0,0.0,0.0,0.0,0.0,0.0,4980.0,5798.0,124.0,8934.0,7297.0,171.0,-3954.0,-1499.0,-47.0,0.0,0.0,1.0,3.0,1.0,0.0,7305.0,7811.0,168.0,11983.0,10075.0,225.0,-4678.0,-2264.0,-57.0,0.0,1.0,2.0,3.0,2.0,0.0,10130.0,10240.0,207.0,17429.0,14257.0,279.0,-7299.0,-4017.0,-72.0,1.0,1.0,4.0,9.0,8.0,0.0
