gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_338031,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,sup,Labrov,G2 Esports,0.0,Alistar,Rumble,Orianna,Sion,Braum,Nautilus,1912.0,0.0,0.0,6.0,5.0,7.0,18.0,0.0,0.0,0.0,0.0,1.0,0.2197,0.7531,0.0,0.0,64.0,6.0,15.0,105.0,7015.0,2839.0,89.09,6830.0,23.0,23.0,0.0,0.7218,2620.0,2814.0,14.0,2373.0,2630.0,19.0,247.0,184.0,-5.0,0.0,3.0,0.0,0.0,0.0,1.0,3531.0,3697.0,18.0,3517.0,3953.0,29.0,14.0,-256.0,-11.0,0.0,3.0,0.0,0.0,0.0,1.0,4713.0,4505.0,21.0,4829.0,5649.0,30.0,-116.0,-1144.0,-9.0,0.0,4.0,2.0,0.0,4.0,1.0,5650.0,5198.0,22.0,6698.0,7387.0,34.0,-1048.0,-2189.0,-12.0,0.0,4.0,3.0,1.0,7.0,1.0
LOLTMNT05_171227,complete,CCWS,2026.0,0.0,1.0,16.01,Blue,sup,Labrov,G2 Esports,0.0,Rell,Rumble,Jayce,Orianna,Gwen,Gnar,2159.0,0.0,0.0,5.0,13.0,14.0,19.0,0.0,0.0,0.0,0.0,0.0,0.3891,0.9171,0.0,0.0,74.0,7.0,17.0,140.0,8467.0,3787.0,105.2432,8460.0,23.0,23.0,0.0,0.6392,2447.0,2445.0,16.0,2962.0,2512.0,14.0,-515.0,-67.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,3488.0,3245.0,19.0,4105.0,3905.0,15.0,-617.0,-660.0,4.0,0.0,2.0,1.0,1.0,2.0,0.0,4650.0,4766.0,21.0,5391.0,4725.0,22.0,-741.0,41.0,-1.0,0.0,3.0,2.0,1.0,3.0,0.0,5677.0,5767.0,21.0,6480.0,5497.0,25.0,-803.0,270.0,-4.0,0.0,5.0,3.0,1.0,4.0,0.0
LOLTMNT05_172217,complete,CCWS,2026.0,0.0,1.0,16.01,Blue,sup,Labrov,G2 Esports,1.0,Nautilus,Malphite,Yunara,Rumble,Neeko,Akali,1532.0,1.0,2.0,1.0,13.0,22.0,5.0,0.0,0.0,0.0,0.0,0.0,0.8616,1.0574,0.0,0.0,40.0,8.0,8.0,92.0,7486.0,4085.0,159.9869,6110.0,23.0,23.0,0.0,0.9008,2709.0,2740.0,15.0,2478.0,2352.0,19.0,231.0,388.0,-4.0,0.0,4.0,0.0,0.0,0.0,1.0,4083.0,3434.0,18.0,3508.0,3304.0,25.0,575.0,130.0,-7.0,1.0,6.0,0.0,0.0,0.0,3.0,5317.0,5339.0,22.0,4741.0,4613.0,32.0,576.0,726.0,-10.0,1.0,8.0,0.0,0.0,0.0,4.0,7275.0,8185.0,23.0,5783.0,6476.0,33.0,1492.0,1709.0,-10.0,2.0,11.0,0.0,0.0,0.0,4.0
LOLTMNT06_166082,complete,AL,2026.0,0.0,1.0,16.02,Blue,sup,Labrov,G2 Esports,1.0,Rakan,Neeko,Yunara,Aurora,Alistar,Poppy,1769.0,1.0,0.0,3.0,21.0,25.0,7.0,0.0,0.0,0.0,0.0,0.0,0.8479,1.0854,0.0,0.0,52.0,14.0,10.0,127.0,8467.0,4583.0,155.4438,6955.0,28.0,28.0,0.0,0.9497,2472.0,2456.0,8.0,2596.0,2387.0,12.0,-124.0,69.0,-4.0,0.0,2.0,0.0,0.0,1.0,1.0,3952.0,3985.0,18.0,3888.0,3392.0,21.0,64.0,593.0,-3.0,0.0,9.0,0.0,0.0,2.0,3.0,5257.0,5199.0,20.0,5375.0,4959.0,27.0,-118.0,240.0,-7.0,0.0,11.0,1.0,0.0,2.0,3.0,6695.0,6519.0,24.0,6762.0,6667.0,34.0,-67.0,-148.0,-10.0,0.0,14.0,1.0,0.0,3.0,4.0
LOLTMNT01_328152,complete,HW,2026.0,0.0,1.0,16.02,Blue,sup,Labrov,G2 Esports,0.0,Rakan,Varus,Azir,Orianna,Wukong,Qiyana,2023.0,0.0,0.0,1.0,3.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.1186,0.6822,0.0,0.0,64.0,15.0,12.0,156.0,7782.0,3379.0,100.2175,7140.0,32.0,32.0,0.0,0.9491,2333.0,2747.0,14.0,2263.0,2805.0,15.0,70.0,-58.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3436.0,3654.0,16.0,3638.0,3789.0,17.0,-202.0,-135.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,4648.0,5468.0,21.0,4855.0,5653.0,18.0,-207.0,-185.0,3.0,0.0,1.0,0.0,1.0,3.0,1.0,5878.0,6619.0,27.0,6145.0,6963.0,22.0,-267.0,-344.0,5.0,0.0,2.0,1.0,1.0,6.0,1.0
LOLTMNT01_332170,complete,LCK,2026.0,0.0,1.0,16.02,Blue,sup,Labrov,G2 Esports,1.0,Neeko,Aphelios,Taliyah,Rumble,Ambessa,Gnar,1746.0,1.0,1.0,4.0,10.0,17.0,6.0,0.0,0.0,0.0,0.0,0.0,0.5842,0.7904,0.0,0.0,45.0,9.0,7.0,107.0,8201.0,4364.0,149.9656,7965.0,37.0,33.0,4.0,1.2715,2520.0,2443.0,15.0,2114.0,2489.0,18.0,406.0,-46.0,-3.0,0.0,0.0,1.0,0.0,0.0,0.0,3962.0,3631.0,25.0,3245.0,3270.0,24.0,717.0,361.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,5444.0,5455.0,31.0,4218.0,4417.0,29.0,1226.0,1038.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,6667.0,7163.0,32.0,5372.0,6160.0,32.0,1295.0,1003.0,0.0,1.0,5.0,2.0,0.0,3.0,2.0
LOLTMNT01_336823,complete,HLL,2026.0,0.0,1.0,16.02,Blue,sup,Labrov,G2 Esports,1.0,Alistar,Yunara,Rumble,Aatrox,Ambessa,Neeko,2040.0,1.0,1.0,4.0,10.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.4706,0.8235,0.0,0.0,63.0,16.0,17.0,141.0,8605.0,4168.0,122.5882,7845.0,33.0,29.0,4.0,0.9706,2542.0,2461.0,12.0,2187.0,1881.0,10.0,355.0,580.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,3656.0,3271.0,14.0,3565.0,2862.0,18.0,91.0,409.0,-4.0,1.0,2.0,2.0,0.0,3.0,1.0,4773.0,4236.0,20.0,4702.0,3476.0,19.0,71.0,760.0,1.0,1.0,2.0,2.0,0.0,4.0,1.0,5870.0,4421.0,24.0,5781.0,4489.0,22.0,89.0,-68.0,2.0,1.0,2.0,3.0,0.0,5.0,1.0
LOLTMNT01_337442,complete,AL,2026.0,0.0,1.0,16.02,Blue,sup,Labrov,G2 Esports,1.0,Lulu,Sion,Caitlyn,Poppy,Karma,K'Sante,1892.0,0.0,0.0,3.0,4.0,6.0,10.0,0.0,0.0,0.0,0.0,1.0,0.1903,0.5074,0.0,0.0,52.0,8.0,11.0,97.0,7454.0,3319.0,105.2537,7415.0,22.0,22.0,0.0,0.6977,2521.0,2677.0,12.0,2381.0,3179.0,15.0,140.0,-502.0,-3.0,0.0,1.0,0.0,0.0,0.0,0.0,3875.0,4194.0,17.0,3521.0,4506.0,25.0,354.0,-312.0,-8.0,0.0,2.0,0.0,0.0,0.0,0.0,5002.0,5747.0,19.0,4959.0,6596.0,27.0,43.0,-849.0,-8.0,0.0,3.0,2.0,0.0,3.0,0.0,6195.0,7118.0,22.0,6296.0,7771.0,33.0,-101.0,-653.0,-11.0,0.0,3.0,2.0,0.0,3.0,0.0
LOLTMNT04_152732,complete,TCL,2026.0,0.0,1.0,16.02,Blue,sup,Labrov,G2 Esports,1.0,Alistar,Yunara,Ezreal,Aurelion Sol,Neeko,Rakan,2438.0,1.0,0.0,5.0,13.0,19.0,13.0,0.0,0.0,0.0,0.0,0.0,0.4676,0.7875,0.0,0.0,89.0,15.0,14.0,175.0,10215.0,4966.0,122.2149,9330.0,33.0,33.0,0.0,0.8121,2555.0,2739.0,15.0,2485.0,2402.0,7.0,70.0,337.0,8.0,0.0,2.0,0.0,0.0,1.0,0.0,3829.0,3745.0,21.0,3626.0,3235.0,13.0,203.0,510.0,8.0,0.0,4.0,0.0,0.0,1.0,0.0,5158.0,5082.0,23.0,4879.0,4161.0,18.0,279.0,921.0,5.0,0.0,6.0,1.0,0.0,2.0,1.0,6308.0,6217.0,24.0,6162.0,5423.0,24.0,146.0,794.0,0.0,0.0,7.0,2.0,0.0,3.0,1.0
LOLTMNT02_351385,complete,LCK,2026.0,0.0,1.0,16.03,Blue,sup,Labrov,G2 Esports,1.0,Leona,Yunara,Rumble,Kai'Sa,Thresh,Kennen,1795.0,0.0,1.0,8.0,8.0,10.0,25.0,0.0,0.0,0.0,0.0,0.0,0.3343,1.1699,0.0,0.0,51.0,18.0,13.0,121.0,7480.0,3543.0,118.429,6975.0,40.0,40.0,0.0,1.337,2463.0,2505.0,23.0,2432.0,2465.0,12.0,31.0,40.0,11.0,0.0,1.0,1.0,0.0,2.0,0.0,3720.0,3272.0,32.0,3601.0,3491.0,19.0,119.0,-219.0,13.0,0.0,2.0,1.0,0.0,3.0,1.0,4887.0,4546.0,34.0,5012.0,4661.0,21.0,-125.0,-115.0,13.0,0.0,4.0,3.0,0.0,7.0,1.0,6372.0,6000.0,36.0,6508.0,7808.0,26.0,-136.0,-1808.0,10.0,1.0,6.0,6.0,0.0,14.0,1.0
