gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_335791,complete,LCKC,2026.0,0.0,1.0,16.01,Red,bot,LazyFeel,DRX Challengers,0.0,Ashe,Orianna,Rumble,Sion,Lulu,Nautilus,1428.0,1.0,5.0,1.0,9.0,15.0,2.0,0.0,0.0,0.0,0.0,1.0,0.6303,0.7143,0.0,0.0,10.0,10.0,2.0,32.0,13245.0,10056.0,422.521,11500.0,263.0,259.0,4.0,11.0504,4628.0,3666.0,98.0,4431.0,3795.0,89.0,197.0,-129.0,9.0,3.0,0.0,1.0,2.0,0.0,1.0,7360.0,6172.0,165.0,6692.0,6206.0,153.0,668.0,-34.0,12.0,3.0,2.0,1.0,2.0,0.0,2.0,10257.0,9136.0,224.0,9013.0,8864.0,218.0,1244.0,272.0,6.0,4.0,4.0,1.0,2.0,0.0,2.0,,,,,,,,,,,,,,,
LOLTMNT03_335800,complete,LCKC,2026.0,0.0,2.0,16.01,Blue,bot,LazyFeel,DRX Challengers,0.0,Kai'Sa,Orianna,Rumble,Ryze,Lulu,Renekton,1441.0,1.0,2.0,1.0,3.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4164,0.458,0.0,0.0,10.0,6.0,1.0,24.0,12277.0,9062.0,377.3213,11925.0,284.0,274.0,10.0,11.8251,4481.0,3745.0,105.0,3002.0,2800.0,71.0,1479.0,945.0,34.0,2.0,1.0,0.0,0.0,0.0,2.0,7151.0,6190.0,167.0,4215.0,4307.0,101.0,2936.0,1883.0,66.0,2.0,1.0,0.0,0.0,0.0,2.0,9858.0,9541.0,242.0,6659.0,6990.0,156.0,3199.0,2551.0,86.0,2.0,1.0,0.0,0.0,0.0,2.0,12277.0,11805.0,284.0,8773.0,8316.0,186.0,3504.0,3489.0,98.0,2.0,3.0,1.0,1.0,0.0,2.0
LOLTMNT03_337603,complete,LCK,2026.0,0.0,1.0,16.01,Blue,bot,LazyFeel,DRX Challengers,0.0,Sivir,Rumble,Orianna,Akali,Jhin,Yunara,1810.0,0.0,6.0,4.0,8.0,16.0,28.0,1.0,0.0,0.0,0.0,0.0,0.5304,1.4586,0.0,0.0,12.0,13.0,3.0,49.0,14910.0,10942.0,362.7182,14475.0,297.0,293.0,4.0,9.8453,4572.0,3738.0,95.0,3605.0,2723.0,77.0,967.0,1015.0,18.0,2.0,4.0,0.0,1.0,1.0,2.0,6606.0,6023.0,150.0,6077.0,5519.0,132.0,529.0,504.0,18.0,2.0,4.0,0.0,2.0,1.0,2.0,8948.0,8387.0,200.0,9941.0,9373.0,192.0,-993.0,-986.0,8.0,3.0,6.0,2.0,4.0,6.0,2.0,12136.0,11227.0,237.0,14827.0,13596.0,236.0,-2691.0,-2369.0,1.0,5.0,8.0,3.0,10.0,9.0,2.0
LOLTMNT06_164175,complete,AL,2026.0,0.0,2.0,16.01,Red,bot,LazyFeel,DRX Challengers,1.0,Smolder,Poppy,Azir,Sylas,Braum,Lulu,1941.0,0.0,2.0,5.0,3.0,7.0,16.0,0.0,0.0,0.0,0.0,0.0,0.2164,0.711,0.0,0.0,12.0,14.0,2.0,43.0,14572.0,10337.0,319.5363,13350.0,334.0,330.0,4.0,10.3246,3366.0,3249.0,87.0,3733.0,3589.0,102.0,-367.0,-340.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,5658.0,5624.0,145.0,6370.0,6018.0,157.0,-712.0,-394.0,-12.0,0.0,0.0,0.0,0.0,1.0,0.0,7595.0,8019.0,203.0,8941.0,9339.0,217.0,-1346.0,-1320.0,-14.0,0.0,0.0,1.0,1.0,1.0,0.0,10722.0,10694.0,257.0,11503.0,12435.0,264.0,-781.0,-1741.0,-7.0,1.0,3.0,2.0,2.0,2.0,1.0
LOLTMNT05_172202,complete,CCWS,2026.0,0.0,1.0,16.01,Blue,bot,LazyFeel,DRX Challengers,0.0,Sivir,Rumble,Orianna,Yunara,Sion,Bard,2024.0,0.0,2.0,5.0,6.0,9.0,20.0,0.0,0.0,0.0,0.0,0.0,0.2668,0.8597,0.0,0.0,16.0,9.0,6.0,40.0,14254.0,9849.0,291.9664,14375.0,303.0,299.0,4.0,8.9822,3076.0,3277.0,74.0,3886.0,3438.0,96.0,-810.0,-161.0,-22.0,0.0,0.0,0.0,0.0,1.0,0.0,4873.0,5424.0,118.0,6400.0,5760.0,156.0,-1527.0,-336.0,-38.0,0.0,0.0,0.0,0.0,1.0,0.0,7625.0,7958.0,189.0,8800.0,8568.0,223.0,-1175.0,-610.0,-34.0,0.0,0.0,0.0,0.0,1.0,0.0,9910.0,10577.0,244.0,11553.0,11575.0,267.0,-1643.0,-998.0,-23.0,0.0,1.0,1.0,1.0,2.0,0.0
LOLTMNT01_323374,complete,ROL,2026.0,0.0,2.0,16.01,Red,bot,LazyFeel,DRX Challengers,0.0,Corki,Rumble,Orianna,Ryze,Wukong,Qiyana,1902.0,0.0,2.0,2.0,2.0,5.0,16.0,0.0,0.0,0.0,0.0,1.0,0.1577,0.6625,0.0,0.0,14.0,16.0,2.0,42.0,13796.0,9640.0,304.1009,13563.0,331.0,327.0,4.0,10.4416,3939.0,3903.0,101.0,3457.0,3721.0,97.0,482.0,182.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,6024.0,5864.0,142.0,5852.0,5997.0,139.0,172.0,-133.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,8045.0,8629.0,202.0,8456.0,9110.0,212.0,-411.0,-481.0,-10.0,1.0,1.0,1.0,1.0,1.0,1.0,11007.0,11800.0,267.0,11260.0,11920.0,278.0,-253.0,-120.0,-11.0,2.0,1.0,1.0,1.0,2.0,1.0
LOLTMNT03_341106,complete,LCKC,2026.0,0.0,1.0,16.01,Red,bot,LazyFeel,DRX Challengers,1.0,Varus,Malphite,Vi,Jarvan IV,Neeko,Lulu,1835.0,1.0,11.0,1.0,11.0,26.0,6.0,4.0,0.0,0.0,0.0,0.0,0.8501,1.0463,0.0,0.0,20.0,6.0,7.0,42.0,16397.0,12378.0,404.7302,14975.0,301.0,301.0,0.0,9.842,3766.0,3839.0,105.0,3042.0,3198.0,74.0,724.0,641.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,6140.0,6488.0,158.0,5636.0,5694.0,130.0,504.0,794.0,28.0,0.0,2.0,0.0,1.0,0.0,0.0,9821.0,9641.0,199.0,7433.0,7940.0,183.0,2388.0,1701.0,16.0,4.0,8.0,1.0,1.0,0.0,2.0,12499.0,12738.0,265.0,9891.0,10616.0,244.0,2608.0,2122.0,21.0,5.0,9.0,1.0,1.0,0.0,2.0
LOLTMNT03_341110,complete,LCKC,2026.0,0.0,2.0,16.01,Blue,bot,LazyFeel,DRX Challengers,0.0,Corki,Rumble,Jayce,Ambessa,Ezreal,Aphelios,1929.0,1.0,9.0,3.0,11.0,31.0,13.0,2.0,0.0,0.0,0.0,0.0,0.9642,1.3686,0.0,0.0,15.0,8.0,4.0,36.0,17398.0,13187.0,410.1711,15233.0,318.0,310.0,8.0,9.8911,3802.0,4042.0,87.0,3251.0,3415.0,82.0,551.0,627.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,6433.0,7111.0,148.0,5647.0,5560.0,122.0,786.0,1551.0,26.0,2.0,2.0,0.0,1.0,2.0,2.0,8995.0,10054.0,203.0,7473.0,7975.0,164.0,1522.0,2079.0,39.0,2.0,5.0,1.0,1.0,3.0,3.0,12160.0,12756.0,256.0,10426.0,11078.0,220.0,1734.0,1678.0,36.0,5.0,7.0,1.0,3.0,4.0,3.0
LOLTMNT04_152016,complete,CCWS,2026.0,0.0,1.0,16.02,Red,bot,LazyFeel,DRX Challengers,1.0,Varus,Vi,Orianna,Rumble,Lulu,Sion,1722.0,0.0,2.0,6.0,3.0,5.0,18.0,0.0,0.0,0.0,0.0,1.0,0.1742,0.8014,0.0,0.0,11.0,9.0,1.0,32.0,10826.0,7038.0,245.2265,9975.0,248.0,244.0,4.0,8.6411,3927.0,3224.0,81.0,4085.0,3768.0,99.0,-158.0,-544.0,-18.0,2.0,0.0,3.0,1.0,2.0,0.0,6044.0,5489.0,143.0,6918.0,6127.0,160.0,-874.0,-638.0,-17.0,2.0,0.0,3.0,1.0,2.0,0.0,8459.0,8573.0,200.0,10519.0,9547.0,224.0,-2060.0,-974.0,-24.0,2.0,2.0,3.0,2.0,5.0,0.0,9915.0,10041.0,235.0,14241.0,12927.0,275.0,-4326.0,-2886.0,-40.0,2.0,2.0,4.0,4.0,6.0,0.0
LOLTMNT04_151027,complete,TCL,2026.0,0.0,2.0,16.02,Red,bot,LazyFeel,DRX Challengers,1.0,Ashe,Vi,Nocturne,Akali,Wukong,Malphite,2182.0,0.0,5.0,2.0,11.0,22.0,24.0,0.0,0.0,0.0,0.0,1.0,0.6049,1.2649,0.0,0.0,13.0,11.0,6.0,47.0,18355.0,13628.0,374.7388,18450.0,387.0,360.0,27.0,10.6416,3745.0,3742.0,93.0,4134.0,3577.0,85.0,-389.0,165.0,8.0,0.0,3.0,1.0,2.0,2.0,1.0,6027.0,6663.0,152.0,6995.0,6328.0,142.0,-968.0,335.0,10.0,0.0,5.0,1.0,3.0,2.0,1.0,9412.0,10032.0,214.0,9246.0,9156.0,195.0,166.0,876.0,19.0,2.0,8.0,1.0,3.0,3.0,2.0,12825.0,14259.0,277.0,13824.0,11620.0,251.0,-999.0,2639.0,26.0,3.0,11.0,1.0,6.0,3.0,3.0
