gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT02_355516,complete,ROL,2026.0,1.0,1.0,16.03,Red,bot,Legolas,Barça eSports,0.0,Aphelios,Varus,Orianna,Caitlyn,Bard,Braum,1784.0,1.0,12.0,3.0,5.0,23.0,10.0,2.0,1.0,0.0,0.0,0.0,0.7735,1.1099,0.0,0.0,10.0,4.0,4.0,20.0,18898.0,14983.0,503.9126,16350.0,284.0,275.0,9.0,9.5516,3466.0,3552.0,89.0,3875.0,3233.0,91.0,-409.0,319.0,-2.0,0.0,0.0,1.0,1.0,1.0,0.0,5999.0,5914.0,126.0,6573.0,5204.0,139.0,-574.0,710.0,-13.0,0.0,2.0,2.0,2.0,2.0,1.0,9218.0,8697.0,181.0,9268.0,7703.0,198.0,-50.0,994.0,-17.0,2.0,2.0,2.0,2.0,2.0,1.0,12590.0,11648.0,246.0,11102.0,9640.0,246.0,1488.0,2008.0,0.0,3.0,4.0,2.0,2.0,2.0,2.0
LOLTMNT02_355553,complete,HW,2026.0,0.0,1.0,16.03,Red,bot,Legolas,Barça eSports,0.0,Kai'Sa,Varus,Jayce,Orianna,Lulu,K'Sante,1944.0,0.0,7.0,3.0,5.0,13.0,24.0,0.0,0.0,0.0,0.0,0.0,0.4012,1.142,0.0,0.0,10.0,14.0,1.0,50.0,17979.0,13738.0,424.0123,18325.0,324.0,318.0,6.0,10.0,3711.0,4309.0,87.0,3357.0,3456.0,71.0,354.0,853.0,16.0,1.0,1.0,0.0,0.0,1.0,2.0,6514.0,6694.0,136.0,6692.0,6239.0,116.0,-178.0,455.0,20.0,2.0,1.0,0.0,3.0,2.0,2.0,9678.0,9875.0,203.0,8789.0,8834.0,168.0,889.0,1041.0,35.0,2.0,4.0,0.0,3.0,2.0,3.0,12326.0,12556.0,260.0,11456.0,11855.0,209.0,870.0,701.0,51.0,3.0,5.0,1.0,3.0,6.0,4.0
LOLTMNT02_356540,complete,LPLOL,2026.0,0.0,2.0,16.03,Red,bot,Legolas,Barça eSports,0.0,Lucian,Jayce,Varus,Orianna,Renekton,K'Sante,2173.0,0.0,4.0,5.0,8.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.4694,0.9388,0.0,2.0,16.0,10.0,5.0,41.0,16776.0,12067.0,333.1891,15850.0,315.0,310.0,5.0,8.6977,3590.0,3992.0,89.0,3809.0,3847.0,87.0,-219.0,145.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,6017.0,6541.0,143.0,6277.0,6654.0,145.0,-260.0,-113.0,-2.0,0.0,3.0,1.0,1.0,0.0,2.0,8920.0,8932.0,179.0,9097.0,10003.0,205.0,-177.0,-1071.0,-26.0,2.0,4.0,2.0,1.0,2.0,2.0,11442.0,11387.0,236.0,12323.0,13072.0,265.0,-881.0,-1685.0,-29.0,2.0,6.0,2.0,2.0,3.0,2.0
LOLTMNT05_175975,complete,PRM,2026.0,0.0,1.0,16.03,Red,bot,Legolas,Barça eSports,0.0,Yunara,Orianna,Caitlyn,Varus,Yone,Gwen,1923.0,1.0,5.0,7.0,6.0,21.0,9.0,2.0,0.0,0.0,0.0,0.0,0.6552,0.936,0.0,0.0,11.0,2.0,4.0,23.0,15067.0,10868.0,339.0952,12950.0,248.0,246.0,2.0,7.7379,3175.0,3465.0,76.0,4355.0,3651.0,97.0,-1180.0,-186.0,-21.0,0.0,0.0,2.0,2.0,0.0,0.0,5669.0,5567.0,119.0,7581.0,6051.0,160.0,-1912.0,-484.0,-41.0,0.0,0.0,2.0,2.0,0.0,0.0,8159.0,8336.0,180.0,9901.0,8043.0,209.0,-1742.0,293.0,-29.0,0.0,1.0,3.0,2.0,0.0,1.0,9967.0,9508.0,202.0,11787.0,9396.0,247.0,-1820.0,112.0,-45.0,1.0,3.0,5.0,3.0,0.0,2.0
LOLTMNT05_175984,complete,PRM,2026.0,0.0,2.0,16.03,Blue,bot,Legolas,Barça eSports,1.0,Tristana,Bard,Caitlyn,Varus,Syndra,Renekton,2235.0,0.0,2.0,6.0,6.0,17.0,34.0,0.0,0.0,0.0,0.0,0.0,0.4564,1.3691,0.0,0.0,14.0,5.0,6.0,32.0,18873.0,14038.0,376.8591,18980.0,411.0,377.0,34.0,11.0336,3559.0,3972.0,94.0,3468.0,3834.0,100.0,91.0,138.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,5902.0,6206.0,141.0,5765.0,5796.0,138.0,137.0,410.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,9189.0,9596.0,215.0,8014.0,8544.0,199.0,1175.0,1052.0,16.0,0.0,2.0,1.0,1.0,1.0,1.0,11081.0,12133.0,263.0,10906.0,11876.0,255.0,175.0,257.0,8.0,0.0,4.0,3.0,2.0,4.0,1.0
LOLTMNT05_175985,complete,TCL,2026.0,0.0,3.0,16.03,Red,bot,Legolas,Barça eSports,0.0,Sivir,Caitlyn,Varus,Bard,Azir,Viktor,1883.0,1.0,5.0,4.0,9.0,18.0,7.0,0.0,0.0,0.0,0.0,1.0,0.5736,0.7966,0.0,0.0,10.0,3.0,3.0,23.0,16558.0,12441.0,396.4206,14900.0,298.0,279.0,19.0,9.4955,3734.0,3369.0,82.0,3563.0,3509.0,85.0,171.0,-140.0,-3.0,1.0,0.0,1.0,0.0,1.0,1.0,6652.0,6040.0,131.0,6309.0,6294.0,141.0,343.0,-254.0,-10.0,2.0,1.0,2.0,0.0,1.0,1.0,8931.0,8265.0,179.0,8291.0,8323.0,179.0,640.0,-58.0,0.0,2.0,4.0,3.0,0.0,2.0,2.0,11439.0,11089.0,232.0,11232.0,10622.0,231.0,207.0,467.0,1.0,3.0,6.0,4.0,1.0,2.0,3.0
LOLTMNT03_345296,complete,CBLOL,2026.0,0.0,1.0,16.03,Red,bot,Legolas,Barça eSports,0.0,Yunara,Varus,Orianna,Wukong,Kai'Sa,Aphelios,2039.0,1.0,10.0,4.0,7.0,29.0,13.0,1.0,1.0,0.0,0.0,1.0,0.8534,1.2359,1.0,0.0,16.0,17.0,6.0,50.0,19506.0,15071.0,443.4821,17600.0,324.0,305.0,19.0,9.5341,3675.0,3266.0,75.0,3236.0,3236.0,81.0,439.0,30.0,-6.0,1.0,1.0,1.0,0.0,0.0,1.0,6528.0,5994.0,136.0,5680.0,5471.0,134.0,848.0,523.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,9279.0,8645.0,187.0,8409.0,9008.0,197.0,870.0,-363.0,-10.0,3.0,2.0,2.0,1.0,0.0,1.0,12049.0,11481.0,245.0,10798.0,11277.0,246.0,1251.0,204.0,-1.0,5.0,3.0,3.0,2.0,2.0,2.0
LOLTMNT05_177019,complete,LEC,2026.0,1.0,2.0,16.03,Blue,bot,Legolas,Barça eSports,1.0,Aphelios,Wukong,Varus,Azir,Ezreal,Pyke,1794.0,0.0,1.0,5.0,1.0,5.0,22.0,0.0,0.0,0.0,0.0,0.0,0.1672,0.903,0.0,0.0,8.0,8.0,1.0,32.0,12800.0,8865.0,296.4883,12575.0,297.0,294.0,3.0,9.9331,3677.0,3767.0,91.0,3800.0,3907.0,93.0,-123.0,-140.0,-2.0,1.0,0.0,1.0,1.0,0.0,0.0,5315.0,5508.0,129.0,6476.0,6254.0,128.0,-1161.0,-746.0,1.0,1.0,1.0,3.0,4.0,1.0,0.0,7727.0,7826.0,185.0,9152.0,9306.0,203.0,-1425.0,-1480.0,-18.0,1.0,1.0,4.0,4.0,2.0,0.0,10568.0,10757.0,252.0,10978.0,11582.0,240.0,-410.0,-825.0,12.0,1.0,1.0,4.0,4.0,2.0,0.0
LOLTMNT03_345300,complete,CBLOL,2026.0,0.0,3.0,16.03,Red,bot,Legolas,Barça eSports,0.0,Corki,Wukong,Azir,Renekton,Leona,Rell,2822.0,1.0,12.0,7.0,13.0,30.0,27.0,2.0,0.0,0.0,0.0,0.0,0.6378,1.2119,0.0,1.0,14.0,13.0,6.0,45.0,25287.0,19255.0,409.3905,22163.0,419.0,396.0,23.0,8.9086,3873.0,3795.0,91.0,3827.0,3146.0,87.0,46.0,649.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,6514.0,6809.0,154.0,5936.0,5469.0,141.0,578.0,1340.0,13.0,1.0,4.0,1.0,1.0,1.0,1.0,9050.0,9342.0,200.0,7955.0,7954.0,188.0,1095.0,1388.0,12.0,2.0,5.0,2.0,1.0,3.0,2.0,11882.0,11664.0,236.0,10679.0,10223.0,241.0,1203.0,1441.0,-5.0,4.0,8.0,4.0,2.0,5.0,3.0
LOLTMNT02_356875,complete,LCK,2026.0,0.0,1.0,16.03,Red,bot,Legolas,Barça eSports,0.0,Kai'Sa,Azir,Ryze,K'Sante,Lulu,Jarvan IV,1511.0,0.0,2.0,5.0,2.0,7.0,27.0,1.0,0.0,0.0,0.0,0.0,0.278,1.3501,0.0,0.0,8.0,3.0,0.0,18.0,10163.0,6805.0,270.2184,9600.0,231.0,231.0,0.0,9.1727,4110.0,3693.0,92.0,4342.0,3328.0,77.0,-232.0,365.0,15.0,2.0,1.0,1.0,3.0,0.0,1.0,6638.0,5932.0,140.0,7758.0,5802.0,131.0,-1120.0,130.0,9.0,2.0,1.0,2.0,5.0,1.0,1.0,8546.0,8304.0,192.0,11180.0,8813.0,187.0,-2634.0,-509.0,5.0,2.0,1.0,3.0,6.0,5.0,1.0,10135.0,10312.0,231.0,15569.0,11998.0,221.0,-5434.0,-1686.0,10.0,2.0,2.0,5.0,10.0,8.0,2.0
