gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_338569,complete,HLL,2026.0,0.0,1.0,16.01,Blue,sup,Lekcyc,Bushido Wildcats,1.0,Rakan,Akali,Yunara,Jayce,Nautilus,Rell,1542.0,1.0,1.0,2.0,17.0,22.0,6.0,0.0,0.0,0.0,0.0,0.0,0.856,1.0895,0.0,0.0,40.0,14.0,6.0,110.0,8075.0,4654.0,181.0895,6495.0,34.0,34.0,0.0,1.323,2560.0,2957.0,12.0,2394.0,2604.0,15.0,166.0,353.0,-3.0,0.0,2.0,0.0,0.0,0.0,2.0,4384.0,4654.0,25.0,3500.0,3427.0,17.0,884.0,1227.0,8.0,1.0,5.0,1.0,0.0,1.0,3.0,5736.0,6112.0,29.0,4919.0,5320.0,24.0,817.0,792.0,5.0,1.0,9.0,1.0,0.0,2.0,5.0,7625.0,8137.0,33.0,6066.0,7250.0,24.0,1559.0,887.0,9.0,1.0,12.0,1.0,0.0,2.0,5.0
LOLTMNT04_147348,complete,TCL,2026.0,0.0,2.0,16.01,Blue,sup,Lekcyc,Bushido Wildcats,1.0,Leona,Akali,Yunara,Fiora,Nautilus,Rell,1790.0,1.0,0.0,3.0,13.0,19.0,12.0,0.0,0.0,0.0,0.0,0.0,0.6369,1.0391,0.0,0.0,53.0,14.0,14.0,134.0,8621.0,4694.0,157.3408,7685.0,33.0,33.0,0.0,1.1061,2365.0,2307.0,15.0,2696.0,2567.0,20.0,-331.0,-260.0,-5.0,0.0,0.0,1.0,0.0,3.0,1.0,3622.0,3777.0,21.0,3850.0,4321.0,31.0,-228.0,-544.0,-10.0,0.0,2.0,2.0,0.0,4.0,1.0,4897.0,4611.0,24.0,4889.0,6477.0,35.0,8.0,-1866.0,-11.0,0.0,2.0,2.0,0.0,4.0,1.0,6468.0,6456.0,28.0,6992.0,7226.0,45.0,-524.0,-770.0,-17.0,0.0,6.0,3.0,2.0,4.0,3.0
LOLTMNT01_334168,complete,LJL,2026.0,0.0,1.0,16.02,Blue,sup,Lekcyc,Bushido Wildcats,1.0,Alistar,Malphite,Jayce,Caitlyn,Bard,Ambessa,1780.0,1.0,1.0,3.0,11.0,17.0,10.0,0.0,0.0,0.0,0.0,0.0,0.573,0.9101,0.0,0.0,52.0,7.0,10.0,115.0,8283.0,4376.0,147.5056,6810.0,28.0,28.0,0.0,0.9438,2213.0,2621.0,16.0,2887.0,2924.0,18.0,-674.0,-303.0,-2.0,0.0,0.0,1.0,1.0,1.0,0.0,3534.0,3931.0,19.0,4076.0,3601.0,20.0,-542.0,330.0,-1.0,0.0,3.0,1.0,1.0,2.0,1.0,4780.0,5104.0,25.0,5885.0,4695.0,24.0,-1105.0,409.0,1.0,0.0,3.0,1.0,2.0,2.0,1.0,6348.0,7742.0,27.0,7828.0,7502.0,25.0,-1480.0,240.0,2.0,0.0,8.0,2.0,3.0,5.0,3.0
LOLTMNT01_333289,complete,LJL,2026.0,0.0,2.0,16.02,Blue,sup,Lekcyc,Bushido Wildcats,1.0,Neeko,Malphite,Caitlyn,Jayce,Vi,Syndra,1984.0,1.0,1.0,1.0,8.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.6048,0.756,0.0,0.0,51.0,11.0,8.0,112.0,9264.0,4941.0,149.4254,7830.0,38.0,38.0,0.0,1.1492,2473.0,2583.0,12.0,2395.0,3005.0,16.0,78.0,-422.0,-4.0,0.0,1.0,0.0,0.0,0.0,0.0,3710.0,3534.0,22.0,3386.0,3549.0,23.0,324.0,-15.0,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,5449.0,5298.0,29.0,4948.0,5215.0,30.0,501.0,83.0,-1.0,1.0,2.0,1.0,1.0,0.0,0.0,6860.0,7389.0,29.0,5984.0,6936.0,34.0,876.0,453.0,-5.0,1.0,4.0,1.0,1.0,1.0,0.0
LOLTMNT02_349530,complete,LCKC,2026.0,0.0,1.0,16.02,Blue,sup,Lekcyc,Bushido Wildcats,1.0,Alistar,Kai'Sa,Akali,Jayce,Lulu,Pyke,1637.0,1.0,3.0,2.0,17.0,25.0,8.0,0.0,0.0,0.0,0.0,0.0,0.9163,1.2095,0.0,0.0,43.0,9.0,5.0,97.0,8315.0,4700.0,172.2663,6880.0,27.0,27.0,0.0,0.9896,2719.0,2921.0,14.0,2230.0,2632.0,15.0,489.0,289.0,-1.0,1.0,2.0,0.0,0.0,0.0,2.0,4145.0,4324.0,19.0,4193.0,4777.0,25.0,-48.0,-453.0,-6.0,2.0,2.0,1.0,1.0,3.0,3.0,5694.0,5539.0,22.0,5211.0,5415.0,28.0,483.0,124.0,-6.0,2.0,7.0,2.0,1.0,4.0,6.0,7195.0,8200.0,24.0,6365.0,6002.0,30.0,830.0,2198.0,-6.0,2.0,13.0,2.0,1.0,4.0,8.0
LOLTMNT05_175233,complete,TCL,2026.0,0.0,2.0,16.02,Blue,sup,Lekcyc,Bushido Wildcats,1.0,Rakan,Kai'Sa,Akali,Jayce,Nautilus,Leona,1771.0,1.0,0.0,3.0,13.0,20.0,9.0,0.0,0.0,0.0,0.0,0.0,0.6776,0.9825,0.0,0.0,50.0,6.0,14.0,107.0,7799.0,3911.0,132.5014,6880.0,31.0,31.0,0.0,1.0503,2317.0,2551.0,18.0,2379.0,3181.0,17.0,-62.0,-630.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3382.0,3843.0,26.0,3454.0,4508.0,22.0,-72.0,-665.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,4864.0,5127.0,30.0,4406.0,5206.0,24.0,458.0,-79.0,6.0,0.0,4.0,1.0,0.0,1.0,3.0,6286.0,8198.0,31.0,5683.0,6880.0,31.0,603.0,1318.0,0.0,0.0,7.0,1.0,0.0,2.0,5.0
LOLTMNT02_354227,complete,LCP,2026.0,1.0,1.0,16.03,Blue,sup,Lekcyc,Bushido Wildcats,1.0,Rell,Pantheon,Akali,Varus,Alistar,Braum,1672.0,0.0,0.0,3.0,3.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.1435,0.8612,0.0,0.0,46.0,13.0,12.0,105.0,6373.0,2687.0,96.4234,5735.0,42.0,42.0,0.0,1.5072,2151.0,2261.0,17.0,2535.0,2576.0,16.0,-384.0,-315.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,3375.0,4056.0,32.0,3688.0,4451.0,27.0,-313.0,-395.0,5.0,0.0,0.0,1.0,0.0,3.0,0.0,4492.0,4734.0,38.0,4810.0,5704.0,30.0,-318.0,-970.0,8.0,0.0,1.0,1.0,0.0,3.0,1.0,5804.0,6750.0,40.0,6571.0,8521.0,30.0,-767.0,-1771.0,10.0,0.0,3.0,3.0,0.0,5.0,2.0
LOLTMNT02_354263,complete,LCK,2026.0,0.0,2.0,16.03,Red,sup,Lekcyc,Bushido Wildcats,0.0,Alistar,Orianna,Varus,Pantheon,Ezreal,Kai'Sa,2189.0,0.0,0.0,3.0,6.0,14.0,23.0,0.0,0.0,0.0,0.0,0.0,0.3837,1.0142,0.0,0.0,87.0,13.0,17.0,157.0,8550.0,3809.0,104.4038,7845.0,36.0,36.0,0.0,0.9868,2259.0,3120.0,22.0,2206.0,2943.0,19.0,53.0,177.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3309.0,3562.0,27.0,4035.0,4122.0,27.0,-726.0,-560.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,4738.0,5514.0,28.0,5381.0,5981.0,31.0,-643.0,-467.0,-3.0,0.0,4.0,2.0,1.0,6.0,2.0,5875.0,6813.0,29.0,6601.0,7297.0,34.0,-726.0,-484.0,-5.0,0.0,4.0,2.0,1.0,8.0,2.0
LOLTMNT02_353790,complete,HW,2026.0,0.0,1.0,16.03,Blue,sup,Lekcyc,Bushido Wildcats,1.0,Alistar,Kai'Sa,Akali,Varus,Pyke,Aphelios,2291.0,1.0,0.0,4.0,20.0,28.0,19.0,0.0,0.0,0.0,0.0,0.0,0.7333,1.2309,0.0,0.0,79.0,14.0,10.0,156.0,9986.0,5037.0,131.9162,8180.0,34.0,34.0,0.0,0.8904,2293.0,2759.0,20.0,2624.0,3124.0,26.0,-331.0,-365.0,-6.0,0.0,0.0,1.0,0.0,1.0,0.0,3414.0,3201.0,21.0,3983.0,4276.0,34.0,-569.0,-1075.0,-13.0,0.0,1.0,1.0,0.0,4.0,1.0,4636.0,4734.0,25.0,5505.0,5314.0,39.0,-869.0,-580.0,-14.0,0.0,2.0,1.0,0.0,4.0,1.0,6012.0,6192.0,28.0,6597.0,6194.0,45.0,-585.0,-2.0,-17.0,0.0,5.0,1.0,0.0,4.0,2.0
LOLTMNT02_353799,complete,RL,2026.0,0.0,2.0,16.03,Blue,sup,Lekcyc,Bushido Wildcats,1.0,Rakan,Kai'Sa,Akali,Pyke,Viktor,Galio,1826.0,1.0,1.0,2.0,17.0,22.0,14.0,0.0,0.0,0.0,0.0,1.0,0.7229,1.1829,0.0,0.0,57.0,11.0,4.0,114.0,9221.0,5220.0,171.5225,7840.0,26.0,26.0,0.0,0.8543,2471.0,2983.0,12.0,2296.0,2832.0,14.0,175.0,151.0,-2.0,0.0,2.0,0.0,0.0,0.0,2.0,3976.0,4116.0,17.0,3876.0,4473.0,18.0,100.0,-357.0,-1.0,0.0,5.0,2.0,0.0,6.0,3.0,5319.0,6140.0,19.0,5247.0,5970.0,26.0,72.0,170.0,-7.0,0.0,6.0,2.0,0.0,7.0,3.0,7016.0,8805.0,21.0,6239.0,6735.0,28.0,777.0,2070.0,-7.0,0.0,12.0,2.0,0.0,7.0,4.0
