gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_163113,complete,AL,2026.0,0.0,1.0,16.01,Red,top,Libra,NextGeneration Esports,0.0,Gwen,Ambessa,Kai'Sa,Jayce,Akali,Syndra,1945.0,1.0,11.0,4.0,4.0,30.0,15.0,2.0,0.0,0.0,0.0,1.0,0.9254,1.3882,0.0,0.0,9.0,5.0,5.0,44.0,17965.0,13722.0,423.3008,15925.0,288.0,264.0,24.0,8.8843,4657.0,4875.0,78.0,3689.0,5001.0,77.0,968.0,-126.0,1.0,4.0,0.0,2.0,2.0,1.0,2.0,7849.0,9419.0,125.0,6052.0,9198.0,137.0,1797.0,221.0,-12.0,7.0,0.0,2.0,3.0,1.0,2.0,10430.0,12015.0,169.0,7905.0,12456.0,182.0,2525.0,-441.0,-13.0,8.0,3.0,3.0,3.0,3.0,2.0,12053.0,14459.0,209.0,9189.0,14678.0,215.0,2864.0,-219.0,-6.0,8.0,3.0,3.0,3.0,3.0,2.0
LOLTMNT06_163114,complete,AL,2026.0,0.0,2.0,16.01,Blue,top,Libra,NextGeneration Esports,1.0,Zaahen,Ambessa,Kai'Sa,Malphite,Syndra,LeBlanc,1829.0,0.0,1.0,6.0,7.0,17.0,28.0,0.0,0.0,0.0,0.0,0.0,0.5577,1.4762,0.0,0.0,12.0,3.0,4.0,29.0,10020.0,6013.0,197.2553,9208.0,211.0,211.0,0.0,6.9218,3238.0,4811.0,83.0,3359.0,5013.0,84.0,-121.0,-202.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,4568.0,7700.0,121.0,5411.0,9221.0,130.0,-843.0,-1521.0,-9.0,0.0,0.0,1.0,1.0,0.0,0.0,7002.0,11549.0,171.0,7956.0,13014.0,193.0,-954.0,-1465.0,-22.0,1.0,2.0,1.0,1.0,0.0,1.0,8770.0,14399.0,200.0,9855.0,15807.0,219.0,-1085.0,-1408.0,-19.0,1.0,6.0,3.0,2.0,4.0,1.0
LOLTMNT06_163120,complete,AL,2026.0,0.0,3.0,16.01,Blue,top,Libra,NextGeneration Esports,1.0,Sion,Malphite,Kai'Sa,Ambessa,Xayah,Trundle,1479.0,0.0,1.0,2.0,2.0,14.0,21.0,0.0,0.0,0.0,0.0,0.0,0.568,1.4199,0.0,0.0,9.0,4.0,3.0,32.0,9283.0,5990.0,243.002,8775.0,228.0,228.0,0.0,9.2495,3960.0,5491.0,91.0,3030.0,4749.0,73.0,930.0,742.0,18.0,0.0,2.0,0.0,0.0,0.0,2.0,5764.0,9503.0,153.0,5415.0,8475.0,126.0,349.0,1028.0,27.0,0.0,2.0,0.0,0.0,2.0,2.0,8125.0,13061.0,211.0,8143.0,11610.0,171.0,-18.0,1451.0,40.0,0.0,2.0,0.0,1.0,3.0,2.0,9283.0,14404.0,228.0,10694.0,14535.0,203.0,-1411.0,-131.0,25.0,1.0,2.0,2.0,1.0,6.0,2.0
LOLTMNT01_320332,complete,ROL,2026.0,0.0,1.0,16.01,Red,top,Libra,NextGeneration Esports,0.0,Aurora,Orianna,Jayce,Rumble,Viego,Wukong,2074.0,1.0,2.0,4.0,9.0,24.0,17.0,0.0,0.0,0.0,0.0,0.0,0.6943,1.1861,0.0,0.0,13.0,3.0,5.0,35.0,12821.0,8314.0,240.5207,12625.0,247.0,247.0,0.0,7.1456,3659.0,5325.0,79.0,3229.0,4892.0,72.0,430.0,433.0,7.0,1.0,0.0,0.0,1.0,0.0,1.0,5935.0,9056.0,131.0,4787.0,8253.0,119.0,1148.0,803.0,12.0,1.0,0.0,0.0,1.0,0.0,1.0,7520.0,11781.0,165.0,6345.0,10627.0,148.0,1175.0,1154.0,17.0,1.0,3.0,2.0,1.0,1.0,3.0,9799.0,15036.0,209.0,8102.0,14157.0,195.0,1697.0,879.0,14.0,2.0,8.0,2.0,1.0,2.0,3.0
LOLTMNT03_337513,complete,LCKC,2026.0,0.0,2.0,16.01,Red,top,Libra,NextGeneration Esports,0.0,Ambessa,Orianna,Jayce,Wukong,Naafiri,Malphite,1595.0,1.0,17.0,1.0,6.0,31.0,13.0,3.0,1.0,0.0,0.0,1.0,1.1661,1.6552,0.0,0.0,9.0,8.0,3.0,34.0,14609.0,11080.0,416.8025,13125.0,189.0,189.0,0.0,7.1097,4296.0,5223.0,89.0,2899.0,4405.0,66.0,1397.0,818.0,23.0,3.0,0.0,0.0,0.0,0.0,3.0,6881.0,8434.0,125.0,4383.0,7138.0,101.0,2498.0,1296.0,24.0,7.0,0.0,0.0,0.0,2.0,4.0,10672.0,10837.0,145.0,5803.0,9665.0,127.0,4869.0,1172.0,18.0,14.0,1.0,1.0,0.0,5.0,6.0,13170.0,13510.0,171.0,7416.0,11375.0,146.0,5754.0,2135.0,25.0,16.0,1.0,1.0,2.0,6.0,6.0
LOLTMNT03_340045,complete,HLL,2026.0,0.0,1.0,16.01,Blue,top,Libra,NextGeneration Esports,1.0,Ambessa,Sion,Hecarim,Sylas,Renekton,K'Sante,2120.0,0.0,1.0,4.0,8.0,17.0,22.0,0.0,0.0,0.0,0.0,0.0,0.4811,1.1038,0.0,0.0,15.0,3.0,4.0,32.0,13213.0,8613.0,243.7642,13250.0,295.0,295.0,0.0,8.3491,3383.0,5286.0,91.0,3539.0,5209.0,92.0,-156.0,77.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,5130.0,8654.0,142.0,5551.0,9035.0,140.0,-421.0,-381.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,7088.0,12255.0,198.0,7718.0,12908.0,207.0,-630.0,-653.0,-9.0,0.0,2.0,1.0,1.0,0.0,0.0,9064.0,14970.0,236.0,9736.0,16150.0,260.0,-672.0,-1180.0,-24.0,1.0,4.0,2.0,1.0,1.0,1.0
LOLTMNT02_344044,complete,ROL,2026.0,0.0,2.0,16.01,Red,top,Libra,NextGeneration Esports,0.0,Rumble,Sion,Hecarim,Malphite,Alistar,Braum,1879.0,1.0,5.0,3.0,10.0,24.0,17.0,2.0,0.0,0.0,0.0,0.0,0.7664,1.3092,0.0,0.0,10.0,4.0,3.0,38.0,14550.0,10441.0,333.4007,13175.0,251.0,247.0,4.0,8.0149,3638.0,4864.0,92.0,3084.0,4760.0,66.0,554.0,104.0,26.0,0.0,1.0,1.0,0.0,2.0,0.0,6811.0,8808.0,134.0,4424.0,7556.0,100.0,2387.0,1252.0,34.0,4.0,3.0,1.0,0.0,3.0,1.0,8928.0,12074.0,191.0,6232.0,10366.0,147.0,2696.0,1708.0,44.0,4.0,3.0,1.0,0.0,3.0,1.0,10590.0,14030.0,218.0,7477.0,12472.0,169.0,3113.0,1558.0,49.0,4.0,4.0,2.0,0.0,7.0,1.0
LOLTMNT05_174020,complete,LIT,2026.0,0.0,3.0,16.01,Blue,top,Libra,NextGeneration Esports,1.0,Jax,Sion,Hecarim,Sylas,Tristana,Aphelios,1396.0,1.0,3.0,2.0,3.0,20.0,7.0,0.0,0.0,0.0,0.0,0.0,0.8596,1.1605,0.0,0.0,9.0,4.0,3.0,29.0,9511.0,6388.0,274.5559,8325.0,184.0,184.0,0.0,7.9083,2996.0,4545.0,70.0,3110.0,4622.0,73.0,-114.0,-77.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,5551.0,8497.0,123.0,4637.0,7357.0,111.0,914.0,1140.0,12.0,1.0,1.0,1.0,0.0,0.0,2.0,7687.0,11295.0,165.0,6145.0,9226.0,141.0,1542.0,2069.0,24.0,1.0,2.0,1.0,0.0,0.0,3.0,,,,,,,,,,,,,,,
LOLTMNT01_324998,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,top,Libra,NextGeneration Esports,1.0,Aurora,Qiyana,Fiora,Ambessa,Sion,Corki,2147.0,0.0,1.0,2.0,9.0,21.0,23.0,0.0,0.0,0.0,0.0,0.0,0.5869,1.2296,0.0,0.0,10.0,9.0,4.0,43.0,11953.0,7298.0,203.9497,11150.0,266.0,266.0,0.0,7.4336,3376.0,5255.0,86.0,3403.0,5108.0,94.0,-27.0,147.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,4937.0,8342.0,119.0,5359.0,8479.0,145.0,-422.0,-137.0,-26.0,1.0,0.0,0.0,0.0,0.0,1.0,6993.0,11939.0,168.0,7767.0,10703.0,182.0,-774.0,1236.0,-14.0,1.0,4.0,0.0,1.0,0.0,3.0,8788.0,14082.0,203.0,10035.0,13396.0,227.0,-1247.0,686.0,-24.0,1.0,5.0,0.0,3.0,0.0,4.0
LOLTMNT01_327064,complete,LCKC,2026.0,0.0,2.0,16.01,Red,top,Libra,NextGeneration Esports,0.0,Gwen,Qiyana,Fiora,Jayce,Taliyah,Galio,2006.0,0.0,1.0,3.0,2.0,8.0,28.0,0.0,0.0,0.0,0.0,0.0,0.2393,1.0768,0.0,0.0,15.0,1.0,2.0,35.0,13652.0,9284.0,277.6869,12975.0,316.0,308.0,8.0,9.4516,3352.0,4773.0,86.0,3211.0,4990.0,86.0,141.0,-217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5013.0,8462.0,136.0,5333.0,8902.0,136.0,-320.0,-440.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7120.0,11571.0,195.0,7270.0,12412.0,189.0,-150.0,-841.0,6.0,0.0,0.0,1.0,1.0,2.0,0.0,9275.0,14802.0,253.0,8951.0,14971.0,219.0,324.0,-169.0,34.0,1.0,0.0,1.0,2.0,3.0,0.0
