gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_166103,complete,AL,2026.0,0.0,1.0,16.02,Blue,jng,Lotuss,Lupus Esports,1.0,Pantheon,Malphite,Rumble,Varus,Neeko,Ambessa,1475.0,0.0,1.0,7.0,0.0,8.0,20.0,0.0,0.0,0.0,0.0,0.0,0.3254,1.139,0.0,1.0,3.0,6.0,2.0,24.0,7518.0,4233.0,172.1898,7155.0,146.0,12.0,134.0,5.939,3356.0,4097.0,80.0,3632.0,4057.0,75.0,-276.0,40.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,4814.0,6196.0,114.0,5507.0,6226.0,110.0,-693.0,-30.0,4.0,0.0,0.0,2.0,1.0,1.0,1.0,6079.0,8037.0,138.0,8242.0,8853.0,147.0,-2163.0,-816.0,-9.0,0.0,0.0,4.0,3.0,5.0,1.0,7518.0,10144.0,146.0,10735.0,12130.0,183.0,-3217.0,-1986.0,-37.0,1.0,0.0,7.0,3.0,11.0,2.0
LOLTMNT04_152138,complete,EBL,2026.0,0.0,2.0,16.02,Blue,jng,Lotuss,Lupus Esports,1.0,Jayce,Malphite,Rumble,Ryze,Ambessa,Gwen,1835.0,0.0,2.0,4.0,9.0,11.0,23.0,0.0,0.0,0.0,0.0,0.0,0.3597,1.1117,0.0,1.0,8.0,13.0,3.0,49.0,12519.0,8500.0,277.9292,12625.0,204.0,41.0,163.0,6.6703,3943.0,4141.0,79.0,3508.0,4256.0,85.0,435.0,-115.0,-6.0,0.0,2.0,0.0,0.0,0.0,0.0,6008.0,6383.0,110.0,5079.0,6262.0,116.0,929.0,121.0,-6.0,1.0,2.0,0.0,0.0,1.0,0.0,9092.0,9974.0,153.0,7644.0,9229.0,153.0,1448.0,745.0,0.0,2.0,5.0,1.0,2.0,2.0,1.0,10412.0,11353.0,175.0,9833.0,12281.0,198.0,579.0,-928.0,-23.0,2.0,6.0,3.0,2.0,7.0,1.0
LOLTMNT04_152349,complete,LIT,2026.0,0.0,1.0,16.02,Red,jng,Lotuss,Lupus Esports,0.0,Qiyana,Jayce,Varus,Ryze,Rakan,Nautilus,1915.0,0.0,3.0,6.0,2.0,8.0,30.0,1.0,0.0,0.0,0.0,0.0,0.2507,1.1906,0.0,1.0,6.0,14.0,4.0,47.0,11586.0,7404.0,231.9791,10900.0,202.0,19.0,183.0,6.329,4167.0,3905.0,68.0,3523.0,3411.0,68.0,644.0,494.0,0.0,2.0,1.0,2.0,1.0,1.0,2.0,5721.0,5892.0,106.0,5652.0,6121.0,113.0,69.0,-229.0,-7.0,2.0,1.0,2.0,2.0,2.0,2.0,8044.0,9107.0,144.0,8337.0,9154.0,149.0,-293.0,-47.0,-5.0,3.0,2.0,3.0,4.0,3.0,2.0,9552.0,10780.0,172.0,11148.0,13190.0,205.0,-1596.0,-2410.0,-33.0,3.0,2.0,4.0,6.0,3.0,2.0
LOLTMNT01_333947,complete,LJL,2026.0,0.0,2.0,16.02,Blue,jng,Lotuss,Lupus Esports,1.0,Xin Zhao,Malphite,Akali,K'Sante,Jarvan IV,Pantheon,1535.0,1.0,6.0,1.0,11.0,28.0,10.0,1.0,0.0,0.0,0.0,1.0,1.0945,1.4853,1.0,0.0,5.0,9.0,3.0,36.0,12079.0,8672.0,338.9707,10925.0,196.0,15.0,181.0,7.6612,4176.0,4984.0,98.0,3583.0,3780.0,69.0,593.0,1204.0,29.0,1.0,0.0,0.0,1.0,0.0,0.0,6690.0,7108.0,128.0,5577.0,6799.0,107.0,1113.0,309.0,21.0,3.0,3.0,1.0,2.0,0.0,1.0,9775.0,10863.0,176.0,7411.0,9587.0,154.0,2364.0,1276.0,22.0,4.0,6.0,1.0,2.0,1.0,2.0,11526.0,13381.0,194.0,9283.0,12415.0,199.0,2243.0,966.0,-5.0,5.0,9.0,1.0,2.0,1.0,3.0
LOLTMNT01_334904,complete,LJL,2026.0,0.0,3.0,16.02,Red,jng,Lotuss,Lupus Esports,0.0,Vi,Jayce,Varus,Orianna,Olaf,Pantheon,1331.0,1.0,1.0,4.0,14.0,25.0,6.0,0.0,0.0,0.0,0.0,1.0,1.127,1.3974,1.0,0.0,6.0,5.0,4.0,26.0,9538.0,6547.0,295.1315,8400.0,151.0,11.0,140.0,6.8069,3971.0,3950.0,72.0,3538.0,3559.0,65.0,433.0,391.0,7.0,1.0,2.0,1.0,1.0,0.0,1.0,5981.0,6512.0,112.0,5512.0,6464.0,105.0,469.0,48.0,7.0,1.0,5.0,3.0,2.0,0.0,2.0,8230.0,9862.0,138.0,7058.0,7993.0,121.0,1172.0,1869.0,17.0,1.0,11.0,4.0,3.0,2.0,6.0,,,,,,,,,,,,,,,
LOLTMNT05_176056,complete,LEC,2026.0,0.0,1.0,16.02,Red,jng,Lotuss,Lupus Esports,0.0,Xin Zhao,Varus,Orianna,Jayce,Karma,Morgana,1396.0,1.0,8.0,2.0,8.0,28.0,9.0,1.0,0.0,0.0,0.0,0.0,1.2034,1.5903,0.0,0.0,2.0,2.0,0.0,17.0,11075.0,7952.0,341.7765,10950.0,167.0,9.0,158.0,7.1777,3847.0,4405.0,82.0,3773.0,3926.0,69.0,74.0,479.0,13.0,0.0,5.0,0.0,1.0,1.0,1.0,6245.0,6529.0,107.0,5859.0,5893.0,95.0,386.0,636.0,12.0,3.0,6.0,1.0,2.0,4.0,3.0,8899.0,9595.0,139.0,7605.0,7909.0,125.0,1294.0,1686.0,14.0,6.0,7.0,1.0,3.0,4.0,5.0,,,,,,,,,,,,,,,
LOLTMNT05_175088,complete,LIT,2026.0,0.0,2.0,16.02,Blue,jng,Lotuss,Lupus Esports,1.0,Taliyah,Malphite,Vi,Orianna,Olaf,Nautilus,1096.0,1.0,9.0,0.0,11.0,36.0,6.0,2.0,0.0,0.0,0.0,0.0,1.9708,2.2993,0.0,0.0,4.0,0.0,2.0,18.0,9681.0,7170.0,392.5182,8200.0,168.0,23.0,145.0,9.1971,4436.0,4760.0,88.0,4363.0,4528.0,82.0,73.0,232.0,6.0,2.0,2.0,0.0,1.0,0.0,1.0,8026.0,8813.0,143.0,5702.0,5798.0,97.0,2324.0,3015.0,46.0,6.0,7.0,0.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOLTMNT05_175147,complete,LEC,2026.0,0.0,1.0,16.02,Red,jng,Lotuss,Lupus Esports,0.0,Xin Zhao,Varus,Azir,Orianna,Rell,Gnar,1833.0,0.0,4.0,7.0,7.0,12.0,31.0,0.0,0.0,0.0,0.0,0.0,0.3928,1.3748,0.0,2.0,8.0,1.0,6.0,28.0,11819.0,7804.0,255.4501,11750.0,179.0,13.0,166.0,5.8592,3616.0,3756.0,71.0,4111.0,4289.0,81.0,-495.0,-533.0,-10.0,1.0,0.0,1.0,2.0,1.0,0.0,6561.0,6682.0,108.0,6021.0,7031.0,114.0,540.0,-349.0,-6.0,3.0,1.0,1.0,3.0,2.0,0.0,8830.0,9427.0,145.0,9117.0,10015.0,149.0,-287.0,-588.0,-4.0,4.0,1.0,4.0,6.0,3.0,1.0,10016.0,10765.0,162.0,11310.0,12687.0,180.0,-1294.0,-1922.0,-18.0,4.0,1.0,6.0,7.0,4.0,1.0
LOLTMNT05_176168,complete,LEC,2026.0,0.0,2.0,16.02,Red,jng,Lotuss,Lupus Esports,0.0,Wukong,Azir,Varus,Orianna,Rell,Nautilus,2070.0,1.0,7.0,1.0,12.0,32.0,20.0,0.0,0.0,0.0,0.0,1.0,0.9275,1.5072,1.0,1.0,4.0,10.0,2.0,41.0,15588.0,11090.0,321.4493,14550.0,243.0,15.0,228.0,7.0435,4480.0,4754.0,86.0,3584.0,4000.0,79.0,896.0,754.0,7.0,2.0,1.0,0.0,0.0,0.0,2.0,6532.0,6956.0,118.0,6847.0,7239.0,122.0,-315.0,-283.0,-4.0,3.0,1.0,0.0,3.0,1.0,3.0,9076.0,10113.0,153.0,8711.0,9848.0,167.0,365.0,265.0,-14.0,4.0,3.0,0.0,3.0,1.0,5.0,11021.0,12696.0,190.0,10824.0,12270.0,203.0,197.0,426.0,-13.0,5.0,4.0,0.0,4.0,4.0,6.0
LOLTMNT05_176171,complete,LIT,2026.0,0.0,3.0,16.02,Blue,jng,Lotuss,Lupus Esports,1.0,Pantheon,Rell,Lucian,Azir,Rakan,Kai'Sa,1358.0,1.0,4.0,1.0,10.0,26.0,11.0,0.0,0.0,0.0,0.0,0.0,1.1487,1.5906,0.0,0.0,3.0,2.0,2.0,17.0,9852.0,6806.0,300.7069,8450.0,147.0,17.0,130.0,6.4948,3533.0,3431.0,54.0,3539.0,4048.0,76.0,-6.0,-617.0,-22.0,2.0,0.0,0.0,0.0,1.0,2.0,5351.0,6058.0,91.0,5346.0,6134.0,106.0,5.0,-76.0,-15.0,2.0,2.0,0.0,1.0,1.0,4.0,8495.0,9344.0,129.0,7741.0,9100.0,142.0,754.0,244.0,-13.0,4.0,5.0,1.0,2.0,2.0,5.0,,,,,,,,,,,,,,,
