gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_336132,complete,HLL,2026.0,0.0,1.0,16.01,Blue,jng,Lucid,Dplus Kia,0.0,Jarvan IV,Azir,Jayce,Orianna,Renekton,Kai'Sa,1699.0,1.0,5.0,1.0,11.0,22.0,7.0,1.0,0.0,0.0,0.0,1.0,0.7769,1.0241,0.0,0.0,7.0,19.0,6.0,61.0,12911.0,9169.0,323.8022,11200.0,240.0,27.0,213.0,8.4756,3872.0,4610.0,87.0,3372.0,3878.0,72.0,500.0,732.0,15.0,0.0,2.0,0.0,0.0,0.0,1.0,6588.0,7321.0,135.0,5095.0,6368.0,114.0,1493.0,953.0,21.0,3.0,2.0,0.0,0.0,1.0,2.0,8809.0,10661.0,181.0,6595.0,8771.0,140.0,2214.0,1890.0,41.0,3.0,3.0,0.0,0.0,3.0,3.0,10787.0,13376.0,225.0,7807.0,10176.0,160.0,2980.0,3200.0,65.0,3.0,3.0,0.0,0.0,4.0,3.0
LOLTMNT05_171122,complete,LIT,2026.0,0.0,2.0,16.01,Blue,jng,Lucid,Dplus Kia,0.0,Pantheon,Azir,Jayce,Vi,Rakan,Nautilus,1530.0,1.0,9.0,2.0,12.0,27.0,7.0,1.0,0.0,0.0,0.0,1.0,1.0588,1.3333,1.0,0.0,8.0,8.0,9.0,43.0,12604.0,9207.0,361.0588,11275.0,179.0,18.0,161.0,7.0196,4330.0,3988.0,72.0,3964.0,3744.0,80.0,366.0,244.0,-8.0,2.0,2.0,1.0,1.0,1.0,1.0,6426.0,6656.0,113.0,6053.0,6077.0,122.0,373.0,579.0,-9.0,3.0,5.0,2.0,2.0,1.0,2.0,8686.0,9440.0,149.0,9068.0,9122.0,160.0,-382.0,318.0,-11.0,4.0,6.0,2.0,4.0,1.0,2.0,12178.0,13139.0,178.0,10891.0,10974.0,186.0,1287.0,2165.0,-8.0,8.0,10.0,2.0,5.0,2.0,4.0
LOLTMNT06_164179,complete,AL,2026.0,0.0,1.0,16.01,Blue,jng,Lucid,Dplus Kia,0.0,Ambessa,Azir,Orianna,Neeko,Varus,Jhin,1505.0,1.0,6.0,0.0,5.0,17.0,3.0,1.0,1.0,0.0,0.0,0.0,0.6777,0.7973,0.0,0.0,9.0,11.0,7.0,50.0,10520.0,7174.0,286.0066,7925.0,189.0,16.0,173.0,7.5349,3556.0,4580.0,89.0,3667.0,3797.0,69.0,-111.0,783.0,20.0,0.0,0.0,0.0,1.0,1.0,0.0,5450.0,6545.0,120.0,5247.0,6022.0,107.0,203.0,523.0,13.0,1.0,1.0,0.0,1.0,1.0,1.0,7726.0,9191.0,165.0,6832.0,8495.0,139.0,894.0,696.0,26.0,2.0,2.0,0.0,1.0,1.0,2.0,10509.0,11620.0,189.0,8229.0,9756.0,161.0,2280.0,1864.0,28.0,6.0,5.0,0.0,1.0,1.0,4.0
LOLTMNT05_172150,complete,LIT,2026.0,0.0,2.0,16.01,Blue,jng,Lucid,Dplus Kia,0.0,Xin Zhao,Orianna,Azir,Akali,Ezreal,Sivir,1536.0,1.0,3.0,1.0,10.0,15.0,6.0,0.0,0.0,0.0,0.0,1.0,0.5859,0.8203,0.0,0.0,7.0,8.0,5.0,36.0,12453.0,9044.0,353.2813,10325.0,230.0,12.0,218.0,8.9844,3883.0,4726.0,90.0,3552.0,3509.0,65.0,331.0,1217.0,25.0,0.0,2.0,0.0,1.0,1.0,1.0,5911.0,7857.0,145.0,5811.0,6129.0,106.0,100.0,1728.0,39.0,0.0,2.0,0.0,3.0,1.0,1.0,7919.0,10524.0,196.0,7388.0,8337.0,141.0,531.0,2187.0,55.0,0.0,3.0,0.0,3.0,1.0,1.0,11757.0,14572.0,227.0,8666.0,10535.0,163.0,3091.0,4037.0,64.0,3.0,7.0,1.0,3.0,3.0,4.0
LOLTMNT03_338642,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,jng,Lucid,Dplus Kia,0.0,Jarvan IV,Orianna,Azir,Jayce,Nautilus,Varus,2306.0,1.0,2.0,3.0,13.0,20.0,9.0,0.0,0.0,0.0,0.0,1.0,0.5204,0.7546,1.0,0.0,14.0,13.0,14.0,55.0,14665.0,9685.0,251.9948,13025.0,244.0,23.0,221.0,6.3487,3560.0,4302.0,79.0,3361.0,3614.0,67.0,199.0,688.0,12.0,0.0,1.0,0.0,0.0,1.0,1.0,5307.0,6824.0,119.0,5164.0,6785.0,113.0,143.0,39.0,6.0,0.0,2.0,1.0,0.0,2.0,1.0,7052.0,8925.0,159.0,7394.0,9374.0,145.0,-342.0,-449.0,14.0,0.0,2.0,2.0,1.0,3.0,1.0,8590.0,11008.0,186.0,9065.0,11797.0,180.0,-475.0,-789.0,6.0,0.0,3.0,2.0,1.0,3.0,2.0
LOLTMNT03_339549,complete,LCKC,2026.0,0.0,2.0,16.01,Blue,jng,Lucid,Dplus Kia,0.0,Qiyana,Orianna,Azir,Jayce,Braum,Alistar,1436.0,0.0,2.0,7.0,2.0,8.0,21.0,0.0,0.0,0.0,0.0,0.0,0.3343,1.2117,0.0,1.0,10.0,7.0,9.0,38.0,9125.0,5920.0,247.3538,8650.0,163.0,11.0,152.0,6.8106,4097.0,4112.0,78.0,4482.0,4438.0,74.0,-385.0,-326.0,4.0,1.0,1.0,2.0,2.0,3.0,1.0,6142.0,6418.0,115.0,6622.0,7110.0,121.0,-480.0,-692.0,-6.0,2.0,1.0,4.0,3.0,4.0,1.0,8223.0,8695.0,152.0,8847.0,10228.0,165.0,-624.0,-1533.0,-13.0,2.0,2.0,4.0,4.0,4.0,1.0,,,,,,,,,,,,,,,
LOLTMNT03_339556,complete,LCKC,2026.0,0.0,3.0,16.01,Blue,jng,Lucid,Dplus Kia,0.0,Vi,Orianna,Azir,Lulu,Xin Zhao,Wukong,1626.0,1.0,5.0,2.0,14.0,30.0,8.0,1.0,0.0,0.0,0.0,0.0,1.107,1.4022,1.0,0.0,10.0,11.0,8.0,48.0,12509.0,8916.0,329.0037,9250.0,222.0,26.0,196.0,8.1919,3977.0,4930.0,86.0,3953.0,4273.0,86.0,24.0,657.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,6010.0,7031.0,117.0,6594.0,7382.0,131.0,-584.0,-351.0,-14.0,2.0,3.0,1.0,1.0,1.0,1.0,8358.0,10322.0,165.0,8525.0,9290.0,155.0,-167.0,1032.0,10.0,2.0,8.0,2.0,1.0,4.0,3.0,11113.0,14156.0,201.0,10174.0,11188.0,189.0,939.0,2968.0,12.0,5.0,10.0,2.0,1.0,4.0,4.0
LOLTMNT06_166077,complete,AL,2026.0,0.0,1.0,16.01,Blue,jng,Lucid,Dplus Kia,1.0,Jarvan IV,Malphite,Azir,Yunara,Renekton,Poppy,2034.0,0.0,0.0,6.0,5.0,6.0,19.0,0.0,0.0,0.0,0.0,1.0,0.177,0.7375,0.0,2.0,12.0,11.0,12.0,59.0,10537.0,6112.0,180.295,9475.0,215.0,18.0,197.0,6.3422,3547.0,3993.0,80.0,3513.0,3917.0,77.0,34.0,76.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,5224.0,6222.0,115.0,5254.0,5961.0,107.0,-30.0,261.0,8.0,0.0,3.0,2.0,1.0,1.0,2.0,6972.0,8638.0,153.0,7849.0,9377.0,153.0,-877.0,-739.0,0.0,0.0,3.0,3.0,2.0,3.0,2.0,8599.0,11061.0,192.0,9956.0,12420.0,192.0,-1357.0,-1359.0,0.0,0.0,3.0,3.0,2.0,5.0,2.0
LOLTMNT01_327530,complete,HW,2026.0,0.0,2.0,16.01,Red,jng,Lucid,Dplus Kia,0.0,Vi,Azir,Jayce,Aurora,Nautilus,Blitzcrank,1817.0,0.0,2.0,6.0,2.0,5.0,22.0,1.0,0.0,0.0,0.0,1.0,0.1651,0.8916,0.0,1.0,11.0,8.0,10.0,47.0,10265.0,6283.0,207.4739,9900.0,193.0,11.0,182.0,6.3731,3456.0,4020.0,75.0,4165.0,4037.0,76.0,-709.0,-17.0,-1.0,0.0,1.0,1.0,2.0,2.0,0.0,6410.0,7034.0,125.0,5843.0,6079.0,115.0,567.0,955.0,10.0,2.0,1.0,1.0,2.0,2.0,1.0,8058.0,9245.0,163.0,7668.0,8844.0,156.0,390.0,401.0,7.0,2.0,1.0,2.0,2.0,3.0,1.0,9324.0,10987.0,185.0,9671.0,10682.0,183.0,-347.0,305.0,2.0,2.0,1.0,3.0,3.0,5.0,1.0
LOLTMNT04_152566,complete,LIT,2026.0,0.0,1.0,16.02,Blue,jng,Lucid,Dplus Kia,0.0,Xin Zhao,Jayce,Bard,Nocturne,Sivir,Kai'Sa,1992.0,0.0,2.0,5.0,5.0,11.0,21.0,0.0,0.0,0.0,0.0,0.0,0.3313,0.9639,0.0,1.0,15.0,19.0,13.0,77.0,11850.0,7511.0,226.2349,10925.0,238.0,28.0,210.0,7.1687,3690.0,4428.0,90.0,3604.0,3689.0,65.0,86.0,739.0,25.0,0.0,0.0,0.0,1.0,1.0,0.0,5400.0,6739.0,135.0,5553.0,6620.0,108.0,-153.0,119.0,27.0,0.0,0.0,0.0,1.0,2.0,0.0,7437.0,8889.0,169.0,7556.0,8620.0,141.0,-119.0,269.0,28.0,1.0,2.0,1.0,2.0,2.0,2.0,9246.0,11045.0,199.0,9038.0,10759.0,169.0,208.0,286.0,30.0,1.0,4.0,2.0,2.0,4.0,4.0
