gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_319631,complete,ROL,2026.0,0.0,1.0,16.01,Blue,jng,Luncafoer,The Bandits,1.0,Ambessa,Karma,Malphite,Lucian,Aatrox,Naafiri,2151.0,1.0,8.0,5.0,10.0,26.0,9.0,1.0,0.0,0.0,0.0,0.0,0.7252,0.9763,1.0,0.0,3.0,8.0,2.0,36.0,18495.0,13831.0,385.802,15200.0,267.0,27.0,240.0,7.4477,4083.0,4186.0,70.0,3869.0,4527.0,91.0,214.0,-341.0,-21.0,1.0,0.0,1.0,0.0,1.0,0.0,5925.0,6806.0,108.0,5822.0,7389.0,144.0,103.0,-583.0,-36.0,1.0,1.0,1.0,0.0,1.0,0.0,9058.0,9828.0,138.0,8726.0,10721.0,190.0,332.0,-893.0,-52.0,3.0,4.0,3.0,2.0,2.0,2.0,11889.0,13061.0,189.0,10072.0,12358.0,217.0,1817.0,703.0,-28.0,4.0,6.0,3.0,2.0,2.0,4.0
LOLTMNT01_318843,complete,ROL,2026.0,0.0,1.0,16.01,Blue,jng,Luncafoer,The Bandits,1.0,Dr. Mundo,Syndra,Yunara,Lulu,Nami,Corki,1396.0,1.0,4.0,1.0,5.0,21.0,4.0,0.0,0.0,0.0,0.0,1.0,0.9026,1.0745,0.0,0.0,3.0,3.0,2.0,23.0,11560.0,8437.0,362.6218,9900.0,232.0,23.0,209.0,9.9713,4384.0,4795.0,97.0,3350.0,3888.0,69.0,1034.0,907.0,28.0,1.0,2.0,0.0,0.0,1.0,2.0,6433.0,7965.0,149.0,4806.0,5918.0,101.0,1627.0,2047.0,48.0,1.0,3.0,0.0,0.0,2.0,2.0,9501.0,12492.0,210.0,6140.0,7767.0,116.0,3361.0,4725.0,94.0,2.0,4.0,0.0,0.0,3.0,3.0,,,,,,,,,,,,,,,
LOLTMNT01_319673,complete,ROL,2026.0,0.0,1.0,16.01,Blue,jng,Luncafoer,The Bandits,1.0,Ambessa,Zed,Akali,Yunara,Braum,Lulu,1987.0,1.0,2.0,0.0,5.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.4227,0.6341,2.0,0.0,1.0,4.0,0.0,25.0,14826.0,10497.0,316.9703,13650.0,284.0,39.0,245.0,8.5757,3496.0,4092.0,83.0,3834.0,3721.0,68.0,-338.0,371.0,15.0,0.0,0.0,0.0,1.0,2.0,0.0,5842.0,7836.0,130.0,5238.0,5622.0,98.0,604.0,2214.0,32.0,0.0,2.0,0.0,1.0,2.0,2.0,8148.0,11015.0,180.0,7439.0,8282.0,126.0,709.0,2733.0,54.0,0.0,2.0,0.0,2.0,2.0,2.0,10351.0,13061.0,208.0,9026.0,10682.0,157.0,1325.0,2379.0,51.0,2.0,3.0,0.0,2.0,3.0,3.0
LOLTMNT01_318875,complete,ROL,2026.0,0.0,1.0,16.01,Red,jng,Luncafoer,The Bandits,0.0,Dr. Mundo,Ambessa,Syndra,Heimerdinger,Aatrox,Seraphine,2195.0,1.0,7.0,3.0,13.0,30.0,18.0,1.0,0.0,0.0,0.0,0.0,0.82,1.3121,1.0,0.0,5.0,19.0,3.0,67.0,18840.0,14087.0,385.0661,16375.0,326.0,47.0,279.0,8.9112,3789.0,4459.0,85.0,3671.0,3622.0,62.0,118.0,837.0,23.0,0.0,1.0,1.0,2.0,0.0,0.0,5988.0,7084.0,119.0,6616.0,7175.0,111.0,-628.0,-91.0,8.0,1.0,1.0,1.0,4.0,0.0,0.0,8850.0,11164.0,174.0,8398.0,9359.0,146.0,452.0,1805.0,28.0,2.0,4.0,1.0,4.0,1.0,2.0,10533.0,13397.0,211.0,9934.0,11534.0,181.0,599.0,1863.0,30.0,2.0,5.0,2.0,4.0,1.0,3.0
LOLTMNT01_321153,complete,ROL,2026.0,0.0,1.0,16.01,Red,jng,Luncafoer,The Bandits,0.0,Ambessa,Bel'Veth,Aphelios,Wukong,Rell,Ashe,1807.0,1.0,7.0,2.0,5.0,15.0,9.0,2.0,1.0,0.0,0.0,1.0,0.4981,0.7969,0.0,0.0,2.0,11.0,0.0,44.0,15531.0,11569.0,384.1395,12050.0,269.0,28.0,241.0,8.9319,4569.0,4170.0,74.0,3239.0,3437.0,66.0,1330.0,733.0,8.0,2.0,1.0,1.0,0.0,1.0,1.0,6673.0,7197.0,123.0,4835.0,6085.0,102.0,1838.0,1112.0,21.0,3.0,1.0,2.0,0.0,2.0,1.0,9036.0,10310.0,171.0,6397.0,8197.0,129.0,2639.0,2113.0,42.0,3.0,3.0,2.0,0.0,3.0,2.0,11141.0,13451.0,225.0,7959.0,11008.0,165.0,3182.0,2443.0,60.0,3.0,3.0,2.0,0.0,4.0,2.0
LOLTMNT04_147249,complete,NLC,2026.0,0.0,1.0,16.01,Red,jng,Luncafoer,The Bandits,0.0,Wukong,Neeko,Rumble,Ambessa,Braum,Lulu,1639.0,0.0,7.0,4.0,3.0,12.0,33.0,0.0,0.0,0.0,0.0,0.0,0.4393,1.6107,0.0,1.0,2.0,7.0,0.0,24.0,13220.0,9601.0,351.4704,13058.0,180.0,33.0,147.0,6.5894,3702.0,3953.0,70.0,4036.0,4213.0,75.0,-334.0,-260.0,-5.0,1.0,1.0,0.0,1.0,4.0,0.0,6633.0,6927.0,112.0,6257.0,6922.0,112.0,376.0,5.0,0.0,3.0,2.0,1.0,3.0,6.0,1.0,9994.0,10024.0,150.0,8928.0,10790.0,149.0,1066.0,-766.0,1.0,6.0,2.0,2.0,4.0,12.0,1.0,12938.0,12113.0,180.0,11060.0,13952.0,174.0,1878.0,-1839.0,6.0,7.0,3.0,3.0,4.0,16.0,1.0
LOLTMNT03_336495,complete,LCK,2026.0,0.0,1.0,16.01,Red,jng,Luncafoer,The Bandits,0.0,Wukong,Neeko,Aatrox,Ambessa,Braum,Nautilus,1420.0,1.0,7.0,1.0,6.0,30.0,6.0,1.0,0.0,0.0,0.0,0.0,1.2676,1.5211,1.0,0.0,2.0,3.0,1.0,18.0,12029.0,8857.0,374.2394,9708.0,220.0,29.0,191.0,9.2958,3697.0,3954.0,74.0,3746.0,4247.0,77.0,-49.0,-293.0,-3.0,1.0,0.0,0.0,1.0,0.0,0.0,6753.0,7904.0,129.0,5107.0,5888.0,95.0,1646.0,2016.0,34.0,3.0,2.0,0.0,2.0,1.0,4.0,9262.0,11276.0,173.0,6451.0,7666.0,118.0,2811.0,3610.0,55.0,4.0,5.0,1.0,2.0,2.0,7.0,,,,,,,,,,,,,,,
LOLTMNT04_148363,complete,NLC,2026.0,0.0,1.0,16.01,Red,jng,Luncafoer,The Bandits,0.0,Wukong,Heimerdinger,Ambessa,Orianna,Aatrox,Braum,1915.0,0.0,6.0,8.0,5.0,16.0,31.0,0.0,0.0,0.0,0.0,0.0,0.5013,1.4726,0.0,1.0,4.0,13.0,2.0,42.0,14837.0,10655.0,333.8381,14233.0,237.0,37.0,200.0,7.4256,3523.0,4100.0,80.0,4122.0,4185.0,73.0,-599.0,-85.0,7.0,0.0,0.0,1.0,2.0,0.0,0.0,6656.0,7598.0,124.0,6355.0,7283.0,121.0,301.0,315.0,3.0,3.0,0.0,2.0,2.0,2.0,0.0,9393.0,10373.0,161.0,9404.0,9227.0,142.0,-11.0,1146.0,19.0,5.0,1.0,4.0,6.0,2.0,1.0,12062.0,13205.0,212.0,11437.0,12508.0,188.0,625.0,697.0,24.0,5.0,2.0,4.0,6.0,5.0,2.0
LOLTMNT03_338636,complete,LCKC,2026.0,0.0,2.0,16.01,Red,jng,Luncafoer,The Bandits,0.0,Sylas,Heimerdinger,Ambessa,Orianna,Braum,Alistar,1975.0,1.0,6.0,4.0,15.0,27.0,15.0,0.0,0.0,0.0,0.0,0.0,0.8203,1.2456,1.0,0.0,3.0,6.0,1.0,32.0,16065.0,11760.0,357.2658,13775.0,257.0,15.0,242.0,7.8076,3665.0,3858.0,61.0,3898.0,3830.0,74.0,-233.0,28.0,-13.0,1.0,2.0,1.0,1.0,2.0,0.0,5851.0,6916.0,109.0,5448.0,6124.0,112.0,403.0,792.0,-3.0,1.0,4.0,1.0,1.0,2.0,1.0,7810.0,9944.0,146.0,7768.0,9370.0,159.0,42.0,574.0,-13.0,2.0,4.0,2.0,2.0,2.0,1.0,10682.0,12922.0,189.0,9843.0,12170.0,193.0,839.0,752.0,-4.0,3.0,8.0,3.0,3.0,5.0,2.0
LOLTMNT03_339547,complete,LCKC,2026.0,0.0,3.0,16.01,Blue,jng,Luncafoer,The Bandits,1.0,Ambessa,Heimerdinger,Orianna,Akali,Jayce,Jax,2369.0,0.0,6.0,8.0,5.0,17.0,31.0,0.0,0.0,0.0,0.0,0.0,0.4306,1.2157,0.0,2.0,4.0,7.0,0.0,38.0,17243.0,12135.0,307.3449,15550.0,253.0,18.0,235.0,6.4078,3914.0,3917.0,68.0,3721.0,3977.0,75.0,193.0,-60.0,-7.0,1.0,0.0,0.0,1.0,0.0,0.0,5478.0,6140.0,104.0,5454.0,6762.0,115.0,24.0,-622.0,-11.0,1.0,0.0,2.0,1.0,1.0,0.0,8250.0,8629.0,128.0,7823.0,9434.0,158.0,427.0,-805.0,-30.0,3.0,1.0,4.0,1.0,3.0,1.0,10953.0,12681.0,177.0,10694.0,12860.0,202.0,259.0,-179.0,-25.0,3.0,4.0,5.0,3.0,5.0,1.0
LOLTMNT04_152071,complete,NLC,2026.0,0.0,1.0,16.02,Red,jng,Luncafoer,The Bandits,0.0,Dr. Mundo,Volibear,Jarvan IV,Ryze,Braum,Nautilus,2239.0,1.0,8.0,1.0,6.0,24.0,17.0,1.0,0.0,0.0,0.0,0.0,0.6431,1.0987,1.0,1.0,5.0,10.0,3.0,56.0,17040.0,12197.0,326.8513,14425.0,298.0,41.0,257.0,7.9857,3551.0,4276.0,82.0,3249.0,3803.0,74.0,302.0,473.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5590.0,7015.0,128.0,5104.0,6348.0,106.0,486.0,667.0,22.0,1.0,0.0,0.0,1.0,1.0,0.0,7610.0,10322.0,185.0,7272.0,9618.0,142.0,338.0,704.0,43.0,1.0,0.0,0.0,1.0,2.0,0.0,10199.0,13014.0,216.0,8889.0,11504.0,171.0,1310.0,1510.0,45.0,3.0,2.0,0.0,1.0,4.0,1.0
LOLTMNT01_331405,complete,ROL,2026.0,0.0,2.0,16.02,Blue,jng,Luncafoer,The Bandits,1.0,Wukong,Volibear,Varus,Ryze,Renekton,Taliyah,2476.0,0.0,1.0,3.0,7.0,12.0,19.0,0.0,0.0,0.0,0.0,0.0,0.2908,0.7512,0.0,1.0,4.0,20.0,2.0,61.0,15638.0,10311.0,249.8627,14733.0,307.0,48.0,259.0,7.4394,3809.0,4195.0,73.0,3324.0,3718.0,74.0,485.0,477.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,6237.0,7737.0,131.0,4516.0,5054.0,91.0,1721.0,2683.0,40.0,1.0,2.0,0.0,0.0,1.0,0.0,8262.0,10853.0,181.0,6216.0,8487.0,128.0,2046.0,2366.0,53.0,1.0,2.0,0.0,0.0,2.0,0.0,10594.0,13770.0,228.0,7878.0,10353.0,142.0,2716.0,3417.0,86.0,1.0,3.0,1.0,1.0,3.0,0.0
LOLTMNT04_151084,complete,CCWS,2026.0,0.0,3.0,16.02,Red,jng,Luncafoer,The Bandits,0.0,Viego,Volibear,Varus,Renekton,Braum,Neeko,1903.0,1.0,4.0,3.0,14.0,22.0,17.0,1.0,0.0,0.0,0.0,0.0,0.6936,1.2296,1.0,0.0,3.0,8.0,13.0,37.0,16420.0,12262.0,386.6106,14675.0,268.0,35.0,233.0,8.4498,3896.0,4609.0,86.0,3856.0,4217.0,74.0,40.0,392.0,12.0,0.0,0.0,0.0,1.0,1.0,0.0,6540.0,7695.0,125.0,5321.0,6085.0,94.0,1219.0,1610.0,31.0,2.0,3.0,1.0,1.0,3.0,2.0,9853.0,11050.0,173.0,7794.0,8458.0,124.0,2059.0,2592.0,49.0,3.0,7.0,1.0,3.0,4.0,4.0,12441.0,14473.0,220.0,9695.0,11063.0,154.0,2746.0,3410.0,66.0,3.0,8.0,1.0,4.0,4.0,4.0
