gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT02_355516,complete,ROL,2026.0,1.0,1.0,16.03,Red,mid,Macaquino,Barça eSports,0.0,Taliyah,Varus,Orianna,Caitlyn,Bard,Braum,1784.0,1.0,2.0,4.0,17.0,23.0,10.0,0.0,0.0,0.0,0.0,0.0,0.7735,1.1099,0.0,0.0,14.0,1.0,5.0,27.0,11389.0,7474.0,251.3677,10175.0,235.0,235.0,0.0,7.9036,3374.0,4855.0,87.0,4080.0,5373.0,101.0,-706.0,-518.0,-14.0,0.0,0.0,2.0,1.0,1.0,0.0,5566.0,7345.0,124.0,5672.0,7584.0,145.0,-106.0,-239.0,-21.0,2.0,2.0,3.0,1.0,1.0,2.0,7153.0,9874.0,166.0,7531.0,10189.0,194.0,-378.0,-315.0,-28.0,2.0,4.0,3.0,1.0,1.0,2.0,8761.0,12330.0,202.0,9066.0,13512.0,236.0,-305.0,-1182.0,-34.0,2.0,8.0,4.0,1.0,1.0,3.0
LOLTMNT02_355553,complete,HW,2026.0,0.0,1.0,16.03,Red,mid,Macaquino,Barça eSports,0.0,Aurora,Varus,Jayce,Orianna,Lulu,K'Sante,1944.0,0.0,1.0,6.0,4.0,13.0,24.0,0.0,0.0,0.0,0.0,0.0,0.4012,1.142,0.0,0.0,5.0,10.0,3.0,41.0,11205.0,6964.0,214.9383,10125.0,272.0,272.0,0.0,8.3951,3321.0,4710.0,83.0,3916.0,5608.0,93.0,-595.0,-898.0,-10.0,0.0,0.0,1.0,1.0,1.0,0.0,4692.0,6936.0,119.0,5667.0,8567.0,148.0,-975.0,-1631.0,-29.0,0.0,1.0,2.0,1.0,3.0,1.0,7016.0,10176.0,177.0,8189.0,13679.0,221.0,-1173.0,-3503.0,-44.0,1.0,1.0,2.0,1.0,3.0,1.0,8577.0,12915.0,220.0,11587.0,17999.0,272.0,-3010.0,-5084.0,-52.0,1.0,2.0,3.0,5.0,3.0,2.0
LOLTMNT02_356540,complete,LPLOL,2026.0,0.0,2.0,16.03,Red,mid,Macaquino,Barça eSports,0.0,Syndra,Jayce,Varus,Orianna,Renekton,K'Sante,2173.0,0.0,7.0,3.0,2.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.4694,0.9388,0.0,0.0,19.0,3.0,5.0,40.0,15678.0,10969.0,302.8716,15100.0,325.0,325.0,0.0,8.9738,3601.0,5127.0,93.0,3670.0,5315.0,103.0,-69.0,-188.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,5726.0,7998.0,141.0,5710.0,8295.0,166.0,16.0,-297.0,-25.0,1.0,1.0,0.0,0.0,0.0,0.0,7696.0,11073.0,200.0,7744.0,11068.0,217.0,-48.0,5.0,-17.0,1.0,1.0,0.0,0.0,0.0,1.0,10522.0,13979.0,240.0,9242.0,13456.0,247.0,1280.0,523.0,-7.0,5.0,2.0,1.0,0.0,0.0,3.0
LOLTMNT05_175975,complete,PRM,2026.0,0.0,1.0,16.03,Red,mid,Macaquino,Barça eSports,0.0,Lux,Orianna,Caitlyn,Varus,Yone,Gwen,1923.0,1.0,5.0,0.0,12.0,21.0,9.0,0.0,0.0,0.0,0.0,0.0,0.6552,0.936,0.0,0.0,23.0,4.0,12.0,51.0,14254.0,10055.0,313.7285,12300.0,274.0,271.0,3.0,8.5491,4029.0,5908.0,100.0,3191.0,4950.0,88.0,838.0,958.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,6123.0,8639.0,152.0,5227.0,8059.0,151.0,896.0,580.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,8019.0,11159.0,198.0,6706.0,9937.0,188.0,1313.0,1222.0,10.0,2.0,3.0,0.0,0.0,0.0,1.0,10158.0,13533.0,221.0,8006.0,11468.0,214.0,2152.0,2065.0,7.0,3.0,7.0,0.0,0.0,3.0,3.0
LOLTMNT05_175984,complete,PRM,2026.0,0.0,2.0,16.03,Blue,mid,Macaquino,Barça eSports,1.0,Orianna,Bard,Caitlyn,Varus,Syndra,Renekton,2235.0,0.0,3.0,8.0,8.0,17.0,34.0,0.0,0.0,0.0,0.0,0.0,0.4564,1.3691,0.0,0.0,16.0,3.0,5.0,32.0,13165.0,8330.0,223.6242,12475.0,282.0,269.0,13.0,7.5705,3531.0,5044.0,92.0,3491.0,5324.0,97.0,40.0,-280.0,-5.0,0.0,0.0,1.0,0.0,1.0,0.0,6024.0,7741.0,141.0,6439.0,7732.0,142.0,-415.0,9.0,-1.0,2.0,1.0,2.0,3.0,1.0,0.0,7888.0,10336.0,192.0,8469.0,10910.0,202.0,-581.0,-574.0,-10.0,2.0,1.0,2.0,3.0,1.0,1.0,9325.0,12561.0,220.0,12572.0,15522.0,263.0,-3247.0,-2961.0,-43.0,2.0,5.0,3.0,6.0,5.0,1.0
LOLTMNT05_175985,complete,TCL,2026.0,0.0,3.0,16.03,Red,mid,Macaquino,Barça eSports,0.0,Syndra,Caitlyn,Varus,Bard,Azir,Viktor,1883.0,1.0,4.0,1.0,8.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0,0.5736,0.7966,0.0,0.0,18.0,5.0,10.0,42.0,12606.0,8489.0,270.4939,12425.0,270.0,266.0,4.0,8.6033,3405.0,4958.0,97.0,3686.0,5049.0,90.0,-281.0,-91.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,5275.0,7407.0,153.0,5527.0,7503.0,136.0,-252.0,-96.0,17.0,0.0,1.0,0.0,2.0,0.0,0.0,7701.0,11020.0,214.0,7684.0,9927.0,183.0,17.0,1093.0,31.0,1.0,2.0,0.0,3.0,0.0,1.0,9247.0,12891.0,236.0,9195.0,11939.0,214.0,52.0,952.0,22.0,1.0,6.0,1.0,3.0,3.0,2.0
LOLTMNT03_345296,complete,CBLOL,2026.0,0.0,1.0,16.03,Red,mid,Macaquino,Barça eSports,0.0,Taliyah,Varus,Orianna,Wukong,Kai'Sa,Aphelios,2039.0,1.0,5.0,3.0,16.0,29.0,13.0,1.0,0.0,0.0,0.0,0.0,0.8534,1.2359,0.0,0.0,21.0,4.0,9.0,46.0,14711.0,10276.0,302.3835,13970.0,274.0,274.0,0.0,8.0628,3418.0,4777.0,90.0,3577.0,4737.0,91.0,-159.0,40.0,-1.0,0.0,1.0,1.0,1.0,0.0,1.0,5131.0,7532.0,145.0,5593.0,8199.0,164.0,-462.0,-667.0,-19.0,0.0,1.0,1.0,1.0,0.0,1.0,8004.0,10334.0,182.0,7402.0,10180.0,202.0,602.0,154.0,-20.0,3.0,3.0,2.0,2.0,1.0,3.0,10237.0,12850.0,215.0,9260.0,14229.0,250.0,977.0,-1379.0,-35.0,5.0,6.0,2.0,2.0,3.0,4.0
LOLTMNT05_177019,complete,LEC,2026.0,1.0,2.0,16.03,Blue,mid,Macaquino,Barça eSports,1.0,Orianna,Wukong,Varus,Azir,Ezreal,Pyke,1794.0,0.0,0.0,6.0,4.0,5.0,22.0,0.0,0.0,0.0,0.0,0.0,0.1672,0.903,0.0,0.0,12.0,3.0,2.0,24.0,10633.0,6698.0,224.0134,10700.0,271.0,271.0,0.0,9.0635,3563.0,5374.0,105.0,3694.0,5751.0,104.0,-131.0,-377.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,5008.0,7405.0,144.0,6583.0,8731.0,154.0,-1575.0,-1326.0,-10.0,0.0,2.0,4.0,3.0,2.0,0.0,6806.0,9985.0,197.0,8459.0,11305.0,188.0,-1653.0,-1320.0,9.0,0.0,2.0,4.0,4.0,4.0,0.0,8803.0,12566.0,240.0,10996.0,15008.0,259.0,-2193.0,-2442.0,-19.0,0.0,3.0,4.0,4.0,4.0,0.0
LOLTMNT03_345300,complete,CBLOL,2026.0,0.0,3.0,16.03,Red,mid,Macaquino,Barça eSports,0.0,Aurora,Wukong,Azir,Renekton,Leona,Rell,2822.0,1.0,9.0,3.0,14.0,30.0,27.0,1.0,1.0,0.0,0.0,0.0,0.6378,1.2119,0.0,0.0,15.0,16.0,6.0,64.0,20573.0,14541.0,309.1637,19950.0,374.0,370.0,4.0,7.9518,3313.0,5106.0,85.0,3530.0,5163.0,104.0,-217.0,-57.0,-19.0,0.0,1.0,0.0,0.0,0.0,0.0,5413.0,7872.0,135.0,5486.0,7559.0,154.0,-73.0,313.0,-19.0,1.0,2.0,0.0,1.0,0.0,1.0,7819.0,10856.0,183.0,7403.0,9691.0,186.0,416.0,1165.0,-3.0,2.0,4.0,0.0,2.0,2.0,1.0,11058.0,13714.0,222.0,9028.0,11661.0,219.0,2030.0,2053.0,3.0,5.0,7.0,0.0,3.0,2.0,3.0
LOLTMNT02_356875,complete,LCK,2026.0,0.0,1.0,16.03,Red,mid,Macaquino,Barça eSports,0.0,Taliyah,Azir,Ryze,K'Sante,Lulu,Jarvan IV,1511.0,0.0,0.0,5.0,2.0,7.0,27.0,0.0,0.0,0.0,0.0,0.0,0.278,1.3501,0.0,0.0,8.0,2.0,3.0,14.0,7326.0,3968.0,157.5645,7275.0,182.0,182.0,0.0,7.227,3301.0,5181.0,86.0,3559.0,5138.0,98.0,-258.0,43.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,4739.0,7213.0,127.0,5989.0,8208.0,148.0,-1250.0,-995.0,-21.0,0.0,0.0,2.0,1.0,3.0,0.0,6252.0,9474.0,168.0,8589.0,10888.0,185.0,-2337.0,-1414.0,-17.0,0.0,0.0,3.0,4.0,5.0,0.0,7304.0,11222.0,182.0,12443.0,14886.0,242.0,-5139.0,-3664.0,-60.0,0.0,2.0,5.0,7.0,8.0,0.0
