gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_337985,complete,CBLOL,2026.0,0.0,1.0,16.01,Blue,mid,Mago,LOUD,0.0,Orianna,Varus,Ambessa,Poppy,Bard,Syndra,1779.0,0.0,1.0,4.0,3.0,6.0,28.0,0.0,0.0,0.0,0.0,0.0,0.2024,1.1467,0.0,0.0,13.0,0.0,4.0,18.0,11672.0,7767.0,261.9562,11625.0,282.0,282.0,0.0,9.511,3340.0,4358.0,82.0,4481.0,5748.0,96.0,-1141.0,-1390.0,-14.0,0.0,0.0,2.0,3.0,0.0,0.0,5111.0,6942.0,124.0,6987.0,9032.0,159.0,-1876.0,-2090.0,-35.0,0.0,1.0,3.0,4.0,0.0,0.0,6987.0,9892.0,186.0,9789.0,12109.0,226.0,-2802.0,-2217.0,-40.0,0.0,1.0,3.0,4.0,1.0,0.0,8505.0,13557.0,231.0,12160.0,14800.0,257.0,-3655.0,-1243.0,-26.0,0.0,1.0,3.0,5.0,6.0,0.0
LOLTMNT05_172198,complete,CCWS,2026.0,0.0,1.0,16.01,Blue,mid,Mago,LOUD,0.0,Syndra,Orianna,Rumble,Renekton,Zaahen,K'Sante,1821.0,1.0,3.0,7.0,6.0,23.0,16.0,0.0,0.0,0.0,0.0,0.0,0.7578,1.285,0.0,0.0,20.0,3.0,7.0,29.0,11489.0,7499.0,247.084,11075.0,237.0,237.0,0.0,7.8089,3363.0,4833.0,91.0,3533.0,4663.0,84.0,-170.0,170.0,7.0,0.0,0.0,2.0,0.0,3.0,1.0,5242.0,7436.0,136.0,5074.0,7317.0,125.0,168.0,119.0,11.0,1.0,2.0,3.0,0.0,5.0,2.0,7190.0,10220.0,188.0,7095.0,10195.0,183.0,95.0,25.0,5.0,1.0,4.0,4.0,0.0,6.0,2.0,9003.0,11729.0,215.0,8949.0,14771.0,223.0,54.0,-3042.0,-8.0,3.0,4.0,6.0,0.0,9.0,3.0
LOLTMNT01_326680,complete,ROL,2026.0,0.0,1.0,16.02,Red,mid,Mago,LOUD,1.0,Orianna,Taliyah,Malphite,Renekton,Rakan,Ezreal,1643.0,0.0,0.0,4.0,3.0,4.0,27.0,0.0,0.0,0.0,0.0,0.0,0.1461,1.1321,0.0,0.0,17.0,2.0,7.0,27.0,9045.0,5418.0,197.8576,8925.0,248.0,248.0,0.0,9.0566,3149.0,4717.0,79.0,3497.0,5377.0,93.0,-348.0,-660.0,-14.0,0.0,0.0,0.0,0.0,2.0,0.0,5063.0,7710.0,136.0,5503.0,7975.0,140.0,-440.0,-265.0,-4.0,0.0,1.0,1.0,1.0,2.0,1.0,6877.0,10620.0,191.0,7826.0,11351.0,194.0,-949.0,-731.0,-3.0,0.0,2.0,2.0,2.0,3.0,1.0,8508.0,13267.0,236.0,9645.0,13970.0,224.0,-1137.0,-703.0,12.0,0.0,3.0,3.0,3.0,4.0,1.0
LOLTMNT04_150460,complete,EBL,2026.0,0.0,1.0,16.02,Red,mid,Mago,LOUD,1.0,Ryze,Taliyah,Sylas,Malphite,Bard,Nautilus,2657.0,1.0,0.0,5.0,6.0,17.0,31.0,0.0,0.0,0.0,0.0,0.0,0.3839,1.0839,0.0,1.0,30.0,10.0,11.0,67.0,17293.0,11597.0,261.8818,15775.0,407.0,399.0,8.0,9.1908,3192.0,4523.0,80.0,4317.0,5106.0,93.0,-1125.0,-583.0,-13.0,0.0,1.0,2.0,3.0,3.0,0.0,5010.0,7476.0,138.0,6663.0,7645.0,146.0,-1653.0,-169.0,-8.0,0.0,1.0,2.0,3.0,3.0,0.0,7376.0,10693.0,206.0,9380.0,10667.0,207.0,-2004.0,26.0,-1.0,0.0,1.0,2.0,5.0,4.0,0.0,9119.0,14138.0,244.0,11951.0,13555.0,253.0,-2832.0,583.0,-9.0,0.0,1.0,4.0,6.0,5.0,0.0
LOLTMNT04_150463,complete,CCWS,2026.0,0.0,1.0,16.02,Blue,mid,Mago,LOUD,0.0,Ryze,Jayce,Varus,Thresh,Malphite,Jarvan IV,2019.0,1.0,3.0,0.0,4.0,9.0,6.0,0.0,0.0,0.0,0.0,1.0,0.2675,0.4458,0.0,0.0,17.0,6.0,3.0,36.0,15643.0,11249.0,334.2942,14225.0,350.0,350.0,0.0,10.4012,3493.0,4779.0,102.0,3696.0,5278.0,106.0,-203.0,-499.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,5676.0,7555.0,152.0,6018.0,7896.0,164.0,-342.0,-341.0,-12.0,1.0,0.0,0.0,0.0,1.0,1.0,7540.0,10367.0,206.0,8104.0,10665.0,219.0,-564.0,-298.0,-13.0,1.0,1.0,0.0,1.0,2.0,1.0,9656.0,15045.0,271.0,10253.0,13362.0,275.0,-597.0,1683.0,-4.0,1.0,1.0,0.0,1.0,3.0,1.0
LOLTMNT01_335968,complete,ROL,2026.0,0.0,1.0,16.02,Blue,mid,Mago,LOUD,0.0,Ryze,Orianna,Jayce,Rumble,K'Sante,Alistar,2137.0,0.0,4.0,5.0,3.0,10.0,21.0,1.0,0.0,0.0,0.0,0.0,0.2808,0.8704,0.0,0.0,17.0,4.0,3.0,39.0,14212.0,9577.0,268.891,14175.0,321.0,317.0,4.0,9.0126,3426.0,5038.0,96.0,3340.0,5048.0,89.0,86.0,-10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5122.0,7693.0,143.0,5317.0,7562.0,132.0,-195.0,131.0,11.0,0.0,1.0,1.0,1.0,2.0,1.0,7054.0,10734.0,208.0,7739.0,10914.0,201.0,-685.0,-180.0,7.0,0.0,1.0,1.0,1.0,2.0,1.0,9898.0,14057.0,249.0,8971.0,14096.0,226.0,927.0,-39.0,23.0,2.0,3.0,2.0,1.0,5.0,2.0
LOLTMNT01_337440,complete,AL,2026.0,0.0,1.0,16.02,Blue,mid,Mago,LOUD,0.0,Syndra,Jayce,Varus,Orianna,Ezreal,Sivir,1719.0,0.0,0.0,4.0,1.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.1745,0.8028,0.0,0.0,19.0,3.0,7.0,36.0,11035.0,7253.0,253.1588,10975.0,296.0,293.0,3.0,10.3316,3666.0,5152.0,105.0,4208.0,5182.0,97.0,-542.0,-30.0,8.0,0.0,0.0,1.0,1.0,1.0,0.0,5607.0,7759.0,160.0,7115.0,8319.0,152.0,-1508.0,-560.0,8.0,0.0,0.0,2.0,3.0,2.0,0.0,7438.0,10242.0,212.0,8975.0,11035.0,199.0,-1537.0,-793.0,13.0,0.0,0.0,3.0,3.0,5.0,0.0,9318.0,13522.0,273.0,12023.0,16290.0,276.0,-2705.0,-2768.0,-3.0,0.0,0.0,3.0,4.0,5.0,0.0
LOLTMNT02_352361,complete,LCP,2026.0,1.0,1.0,16.03,Blue,mid,Mago,LOUD,0.0,Taliyah,Jayce,Varus,Orianna,Bard,Corki,2201.0,1.0,5.0,2.0,6.0,19.0,16.0,1.0,1.0,0.0,0.0,0.0,0.5179,0.9541,0.0,0.0,23.0,4.0,11.0,54.0,15982.0,11216.0,305.7519,15225.0,350.0,349.0,1.0,9.5411,3464.0,5278.0,99.0,3322.0,5066.0,90.0,142.0,212.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,5418.0,8254.0,154.0,5076.0,8100.0,150.0,342.0,154.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,7661.0,11212.0,213.0,6917.0,10810.0,208.0,744.0,402.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,11116.0,14940.0,269.0,9410.0,14383.0,260.0,1706.0,557.0,9.0,3.0,2.0,0.0,2.0,2.0,2.0
LOLTMNT02_351402,complete,LCK,2026.0,0.0,2.0,16.03,Red,mid,Mago,LOUD,1.0,Yone,Orianna,Malphite,Ahri,Corki,Sivir,1899.0,1.0,2.0,0.0,6.0,12.0,11.0,0.0,0.0,0.0,0.0,1.0,0.3791,0.7267,0.0,0.0,15.0,8.0,6.0,35.0,13717.0,9567.0,302.2749,11900.0,311.0,290.0,21.0,9.8262,3782.0,4878.0,93.0,3541.0,5202.0,97.0,241.0,-324.0,-4.0,1.0,0.0,0.0,0.0,0.0,1.0,6027.0,8038.0,161.0,5327.0,7943.0,150.0,700.0,95.0,11.0,1.0,0.0,0.0,1.0,1.0,1.0,8352.0,10750.0,211.0,7144.0,10685.0,205.0,1208.0,65.0,6.0,1.0,2.0,0.0,1.0,1.0,1.0,10100.0,13175.0,247.0,9277.0,12874.0,237.0,823.0,301.0,10.0,1.0,3.0,0.0,3.0,1.0,2.0
LOLTMNT02_351645,complete,LPLOL,2026.0,0.0,1.0,16.03,Red,mid,Mago,LOUD,0.0,Ryze,Orianna,Jayce,Bard,Nami,Sivir,2565.0,0.0,7.0,3.0,2.0,16.0,23.0,0.0,0.0,0.0,0.0,0.0,0.3743,0.9123,0.0,0.0,21.0,10.0,7.0,51.0,18114.0,12606.0,294.8772,17400.0,375.0,367.0,8.0,8.7719,3516.0,4704.0,101.0,3868.0,5374.0,110.0,-352.0,-670.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,5480.0,7176.0,148.0,6637.0,8234.0,165.0,-1157.0,-1058.0,-17.0,0.0,0.0,0.0,2.0,1.0,0.0,8323.0,9665.0,189.0,9379.0,11272.0,228.0,-1056.0,-1607.0,-39.0,3.0,0.0,0.0,3.0,1.0,0.0,10482.0,12996.0,220.0,11160.0,13120.0,261.0,-678.0,-124.0,-41.0,5.0,0.0,0.0,4.0,3.0,0.0
